Date,AOS,BP,CELG,EVR,FB,GOLD,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,T,THO
2017-04-26,52.833153,33.512241,125.199997,74.8899,146.559998,,889.140015,40.315613,36.384167,121.920784,267.028778,26.73,144.713333,100.989998,62.242336,67.085999,154.497665,39.920177,97.035324
2017-04-27,54.279404,33.260849,123.970001,72.859161,147.699997,,891.440002,40.560368,36.876774,122.14782,267.809082,26.35,146.195175,101.860001,62.123215,67.521164,155.482742,39.396992,97.204796
2017-04-28,53.740803,33.183498,124.050003,73.057281,150.25,,924.52002,40.305824,35.615696,121.881302,266.139862,25.74,144.056961,102.739998,61.875038,67.709076,154.437973,39.12059,95.878952
2017-05-01,53.531342,33.183498,124.059998,73.651642,152.460007,,932.820007,40.413513,35.773331,121.752968,265.132355,26.049999,148.40303,104.459999,61.924675,68.648666,153.313583,38.597401,95.95871
2017-05-02,53.072533,33.599258,123.82,73.899292,152.779999,,937.090027,40.540787,36.423576,122.108337,266.179321,25.52,148.502487,103.419998,62.242336,68.539871,155.38324,38.449329,94.024773
2017-05-03,53.88044,33.541245,123.43,74.54319,151.800003,,948.450012,40.746376,36.704468,121.743095,266.287994,25.440001,149.258316,103.480003,63.16555,68.322281,156.09967,37.906403,93.78553
2017-05-04,54.6684,33.183498,124.459999,74.29554,150.850006,,954.719971,41.901611,36.575432,122.355118,267.186829,25.200001,149.7854,88.75,62.917374,68.055244,157.094696,37.521412,92.629158
2017-05-05,55.187057,34.131046,122.410004,73.998352,150.240005,,950.280029,41.78413,36.545658,121.920784,269.675873,24.290001,149.487045,88.410004,63.503067,68.243156,158.617081,38.064346,92.858437
2017-05-08,54.698322,34.256744,118.360001,73.106812,151.059998,,958.690002,41.793915,36.267746,121.664124,269.152344,24.02,148.303558,85.790001,63.542778,68.183823,158.826019,38.074215,91.502693
2017-05-09,54.698322,34.17939,120.099998,73.255402,150.479996,,956.710022,42.0093,36.09901,121.624641,270.505524,23.879999,149.715775,85.699997,62.828033,68.282722,159.26384,37.728714,91.642258
2017-05-10,54.209583,34.43512,119.68,72.809631,150.289993,,954.840027,42.518383,35.741692,121.229782,268.401703,24.219999,148.333405,85.43,63.473286,68.549751,158.408112,37.955757,94.074623
2017-05-11,53.970207,34.63184,119.519997,71.125603,150.039993,,955.890015,42.655445,35.424076,121.614769,268.747406,23.879999,149.099197,85.129997,63.959709,67.709076,158.13945,37.945885,94.244087
2017-05-12,53.40168,34.808884,119.32,70.630302,150.330002,,955.140015,42.812088,35.26527,122.04911,267.927612,23.469999,148.761063,84.830002,63.105988,67.629959,157.711594,37.995247,93.695808
2017-05-15,53.860489,35.123627,119.040001,71.670433,150.190002,,959.219971,43.301594,35.364525,125.356003,269.004211,23.74,150.441803,86.07,63.046425,67.679413,159.293686,38.09396,94.712616
2017-05-16,54.3592,35.644928,119.360001,71.125603,149.779999,,964.609985,43.477814,35.553108,126.125969,268.312805,23.75,151.724731,85.629997,63.324383,69.04216,158.965332,37.699097,96.018517
2017-05-17,53.291965,35.576073,117.099998,67.658478,144.850006,,942.169983,42.675785,34.778923,125.040115,265.932404,22.889999,146.463699,83.669998,62.540146,67.122383,156.517578,36.978481,91.851601
2017-05-18,52.883022,35.910492,117.400002,69.144386,147.660004,,950.5,42.695591,34.957581,125.336258,264.036011,22.66,148.989792,84.889999,63.423649,67.351158,157.10463,37.462185,93.62603
2017-05-19,53.670982,36.333431,116.93,69.639694,148.059998,,954.650024,42.923325,35.136242,125.365875,269.438812,22.690001,151.565613,85.669998,63.314453,67.331268,159.482742,37.748459,92.998001
2017-05-22,53.720852,36.353104,115.709999,70.234055,148.240005,,964.070007,42.972836,35.503483,125.622536,273.626709,23.040001,152.072815,85.93,63.572556,68.087234,160.388229,37.758327,93.406715
2017-05-23,53.990154,36.323597,117.309998,68.995789,148.070007,,970.549988,43.01244,35.592812,125.879181,274.940369,22.809999,152.589966,85.830002,64.078835,68.316025,160.676773,37.817558,92.220444
2017-05-24,54.149742,36.29409,117.75,69.732445,150.039993,,977.609985,42.844116,35.850872,125.869316,276.609619,22.76,152.042999,85.839996,64.456062,68.40554,161.333496,37.659615,92.768715
2017-05-25,54.3592,35.802299,116.739998,69.782211,151.960007,,991.859985,42.953033,35.98983,126.723877,278.59491,22.65,153.057388,87.599998,64.565262,69.251045,162.298676,37.738586,91.692101
2017-05-26,53.930309,35.812134,116.779999,70.628357,152.130005,,993.27002,42.725296,35.98983,126.117737,280.165375,22.58,154.270721,87.440002,64.446129,69.589233,162.487732,37.629997,91.113914
2017-05-30,54.23951,35.674435,115.129997,68.786743,152.380005,,996.169983,42.982735,35.910427,126.306534,278.435669,22.450001,156.011124,87.010002,64.406425,70.036858,162.030014,38.05447,90.5158
2017-05-31,54.728241,35.556404,114.410004,67.492645,151.460007,,987.090027,43.061951,35.84095,127.439331,279.469543,22.280001,154.320435,87.040001,64.63475,69.469872,163.194183,38.034729,90.246635
2017-06-01,55.09729,35.644928,116.410004,69.881752,151.529999,,988.289978,43.378799,35.850872,127.965981,279.300537,22.73,155.583496,88.400002,64.783653,69.728493,162.418076,38.370358,92.220444
2017-06-02,56.104679,35.320343,118.730003,69.234711,153.610001,,996.119995,43.358997,36.049385,129.257767,280.095825,22.629999,157.870911,90.5,64.992119,71.3797,162.467819,38.370358,93.346901
2017-06-05,56.024883,35.487556,118.099998,68.736977,153.630005,,1003.880005,43.477814,36.069237,129.535995,278.475433,22.77,159.865601,90.870003,64.595039,71.896942,160.587219,38.311131,94.393623
2017-06-06,55.127209,35.644928,116.879997,69.384026,152.809998,,996.679993,43.824368,35.860802,130.003021,275.244629,22.9,160.583694,89.089996,64.197952,72.135666,158.995178,38.232159,103.93367
2017-06-07,55.675789,34.83839,117.57,68.189468,153.119995,,1001.5,43.83427,35.98983,129.923523,275.741699,22.68,161.870285,91.970001,63.592407,72.006363,159.90065,38.261772,101.71064
2017-06-08,56.224365,34.828556,117.059998,69.4338,154.710007,,1004.280029,43.83427,36.208191,129.724792,275.980255,23.040001,164.533203,91.790001,62.738689,71.568687,159.671799,38.005116,102.707512
2017-06-09,55.895222,35.241661,118.190002,71.424728,149.600006,,970.119995,43.77486,35.443928,130.698593,275.363922,23.690001,157.362244,88.910004,63.920002,69.947327,160.139465,38.291389,102.02964
2017-06-12,55.975014,35.221989,119.349998,71.623825,148.440002,,961.809998,43.339195,35.463779,130.986771,275.254578,23.879999,154.100891,89.059998,63.920002,69.410194,159.552399,38.567787,103.514977
2017-06-13,56.693153,35.438374,119.620003,72.221107,150.679993,,970.5,43.428307,35.612663,131.185501,276.715881,24.08,154.70929,90.879997,63.27,70.275581,160.577286,38.1828,105.598434
2017-06-14,56.713104,34.789211,121.040001,70.927002,150.25,,967.929993,43.25008,35.26527,131.930771,278.644409,24.15,152.345566,90.349998,63.369999,69.897591,161.651917,38.22229,105.468849
2017-06-15,56.653255,34.661346,120.610001,70.479042,149.800003,,960.179993,43.378799,35.046909,132.199051,279.270721,24.09,148.086868,90.849998,63.189999,69.529556,161.791214,38.340744,105.259499
2017-06-16,56.593414,35.408867,122.360001,71.574051,150.639999,,958.619995,43.566929,34.947655,133.500778,279.449646,24.139999,147.817596,91.110001,62.970001,69.629028,161.751404,38.459202,104.800941
2017-06-19,57.371399,35.448212,125.160004,72.221107,152.869995,,975.219971,43.745159,35.245419,133.222549,280.632599,24.360001,150.600204,93.080002,63.68,70.494415,163.442947,38.409843,106.196556
2017-06-20,56.643284,34.405617,126.220001,72.171333,152.25,,968.98999,43.07185,34.600262,133.371597,281.219147,24.41,149.712555,92.879997,64.529999,69.539505,163.054886,38.163059,105.100006
2017-06-21,56.304161,34.081036,132.830002,71.773148,153.910004,,978.590027,43.042149,34.32235,134.057236,281.318542,24.360001,150.520401,93.480003,65.459999,69.897591,162.676788,37.659615,107.029999
2017-06-22,56.124626,34.031853,133.679993,71.574051,153.399994,,976.619995,42.88372,34.103989,135.190033,278.773651,24.540001,149.642731,93.290001,66.019997,69.88765,160.258865,37.610256,107.139999
2017-06-23,56.214394,34.267914,134.309998,70.727905,155.070007,,986.090027,42.933228,33.935253,135.567612,278.982452,24.51,151.378128,93.940002,66.160004,70.832611,161.552399,37.462185,107.940002
2017-06-26,56.603386,34.307259,133.850006,70.927002,153.589996,,972.090027,43.477814,33.816147,135.478195,278.048004,24.33,148.59552,93.5,65.919998,70.156219,161.253891,37.659615,108.800003
2017-06-27,56.134598,34.572826,130.850006,71.47451,150.580002,,948.090027,43.675846,33.399281,134.156601,276.189026,23.93,144.237091,92.400002,65.540001,68.843208,160.358368,37.215401,107.330002
2017-06-28,56.354031,34.690853,134.229996,70.976776,153.240005,,961.01001,44.210533,33.945179,132.974136,278.366089,24.4,147.438599,94.349998,65.160004,69.430092,161.741455,37.452312,108.589996
2017-06-29,55.805454,34.287586,131.699997,70.379486,151.039993,,937.820007,46.072025,33.2901,131.801575,275.09552,24.16,141.973099,91.300003,64.339996,68.127029,159.631989,37.136425,105.510002
2017-06-30,56.184475,34.081036,129.869995,70.180397,150.979996,,929.679993,45.933407,33.488609,131.453781,275.970306,24.110001,141.055527,91.18,64.089996,68.564697,161.479996,37.24501,104.519997
2017-07-03,56.403904,34.444958,130.179993,71.126091,148.429993,,919.460022,46.77504,33.210693,132.059937,277.272614,24.16,138.921188,90.379997,64.269997,67.808723,162.570007,37.620129,106.669998
2017-07-05,57.052223,33.854809,133.199997,70.180397,150.339996,88.879997,932.26001,46.685928,34.084137,132.795258,280.732025,24.09,142.152618,91.589996,64.160004,68.713905,164.809998,37.629997,104.879997
2017-07-06,56.433826,33.874481,131.949997,70.927002,148.820007,87.370003,927.690002,46.547302,33.379429,131.682343,279.300537,23.83,143.509018,88.970001,63.099998,68.206604,163.559998,37.18,103.129997
2017-07-07,57.102093,33.795795,132.559998,71.275414,151.440002,,940.809998,46.487896,33.627563,131.702209,283.515503,23.969999,147.737808,91.040001,63.16,69.091888,165.869995,36.98,103.150002
2017-07-10,57.052223,33.766293,131.929993,71.374954,153.5,,951.0,47.181007,33.399281,130.718475,283.883301,24.5,150.440613,91.279999,62.830002,69.609138,166.039993,36.830002,102.970001
2017-07-11,56.992378,33.795795,132.25,71.325188,155.270004,,953.530029,47.428547,33.667263,130.400482,284.728302,25.02,153.313004,93.290001,62.34,69.61908,166.550003,36.599998,102.650002
2017-07-12,57.321526,34.297421,133.559998,71.623825,158.899994,,967.659973,47.705788,33.994808,131.394165,284.66864,25.360001,154.170715,92.910004,62.779999,70.772934,166.979996,36.830002,103.32
2017-07-13,57.331501,34.149887,134.470001,71.623825,159.259995,,968.849976,47.884018,33.984882,131.026505,285.066284,25.360001,154.52977,92.25,62.889999,71.389641,166.130005,36.209999,103.910004
2017-07-14,57.291603,34.37611,134.570007,71.673599,159.970001,,976.909973,47.735493,34.421604,131.761841,286.428192,25.629999,156.883514,94.32,63.060001,72.394295,167.029999,36.299999,105.440002
2017-07-17,57.461166,34.3466,134.869995,71.374954,159.729996,,975.960022,47.676083,34.213169,131.314667,286.786041,25.67,156.564362,95.599998,62.610001,72.961273,167.009995,36.389999,104.879997
2017-07-18,57.161942,34.25808,134.270004,72.469978,162.860001,,986.950012,47.586971,34.27272,133.610077,285.0961,25.41,158.928101,95.139999,62.41,72.911537,167.960007,35.990002,103.980003
2017-07-19,57.431244,34.454792,135.0,73.365891,164.139999,,992.77002,47.636478,34.302498,134.355347,288.953186,25.639999,163.795166,96.07,62.619999,73.468567,168.979996,36.130001,104.790001
2017-07-20,56.52359,34.523643,136.309998,73.863625,164.529999,,992.190002,47.636478,34.491081,135.706741,287.959106,25.08,164.363663,97.269997,62.939999,73.82666,168.779999,36.52,105.220001
2017-07-21,55.795479,34.110542,137.740005,74.361359,164.429993,,993.840027,47.388939,34.47123,134.454697,287.412323,25.43,163.097015,96.190002,62.630001,73.398941,169.369995,36.509998,104.190002
2017-07-24,55.14716,33.894154,137.839996,75.207512,166.0,,998.309998,47.745396,34.242943,132.169235,288.565491,25.370001,163.685455,98.360001,62.57,73.209946,169.460007,36.23,105.370003
2017-07-25,54.867878,34.326931,136.440002,77.546852,165.279999,,969.030029,48.735554,34.411674,131.046387,288.118134,25.18,164.024567,98.769997,62.360001,73.796822,169.589996,36.220001,107.099998
2017-07-26,54.049999,34.267914,137.75,78.243675,165.610001,,965.309998,48.874172,34.491081,130.122253,288.138031,25.139999,167.894287,96.860001,61.799999,73.657562,168.880005,38.029999,107.169998
2017-07-27,53.91,34.415455,134.149994,78.840958,170.440002,,952.51001,48.587029,34.709442,130.003021,286.428192,25.18,164.323761,95.529999,63.689999,72.772285,169.529999,39.41,106.589996
2017-07-28,54.290001,34.582661,134.100006,77.049118,172.449997,,958.330017,48.418701,35.046909,131.016586,288.694733,25.049999,161.172134,96.360001,64.110001,72.652916,172.020004,39.0,105.389999
2017-07-31,53.549999,34.562988,135.410004,78.293457,169.25,,945.5,49.596989,35.205719,131.881073,290.404572,25.110001,159.037811,94.599998,63.880001,72.314713,171.770004,39.0,105.349998
2017-08-01,53.740002,35.674435,135.179993,78.54232,169.860001,,946.559998,50.299999,36.079159,131.672394,290.921478,24.23,157.043106,96.620003,63.919998,72.195358,171.470001,38.880001,105.68
2017-08-02,54.43,35.802299,134.850006,78.094353,169.300003,,947.640015,50.200001,36.367001,131.324615,292.959381,24.129999,151.148743,96.080002,63.439999,71.877052,173.789993,38.27,103.800003
