,HSBC,GOOGL,INTC,LPX,BP,RTN,LMT,MASI,THO,FB,AOS,T,GOLD,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,1.0,0.451154108641,0.376069876988,0.23633458945,-0.0121674388336,0.294046034221,0.527262429739,0.206479292866,0.247605762256,0.474249744486,0.732729435437,0.542417705709,0.0356636625824,0.501442593053,0.309216823047,0.712748287062,0.465976760855,0.480772636273,0.539242901804
GOOGL,0.451154108641,1.0,0.298983093447,0.284311278371,0.127065321174,0.324126187657,0.432817803135,0.279941871216,0.159401731703,0.762852155904,0.602147106316,0.286798402828,0.196021145396,0.406207454185,0.46452227093,0.322551352515,0.72764864517,0.80505972226,0.735971362122
INTC,0.376069876988,0.298983093447,1.0,0.266913059896,0.43064769146,-0.00818883420052,0.251478883853,0.355900535586,0.442808386682,0.574166299181,0.377934250636,0.334932742262,0.0895563754776,0.663583981597,0.392251612348,0.346896312497,0.473474513589,0.402740412064,0.295586524443
LPX,0.23633458945,0.284311278371,0.266913059896,1.0,0.284397188737,0.0412356333407,0.155769379106,0.259984153456,0.209332880058,0.38787334841,0.253082589842,-0.203843612422,0.292638053777,0.346959843926,0.259287568984,0.0782973917215,0.624128962535,0.248539135232,0.318381470774
BP,-0.0121674388336,0.127065321174,0.43064769146,0.284397188737,1.0,-0.123355393743,-0.175827232786,-0.311767935506,0.0433059432442,0.168378723249,0.163797471417,-0.0304933094679,-0.371419208945,0.323607059972,0.235185967216,0.0512974142283,0.292927997389,0.179019294157,0.105655789744
RTN,0.294046034221,0.324126187657,-0.00818883420052,0.0412356333407,-0.123355393743,1.0,0.739462396426,0.224970257986,0.062710054434,0.238635467146,0.353524743831,0.184811202896,0.441274461514,0.208518562347,0.292953627528,-0.135909896439,0.395328860581,0.383114446666,0.282334393154
LMT,0.527262429739,0.432817803135,0.251478883853,0.155769379106,-0.175827232786,0.739462396426,1.0,0.31310300727,0.240184318563,0.494654903101,0.459272475332,0.299298613035,0.447847712045,0.467075519591,0.518526212089,0.174921167963,0.499694291879,0.534329540782,0.426248733512
MASI,0.206479292866,0.279941871216,0.355900535586,0.259984153456,-0.311767935506,0.224970257986,0.31310300727,1.0,0.129853666934,0.457696072619,0.398218299659,0.0697985990055,0.370740380193,0.415342083659,0.346462656111,0.00252666960549,0.410426855516,0.256447215484,0.256797631105
THO,0.247605762256,0.159401731703,0.442808386682,0.209332880058,0.0433059432442,0.062710054434,0.240184318563,0.129853666934,1.0,0.365537387723,0.317326743554,0.478419094943,0.286883271135,0.438637088909,0.0336077655168,0.252526098189,0.466196073937,0.286866829037,0.262969074938
FB,0.474249744486,0.762852155904,0.574166299181,0.38787334841,0.168378723249,0.238635467146,0.494654903101,0.457696072619,0.365537387723,1.0,0.581501974313,0.188172830748,0.238343200708,0.567933983818,0.586275215202,0.351581944302,0.755152158459,0.756443431037,0.710074829615
AOS,0.732729435437,0.602147106316,0.377934250636,0.253082589842,0.163797471417,0.353524743831,0.459272475332,0.398218299659,0.317326743554,0.581501974313,1.0,0.426298930887,0.0365431577094,0.55792348367,0.408823628384,0.343487560005,0.556099685644,0.669198909205,0.640585928266
T,0.542417705709,0.286798402828,0.334932742262,-0.203843612422,-0.0304933094679,0.184811202896,0.299298613035,0.0697985990055,0.478419094943,0.188172830748,0.426298930887,1.0,0.0313164178528,0.366845423424,0.0464329107076,0.544253282943,0.218462006736,0.248055101774,0.224077241236
GOLD,0.0356636625824,0.196021145396,0.0895563754776,0.292638053777,-0.371419208945,0.441274461514,0.447847712045,0.370740380193,0.286883271135,0.238343200708,0.0365431577094,0.0313164178528,1.0,0.0877142544763,0.0793123840042,-0.0930759717395,0.357185396978,0.290364633127,0.183495213999
MRK,0.501442593053,0.406207454185,0.663583981597,0.346959843926,0.323607059972,0.208518562347,0.467075519591,0.415342083659,0.438637088909,0.567933983818,0.55792348367,0.366845423424,0.0877142544763,1.0,0.720511534551,0.370523453443,0.674299067141,0.572193852641,0.354224751325
JNJ,0.309216823047,0.46452227093,0.392251612348,0.259287568984,0.235185967216,0.292953627528,0.518526212089,0.346462656111,0.0336077655168,0.586275215202,0.408823628384,0.0464329107076,0.0793123840042,0.720511534551,1.0,0.227921526802,0.501318646026,0.622730945602,0.550474455996
EVR,0.712748287062,0.322551352515,0.346896312497,0.0782973917215,0.0512974142283,-0.135909896439,0.174921167963,0.00252666960549,0.252526098189,0.351581944302,0.343487560005,0.544253282943,-0.0930759717395,0.370523453443,0.227921526802,1.0,0.326126788516,0.294172058892,0.461853714921
CELG,0.465976760855,0.72764864517,0.473474513589,0.624128962535,0.292927997389,0.395328860581,0.499694291879,0.410426855516,0.466196073937,0.755152158459,0.556099685644,0.218462006736,0.357185396978,0.674299067141,0.501318646026,0.326126788516,1.0,0.712614973243,0.601170699718
MSFT,0.480772636273,0.80505972226,0.402740412064,0.248539135232,0.179019294157,0.383114446666,0.534329540782,0.256447215484,0.286866829037,0.756443431037,0.669198909205,0.248055101774,0.290364633127,0.572193852641,0.622730945602,0.294172058892,0.712614973243,1.0,0.731204660537
LRCX,0.539242901804,0.735971362122,0.295586524443,0.318381470774,0.105655789744,0.282334393154,0.426248733512,0.256797631105,0.262969074938,0.710074829615,0.640585928266,0.224077241236,0.183495213999,0.354224751325,0.550474455996,0.461853714921,0.601170699718,0.731204660537,1.0
