,HSBC,GOOGL,INTC,LPX,BP,RTN,LMT,MASI,THO,FB,AOS,T,GOLD,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,0.537920776207,0.288391198419,0.270350954881,0.286714730497,-0.00496296130675,0.173741775619,0.281076630357,0.212810874555,0.272875438542,0.32274558849,0.469504074243,0.384198024061,0.0676381429682,0.264904639791,0.182542451443,0.740814942588,0.436974761796,0.294132197402,0.650394898741
GOOGL,0.288391198419,0.759554804494,0.255968808319,0.410425439912,0.0645751055091,0.227807090647,0.274853601935,0.342839589168,0.208770059952,0.616443305074,0.458506902823,0.241811377976,0.441792400307,0.254734948751,0.325805677151,0.398589825869,0.810781085128,0.585597712988,1.05504234574
INTC,0.270350954881,0.255968808319,0.95873108501,0.431581023657,0.242333320101,-0.00671853752023,0.178325165184,0.490247844364,0.651806994434,0.523508707694,0.323649928788,0.316484715412,0.227045642974,0.468503956272,0.309289275009,0.480754608776,0.593483308608,0.328604738488,0.475781461561
LPX,0.286714730497,0.410425439912,0.431581023657,2.73174915141,0.270423521628,0.0547933700801,0.186994490177,0.604299776544,0.519931628778,0.596157444644,0.365736593226,-0.325169299951,1.25098311407,0.412913854809,0.344620468542,0.182301446602,1.31940837966,0.342594551987,0.864858004378
BP,-0.00496296130675,0.0645751055091,0.242333320101,0.270423521628,0.331424531861,-0.0575087042538,-0.0741319574488,-0.252174206557,0.0375498150378,0.0913763162526,0.0827209045032,-0.0171974604238,-0.553399967365,0.134445617062,0.108985888289,0.0410292282361,0.216286775054,0.0857647615485,0.0997421246704
RTN,0.173741775619,0.227807090647,-0.00671853752023,0.0547933700801,-0.0575087042538,0.648366957626,0.432345332115,0.254733819841,0.075895628643,0.178834501866,0.24880982719,0.14365427214,0.91894768553,0.120931119069,0.189833031758,-0.15547868665,0.407208485804,0.257181936391,0.373695909261
LMT,0.281076630357,0.274853601935,0.178325165184,0.186994490177,-0.0741319574488,0.432345332115,0.527453992255,0.320014103549,0.262148044676,0.334449935275,0.291701896111,0.209954757124,0.841299302099,0.244052979452,0.302706520309,0.178856346245,0.464276284354,0.323662295116,0.508505256101
MASI,0.212810874555,0.342839589168,0.490247844364,0.604299776544,-0.252174206557,0.254733819841,0.320014103549,1.97476902308,0.274193346026,0.596761285106,0.488895381177,0.0949580251469,1.34720789087,0.420355130273,0.391895532789,0.00503177254711,0.737412912754,0.300764059667,0.593448035046
THO,0.272875438542,0.208770059952,0.651806994434,0.519931628778,0.0375498150378,0.075895628643,0.262148044676,0.274193346026,2.25781877583,0.509983224204,0.416569800894,0.694040545384,1.11469573189,0.474948022357,0.0406461779069,0.537731156862,0.895821433316,0.359399932628,0.649804551136
FB,0.32274558849,0.616443305074,0.523508707694,0.596157444644,0.0913763162526,0.178834501866,0.334449935275,0.596761285106,0.509983224204,0.860430467488,0.471431914701,0.169086493142,0.572023564345,0.379949356043,0.438618214964,0.463865967423,0.896228656729,0.586075432722,1.08490355572
AOS,0.469504074243,0.458506902823,0.323649928788,0.365736593226,0.0827209045032,0.24880982719,0.291701896111,0.488895381177,0.416569800894,0.471431914701,0.763261111069,0.359724965908,0.0825561086043,0.351095138878,0.287509795696,0.425267283259,0.621197253706,0.487623428314,0.920338292073
T,0.384198024061,0.241811377976,0.316484715412,-0.325169299951,-0.0171974604238,0.14365427214,0.209954757124,0.0949580251469,0.694040545384,0.169086493142,0.359724965908,0.932130167581,0.0783357137499,0.254965171608,0.0357719620712,0.743971784848,0.269797043418,0.199789166297,0.355449853311
GOLD,0.0676381429682,0.441792400307,0.227045642974,1.25098311407,-0.553399967365,0.91894768553,0.841299302099,1.34720789087,1.11469573189,0.572023564345,0.0825561086043,0.0783357137499,6.68672015203,0.163300739746,0.165052126015,-0.341081799179,1.18108411454,0.626166814715,0.780305818203
MRK,0.264904639791,0.254734948751,0.468503956272,0.412913854809,0.134445617062,0.120931119069,0.244052979452,0.420355130273,0.474948022357,0.379949356043,0.351095138878,0.254965171608,0.163300739746,0.519738172838,0.418571946501,0.379033816052,0.621448825678,0.343458790852,0.420090636681
JNJ,0.182542451443,0.325805677151,0.309289275009,0.344620468542,0.108985888289,0.189833031758,0.302706520309,0.391895532789,0.0406461779069,0.438618214964,0.287509795696,0.0357719620712,0.165052126015,0.418571946501,0.648919890891,0.260556235131,0.516394127408,0.41769123071,0.729214954
EVR,0.740814942588,0.398589825869,0.480754608776,0.182301446602,0.0410292282361,-0.15547868665,0.178856346245,0.00503177254711,0.537731156862,0.463865967423,0.425267283259,0.743971784848,-0.341081799179,0.379033816052,0.260556235131,2.00830090719,0.591454613898,0.346789629852,1.07634714559
CELG,0.436974761796,0.810781085128,0.593483308608,1.31940837966,0.216286775054,0.407208485804,0.464276284354,0.737412912754,0.895821433316,0.896228656729,0.621197253706,0.269797043418,1.18108411454,0.621448825678,0.516394127408,0.591454613898,1.63529294221,0.759862242143,1.26449073165
MSFT,0.294132197402,0.585597712988,0.328604738488,0.342594551987,0.0857647615485,0.257181936391,0.323662295116,0.300764059667,0.359399932628,0.586075432722,0.487623428314,0.199789166297,0.626166814715,0.343458790852,0.41769123071,0.346789629852,0.759862242143,0.695229902443,1.00213352307
LRCX,0.650394898741,1.05504234574,0.475781461561,0.864858004378,0.0997421246704,0.373695909261,0.508505256101,0.593448035046,0.649804551136,1.08490355572,0.920338292073,0.355449853311,0.780305818203,0.420090636681,0.729214954,1.07634714559,1.26449073165,1.00213352307,2.70437591807
