,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,1.0,-0.00562149730412,0.155640280032,0.100910845501,0.0474736274379,0.0888099839712,-0.138568415066,0.171956316157,0.0469835867204,0.218984866822,0.10846492099,0.206602292122,-0.0615064966714,0.0395629790114,0.338381098192,0.14667285129,0.117956151489,0.13443501393
GOOGL,-0.00562149730412,1.0,0.2975452009,0.134729054765,0.284128799371,0.313390430393,0.318654120872,0.114206493245,0.744194814294,0.383039983115,-0.056980197551,-0.0359099783691,0.113833683165,0.217632921891,0.0270329543266,0.417951625382,0.688105887342,0.627442241313
INTC,0.155640280032,0.2975452009,1.0,0.137772587347,0.372848458276,0.4017501697,0.272832454347,0.157553008223,0.472694624861,0.432054100522,0.156419368786,0.261395506639,0.202697778924,0.224953126628,0.171096815972,0.251149283371,0.457810387922,0.399955030058
LPX,0.100910845501,0.134729054765,0.137772587347,1.0,0.0255553465962,0.102867568782,0.117284484707,0.317006064817,0.223154118182,0.170339016084,0.0216162537183,-0.00950032854203,0.170738728489,0.1422355847,0.295392430204,0.41671165641,0.235561062367,0.306656385271
RTN,0.0474736274379,0.284128799371,0.372848458276,0.0255553465962,1.0,0.768795308598,0.130341457226,-0.083564558794,0.29263451567,0.422532249602,0.0929603593908,0.0338579586351,0.175264901685,0.250727236173,0.0276147370403,0.197332649728,0.274671030324,0.221462972017
LMT,0.0888099839712,0.313390430393,0.4017501697,0.102867568782,0.768795308598,1.0,0.168515087252,-0.0448148852433,0.26290446503,0.433160733226,0.0885723207893,-0.0145699766822,0.112422127172,0.241224703258,0.0883440143235,0.304794623528,0.339216575211,0.305759387527
MASI,-0.138568415066,0.318654120872,0.272832454347,0.117284484707,0.130341457226,0.168515087252,1.0,0.193863725456,0.411738213533,0.187261712463,0.0211959528453,0.0702757439239,0.0971403948866,0.0180771022599,0.073440920823,0.195748809096,0.368580577254,0.356284509021
THO,0.171956316157,0.114206493245,0.157553008223,0.317006064817,-0.083564558794,-0.0448148852433,0.193863725456,1.0,0.210880175661,0.0989753674934,0.206198655668,0.213534868229,0.175839311704,0.0879959654239,0.341637370893,0.260882803344,0.368254339414,0.328322732987
FB,0.0469835867204,0.744194814294,0.472694624861,0.223154118182,0.29263451567,0.26290446503,0.411738213533,0.210880175661,1.0,0.317826857012,0.145714056955,0.0641067085556,0.244353512861,0.198939429818,0.175299708472,0.346023601615,0.644525154692,0.628536502211
AOS,0.218984866822,0.383039983115,0.432054100522,0.170339016084,0.422532249602,0.433160733226,0.187261712463,0.0989753674934,0.317826857012,1.0,-0.00979298185104,0.0582743930354,0.163286372668,0.252492007752,-0.00343208827656,0.247725879654,0.464329488556,0.354484254747
T,0.10846492099,-0.056980197551,0.156419368786,0.0216162537183,0.0929603593908,0.0885723207893,0.0211959528453,0.206198655668,0.145714056955,-0.00979298185104,1.0,0.160540724307,0.275159765726,0.0520631902807,0.311599027245,0.0376783731263,0.035448317741,0.110432076726
BP,0.206602292122,-0.0359099783691,0.261395506639,-0.00950032854203,0.0338579586351,-0.0145699766822,0.0702757439239,0.213534868229,0.0641067085556,0.0582743930354,0.160540724307,1.0,0.159790357421,0.0950565328655,0.270469990262,-0.0368334636433,0.0885424799144,0.0385125241019
MRK,-0.0615064966714,0.113833683165,0.202697778924,0.170738728489,0.175264901685,0.112422127172,0.0971403948866,0.175839311704,0.244353512861,0.163286372668,0.275159765726,0.159790357421,1.0,0.368086787459,0.203022210251,0.267873795789,0.1374772854,0.0457959767213
JNJ,0.0395629790114,0.217632921891,0.224953126628,0.1422355847,0.250727236173,0.241224703258,0.0180771022599,0.0879959654239,0.198939429818,0.252492007752,0.0520631902807,0.0950565328655,0.368086787459,1.0,0.120595774116,0.301388927806,0.274881070703,0.192261832677
EVR,0.338381098192,0.0270329543266,0.171096815972,0.295392430204,0.0276147370403,0.0883440143235,0.073440920823,0.341637370893,0.175299708472,-0.00343208827656,0.311599027245,0.270469990262,0.203022210251,0.120595774116,1.0,0.203757555465,0.132417498285,0.225302479676
CELG,0.14667285129,0.417951625382,0.251149283371,0.41671165641,0.197332649728,0.304794623528,0.195748809096,0.260882803344,0.346023601615,0.247725879654,0.0376783731263,-0.0368334636433,0.267873795789,0.301388927806,0.203757555465,1.0,0.40985680056,0.411329800255
MSFT,0.117956151489,0.688105887342,0.457810387922,0.235561062367,0.274671030324,0.339216575211,0.368580577254,0.368254339414,0.644525154692,0.464329488556,0.035448317741,0.0885424799144,0.1374772854,0.274881070703,0.132417498285,0.40985680056,1.0,0.694173187779
LRCX,0.13443501393,0.627442241313,0.399955030058,0.306656385271,0.221462972017,0.305759387527,0.356284509021,0.328322732987,0.628536502211,0.354484254747,0.110432076726,0.0385125241019,0.0457959767213,0.192261832677,0.225302479676,0.411329800255,0.694173187779,1.0
