,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,0.857943038506,-0.00562666131367,0.14307643019,0.13127187039,0.0335518272214,0.0550438177443,-0.288979813965,0.271061531612,0.0481713769525,0.187813032222,0.102348838508,0.181350767353,-0.0442407720032,0.0253987080382,0.433627798457,0.179411681667,0.102698319418,0.217537429969
GOOGL,-0.00562666131367,1.16772097357,0.319109222069,0.204472734054,0.234271430071,0.226606728185,0.775288085404,0.210029773937,0.89016362853,0.38326224878,-0.0627274853813,-0.036773902364,0.0955240675198,0.162999978095,0.0404152103691,0.596440758494,0.698937478444,1.18450163153
INTC,0.14307643019,0.319109222069,0.984994328557,0.192036720314,0.282347371282,0.266802849139,0.609658909706,0.26611177558,0.519291476601,0.397042859312,0.158150941211,0.24584988959,0.156220611505,0.154739899915,0.234931139564,0.329170239308,0.427086675842,0.69345837503
LPX,0.13127187039,0.204472734054,0.192036720314,1.97246452788,0.0273855147473,0.0966719782104,0.370867857376,0.757691996674,0.346915075045,0.221513974144,0.0309278276844,-0.0126444009891,0.186212625013,0.138454245126,0.573965456182,0.772879885423,0.310972238618,0.752400338933
RTN,0.0335518272214,0.234271430071,0.282347371282,0.0273855147473,0.582195794877,0.392520899859,0.223919097224,-0.108511854228,0.247157473255,0.298522305878,0.0722597930006,0.0244821941118,0.103848915206,0.132595705487,0.0291512536878,0.198840677682,0.196997585656,0.295207934066
LMT,0.0550438177443,0.226606728185,0.266802849139,0.0966719782104,0.392520899859,0.447749447238,0.253881086959,-0.0510340865573,0.1947283378,0.268379292038,0.0603781692423,-0.00923913729228,0.0584173438334,0.111874916163,0.0817855260599,0.269337352041,0.213357595939,0.357428927916
MASI,-0.288979813965,0.775288085404,0.609658909706,0.370867857376,0.223919097224,0.253881086959,5.06930078301,0.742832869537,1.02614532682,0.390396049585,0.0486173588353,0.14994587288,0.169842499861,0.0282095564674,0.228767294744,0.582029388083,0.780045599165,1.40140395808
THO,0.271061531612,0.210029773937,0.26611177558,0.757691996674,-0.108511854228,-0.0510340865573,0.742832869537,2.89628340618,0.397255527007,0.155966039653,0.357495635851,0.344385108687,0.232385476212,0.103795064062,0.804391905704,0.586324086475,0.589090360204,0.976143915952
FB,0.0481713769525,0.89016362853,0.519291476601,0.346915075045,0.247157473255,0.1947283378,1.02614532682,0.397255527007,1.22525739144,0.32575167108,0.164315866906,0.0672468862258,0.210041316181,0.152625797868,0.268458186522,0.505814346011,0.670605409219,1.21544843695
AOS,0.187813032222,0.38326224878,0.397042859312,0.221513974144,0.298522305878,0.268379292038,0.390396049585,0.155966039653,0.32575167108,0.857363098229,-0.0092376548209,0.0511346381584,0.117409925816,0.162040450586,-0.0043966575072,0.302918311781,0.404131007978,0.573418516507
T,0.102348838508,-0.0627274853813,0.158150941211,0.0309278276844,0.0722597930006,0.0603781692423,0.0486173588353,0.357495635851,0.164315866906,-0.0092376548209,1.0378361019,0.154990343142,0.217681637908,0.0367611066373,0.439179715344,0.0506906995291,0.0339448216867,0.196540472515
BP,0.181350767353,-0.036773902364,0.24584988959,-0.0126444009891,0.0244821941118,-0.00923913729228,0.14994587288,0.344385108687,0.0672468862258,0.0511346381584,0.154990343142,0.898069753022,0.117592082502,0.0624353308262,0.354614029043,-0.0460966483707,0.0788715237641,0.0637601584216
MRK,-0.0442407720032,0.0955240675198,0.156220611505,0.186212625013,0.103848915206,0.0584173438334,0.169842499861,0.232385476212,0.210041316181,0.117409925816,0.217681637908,0.117592082502,0.60303838526,0.198114434948,0.21812117215,0.27470999771,0.10034989942,0.0621286867944
JNJ,0.0253987080382,0.162999978095,0.154739899915,0.138454245126,0.132595705487,0.111874916163,0.0282095564674,0.103795064062,0.152625797868,0.162040450586,0.0367611066373,0.0624353308262,0.198114434948,0.480382110363,0.115639790241,0.275862368928,0.17908192807,0.232797793769
EVR,0.433627798457,0.0404152103691,0.234931139564,0.573965456182,0.0291512536878,0.0817855260599,0.228767294744,0.804391905704,0.268458186522,-0.0043966575072,0.439179715344,0.354614029043,0.21812117215,0.115639790241,1.91409542605,0.372277911939,0.172202989336,0.544552973549
CELG,0.179411681667,0.596440758494,0.329170239308,0.772879885423,0.198840677682,0.269337352041,0.582029388083,0.586324086475,0.505814346011,0.302918311781,0.0506906995291,-0.0460966483707,0.27470999771,0.275862368928,0.372277911939,1.74398807078,0.508765220915,0.948973968084
MSFT,0.102698319418,0.698937478444,0.427086675842,0.310972238618,0.196997585656,0.213357595939,0.780045599165,0.589090360204,0.670605409219,0.404131007978,0.0339448216867,0.0788715237641,0.10034989942,0.17908192807,0.172202989336,0.508765220915,0.883541655814,1.13991828374
LRCX,0.217537429969,1.18450163153,0.69345837503,0.752400338933,0.295207934066,0.357428927916,1.40140395808,0.976143915952,1.21544843695,0.573418516507,0.196540472515,0.0637601584216,0.0621286867944,0.232797793769,0.544552973549,0.948973968084,1.13991828374,3.05200147437
