,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,0.230180985061,0.197389389175,0.283179944393,0.223155698954,0.302837160793,0.158564781655,0.158879805951,0.35494744581,0.389121882569,0.298789352827,0.298232730198,0.151889491485,0.145811649747,0.120770581246,0.133755866086,0.384102119526,0.287593976399,0.281624309257,0.456035933213
HSBC,0.197389389175,0.797539134135,0.0673988571515,0.100297781937,0.244960116328,0.0489108497556,0.0654264336655,-0.115250950241,0.372572672237,0.0981997310875,0.259269405622,0.107653984949,0.22409652736,-0.0075567472291,0.101472018758,0.494986363421,0.208784786532,0.136152286548,0.198656453508
GOOGL,0.283179944393,0.0673988571515,0.990068572494,0.275212640196,0.279601177741,0.239833521822,0.207116961386,0.652759700245,0.266040303691,0.721976810058,0.384337033116,-0.00518277470333,0.0218339595386,0.095731303247,0.174978481752,0.190898433135,0.488964362677,0.575773984663,0.965713786121
INTC,0.223155698954,0.100297781937,0.275212640196,0.82146804432,0.203876042546,0.247121253838,0.226265846288,0.467483054786,0.26033087246,0.390844327854,0.326869816973,0.117445935653,0.199985891396,0.136411219697,0.100885865117,0.216887068091,0.235824437609,0.345599806042,0.555303368784
LPX,0.302837160793,0.244960116328,0.279601177741,0.203876042546,1.90503520581,0.0937383923285,0.134014709456,0.40044775229,0.763613647665,0.355526650939,0.412640314413,0.0997879450407,0.127948176245,0.181036255,0.17769381326,0.745164394061,0.662416144731,0.326006168607,0.822353886108
RTN,0.158564781655,0.0489108497556,0.239833521822,0.247121253838,0.0937383923285,0.566066188229,0.39066536676,0.259998381878,0.0364127140695,0.202559490606,0.311188592099,0.0709834533474,0.0661070921134,0.0751346227651,0.125808071097,0.160870839726,0.162708839428,0.19703294865,0.267139371223
LMT,0.158879805951,0.0654264336655,0.207116961386,0.226265846288,0.134014709456,0.39066536676,0.472255645198,0.288594117726,0.0479577760743,0.168519028497,0.276311698212,0.0803248635568,0.0363549716586,0.0495928656627,0.113657711211,0.167722720276,0.189993349445,0.199886264687,0.303656355994
MASI,0.35494744581,-0.115250950241,0.652759700245,0.467483054786,0.40044775229,0.259998381878,0.288594117726,3.98147801157,0.655569928447,0.810567538532,0.426213336915,0.106878338529,0.154851746186,0.151661159208,0.0881028531763,0.310347819532,0.445132852445,0.647640178303,1.13475166605
THO,0.389121882569,0.372572672237,0.266040303691,0.26033087246,0.763613647665,0.0364127140695,0.0479577760743,0.655569928447,3.51516783373,0.44199466676,0.402570130803,0.28321814918,0.343764155829,0.264909416059,0.10602212477,0.979157260102,0.5551893903,0.576947867709,1.0136259869
FB,0.298789352827,0.0981997310875,0.721976810058,0.390844327854,0.355526650939,0.202559490606,0.168519028497,0.810567538532,0.44199466676,0.961525438722,0.321127738969,0.142284139958,0.0611751696543,0.166649428641,0.14157674226,0.343687818467,0.40397058338,0.537690200896,1.00122705594
AOS,0.298232730198,0.259269405622,0.384337033116,0.326869816973,0.412640314413,0.311188592099,0.276311698212,0.426213336915,0.402570130803,0.321127738969,0.933646378977,0.0428031784495,0.116856553811,0.0910088375214,0.186848491084,0.275552476016,0.319082352551,0.410328730009,0.621910012069
T,0.151889491485,0.107653984949,-0.00518277470333,0.117445935653,0.0997879450407,0.0709834533474,0.0803248635568,0.106878338529,0.28321814918,0.142284139958,0.0428031784495,0.819608531927,0.166977470326,0.187759261383,0.0642396094181,0.336206472104,0.0674605335266,0.0302609545483,0.186054387551
BP,0.145811649747,0.22409652736,0.0218339595386,0.199985891396,0.127948176245,0.0661070921134,0.0363549716586,0.154851746186,0.343764155829,0.0611751696543,0.116856553811,0.166977470326,0.858578960204,0.11572590818,0.105140168765,0.360190852435,-0.00811536371784,0.0948331936193,0.047232732367
MRK,0.120770581246,-0.0075567472291,0.095731303247,0.136411219697,0.181036255,0.0751346227651,0.0495928656627,0.151661159208,0.264909416059,0.166649428641,0.0910088375214,0.187759261383,0.11572590818,0.513250036874,0.195946643316,0.162250134589,0.253263703849,0.0789975417069,0.0669763778101
JNJ,0.133755866086,0.101472018758,0.174978481752,0.100885865117,0.17769381326,0.125808071097,0.113657711211,0.0881028531763,0.10602212477,0.14157674226,0.186848491084,0.0642396094181,0.105140168765,0.195946643316,0.501705051795,0.154604842321,0.300444148649,0.157771642233,0.202625367583
EVR,0.384102119526,0.494986363421,0.190898433135,0.216887068091,0.745164394061,0.160870839726,0.167722720276,0.310347819532,0.979157260102,0.343687818467,0.275552476016,0.336206472104,0.360190852435,0.162250134589,0.154604842321,2.0675556529,0.397827915629,0.283552198369,0.686139704636
CELG,0.287593976399,0.208784786532,0.488964362677,0.235824437609,0.662416144731,0.162708839428,0.189993349445,0.445132852445,0.5551893903,0.40397058338,0.319082352551,0.0674605335266,-0.00811536371784,0.253263703849,0.300444148649,0.397827915629,1.45502110662,0.40425865443,0.757316632386
MSFT,0.281624309257,0.136152286548,0.575773984663,0.345599806042,0.326006168607,0.19703294865,0.199886264687,0.647640178303,0.576947867709,0.537690200896,0.410328730009,0.0302609545483,0.0948331936193,0.0789975417069,0.157771642233,0.283552198369,0.40425865443,0.741966008512,0.880736912368
LRCX,0.456035933213,0.198656453508,0.965713786121,0.555303368784,0.822353886108,0.267139371223,0.303656355994,1.13475166605,1.0136259869,1.00122705594,0.621910012069,0.186054387551,0.047232732367,0.0669763778101,0.202625367583,0.686139704636,0.757316632386,0.880736912368,2.77362700196
