Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2015-02-26,30.338533,34.7742,123.349998,48.8526,80.410004,559.289978,36.855827,31.157438,95.883858,187.759125,17.040001,80.231766,29.9,54.083576,41.33213,102.610268,200.894318,30.366644,59.810814
2015-02-27,30.118721,34.841461,121.529999,48.5023,78.970001,562.630005,36.666821,30.787067,95.613373,186.56543,16.83,79.346497,29.469999,53.698318,41.135124,102.770897,200.210037,30.419456,59.07312
2015-03-02,30.79726,34.723751,120.309998,48.833664,79.75,575.02002,36.872265,31.537069,96.275597,189.335236,16.950001,81.290215,30.66,53.735001,41.163273,104.358246,201.474045,30.48987,58.776123
2015-03-03,30.199955,35.093693,118.470001,48.8526,79.599998,578.789978,36.822964,31.574102,95.454788,186.453476,16.610001,78.701782,30.18,53.514858,40.600418,102.2229,200.647202,30.287422,59.791653
2015-03-04,30.285969,34.917137,119.57,48.331886,80.900002,578.330017,36.780926,31.592619,94.811211,185.558212,16.68,77.816536,30.440001,53.092899,40.394043,100.881203,199.801346,29.926544,59.705429
2015-03-05,30.314634,34.62286,120.709999,48.000523,81.209999,581.429993,36.638042,31.231512,95.622681,185.679474,16.49,77.720299,31.120001,53.184628,40.440945,101.070175,200.019958,29.926544,58.795284
2015-03-06,30.123499,33.925022,118.029999,48.511768,80.010002,572.900024,35.982437,30.731506,93.374825,184.336533,16.42,77.14296,30.219999,52.13892,39.737381,99.416695,197.206757,29.468845,58.776123
2015-03-09,30.414986,33.866161,118.410004,48.28455,79.440002,574.099976,36.100113,30.296324,93.887825,186.276306,16.379999,77.904846,30.610001,52.524181,40.197037,100.985146,198.024124,29.354422,58.852772
2015-03-10,30.070934,32.82362,118.330002,47.34726,77.550003,559.849976,35.595802,29.351881,92.833847,184.261917,15.94,75.185211,30.51,51.900421,39.427807,99.152145,194.811783,28.852709,57.923466
2015-03-11,30.18084,32.142593,117.580002,48.066792,77.57,555.690002,35.343651,29.935213,91.705238,183.916855,16.23,75.484177,30.65,51.423431,39.380898,99.624565,194.355621,28.71188,58.115074
2015-03-12,30.133055,32.08374,118.82,48.587505,78.93,561.169983,35.276413,28.518545,93.11367,185.381027,16.43,74.953773,30.92,51.941269,38.480343,101.013489,196.82663,29.160778,59.188091
2015-03-13,29.645653,31.612913,117.730003,48.066792,78.050003,553.0,34.923393,28.638914,92.535378,183.823578,16.27,75.908524,30.870001,51.969013,38.81805,100.645004,195.619598,28.835108,59.07312
2015-03-16,29.999256,31.570871,120.839996,48.66325,78.07,561.640015,35.091496,28.546324,94.260902,188.486542,15.85,77.046524,31.66,52.819748,38.986904,103.555122,198.2332,29.099167,59.561722
2015-03-17,30.161728,31.797882,121.029999,48.61591,79.360001,557.609985,35.511745,28.3241,93.169624,187.143646,15.94,76.168915,32.16,52.218685,39.11824,103.07325,197.643967,28.958336,59.667103
2015-03-18,31.079195,33.084251,122.68,48.767384,80.910004,566.159973,36.217793,28.601881,94.633987,188.943527,15.83,74.731941,31.639999,53.309845,39.86871,104.566101,200.019958,29.565668,59.983261
2015-03-19,30.701694,32.764763,125.330002,48.521236,82.75,563.669983,35.780716,28.46299,94.848526,188.561172,16.219999,76.139961,31.559999,53.827686,39.671715,104.632233,199.107559,29.222399,60.730537
2015-03-20,30.825937,33.714825,128.5,49.373314,83.800003,564.950012,36.612831,28.990767,95.510757,190.034698,16.450001,76.410019,31.01,54.169838,40.225189,106.200684,200.865067,29.248795,60.874245
2015-03-23,30.572674,33.748466,122.940002,49.922428,84.43,565.369995,36.318653,28.888914,96.051735,189.241959,16.4,75.638489,31.309999,54.308537,40.206421,106.153442,200.473663,29.292809,61.219147
2015-03-24,30.649132,33.218777,122.150002,50.017109,85.309998,577.539978,36.158951,28.509285,95.100342,189.596344,16.940001,75.956749,31.08,54.216068,40.24395,105.340889,199.347198,29.107969,61.065857
2015-03-25,30.328972,33.639164,116.989998,49.117687,82.919998,567.0,36.343868,27.675949,93.58934,185.604874,16.65,70.160652,30.799999,53.87392,38.893097,102.714211,196.425995,28.71188,60.538929
2015-03-26,30.539225,33.471012,117.660004,48.738987,83.010002,563.640015,36.251408,27.851879,93.402802,187.041061,16.43,68.617599,31.42,53.263615,38.658577,102.751999,195.958221,28.887922,59.734169
2015-03-27,30.983622,33.302856,118.68,48.17094,83.300003,557.549988,36.243,29.629656,93.58934,188.598465,16.43,69.475929,31.84,53.402321,38.433437,103.86692,196.406906,28.826309,60.634743
2015-03-30,31.423246,33.496227,120.019997,48.890469,83.199997,561.140015,36.301838,29.12966,94.717941,191.079178,16.620001,69.620583,32.759998,53.947903,38.424053,105.511536,198.80304,29.019951,61.123341
2015-03-31,31.375465,32.882473,115.279999,48.909409,82.220001,554.700012,35.797531,28.953733,93.831856,189.279266,16.51,67.73999,32.98,53.152649,38.142635,103.857422,197.065598,28.738289,60.558094
2015-04-01,31.174759,33.210369,114.57,48.28455,81.669998,549.48999,36.074898,28.527807,92.479408,185.362366,16.17,67.75927,33.07,52.579327,38.198917,102.279358,196.368713,28.949532,60.586952
2015-04-02,31.232109,33.336483,114.309998,47.962658,81.559998,541.309998,36.268219,28.527807,92.936447,185.325089,16.290001,68.231842,33.450001,52.801254,37.795536,103.106415,197.07518,29.160778,61.529865
2015-04-06,31.346786,33.740051,112.970001,46.911751,82.440002,543.950012,36.579208,28.740768,92.488747,187.013077,16.15,69.774879,33.880001,52.875233,38.977528,103.76236,198.4021,29.336821,61.943588
2015-04-07,30.96928,33.84095,112.720001,44.383911,82.32,544.859985,36.553993,28.944469,93.365509,186.658676,16.09,68.636887,33.84,53.106419,38.958767,103.372589,197.877045,29.187183,60.182846
2015-04-08,31.050522,34.278149,115.150002,44.497528,82.279999,548.840027,36.789333,28.990767,93.421455,187.274185,16.209999,70.237801,34.59,52.847492,38.855576,103.600754,198.545303,29.151474,59.788368
2015-04-09,30.935837,34.765793,115.580002,45.690434,82.169998,548.02002,37.436535,28.925955,94.512749,187.861725,16.08,70.556076,34.919998,53.106419,38.911869,104.579918,199.423538,29.187183,60.077011
2015-04-10,31.050522,34.925541,117.07,46.334221,82.040001,548.539978,37.562611,29.564844,95.193642,186.89183,16.139999,70.498184,34.970001,52.939964,39.137005,104.532364,200.511841,29.258612,60.192467
2015-04-13,30.811602,34.664906,116.440002,46.646664,83.010002,548.640015,38.05011,29.379656,93.785233,183.767654,16.290001,70.112427,34.860001,52.45911,39.174526,103.268013,199.604935,29.356827,59.528584
2015-04-14,31.380234,35.144138,115.779999,45.794575,83.519997,539.780029,38.361099,29.157434,93.757225,184.038086,16.48,69.43734,34.73,53.411564,39.071331,103.096909,199.986801,29.187183,59.874958
2015-04-15,31.399349,35.665413,118.230003,46.163811,82.709999,541.039978,38.571232,30.398174,93.831856,183.916855,16.360001,69.842407,34.77,54.049625,39.643566,103.229988,200.884155,29.365749,58.989777
