,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.06,0.01,0.08,0.03,0.09,0.02,0.03,0.2,0.05,0.01,0.09,0.06,0.09,0.02,0.04,0.01,0.02,0.07,0.02,0.634915298526,0.00962598051243,65.958506534
1,0.02,0.06,0.17,0.06,0.08,0.02,0.03,0.02,0.01,0.02,0.19,0.03,0.02,0.03,0.11,0.02,0.01,0.02,0.08,0.590642701884,0.0107915703203,54.7318586964
2,0.01,0.08,0.03,0.03,0.04,0.05,0.02,0.12,0.14,0.03,0.05,0.09,0.01,0.06,0.02,0.01,0.07,0.11,0.03,0.466629895559,0.00862110927968,54.1264332026
3,0.14,0.03,0.04,0.01,0.13,0.06,0.02,0.03,0.04,0.04,0.02,0.02,0.06,0.08,0.02,0.12,0.07,0.03,0.04,0.704029581609,0.0089365470898,78.7809401701
4,0.08,0.06,0.02,0.01,0.03,0.09,0.07,0.03,0.02,0.03,0.08,0.05,0.12,0.01,0.04,0.06,0.02,0.02,0.16,0.78311536144,0.00963778372226,81.254714155
5,0.08,0.02,0.01,0.08,0.07,0.17,0.08,0.06,0.04,0.09,0.01,0.01,0.07,0.02,0.02,0.02,0.01,0.12,0.02,0.632298396069,0.00871504756804,72.5524893734
6,0.1,0.07,0.01,0.08,0.13,0.12,0.01,0.06,0.02,0.02,0.01,0.1,0.01,0.01,0.04,0.18,0.01,0.01,0.01,0.714357873303,0.00952427096136,75.003942685
7,0.04,0.05,0.04,0.04,0.02,0.03,0.01,0.05,0.17,0.01,0.03,0.09,0.04,0.07,0.2,0.01,0.04,0.02,0.04,0.624181887376,0.00926593050291,67.3631090996
8,0.02,0.04,0.01,0.03,0.21,0.01,0.04,0.04,0.13,0.16,0.04,0.02,0.02,0.02,0.05,0.02,0.06,0.05,0.03,0.647383510281,0.00847889516692,76.3523427918
9,0.03,0.01,0.01,0.11,0.03,0.05,0.01,0.02,0.06,0.03,0.18,0.05,0.09,0.13,0.01,0.04,0.05,0.05,0.04,0.650320211965,0.00958890374517,67.8200792548
10,0.03,0.03,0.11,0.08,0.05,0.12,0.05,0.02,0.03,0.03,0.13,0.11,0.04,0.06,0.03,0.04,0.01,0.01,0.02,0.633975404941,0.010174025517,62.3131329757
11,0.04,0.03,0.03,0.07,0.02,0.02,0.02,0.14,0.05,0.05,0.06,0.03,0.1,0.08,0.05,0.04,0.08,0.03,0.06,0.613226405384,0.00903749080559,67.8536131959
