Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2017-02-28,50.096607,32.796745,123.510002,78.802811,135.539993,844.929993,39.454082,35.664955,120.637505,263.305084,23.58,117.443764,90.360001,64.454506,63.278221,152.583023,233.146057,40.765862,110.098602
2017-03-01,50.812843,33.096481,123.699997,80.833542,137.419998,856.75,39.982754,35.398949,122.266281,265.083008,23.940001,118.563316,92.779999,64.787201,64.227699,152.998764,236.409515,41.009735,112.810837
2017-03-02,49.609169,32.99012,122.239998,79.248573,136.759995,849.849976,39.914219,35.379242,122.03923,263.710052,23.719999,117.384323,93.010002,64.659996,63.307896,152.731506,234.920761,41.038998,112.979729
2017-03-03,49.917549,32.961117,123.660004,80.387772,137.169998,849.080017,40.149181,35.369392,122.197182,264.470612,23.690001,117.523026,93.279999,65.149261,63.545258,152.187088,235.068665,40.980465,113.198303
2017-03-06,49.360477,32.845093,123.519997,80.585892,137.419998,847.27002,39.914219,35.04427,122.11821,264.431091,23.450001,117.711983,93.580002,65.041618,63.565041,151.761475,234.368622,40.931694,114.668663
2017-03-07,49.380375,32.748402,122.080002,80.239182,137.300003,851.150024,39.718418,35.27087,122.236671,265.734894,23.389999,116.787071,94.32,64.542572,63.693615,152.909668,233.66861,40.853653,103.332939
2017-03-08,49.280899,32.206947,123.040001,79.942001,137.720001,853.640015,39.659679,35.093529,122.503197,264.431091,23.68,117.085434,94.18,64.386009,64.277138,152.543442,233.234802,40.746353,100.789597
2017-03-09,49.201313,32.390656,125.129997,80.585892,138.240005,857.840027,39.718418,35.290573,124.329384,265.379303,23.629999,116.906418,94.790001,64.474083,64.020004,152.563232,233.530579,40.912186,98.593987
2017-03-10,49.828022,33.193172,124.0,81.03167,138.789993,861.409973,39.72821,35.379242,124.586044,265.359558,23.809999,119.93972,95.370003,64.190308,64.217804,152.810699,234.348923,41.312134,98.911903
2017-03-13,50.225929,32.94178,124.43,81.526978,139.600006,864.580017,40.296032,34.640327,125.049995,265.883026,23.91,121.729866,96.279999,63.224453,64.000214,153.038345,234.467224,41.331646,96.676544
2017-03-14,50.265717,32.322971,124.68,80.486832,139.320007,865.909973,39.894638,34.660034,125.415237,264.707642,23.629999,121.68013,95.809998,63.273727,63.70351,152.83049,233.570007,41.058506,96.070518
2017-03-15,51.548973,32.661381,126.879997,80.98214,139.720001,868.390015,40.286247,34.581215,127.300667,266.129974,24.309999,123.490166,96.470001,63.766514,64.03978,153.157135,235.591202,41.546253,98.017769
2017-03-16,51.558922,32.893433,126.620003,81.923218,139.990005,870.0,40.540787,34.620621,126.807098,264.648376,24.709999,125.280312,92.300003,63.254021,63.930984,152.098022,235.127792,41.399929,98.236328
2017-03-17,51.897141,33.144821,125.769997,81.13073,139.839996,872.369995,40.051281,34.748703,126.412231,268.638763,24.700001,125.787529,93.220001,62.978058,64.158463,155.374359,234.714874,41.565762,97.600494
2017-03-20,51.867298,33.057804,126.510002,79.842941,139.940002,867.909973,39.80653,34.906338,126.422119,268.688141,24.469999,126.165443,92.629997,63.185032,64.217804,154.335037,234.457413,41.380417,96.974594
2017-03-21,50.69347,33.106152,123.82,76.276756,138.509995,850.140015,39.786949,34.522102,125.612663,265.695374,23.879999,123.589622,92.209999,62.987915,63.505699,152.03862,231.447098,41.048752,93.646408
2017-03-22,50.733261,32.864429,123.370003,76.673004,139.589996,849.799988,39.649887,34.847221,124.635399,266.110229,23.75,124.71344,93.269997,62.583832,64.316704,152.721588,231.99173,40.629292,97.213028
2017-03-23,51.00185,32.93211,123.220001,76.821594,139.529999,839.650024,39.698837,34.748703,124.280029,266.189209,23.790001,124.663712,92.959999,62.367004,64.158463,151.603104,231.744171,40.629292,96.80571
2017-03-24,50.962059,32.661381,123.379997,76.573944,140.339996,835.140015,39.70863,34.640327,123.86544,264.134766,23.67,126.772102,93.220001,62.268448,64.267258,149.484848,231.575836,40.658554,96.845451
2017-03-27,51.12122,32.632378,124.860001,74.8899,140.320007,838.51001,39.835896,34.866928,124.18132,263.87796,23.68,127.100296,93.269997,62.278301,64.385933,149.613525,231.338181,40.473213,96.706352
2017-03-28,51.051586,32.796745,124.43,76.425354,141.759995,840.630005,40.188343,35.073822,124.043129,265.813873,24.059999,127.050568,93.540001,62.42614,64.573853,150.52417,233.021576,40.5415,98.420975
