Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2017-02-28,50.360001,33.919998,123.510002,79.550003,135.539993,844.929993,40.299999,36.200001,122.209999,266.579987,23.58,118.540001,90.360001,65.870003,63.98,154.149994,236.470001,41.790001,110.82
2017-03-01,51.080002,34.23,123.699997,81.599998,137.419998,856.75,40.84,35.93,123.860001,268.380005,23.940001,119.669998,92.779999,66.209999,64.940002,154.570007,239.779999,42.040001,113.550003
2017-03-02,49.869999,34.119999,122.239998,80.0,136.759995,849.849976,40.77,35.91,123.629997,266.98999,23.719999,118.480003,93.010002,66.080002,64.010002,154.300003,238.270004,42.07,113.720001
2017-03-03,50.18,34.09,123.660004,81.150002,137.169998,849.080017,41.009998,35.900002,123.790001,267.76001,23.690001,118.620003,93.279999,66.580002,64.25,153.75,238.419998,42.009998,113.940002
2017-03-06,49.619999,33.970001,123.519997,81.349998,137.419998,847.27002,40.77,35.57,123.709999,267.720001,23.450001,118.360001,93.580002,66.470001,64.269997,153.320007,237.710007,41.959999,115.419998
2017-03-07,49.639999,33.869999,122.080002,81.0,137.300003,851.150024,40.57,35.799999,123.830002,269.040009,23.389999,117.43,94.32,65.959999,64.400002,154.479996,237.0,41.880001,104.010002
2017-03-08,49.540001,33.310001,123.040001,80.699997,137.720001,853.640015,40.509998,35.619999,124.099998,267.720001,23.68,117.730003,94.18,65.800003,64.989998,154.110001,236.559998,41.77,101.449997
2017-03-09,49.459999,33.5,125.129997,81.349998,138.240005,857.840027,40.57,35.82,125.949997,268.679993,23.629999,117.550003,94.790001,65.889999,64.730003,154.130005,236.860001,41.939999,99.239998
2017-03-10,50.09,34.330002,124.0,81.800003,138.789993,861.409973,40.580002,35.91,126.209999,268.660004,23.809999,120.599998,95.370003,65.599998,64.93,154.380005,237.690002,42.349998,99.559998
2017-03-13,50.490002,34.07,124.43,82.300003,139.600006,864.580017,41.16,35.16,126.68,269.190002,23.91,122.400002,96.279999,64.150002,64.709999,154.610001,237.809998,42.369999,97.309998
2017-03-14,50.529999,33.43,124.68,81.25,139.320007,865.909973,40.75,35.18,127.050003,268.0,23.629999,122.349998,95.809998,64.199997,64.410004,154.399994,236.899994,42.09,96.699997
2017-03-15,51.82,33.779999,126.879997,81.75,139.720001,868.390015,41.150002,35.099998,128.960007,269.440002,24.309999,124.169998,96.470001,64.699997,64.75,154.729996,238.949997,42.59,98.660004
2017-03-16,51.830002,34.02,126.620003,82.699997,139.990005,870.0,41.41,35.139999,128.460007,267.940002,24.709999,125.970001,92.300003,64.18,64.639999,153.660004,238.479996,42.439999,98.879997
2017-03-17,52.169998,34.279999,125.769997,81.900002,139.839996,872.369995,40.91,35.27,128.059998,271.980011,24.700001,126.480003,93.220001,63.900002,64.870003,156.970001,237.029999,42.610001,98.239998
2017-03-20,52.139999,34.189999,126.510002,80.599998,139.940002,867.909973,40.66,35.43,128.070007,272.029999,24.469999,126.860001,92.629997,64.110001,64.93,155.919998,236.770004,42.419998,97.610001
2017-03-21,50.959999,34.240002,123.82,77.0,138.509995,850.140015,40.639999,35.040001,127.25,269.0,23.879999,124.269997,92.209999,63.91,64.209999,153.600006,233.729996,42.080002,94.260002
2017-03-22,51.0,33.990002,123.370003,77.400002,139.589996,849.799988,40.5,35.369999,126.260002,269.420013,23.75,125.400002,93.269997,63.5,65.029999,154.289993,234.279999,41.650002,97.849998
2017-03-23,51.27,34.060001,123.220001,77.550003,139.529999,839.650024,40.549999,35.27,125.900002,269.5,23.790001,125.349998,92.959999,63.279999,64.870003,153.160004,234.029999,41.650002,97.440002
2017-03-24,51.23,33.779999,123.379997,77.300003,140.339996,835.140015,40.560001,35.16,125.480003,267.420013,23.67,127.470001,93.220001,63.18,64.980003,151.020004,233.860001,41.68,97.480003
2017-03-27,51.389999,33.75,124.860001,75.599998,140.320007,838.51001,40.689999,35.389999,125.800003,267.160004,23.68,127.800003,93.269997,63.189999,65.099998,151.149994,233.619995,41.490002,97.339996
2017-03-28,51.32,33.919998,124.43,77.150002,141.759995,840.630005,41.049999,35.599998,125.660004,269.119995,24.059999,127.75,93.540001,63.34,65.290001,152.070007,235.320007,41.560001,98.730003
2017-03-29,50.799999,34.43,124.089996,76.699997,142.649994,849.869995,40.860001,35.57,124.919998,268.23999,24.299999,127.879997,93.540001,63.639999,65.470001,151.929993,235.539993,41.450001,97.160004
2017-03-30,51.139999,34.52,124.339996,77.699997,142.410004,849.47998,41.049999,35.75,124.660004,270.540009,24.459999,128.699997,93.720001,63.450001,65.709999,153.160004,236.289993,41.759998,96.790001
2017-03-31,51.16,34.52,124.43,77.900002,142.050003,847.799988,40.82,36.07,124.550003,267.600006,24.82,128.360001,93.260002,63.540001,65.860001,152.5,235.740005,41.549999,96.129997
2017-04-03,50.459999,34.400002,124.050003,75.900002,142.279999,856.75,40.560001,36.16,124.690002,268.679993,24.690001,128.419998,93.150002,63.470001,65.550003,151.770004,235.330002,41.57,94.489998
2017-04-04,50.130001,34.790001,124.769997,75.949997,141.729996,852.570007,40.5,36.279999,124.68,269.559998,25.27,128.889999,93.620003,63.669998,65.730003,151.399994,235.479996,41.689999,92.459999
2017-04-05,49.669998,34.59,124.18,74.550003,141.850006,848.909973,40.68,36.220001,124.800003,266.980011,25.26,127.769997,92.970001,63.57,65.559998,149.949997,234.779999,41.509998,90.790001
2017-04-06,49.889999,34.73,124.300003,76.199997,141.169998,845.099976,40.650002,36.029999,125.050003,267.109985,25.73,128.860001,92.730003,63.240002,65.730003,150.75,235.440002,40.599998,91.669998
2017-04-07,49.869999,34.849998,125.580002,75.400002,140.779999,842.099976,40.57,36.029999,124.919998,270.230011,25.790001,129.300003,92.989998,63.130001,65.68,152.960007,235.199997,40.59,91.790001
2017-04-10,50.330002,35.09,125.919998,75.599998,141.039993,841.700012,40.82,35.799999,124.339996,269.029999,25.9,128.800003,93.120003,62.549999,65.529999,151.229996,235.339996,40.380001,91.370003
2017-04-11,50.799999,35.369999,125.059998,75.849998,139.919998,839.880005,41.119999,35.740002,124.220001,270.269989,26.08,127.230003,94.5,62.580002,65.480003,152.070007,235.059998,40.310001,91.940002
2017-04-12,49.849998,35.450001,125.150002,75.0,139.580002,841.460022,40.970001,35.630001,125.400002,268.51001,25.719999,126.160004,93.889999,63.049999,65.230003,151.350006,234.029999,40.560001,89.449997
