,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,1.0,0.459331239637,0.586767247233,0.509468271863,0.454882612482,0.437736060738,0.47845395269,0.371512458618,0.430764815091,0.625949070015,0.642025570572,0.343436474504,0.327483719963,0.342225215545,0.393214215108,0.552160917819,0.505488194456,0.677565197546,0.56984758205
HSBC,0.459331239637,1.0,0.0749612339366,0.121321811261,0.199211035824,0.0720702316144,0.111582852746,-0.0662796097522,0.222605663801,0.107884193106,0.296630122454,0.141567376498,0.271253659466,-0.0210068372526,0.160097565699,0.387713684213,0.197674439801,0.174515967779,0.138511577439
GOOGL,0.586767247233,0.0749612339366,1.0,0.297027850594,0.189639461564,0.310074829019,0.293200668793,0.324729759499,0.136281364355,0.738938501582,0.391018622786,-0.0122162700976,0.0210814242281,0.118074989164,0.237108882305,0.115976440894,0.408245814183,0.668632702186,0.571597535057
INTC,0.509468271863,0.121321811261,0.297027850594,1.0,0.155071957847,0.362392837511,0.359934965071,0.259675448489,0.147694738915,0.440085247352,0.366412567272,0.173952148097,0.24211552942,0.206349237434,0.148522761592,0.170192903286,0.23210639215,0.445361283756,0.355239972145
LPX,0.454882612482,0.199211035824,0.189639461564,0.155071957847,1.0,0.0868771902726,0.129282215462,0.147311413478,0.289722281893,0.243081666319,0.296543495144,0.0828343935951,0.100184453942,0.182369542354,0.188186223649,0.382920177903,0.413514702822,0.264656976033,0.361501077376
RTN,0.437736060738,0.0720702316144,0.310074829019,0.362392837511,0.0868771902726,1.0,0.754067599373,0.174668966302,0.0224072490841,0.265638790899,0.424612834235,0.116118705336,0.0977153760624,0.141119176358,0.237618137575,0.155858127413,0.189701403039,0.30076399834,0.211566693278
LMT,0.47845395269,0.111582852746,0.293200668793,0.359934965071,0.129282215462,0.754067599373,1.0,0.210755874536,0.0288991244499,0.240240876088,0.403084636723,0.148404334422,0.0632667124993,0.101226814914,0.23389848795,0.176966823249,0.246655144852,0.332864190158,0.261309228032
MASI,0.371512458618,-0.0662796097522,0.324729759499,0.259675448489,0.147311413478,0.174668966302,0.210755874536,1.0,0.17656152265,0.408192493118,0.223888717716,0.0544861017432,0.0840564173958,0.104833964226,0.0659895374641,0.10847799491,0.18455891193,0.374896698715,0.342810911029
THO,0.430764815091,0.222605663801,0.136281364355,0.147694738915,0.289722281893,0.0224072490841,0.0288991244499,0.17656152265,1.0,0.231990168894,0.213569840582,0.167949975748,0.197389586807,0.193643940143,0.079341565175,0.362315354366,0.256043738435,0.352733605768,0.323120048725
FB,0.625949070015,0.107884193106,0.738938501582,0.440085247352,0.243081666319,0.265638790899,0.240240876088,0.408192493118,0.231990168894,1.0,0.326136059054,0.162745807151,0.0699465409292,0.21638718404,0.189553057935,0.22223905339,0.346611274574,0.638419600452,0.59457368326
AOS,0.642025570572,0.296630122454,0.391018622786,0.366412567272,0.296543495144,0.424612834235,0.403084636723,0.223888717716,0.213569840582,0.326136059054,1.0,0.0468543131992,0.131506893158,0.1356882845,0.276461427823,0.195648212446,0.289159866372,0.487292211231,0.38334292625
T,0.343436474504,0.141567376498,-0.0122162700976,0.173952148097,0.0828343935951,0.116118705336,0.148404334422,0.0544861017432,0.167949975748,0.162745807151,0.0468543131992,1.0,0.21379002871,0.260089278609,0.100186498276,0.277862105482,0.0772285349202,0.0553824268556,0.124541659063
BP,0.327483719963,0.271253659466,0.0210814242281,0.24211552942,0.100184453942,0.0977153760624,0.0632667124993,0.0840564173958,0.197389586807,0.0699465409292,0.131506893158,0.21379002871,1.0,0.17856304452,0.158077588978,0.26955971784,-0.00128297146853,0.120315877333,0.0253262192406
MRK,0.342225215545,-0.0210068372526,0.118074989164,0.206349237434,0.182369542354,0.141119176358,0.101226814914,0.104833964226,0.193643940143,0.21638718404,0.1356882845,0.260089278609,0.17856304452,1.0,0.395251517557,0.14811651699,0.280852172685,0.113951088294,0.0512727293628
JNJ,0.393214215108,0.160097565699,0.237108882305,0.148522761592,0.188186223649,0.237618137575,0.23389848795,0.0659895374641,0.079341565175,0.189553057935,0.276461427823,0.100186498276,0.158077588978,0.395251517557,1.0,0.160196881383,0.355095367636,0.248044734339,0.172438165256
EVR,0.552160917819,0.387713684213,0.115976440894,0.170192903286,0.382920177903,0.155858127413,0.176966823249,0.10847799491,0.362315354366,0.22223905339,0.195648212446,0.277862105482,0.26955971784,0.14811651699,0.160196881383,1.0,0.238149637442,0.221993074171,0.297047336032
CELG,0.505488194456,0.197674439801,0.408245814183,0.23210639215,0.413514702822,0.189701403039,0.246655144852,0.18455891193,0.256043738435,0.346611274574,0.289159866372,0.0772285349202,-0.00128297146853,0.280852172685,0.355095367636,0.238149637442,1.0,0.397683748878,0.384424066447
MSFT,0.677565197546,0.174515967779,0.668632702186,0.445361283756,0.264656976033,0.30076399834,0.332864190158,0.374896698715,0.352733605768,0.638419600452,0.487292211231,0.0553824268556,0.120315877333,0.113951088294,0.248044734339,0.221993074171,0.397683748878,1.0,0.602873956361
LRCX,0.56984758205,0.138511577439,0.571597535057,0.355239972145,0.361501077376,0.211566693278,0.261309228032,0.342810911029,0.323120048725,0.59457368326,0.38334292625,0.124541659063,0.0253262192406,0.0512727293628,0.172438165256,0.297047336032,0.384424066447,0.602873956361,1.0
