Date,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM
2017-02-28,102.760002,50.096607,32.796745,123.510002,78.802811,135.539993,844.929993,39.454082,35.664955,120.637505,89.609398,263.305084,23.58,117.443764,90.360001,64.454506,15.878396,63.278221,152.583023,40.765862,110.098602,57.062233,69.506989,52.946358,79.785904
2017-03-01,103.830002,50.812843,33.096481,123.699997,80.833542,137.419998,856.75,39.982754,35.398949,122.266281,92.556152,265.083008,23.940001,118.563316,92.779999,64.787201,16.324976,64.227699,152.998764,41.009735,112.810837,58.886093,69.036629,53.774261,81.453835
2017-03-02,104.120003,49.609169,32.99012,122.239998,79.248573,136.759995,849.849976,39.914219,35.379242,122.03923,91.112434,263.710052,23.719999,117.384323,93.010002,64.659996,16.017332,63.307896,152.731506,41.038998,112.979729,57.880505,69.340408,53.271603,81.728561
2017-03-03,104.040001,49.917549,32.961117,123.660004,80.387772,137.169998,849.080017,40.149181,35.369392,122.197182,91.765076,264.470612,23.690001,117.523026,93.279999,65.149261,16.057028,63.545258,152.187088,40.980465,113.198303,58.057961,68.625046,53.261753,80.904404
2017-03-06,102.739998,49.360477,32.845093,123.519997,80.585892,137.419998,847.27002,39.914219,35.04427,122.11821,90.89489,264.431091,23.450001,117.711983,93.580002,65.041618,16.344824,63.565041,151.761475,40.931694,114.668663,57.781921,68.478058,51.408821,81.267426
2017-03-07,103.150002,49.380375,32.748402,122.080002,80.239182,137.300003,851.150024,39.718418,35.27087,122.236671,90.390579,265.734894,23.389999,116.787071,94.32,64.542572,16.156269,63.693615,152.909668,40.853653,103.332939,57.476299,68.468262,50.166969,80.963264
2017-03-08,103.720001,49.280899,32.206947,123.040001,79.942001,137.720001,853.640015,39.659679,35.093529,122.503197,90.19281,264.431091,23.68,117.085434,94.18,64.386009,14.756985,64.277138,152.543442,40.746353,100.789597,57.387569,68.902603,50.561211,79.501381
2017-03-09,105.360001,49.201313,32.390656,125.129997,80.585892,138.240005,857.840027,39.718418,35.290573,124.329384,90.54879,265.379303,23.629999,116.906418,94.790001,64.474083,15.947864,64.020004,152.563232,40.912186,98.593987,57.870647,68.96183,50.196537,80.129303
2017-03-10,105.32,49.828022,33.193172,124.0,81.03167,138.789993,861.409973,39.72821,35.379242,124.586044,90.262024,265.359558,23.809999,119.93972,95.370003,64.190308,16.03718,64.217804,152.810699,41.312134,98.911903,58.018524,69.198746,50.502075,80.070442
2017-03-13,107.989998,50.225929,32.94178,124.43,81.526978,139.600006,864.580017,40.296032,34.640327,125.049995,90.341133,265.883026,23.91,121.729866,96.279999,63.224453,15.719612,64.000214,153.038345,41.331646,96.676544,57.870647,69.050667,50.580921,79.884018
2017-03-14,107.480003,50.265717,32.322971,124.68,80.486832,139.320007,865.909973,39.894638,34.660034,125.415237,90.489464,264.707642,23.629999,121.68013,95.809998,63.273727,15.203565,63.70351,152.83049,41.058506,96.070518,57.929798,69.810768,50.137402,79.462128
