Date,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM
2017-02-28,102.760002,50.360001,33.919998,123.510002,79.550003,135.539993,844.929993,40.299999,36.200001,122.209999,90.620003,266.579987,23.58,118.540001,90.360001,65.870003,16.0,63.98,154.149994,41.790001,110.82,57.880001,70.93,53.720001,81.32
2017-03-01,103.830002,51.080002,34.23,123.699997,81.599998,137.419998,856.75,40.84,35.93,123.860001,93.599998,268.380005,23.940001,119.669998,92.779999,66.209999,16.450001,64.940002,154.570007,42.040001,113.550003,59.73,70.449997,54.560001,83.019997
2017-03-02,104.120003,49.869999,34.119999,122.239998,80.0,136.759995,849.849976,40.77,35.91,123.629997,92.139999,266.98999,23.719999,118.480003,93.010002,66.080002,16.139999,64.010002,154.300003,42.07,113.720001,58.709999,70.760002,54.049999,83.300003
2017-03-03,104.040001,50.18,34.09,123.660004,81.150002,137.169998,849.080017,41.009998,35.900002,123.790001,92.800003,267.76001,23.690001,118.620003,93.279999,66.580002,16.18,64.25,153.75,42.009998,113.940002,58.889999,70.029999,54.040001,82.459999
2017-03-06,102.739998,49.619999,33.970001,123.519997,81.349998,137.419998,847.27002,40.77,35.57,123.709999,91.919998,267.720001,23.450001,118.360001,93.580002,66.470001,16.469999,64.269997,153.320007,41.959999,115.419998,58.610001,69.879997,52.16,82.830002
2017-03-07,103.150002,49.639999,33.869999,122.080002,81.0,137.300003,851.150024,40.57,35.799999,123.830002,91.410004,269.040009,23.389999,117.43,94.32,65.959999,16.280001,64.400002,154.479996,41.880001,104.010002,58.299999,69.870003,50.900002,82.519997
2017-03-08,103.720001,49.540001,33.310001,123.040001,80.699997,137.720001,853.640015,40.509998,35.619999,124.099998,91.209999,267.720001,23.68,117.730003,94.18,65.800003,14.87,64.989998,154.110001,41.77,101.449997,58.209999,69.800003,51.299999,81.029999
2017-03-09,105.360001,49.459999,33.5,125.129997,81.349998,138.240005,857.840027,40.57,35.82,125.949997,91.57,268.679993,23.629999,117.550003,94.790001,65.889999,16.07,64.730003,154.130005,41.939999,99.239998,58.700001,69.860001,50.93,81.669998
2017-03-10,105.32,50.09,34.330002,124.0,81.800003,138.789993,861.409973,40.580002,35.91,126.209999,91.279999,268.660004,23.809999,120.599998,95.370003,65.599998,16.16,64.93,154.380005,42.349998,99.559998,58.849998,70.099998,51.240002,81.610001
2017-03-13,107.989998,50.490002,34.07,124.43,82.300003,139.600006,864.580017,41.16,35.16,126.68,91.360001,269.190002,23.91,122.400002,96.279999,64.150002,15.84,64.709999,154.610001,42.369999,97.309998,58.700001,69.949997,51.32,81.419998
2017-03-14,107.480003,50.529999,33.43,124.68,81.25,139.320007,865.909973,40.75,35.18,127.050003,91.510002,268.0,23.629999,122.349998,95.809998,64.199997,15.32,64.410004,154.399994,42.09,96.699997,58.759998,70.720001,50.869999,80.989998
2017-03-15,110.309998,51.82,33.779999,126.879997,81.75,139.720001,868.390015,41.150002,35.099998,128.960007,91.730003,269.440002,24.309999,124.169998,96.470001,64.699997,15.56,64.75,154.729996,42.59,98.660004,58.709999,70.580002,51.790001,82.0
