,GOOGL,WFC,FB,BP,EVR,MSFT,RTN,MASI,AOS,CELG,LRCX,INTC,LPX,WRK,WMT,THO,MRO,T,MRK,XOM,JPM,LMT,HSBC,ALGN,JNJ
GOOGL,9.82235191823e-05,1.37431410932e-05,7.12312976013e-05,3.63419673935e-06,1.67044042707e-05,5.58229115426e-05,2.34631632088e-05,6.34251579445e-05,3.70861827557e-05,4.82931625911e-05,9.14978352763e-05,2.58676205642e-05,2.68001934155e-05,2.75562947876e-05,1.00628665243e-06,2.46531525274e-05,-1.70867235581e-06,5.10905510149e-07,8.14585954809e-06,1.96682576094e-06,2.18980164292e-05,1.94552361308e-05,8.24563262886e-06,0.000102169376465,1.5036839927e-05
WFC,1.37431410932e-05,0.00012018516672,1.77833276696e-05,1.89253190467e-05,0.000100679140242,2.16685522394e-05,1.13886895791e-05,1.90011882368e-05,3.77898384869e-05,3.1138582278e-05,5.00584662998e-05,2.08539694598e-05,5.12522879243e-05,6.04259585936e-05,1.33478646002e-05,5.52140410092e-05,7.01519051218e-05,2.54292832114e-05,9.0960136883e-06,2.8667795848e-05,8.63420091269e-05,1.3452955252e-05,6.05741935306e-05,-9.32128067999e-06,1.388500881e-05
FB,7.12312976013e-05,1.77833276696e-05,9.59645954754e-05,6.75643398311e-06,3.16376257022e-05,5.36114723613e-05,1.90030556282e-05,7.87890641167e-05,2.97567310178e-05,4.04544915617e-05,9.70864424131e-05,3.98558166052e-05,3.24537604928e-05,3.47973076643e-05,7.8564285849e-06,4.21250669038e-05,-1.01208595431e-06,1.68666517597e-05,1.5417460491e-05,3.64017705304e-06,2.24319167849e-05,1.53050794169e-05,1.29844519699e-05,8.25038786238e-05,1.35297834068e-05
BP,3.63419673935e-06,1.89253190467e-05,6.75643398311e-06,8.67072199939e-05,3.64862828244e-05,8.68872989659e-06,5.02244063319e-06,1.75518171517e-05,1.38703257503e-05,5.65690373984e-07,3.73263916862e-06,2.0736309975e-05,1.36760778762e-05,1.46234545541e-05,3.43547908221e-06,3.20531091577e-05,0.000107525775947,1.79954244069e-05,9.59905816603e-06,3.85876748056e-05,2.33188107156e-05,3.69769164582e-06,2.09946355987e-05,-4.18225397363e-06,8.74566835542e-06
EVR,1.67044042707e-05,0.000100679140242,3.16376257022e-05,3.64862828244e-05,0.000210104843828,2.82409789224e-05,1.70169104101e-05,3.18014731677e-05,2.77169017817e-05,4.15551986893e-05,7.12989985383e-05,2.19080814063e-05,7.69119138471e-05,8.41663399753e-05,1.03109492789e-05,9.69469488427e-05,9.66779623055e-05,3.56442758874e-05,1.4379951962e-05,3.3373835847e-05,9.35711150137e-05,1.88187257706e-05,5.47226673831e-05,3.42413313498e-06,1.65250444108e-05
MSFT,5.58229115426e-05,2.16685522394e-05,5.36114723613e-05,8.68872989659e-06,2.82409789224e-05,7.23540872989e-05,1.93647075768e-05,6.37297454475e-05,3.91702474877e-05,4.08498538405e-05,8.63887642505e-05,3.51675239404e-05,3.02611704836e-05,3.7028783064e-05,1.61007037281e-06,5.57879320048e-05,7.84367133989e-06,5.17638933873e-06,7.40748705604e-06,2.04891911528e-06,2.12509648886e-05,1.84919342703e-05,1.62911848308e-05,5.04476350649e-05,1.52168094565e-05
RTN,2.34631632088e-05,1.13886895791e-05,1.90030556282e-05,5.02244063319e-06,1.70169104101e-05,1.93647075768e-05,5.59224794229e-05,2.57378817111e-05,2.95815283496e-05,1.73643928034e-05,2.58798747751e-05,2.37122401962e-05,9.40900226133e-06,2.18715612537e-05,1.26015716018e-05,3.30300397345e-06,4.16123134362e-06,8.5075098926e-06,7.37534063023e-06,2.95340246018e-06,1.49972110444e-05,3.85138076445e-05,4.80490620749e-06,3.67189236701e-05,1.18312591791e-05
MASI,6.34251579445e-05,1.90011882368e-05,7.87890641167e-05,1.75518171517e-05,3.18014731677e-05,6.37297454475e-05,2.57378817111e-05,0.000389580471361,4.18278704153e-05,4.34183780328e-05,0.000111524397475,5.14019016883e-05,3.93671254451e-05,5.15373339621e-05,9.0563776425e-06,6.41704199706e-05,-1.37277647462e-05,1.3045530338e-05,1.3408974162e-05,1.35599690988e-05,3.31897321597e-05,2.79322194498e-05,-9.39579041648e-06,1.17048364069e-05,9.26788900559e-06
AOS,3.70861827557e-05,3.77898384869e-05,2.97567310178e-05,1.38703257503e-05,2.77169017817e-05,3.91702474877e-05,2.95815283496e-05,4.18278704153e-05,8.96504340025e-05,3.32696846815e-05,6.0094084649e-05,3.05072927035e-05,3.84178591634e-05,6.16637327759e-05,4.49872512132e-06,3.75951863109e-05,1.79348810825e-05,4.44672424407e-06,7.42033397123e-06,4.35963000193e-06,3.83261200154e-05,2.53884154927e-05,2.59816419444e-05,4.70175751252e-05,1.75811965856e-05
CELG,4.82931625911e-05,3.1138582278e-05,4.04544915617e-05,5.65690373984e-07,4.15551986893e-05,4.08498538405e-05,1.73643928034e-05,4.34183780328e-05,3.32696846815e-05,0.000142125573037,7.53570688384e-05,2.47456328771e-05,6.73975499937e-05,3.36714175875e-05,9.49154147429e-06,5.54739097011e-05,1.04959967812e-05,9.92069669356e-06,2.42164595784e-05,5.03170178079e-06,3.7462639067e-05,2.01593572568e-05,2.28158471171e-05,6.84196219635e-05,3.00766038887e-05
