,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_adjprice,end_adjprice,stdev
0,ALGN,2017-03-01,2017-09-20,1.92930717273,0.823374769884,3.06759840464,103.830002,187.369995,0.0194499598481
1,AOS,2017-03-01,2017-09-20,0.310650315309,0.163224798189,0.456655963504,51.080002,58.580002,0.00946555385083
2,BP,2017-03-01,2017-09-20,0.182638327935,0.0982902180596,0.315964307327,34.23,37.254002,0.00928425666612
3,CELG,2017-03-01,2017-09-20,0.305922334543,0.160877683412,0.159079613962,123.699997,143.380005,0.0119210684147
4,EVR,2017-03-01,2017-09-20,-0.0599126209192,-0.0339409792354,-0.0790846596133,81.599998,76.849998,0.0145024608418
5,FB,2017-03-01,2017-09-20,0.518452551694,0.262948220751,0.684357368236,137.419998,171.179993,0.00982242060971
6,GOOGL,2017-03-01,2017-09-20,0.212741603712,0.11382836779,0.0574402330023,856.75,941.106995,0.00988801622241
7,HSBC,2017-03-01,2017-09-20,0.416105500036,0.214640253465,0.628319305054,40.84,48.950001,0.00921198686752
8,INTC,2017-03-01,2017-09-20,0.0262969319265,0.0146132316405,0.0244561466916,35.93,36.729,0.00906699688144
9,JNJ,2017-03-01,2017-09-20,0.160548187036,0.0867768847621,0.317885410331,123.860001,132.815002,0.00721996668317
10,JPM,2017-03-01,2017-09-20,0.0862798983826,0.0473405523944,0.100947481108,93.599998,94.910004,0.0103027214099
11,LMT,2017-03-01,2017-09-20,0.284543846993,0.150217626802,0.261780339234,268.380005,306.625,0.00685623796369
12,LPX,2017-03-01,2017-09-20,0.341688203073,0.178541178965,0.126424635137,23.940001,27.790001,0.0136445232149
13,LRCX,2017-03-01,2017-09-20,0.922408666741,0.440927058875,0.507324766708,119.669998,170.807495,0.0168408531603
14,MASI,2017-03-01,2017-09-20,-0.0973080745865,-0.0556109112925,-0.100227316824,92.779999,85.334999,0.0197377859676
15,MRK,2017-03-01,2017-09-20,-0.0125956639479,-0.00705941974832,-0.0197751923983,66.209999,65.404999,0.00738107313858
16,MRO,2017-03-01,2017-09-20,-0.365308626711,-0.224375,-0.273981470034,16.450001,12.41,0.0228523110188
17,MSFT,2017-03-01,2017-09-20,0.312443135814,0.164113832448,0.0281198822233,64.940002,74.480003,0.00856453439355
18,RTN,2017-03-01,2017-09-20,0.375207675753,0.194907649494,0.221372528694,154.570007,184.195007,0.00746770514731
19,T,2017-03-01,2017-09-20,-0.141068981086,-0.0814788925226,-0.258156235388,42.040001,38.384998,0.00966993337481
20,THO,2017-03-01,2017-09-20,0.0557225858856,0.0307706460928,0.065752651345,113.550003,114.230003,0.0184726516109
21,WFC,2017-03-01,2017-09-20,-0.123180950707,-0.0708362461846,-0.0578950468321,59.73,53.779999,0.0109854711696
22,WMT,2017-03-01,2017-09-20,0.244679004002,0.130128351896,0.112552341841,70.449997,80.160004,0.0088215354803
23,WRK,2017-03-01,2017-09-20,0.151789881103,0.0821853484329,0.226166922843,54.560001,58.134998,0.0133625206888
24,XOM,2017-03-01,2017-09-20,-0.0184064223146,-0.010329525332,-0.0130685598434,83.019997,80.480003,0.00743994138434
