,GOOGL,WFC,FB,BP,EVR,MSFT,RTN,MASI,AOS,CELG,LRCX,INTC,LPX,WRK,WMT,THO,MRO,T,MRK,XOM,JPM,LMT,HSBC,ALGN,JNJ
GOOGL,1.0,0.128583755873,0.733499566705,0.0340454037553,0.116533868105,0.660149212854,0.313999133704,0.324917595038,0.394529707446,0.40811496333,0.554428521808,0.289875037264,0.193840545292,0.204873182985,0.00871188345124,0.135484151067,-0.0160108996397,0.00230090411257,0.114079662647,0.0249136658324,0.214655332687,0.283222102013,0.0923304821531,0.530878600565,0.219892385717
WFC,0.128583755873,1.0,0.159580068664,0.189978452324,0.634200074471,0.221538750251,0.141656591612,0.087638947029,0.363772664319,0.236985056504,0.258199068148,0.201221038739,0.346966217906,0.417023177681,0.138039794908,0.270255469496,0.287953228028,0.242275277308,0.10611016111,0.353161863521,0.768112240067,0.180354918987,0.594261961734,-0.0445739531773,0.161194760343
FB,0.733499566705,0.159580068664,1.0,0.0722043078065,0.219750547452,0.645854846964,0.257962696455,0.406417745812,0.320514232456,0.347064036537,0.59728137712,0.455261746941,0.239276019702,0.261344486271,0.0917195045824,0.233798280869,-0.00920696291422,0.176062594676,0.217719802806,0.0482117820478,0.21640630013,0.227278235227,0.147069866147,0.43300759305,0.200606035469
BP,0.0340454037553,0.189978452324,0.0722043078065,1.0,0.2719155519,0.107231139217,0.0683703102752,0.0956999318683,0.155617046694,0.00263332609844,0.0259269439033,0.24504637973,0.103299493427,0.114885459245,0.0381798726362,0.186896721723,0.498463856647,0.197375829516,0.141128532643,0.557062605827,0.245397065743,0.0536034777773,0.246297933772,-0.0240266742236,0.137862508747
EVR,0.116533868105,0.634200074471,0.219750547452,0.2719155519,1.0,0.223590594857,0.157685518373,0.111089645864,0.201739396455,0.239701817323,0.287283498198,0.163183328107,0.390035755462,0.436045564624,0.0801890382529,0.361151012127,0.293937208551,0.254893308156,0.132066160153,0.310048109178,0.628564755411,0.189327304966,0.40800971663,0.0116397831649,0.153330901966
MSFT,0.660149212854,0.221538750251,0.645854846964,0.107231139217,0.223590594857,1.0,0.301664476677,0.377045209859,0.484224840311,0.402917447671,0.614720654837,0.465076556574,0.25518886962,0.318147385328,0.02350147224,0.355156580227,0.034032833082,0.0606115729067,0.12487840685,0.0299083612532,0.232439730347,0.315606017092,0.211903261168,0.304762118434,0.260220346045
RTN,0.313999133704,0.141656591612,0.257962696455,0.0683703102752,0.157685518373,0.301664476677,1.0,0.174563439308,0.417005538135,0.193425211655,0.20750624504,0.349579441553,0.0890914080377,0.217035937747,0.188769992285,0.0239981259387,0.0185833479181,0.115684616698,0.13468116543,0.0520372913056,0.195852300787,0.749176255587,0.0705178046599,0.252253367728,0.224761332202
MASI,0.324917595038,0.087638947029,0.406417745812,0.0956999318683,0.111089645864,0.377045209859,0.174563439308,1.0,0.223862362401,0.184512350682,0.335617504064,0.287269823465,0.14610172332,0.19534142753,0.051979866702,0.176010977829,-0.0305646423428,0.0683041655609,0.092092575838,0.0923099057084,0.163187977896,0.206356029746,-0.0516373369597,0.0304890667984,0.0651956229485
AOS,0.394529707446,0.363772664319,0.320514232456,0.155617046694,0.201739396455,0.484224840311,0.417005538135,0.223862362401,1.0,0.294377856138,0.379660263686,0.356583873838,0.295442336054,0.485850298941,0.0529083365871,0.215331599621,0.0793909679127,0.0473274337835,0.107531908698,0.0610999122741,0.392473199549,0.389808362222,0.298924392011,0.255341594454,0.261492574541
CELG,0.40811496333,0.236985056504,0.347064036537,0.00263332609844,0.239701817323,0.402917447671,0.193425211655,0.184512350682,0.294377856138,1.0,0.380083569988,0.23164657572,0.411847252926,0.209002252011,0.0895738820998,0.252561412426,0.0342232448167,0.0845614940912,0.277541485891,0.0556344677694,0.303399695524,0.245342008375,0.20942439177,0.2952908524,0.355515040326
LRCX,0.554428521808,0.258199068148,0.59728137712,0.0259269439033,0.287283498198,0.614720654837,0.20750624504,0.335617504064,0.379660263686,0.380083569988,1.0,0.378439899853,0.337673162746,0.360668147429,0.116026263327,0.320745571093,-0.0854714359534,0.102146385059,0.0608300786349,0.0320809514174,0.191316899002,0.243698675004,0.182122830183,0.27402903258,0.208599327645
INTC,0.289875037264,0.201221038739,0.455261746941,0.24504637973,0.163183328107,0.465076556574,0.349579441553,0.287269823465,0.356583873838,0.23164657572,0.378439899853,1.0,0.143758332447,0.244973722549,0.253595327543,0.157320605,0.0392048958685,0.197440051234,0.211143416698,0.0987120797228,0.259258240572,0.345993867137,0.14112114011,0.0544156530429,0.166292147573
LPX,0.193840545292,0.346966217906,0.239276019702,0.103299493427,0.390035755462,0.25518886962,0.0890914080377,0.14610172332,0.295442336054,0.411847252926,0.337673162746,0.143758332447,1.0,0.370467971637,-0.0124295196929,0.287031693961,0.265179876795,0.0885398570405,0.163540927099,0.276518464628,0.318763150174,0.134376710101,0.216639653376,0.0197927568534,0.162704693175
WRK,0.204873182985,0.417023177681,0.261344486271,0.114885459245,0.436045564624,0.318147385328,0.217035937747,0.19534142753,0.485850298941,0.209002252011,0.360668147429,0.244973722549,0.370467971637,1.0,-0.016684253347,0.287017793323,0.033538676056,0.164412434073,0.235122795582,0.249626719143,0.474530386165,0.21225815704,0.307639881907,0.0200525012197,0.0303361467472
WMT,0.00871188345124,0.138039794908,0.0917195045824,0.0381798726362,0.0801890382529,0.02350147224,0.188769992285,0.051979866702,0.0529083365871,0.0895738820998,0.116026263327,0.253595327543,-0.0124295196929,-0.016684253347,1.0,0.0436477115427,0.0289758159517,0.148788413667,0.130490648549,-0.00219915250476,0.102924020773,0.123812115451,0.021905113765,0.0211330353968,-0.0777165385814
THO,0.135484151067,0.270255469496,0.233798280869,0.186896721723,0.361151012127,0.355156580227,0.0239981259387,0.176010977829,0.215331599621,0.252561412426,0.320745571093,0.157320605,0.287031693961,0.287017793323,0.0436477115427,1.0,0.177526058199,0.170903015304,0.190243927735,0.260596300339,0.339807524497,0.0267951368036,0.246275082424,0.0475952957735,0.0866044891822
MRO,-0.0160108996397,0.287953228028,-0.00920696291422,0.498463856647,0.293937208551,0.034032833082,0.0185833479181,-0.0305646423428,0.0793909679127,0.0342232448167,-0.0854714359534,0.0392048958685,0.265179876795,0.033538676056,0.0289758159517,0.177526058199,1.0,0.0690493249066,0.0938130208449,0.538886591683,0.299887907828,0.0321859641235,0.137830917079,-0.0963381727644,0.104093065686
T,0.00230090411257,0.242275277308,0.176062594676,0.197375829516,0.254893308156,0.0606115729067,0.115684616698,0.0683041655609,0.0473274337835,0.0845614940912,0.102146385059,0.197440051234,0.0885398570405,0.164412434073,0.148788413667,0.170903015304,0.0690493249066,1.0,0.282121265723,0.218436972799,0.239853555646,0.143168398905,0.169155489839,-0.0369099607749,0.0888504873403
MRK,0.114079662647,0.10611016111,0.217719802806,0.141128532643,0.132066160153,0.12487840685,0.13468116543,0.092092575838,0.107531908698,0.277541485891,0.0608300786349,0.211143416698,0.163540927099,0.235122795582,0.130490648549,0.190243927735,0.0938130208449,0.282121265723,1.0,0.184078399527,0.16693590658,0.0903961815811,0.00310467195413,0.05841127594,0.376128881988
XOM,0.0249136658324,0.353161863521,0.0482117820478,0.557062605827,0.310048109178,0.0299083612532,0.0520372913056,0.0923099057084,0.0610999122741,0.0556344677694,0.0320809514174,0.0987120797228,0.276518464628,0.249626719143,-0.00219915250476,0.260596300339,0.538886591683,0.218436972799,0.184078399527,1.0,0.348320108678,0.117154645251,0.239710099232,-0.134705078623,0.19238156295
JPM,0.214655332687,0.768112240067,0.21640630013,0.245397065743,0.628564755411,0.232439730347,0.195852300787,0.163187977896,0.392473199549,0.303399695524,0.191316899002,0.259258240572,0.318763150174,0.474530386165,0.102924020773,0.339807524497,0.299887907828,0.239853555646,0.16693590658,0.348320108678,1.0,0.26256706833,0.57143512559,0.0391063877385,0.135780326381
LMT,0.283222102013,0.180354918987,0.227278235227,0.0536034777773,0.189327304966,0.315606017092,0.749176255587,0.206356029746,0.389808362222,0.245342008375,0.243698675004,0.345993867137,0.134376710101,0.21225815704,0.123812115451,0.0267951368036,0.0321859641235,0.143168398905,0.0903961815811,0.117154645251,0.26256706833,1.0,0.103507902163,0.236021104914,0.222771536232
HSBC,0.0923304821531,0.594261961734,0.147069866147,0.246297933772,0.40800971663,0.211903261168,0.0705178046599,-0.0516373369597,0.298924392011,0.20942439177,0.182122830183,0.14112114011,0.216639653376,0.307639881907,0.021905113765,0.246275082424,0.137830917079,0.169155489839,0.00310467195413,0.239710099232,0.57143512559,0.103507902163,1.0,0.0833505946622,0.17516492073
ALGN,0.530878600565,-0.0445739531773,0.43300759305,-0.0240266742236,0.0116397831649,0.304762118434,0.252253367728,0.0304890667984,0.255341594454,0.2952908524,0.27402903258,0.0544156530429,0.0197927568534,0.0200525012197,0.0211330353968,0.0475952957735,-0.0963381727644,-0.0369099607749,0.05841127594,-0.134705078623,0.0391063877385,0.236021104914,0.0833505946622,1.0,0.185613943454
JNJ,0.219892385717,0.161194760343,0.200606035469,0.137862508747,0.153330901966,0.260220346045,0.224761332202,0.0651956229485,0.261492574541,0.355515040326,0.208599327645,0.166292147573,0.162704693175,0.0303361467472,-0.0777165385814,0.0866044891822,0.104093065686,0.0888504873403,0.376128881988,0.19238156295,0.135780326381,0.222771536232,0.17516492073,0.185613943454,1.0
