,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.02,0.04,0.05,0.01,0.09,0.04,0.01,0.03,0.03,0.16,0.04,0.01,0.08,0.08,0.01,0.01,0.01,0.02,0.02,0.05,0.04,0.03,0.06,0.01,0.05,0.132539407665,0.00652792725938,20.3034443245
1,0.01,0.06,0.03,0.05,0.06,0.11,0.01,0.02,0.05,0.08,0.01,0.04,0.05,0.01,0.07,0.03,0.03,0.01,0.06,0.09,0.02,0.01,0.02,0.03,0.04,0.0995848560607,0.00548683353925,18.1497862744
2,0.06,0.09,0.05,0.04,0.03,0.03,0.04,0.02,0.01,0.07,0.07,0.06,0.04,0.03,0.01,0.01,0.01,0.07,0.06,0.04,0.01,0.02,0.09,0.03,0.01,0.17247369142,0.00574011472546,30.0470808807
3,0.07,0.07,0.04,0.01,0.02,0.03,0.02,0.01,0.12,0.08,0.13,0.01,0.03,0.03,0.06,0.02,0.02,0.04,0.04,0.05,0.03,0.02,0.03,0.01,0.01,0.139267260089,0.00629307964295,22.1302236727
4,0.05,0.04,0.02,0.01,0.07,0.02,0.05,0.12,0.02,0.04,0.07,0.01,0.07,0.04,0.14,0.01,0.03,0.02,0.04,0.05,0.03,0.01,0.01,0.02,0.01,0.130306674364,0.0062688711742,20.7863059781
5,0.04,0.06,0.03,0.01,0.02,0.02,0.07,0.02,0.02,0.01,0.02,0.05,0.06,0.03,0.01,0.01,0.01,0.11,0.07,0.03,0.01,0.08,0.05,0.12,0.04,0.146860229925,0.00544986107438,26.9475180964
6,0.03,0.05,0.13,0.01,0.01,0.01,0.01,0.13,0.04,0.01,0.04,0.05,0.05,0.03,0.07,0.02,0.03,0.03,0.05,0.06,0.01,0.03,0.03,0.03,0.04,0.13115705263,0.00611254481378,21.4570292121
7,0.01,0.02,0.04,0.04,0.04,0.02,0.07,0.03,0.05,0.04,0.02,0.05,0.07,0.05,0.03,0.06,0.02,0.07,0.04,0.04,0.02,0.01,0.09,0.06,0.01,0.12623002738,0.0056936893124,22.1701642738
8,0.05,0.01,0.02,0.01,0.03,0.05,0.05,0.05,0.03,0.01,0.03,0.02,0.01,0.06,0.02,0.02,0.02,0.06,0.1,0.14,0.11,0.01,0.04,0.01,0.04,0.142324070369,0.00536861971883,26.5103653867
9,0.07,0.02,0.02,0.05,0.06,0.02,0.03,0.04,0.01,0.04,0.03,0.01,0.01,0.05,0.03,0.02,0.12,0.14,0.04,0.05,0.04,0.02,0.02,0.01,0.05,0.128255078237,0.00607129664749,21.1248248411
