Date,agg,shy,spy
2017-02-28,107.193291,84.073326,233.146057
2017-03-01,106.689667,84.007652,236.409515
2017-03-02,106.492165,83.918053,234.920761
2017-03-03,106.571159,83.937965,235.068665
2017-03-06,106.52179,83.957863,234.368622
2017-03-07,106.383545,83.928009,233.66861
2017-03-08,106.126793,83.85833,233.234802
2017-03-09,105.800911,83.848381,233.530579
2017-03-10,105.958923,83.898155,234.348923
2017-03-13,105.781158,83.85833,234.467224
2017-03-14,105.820671,83.848381,233.570007
2017-03-15,106.432915,84.007652,235.591202
2017-03-16,106.314423,83.947906,235.127792
2017-03-17,106.541542,83.987724,234.714874
2017-03-20,106.699539,84.037498,234.457413
2017-03-21,106.916794,84.077309,231.447098
2017-03-22,107.064911,84.097221,231.99173
2017-03-23,107.094536,84.097221,231.744171
2017-03-24,107.005661,84.097221,231.575836
2017-03-27,107.262421,84.127068,231.338181
2017-03-28,107.015541,84.087265,233.021576
2017-03-29,107.252556,84.137024,233.23941
2017-03-30,107.055038,84.117126,233.982101
2017-03-31,107.134041,84.127068,233.437485
2017-04-03,107.531822,84.204773,233.031479
2017-04-04,107.432884,84.174881,233.180008
2017-04-05,107.551628,84.174881,232.486847
2017-04-06,107.541733,84.194801,233.140411
2017-04-07,107.304245,84.085243,232.90274
2017-04-10,107.44278,84.125092,233.041382
2017-04-11,107.749527,84.204773,232.764114
2017-04-12,107.987015,84.264534,231.744171
2017-04-13,108.125549,84.304382,230.239014
2017-04-17,108.06617,84.294418,232.278915
2017-04-18,108.501572,84.364136,231.585724
2017-04-19,108.333344,84.324303,231.159943
2017-04-20,108.165123,84.314346,233.041382
2017-04-21,108.194809,84.354179,232.298691
2017-04-24,108.036484,84.264534,234.8535
2017-04-25,107.680267,84.184837,236.220032
2017-04-26,107.818794,84.214737,236.071487
2017-04-27,107.917747,84.244606,236.269547
2017-04-28,108.105743,84.284462,235.754608
2017-05-01,107.827103,84.226631,236.348755
2017-05-02,107.975845,84.256538,236.437881
2017-05-03,107.86676,84.196739,236.150711
2017-05-04,107.777504,84.186768,236.427963
2017-05-05,107.79734,84.216667,237.358795
2017-05-08,107.589088,84.176796,237.319199
2017-05-09,107.599007,84.136925,237.101334
2017-05-10,107.628761,84.15686,237.52713
2017-05-11,107.618828,84.166832,237.041931
2017-05-12,108.015511,84.26651,236.645828
2017-05-15,107.975845,84.256538,237.952927
2017-05-16,108.114685,84.256538,237.735077
2017-05-17,108.670029,84.346245,233.516693
2017-05-18,108.610535,84.306381,234.457413
2017-05-19,108.610535,84.326309,235.982361
2017-05-22,108.541107,84.296417,237.180557
2017-05-23,108.332855,84.26651,237.705383
2017-05-24,108.521278,84.316345,238.259918
2017-05-25,108.570869,84.316345,239.398666
2017-05-26,108.531204,84.306381,239.349167
2017-05-30,108.739456,84.336273,239.14122
2017-05-31,108.848541,84.346245,239.081802
2017-06-01,108.798859,84.330292,240.983047
2017-06-02,109.156609,84.390137,241.785126
2017-06-05,108.987663,84.320313,241.606903
2017-06-06,109.206291,84.350243,240.834518
2017-06-07,109.07711,84.320313,241.280121
2017-06-08,108.967796,84.300362,241.398941
2017-06-09,108.878349,84.270439,241.032562
2017-06-12,108.878349,84.260468,240.983047
2017-06-13,108.908165,84.260468,242.161438
2017-06-14,109.255989,84.300362,241.854462
2017-06-15,109.186424,84.270439,241.389053
2017-06-16,109.255989,84.310333,241.441788
2017-06-19,109.106926,84.260468,243.451813
2017-06-20,109.275856,84.270439,241.809952
2017-06-21,109.295738,84.280403,241.750244
2017-06-22,109.345421,84.290382,241.640793
2017-06-23,109.365303,84.340271,241.929367
2017-06-26,109.464684,84.340271,242.088562
2017-06-27,109.136726,84.290382,240.13826
2017-06-28,109.176483,84.330292,242.287598
2017-06-29,108.967796,84.280403,240.158157
2017-06-30,108.828659,84.280403,240.605942
2017-07-03,108.634476,84.217514,241.013916
2017-07-05,108.694237,84.247467,241.571152
2017-07-06,108.485107,84.267441,239.362106
2017-07-07,108.445274,84.257454,240.914398
2017-07-10,108.495064,84.297386,241.173111
2017-07-11,108.59465,84.327332,240.994003
2017-07-12,108.923264,84.367271,242.805008
2017-07-13,108.803772,84.327332,243.212997
2017-07-14,108.913315,84.367271,244.347366
2017-07-17,108.963097,84.377251,244.317505
2017-07-18,109.212059,84.397217,244.446869
2017-07-19,109.241928,84.397217,245.770309
2017-07-20,109.271812,84.397217,245.879761
2017-07-21,109.461014,84.437149,245.660858
2017-07-24,109.361427,84.407204,245.601151
2017-07-25,108.973061,84.357285,246.198181
2017-07-26,109.182182,84.417175,246.20813
2017-07-27,109.022858,84.397217,245.979263
2017-07-28,109.241928,84.447128,245.690704
2017-07-31,109.192139,84.437149,245.551392
2017-08-01,109.491516,84.468117,246.098679
2017-08-02,109.411682,84.428154,246.218079
2017-08-03,109.631226,84.45813,245.740463
2017-08-04,109.451599,84.428154,246.188232
2017-08-07,109.44162,84.45813,246.64595
2017-08-08,109.341827,84.45813,246.038971
2017-08-09,109.44162,84.448135,246.029022
2017-08-10,109.551392,84.478111,242.556244
2017-08-11,109.641205,84.58802,242.914474
2017-08-14,109.591309,84.518074,245.322525
2017-08-15,109.431648,84.478111,245.292664
2017-08-16,109.631226,84.528069,245.720551
2017-08-17,109.790894,84.54805,241.889557
2017-08-18,109.721039,84.538063,241.511444
2017-08-21,109.800873,84.558037,241.7005
2017-08-22,109.70108,84.54805,244.227966
2017-08-23,109.950562,84.627983,243.352295
