Date,agg,shy,spy
2017-02-28,108.769997,84.519997,236.470001
2017-03-01,108.040001,84.400002,239.779999
2017-03-02,107.839996,84.309998,238.270004
2017-03-03,107.919998,84.330002,238.419998
2017-03-06,107.870003,84.349998,237.710007
2017-03-07,107.730003,84.32,237.0
2017-03-08,107.470001,84.25,236.559998
2017-03-09,107.139999,84.239998,236.860001
2017-03-10,107.300003,84.290001,237.690002
2017-03-13,107.120003,84.25,237.809998
2017-03-14,107.160004,84.239998,236.899994
2017-03-15,107.779999,84.400002,238.949997
2017-03-16,107.660004,84.339996,238.479996
2017-03-17,107.889999,84.379997,237.029999
2017-03-20,108.050003,84.43,236.770004
2017-03-21,108.269997,84.470001,233.729996
2017-03-22,108.419998,84.489998,234.279999
2017-03-23,108.449997,84.489998,234.029999
2017-03-24,108.360001,84.489998,233.860001
2017-03-27,108.620003,84.519997,233.619995
2017-03-28,108.370003,84.480003,235.320007
2017-03-29,108.610001,84.529999,235.539993
2017-03-30,108.410004,84.510002,236.289993
2017-03-31,108.489998,84.519997,235.740005
2017-04-03,108.669998,84.540001,235.330002
2017-04-04,108.57,84.510002,235.479996
2017-04-05,108.690002,84.510002,234.779999
2017-04-06,108.68,84.529999,235.440002
2017-04-07,108.440002,84.419998,235.199997
2017-04-10,108.580002,84.459999,235.339996
2017-04-11,108.889999,84.540001,235.059998
2017-04-12,109.129997,84.599998,234.029999
2017-04-13,109.269997,84.639999,232.509995
2017-04-17,109.209999,84.629997,234.570007
2017-04-18,109.650002,84.699997,233.869995
2017-04-19,109.480003,84.660004,233.440002
2017-04-20,109.309998,84.650002,235.339996
2017-04-21,109.339996,84.690002,234.589996
2017-04-24,109.18,84.599998,237.169998
2017-04-25,108.82,84.519997,238.550003
2017-04-26,108.959999,84.550003,238.399994
2017-04-27,109.059998,84.580002,238.600006
2017-04-28,109.25,84.620003,238.080002
2017-05-01,108.730003,84.5,238.679993
2017-05-02,108.879997,84.529999,238.770004
2017-05-03,108.769997,84.470001,238.479996
2017-05-04,108.68,84.459999,238.759995
2017-05-05,108.699997,84.489998,239.699997
2017-05-08,108.489998,84.449997,239.660004
2017-05-09,108.5,84.410004,239.440002
2017-05-10,108.529999,84.43,239.869995
2017-05-11,108.519997,84.440002,239.380005
2017-05-12,108.919998,84.540001,238.979996
2017-05-15,108.879997,84.529999,240.300003
2017-05-16,109.019997,84.529999,240.080002
2017-05-17,109.580002,84.620003,235.820007
2017-05-18,109.519997,84.580002,236.770004
2017-05-19,109.519997,84.599998,238.309998
2017-05-22,109.449997,84.57,239.520004
2017-05-23,109.239998,84.540001,240.050003
2017-05-24,109.43,84.589996,240.610001
2017-05-25,109.480003,84.589996,241.759995
2017-05-26,109.440002,84.580002,241.710007
2017-05-30,109.650002,84.610001,241.5
2017-05-31,109.760002,84.620003,241.440002
2017-06-01,109.480003,84.540001,243.360001
2017-06-02,109.839996,84.599998,244.169998
2017-06-05,109.669998,84.529999,243.990005
2017-06-06,109.889999,84.559998,243.210007
2017-06-07,109.760002,84.529999,243.660004
2017-06-08,109.650002,84.510002,243.779999
2017-06-09,109.559998,84.480003,243.410004
2017-06-12,109.559998,84.470001,243.360001
2017-06-13,109.589996,84.470001,244.550003
2017-06-14,109.940002,84.510002,244.240005
2017-06-15,109.870003,84.480003,243.770004
2017-06-16,109.940002,84.519997,242.639999
2017-06-19,109.790001,84.470001,244.660004
2017-06-20,109.959999,84.480003,243.009995
2017-06-21,109.980003,84.489998,242.949997
2017-06-22,110.029999,84.5,242.839996
2017-06-23,110.050003,84.550003,243.130005
2017-06-26,110.150002,84.550003,243.289993
