,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
0,0.11,0.0101994045335,0.00396858815545,0.84,0.05,2.57003350661
1,0.84,0.0307432431119,0.00154166886853,0.01,0.15,19.9415346184
2,0.16,0.0286909722679,0.00240593502204,0.52,0.32,11.9250819349
3,0.43,0.0325896732215,0.00135598306419,0.27,0.3,24.0339824901
4,0.75,0.0303093122556,0.00134970233189,0.08,0.17,22.4562939097
5,0.26,0.0403542509866,0.0012872431534,0.27,0.47,31.3493615251
6,0.02,0.0539129162159,0.00108090699016,0.23,0.75,49.8774794748
7,0.05,0.0564380591873,0.00084505541212,0.17,0.78,66.7862229835
8,0.14,0.0620658068129,0.000676124202284,0.02,0.84,91.7964578153
9,0.61,0.0269652639726,0.00135552892473,0.23,0.16,19.8927986565
10,0.55,0.0439886992993,0.00117278679214,0.01,0.44,37.5078399535
11,0.89,0.0252134082884,0.00154066525648,0.06,0.05,16.3652734962
12,0.31,0.0328767348746,0.00162900103074,0.35,0.34,20.1821449184
13,0.05,0.0324166566294,0.00252241530686,0.54,0.41,12.8514351071
14,0.32,0.0473522182177,0.000881107828668,0.12,0.56,53.7416836817
15,0.5,0.0326386296226,0.00124443039748,0.22,0.28,26.2277662846
16,0.75,0.0205709058132,0.00147647455143,0.23,0.02,13.932448611
17,0.25,0.0518478514898,0.000790217164131,0.1,0.65,65.6121555482
18,0.94,0.0261758444266,0.00167097072906,0.01,0.05,15.6650526376
19,0.33,0.0345601635222,0.00146743679066,0.31,0.36,23.5513813898
20,0.05,0.0447519714564,0.00161865907411,0.35,0.6,27.6475585083
21,0.39,0.0409089036572,0.00103530632175,0.17,0.44,39.5138161508
22,0.41,0.0406446510163,0.00103068970361,0.16,0.43,39.4344203438
23,0.22,0.0415319833645,0.00131729198234,0.28,0.5,31.5283049782
24,0.84,0.0268478805349,0.0014686530087,0.07,0.09,18.2806152141
25,0.3,0.0158043431469,0.00286456932291,0.62,0.08,5.51717950076
26,0.15,0.0440799353481,0.00134818862707,0.29,0.56,32.6956736342
27,0.28,0.0420376796341,0.00114409524656,0.23,0.49,36.7431643131
28,0.39,0.015589046907,0.00257753477267,0.56,0.05,6.04804523778
29,0.19,0.0104408481622,0.00365484926371,0.78,0.03,2.85671101838
30,0.1,0.0366252282483,0.00203454261512,0.44,0.46,18.001701206
31,0.37,0.0333824311442,0.00144073774223,0.3,0.33,23.1703731816
32,0.09,0.0649987332517,0.000638299427638,0.01,0.9,101.831100636
