Date,iwm,mdy,spy
2017-02-28,136.853043,311.903168,233.146057
2017-03-01,139.355011,317.117065,236.409515
2017-03-02,137.756546,313.449493,234.920761
2017-03-03,137.657242,313.756775,235.068665
2017-03-06,136.71405,311.704895,234.368622
2017-03-07,135.820511,310.109009,233.66861
2017-03-08,134.926941,308.47348,233.234802
2017-03-09,134.390808,307.303802,233.530579
2017-03-10,134.986526,308.820374,234.348923
2017-03-13,135.304214,309.335846,234.467224
2017-03-14,134.65889,308.156281,233.570007
2017-03-15,136.743835,312.279816,235.591202
2017-03-16,136.922562,312.071625,235.127792
2017-03-17,137.468613,312.283356,234.714874
2017-03-20,136.87291,311.200043,234.457413
2017-03-21,133.010757,304.779877,231.447098
2017-03-22,133.040543,305.465607,231.99173
2017-03-23,133.814957,306.181183,231.744171
2017-03-24,133.911545,305.883026,231.575836
2017-03-27,134.160477,305.425903,231.338181
2017-03-28,135.205948,307.721619,233.021576
2017-03-29,135.644058,308.765167,233.23941
2017-03-30,136.669617,310.395081,233.982101
2017-03-31,136.888672,310.494446,233.437485
2017-04-03,135.444916,308.81485,233.031479
2017-04-04,135.285599,308.357666,233.180008
2017-04-05,133.752228,305.992371,232.486847
2017-04-06,134.996857,308.616089,233.140411
2017-04-07,134.937119,308.168854,232.90274
2017-04-10,135.235825,308.983795,233.041382
2017-04-11,136.311172,310.812439,232.764114
2017-04-12,134.459167,306.996124,231.744171
2017-04-13,133.144852,303.567413,230.239014
2017-04-17,134.708099,307.314148,232.278915
2017-04-18,134.737976,307.264465,231.585724
2017-04-19,135.205948,307.860748,231.159943
2017-04-20,136.928513,310.911835,233.041382
2017-04-21,136.619843,310.126709,232.298691
2017-04-24,138.322479,313.883392,234.8535
2017-04-25,139.666687,315.791595,236.220032
2017-04-26,140.383591,315.811462,236.071487
2017-04-27,140.34375,316.109619,236.269547
2017-04-28,138.461884,312.909485,235.754608
2017-05-01,139.258438,313.883392,236.348755
2017-05-02,138.551498,313.396454,236.437881
2017-05-03,137.69519,312.084564,236.150711
2017-05-04,137.506027,311.657227,236.427963
2017-05-05,138.392197,314.320709,237.358795
2017-05-08,137.814682,312.979034,237.319199
2017-05-09,137.754944,312.263489,237.101334
2017-05-10,138.611252,314.251129,237.52713
2017-05-11,137.645416,312.313141,237.041931
2017-05-12,136.918549,311.050995,236.645828
2017-05-15,137.983948,312.998901,237.952927
2017-05-16,138.033737,312.581482,237.735077
2017-05-17,134.309814,306.260681,233.516693
2017-05-18,134.797714,306.519104,234.457413
2017-05-19,135.444916,309.679504,235.982361
2017-05-22,136.360962,311.239838,237.180557
2017-05-23,136.809021,311.806305,237.705383
2017-05-24,136.898636,312.680878,238.259918
2017-05-25,136.988251,313.167847,239.398666
2017-05-26,136.94841,312.372803,239.349167
2017-05-30,135.873077,311.378967,239.14122
2017-05-31,135.733673,311.438568,239.081802
2017-06-01,138.352356,316.348145,240.983047
2017-06-02,139.248489,316.775482,241.785126
2017-06-05,138.382217,315.483521,241.606903
2017-06-06,138.252792,314.320709,240.834518
2017-06-07,138.382217,314.161682,241.280121
2017-06-08,140.274063,316.924591,241.398941
2017-06-09,141.000916,318.067474,241.032562
2017-06-12,140.771912,318.405396,240.983047
2017-06-13,141.488815,320.462616,242.161438
2017-06-14,140.65242,319.051361,241.854462
2017-06-15,139.935516,317.540741,241.389053
2017-06-16,139.587021,317.544708,241.441788
2017-06-19,140.622543,319.456024,243.451813
2017-06-20,139.1987,315.922089,241.809952
2017-06-21,138.850204,314.090424,241.750244
2017-06-22,139.37793,314.518524,241.640793
2017-06-23,140.303925,315.83252,241.929367
2017-06-26,140.473206,317.066895,242.088562
2017-06-27,139.238525,314.458771,240.13826
2017-06-28,141.369324,318.04245,242.287598
2017-06-29,140.532944,315.971893,240.158157
2017-06-30,140.313889,316.180939,240.605942
2017-07-03,141.488815,318.589966,241.013916
2017-07-05,140.981003,317.36554,241.571152
2017-07-06,139.139999,313.483215,239.362106
2017-07-07,140.490005,316.589081,240.914398
2017-07-10,139.880005,315.882294,241.173111
