,iwm,mdy,portfolioreturn,portfoliostandarddeviation,spy,returnoverrisk
0,0.32,0.21,0.0558684184635,0.00608462981237,0.47,9.1818927669
1,0.1,0.45,0.0498093243882,0.00684458319777,0.45,7.27718882933
2,0.47,0.07,0.0589890271348,0.00563849220508,0.46,10.4618442288
3,0.14,0.53,0.0456248051836,0.00684686386395,0.33,6.66360630067
4,0.44,0.38,0.0463077674366,0.00601467286214,0.18,7.69913318612
5,0.76,0.15,0.0500291670932,0.00518633346984,0.09,9.64634599454
6,0.14,0.61,0.042204340513,0.00694647494651,0.25,6.07564856103
7,0.03,0.37,0.0545668844933,0.00692016689209,0.6,7.88519776245
8,0.5,0.14,0.0554230796476,0.00564319170311,0.36,9.82122929069
9,0.19,0.37,0.0515106663575,0.00654467484125,0.44,7.87062269814
10,0.46,0.43,0.0437879497504,0.00603211087725,0.11,7.25914205516
11,0.44,0.09,0.0587069518676,0.00571700755361,0.47,10.2688253106
12,0.39,0.51,0.0417045805142,0.00627193276235,0.1,6.64939853382
13,0.53,0.02,0.0599807357531,0.0054776268377,0.45,10.9501317871
14,0.46,0.41,0.0446430659181,0.00600870015002,0.13,7.42973768094
15,0.31,0.67,0.0363917602408,0.00664589721644,0.02,5.4758235127
16,0.13,0.25,0.0577874451644,0.00655425780908,0.62,8.81677938947
17,0.33,0.59,0.0394301976445,0.00649892380141,0.08,6.06718879146
18,0.7,0.19,0.0494650165587,0.00532380100996,0.11,9.29129703875
19,0.34,0.65,0.036673835508,0.00655544943278,0.01,5.5944044545
20,0.47,0.19,0.0538583301289,0.00575125353177,0.34,9.36462456947
21,0.02,0.72,0.0397933651927,0.00736953464847,0.26,5.39971207014
22,0.64,0.04,0.0570244696171,0.00529109481022,0.32,10.7774424127
23,0.78,0.08,0.052640046413,0.00509156397101,0.14,10.3386791785
24,0.09,0.73,0.0380287116745,0.0072182732905,0.18,5.26839455144
25,0.34,0.24,0.054203716945,0.00607203910301,0.42,8.92677336648
26,0.67,0.16,0.0513207317107,0.00534641507992,0.17,9.59909227837
27,0.26,0.63,0.0390570607435,0.00670212058325,0.11,5.82756759721
28,0.42,0.35,0.047972468955,0.00602180042367,0.23,7.96646610313
29,0.29,0.06,0.0628548306214,0.00600802356034,0.65,10.4618149363
30,0.17,0.03,0.0664296684747,0.0062522848365,0.8,10.6248627841
31,0.16,0.19,0.0597797527669,0.00642380478445,0.65,9.30597282651
32,0.34,0.44,0.0456525552684,0.00629323475249,0.22,7.25422728754
33,0.19,0.15,0.0609169442018,0.00631572434717,0.66,9.64528229118
34,0.13,0.44,0.0496638415716,0.00676281965019,0.43,7.34365902693
35,0.22,0.73,0.0355455344392,0.00692276816718,0.05,5.1345839671
36,0.24,0.65,0.0385839718429,0.006772228813,0.11,5.69738160187
37,0.46,0.38,0.0459257401696,0.00597413705082,0.16,7.68742661558
38,0.24,0.65,0.0385839718429,0.006772228813,0.11,5.69738160187
39,0.31,0.47,0.0449429219174,0.00639345350054,0.22,7.02952198114
