Date,iwm,mdy,spy
2017-02-28,137.839996,314.660004,236.470001
2017-03-01,140.360001,319.920013,239.779999
2017-03-02,138.75,316.220001,238.270004
2017-03-03,138.649994,316.529999,238.419998
2017-03-06,137.699997,314.459991,237.710007
2017-03-07,136.800003,312.850006,237.0
2017-03-08,135.899994,311.200012,236.559998
2017-03-09,135.360001,310.019989,236.860001
2017-03-10,135.960007,311.549988,237.690002
2017-03-13,136.279999,312.070007,237.809998
2017-03-14,135.630005,310.880005,236.899994
2017-03-15,137.729996,315.040009,238.949997
2017-03-16,137.910004,314.829987,238.479996
2017-03-17,138.460007,314.220001,237.029999
2017-03-20,137.860001,313.130005,236.770004
2017-03-21,133.970001,306.670013,233.729996
2017-03-22,134.0,307.359985,234.279999
2017-03-23,134.779999,308.079987,234.029999
2017-03-24,134.490005,307.779999,233.860001
2017-03-27,134.740005,307.320007,233.619995
2017-03-28,135.789993,309.630005,235.320007
2017-03-29,136.229996,310.679993,235.539993
2017-03-30,137.259995,312.320007,236.289993
2017-03-31,137.479996,312.420013,235.740005
2017-04-03,136.029999,310.730011,235.330002
2017-04-04,135.869995,310.269989,235.479996
2017-04-05,134.330002,307.890015,234.779999
2017-04-06,135.580002,310.529999,235.440002
2017-04-07,135.520004,310.079987,235.199997
2017-04-10,135.820007,310.899994,235.339996
2017-04-11,136.899994,312.73999,235.059998
2017-04-12,135.039993,308.899994,234.029999
2017-04-13,133.720001,305.450012,232.509995
2017-04-17,135.289993,309.220001,234.570007
2017-04-18,135.320007,309.170013,233.869995
2017-04-19,135.789993,309.769989,233.440002
2017-04-20,137.520004,312.839996,235.339996
2017-04-21,137.210007,312.049988,234.589996
2017-04-24,138.919998,315.829987,237.169998
2017-04-25,140.270004,317.75,238.550003
2017-04-26,140.990005,317.769989,238.399994
2017-04-27,140.949997,318.070007,238.600006
2017-04-28,139.059998,314.850006,238.080002
2017-05-01,139.860001,315.829987,238.679993
2017-05-02,139.149994,315.339996,238.770004
