Date,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,px,sbac,stz,unp,wlk
2017-02-28,156.610001,86.300003,210.929993,109.489998,323.059998,37.419998,17.870001,76.68,10.45,135.539993,823.210022,85.940002,74.370003,39.330002,91.239998,86.989998,26.290001,49.599998,1724.130005,118.709999,115.769997,158.809998,107.940002,63.43
2017-03-01,156.679993,88.93,215.139999,109.940002,325.170013,37.59,18.85,76.839996,10.65,137.419998,835.23999,85.529999,81.449997,39.639999,93.889999,88.489998,26.83,50.990002,1733.180054,120.360001,115.360001,159.610001,110.110001,66.18
2017-03-02,157.360001,87.32,217.289993,105.849998,323.950012,37.450001,18.440001,77.739998,10.4,136.759995,830.630005,84.860001,80.400002,39.32,92.290001,87.519997,26.309999,51.040001,1734.369995,118.779999,115.279999,158.429993,109.050003,65.379997
2017-03-03,155.350006,85.32,218.320007,108.730003,322.320007,37.220001,18.190001,77.129997,10.2,137.169998,829.080017,84.93,81.68,38.990002,92.239998,86.790001,26.459999,51.27,1735.099976,117.599998,114.980003,158.759995,109.019997,65.760002
2017-03-06,154.25,82.940002,217.940002,107.230003,323.769989,37.439999,18.290001,75.93,10.55,137.419998,827.780029,85.099998,81.019997,38.84,91.550003,86.720001,26.549999,51.150002,1730.209961,117.730003,115.169998,157.800003,109.43,65.489998
2017-03-07,151.990005,82.07,219.25,107.690002,323.23999,37.419998,17.51,75.220001,10.5,137.300003,831.909973,84.940002,80.839996,38.880001,91.230003,86.150002,25.74,50.150002,1736.459961,118.790001,115.410004,157.210007,108.360001,65.849998
2017-03-08,155.210007,83.459999,219.630005,106.019997,322.600006,37.110001,15.25,75.599998,10.5,137.720001,835.369995,84.550003,81.330002,38.869999,89.790001,86.389999,25.68,50.220001,1743.48999,118.57,114.650002,156.380005,106.709999,64.449997
2017-03-09,155.149994,84.239998,222.009995,106.809998,323.140015,37.380001,15.7,75.529999,10.3,138.240005,838.679993,84.949997,81.169998,38.529999,89.5,86.309998,25.43,49.279999,1749.420044,116.989998,116.589996,155.789993,106.18,64.160004
2017-03-10,153.970001,86.120003,226.350006,107.610001,323.480011,37.32,15.03,75.059998,10.45,138.789993,843.25,85.529999,81.580002,38.52,89.790001,86.620003,25.5,49.869999,1754.23999,116.949997,117.800003,157.559998,106.279999,64.360001
2017-03-13,154.350006,86.690002,226.449997,107.93,324.339996,37.299999,15.24,74.580002,10.45,139.600006,845.539978,85.610001,81.580002,39.830002,90.18,87.029999,25.950001,50.990002,1767.119995,116.720001,117.639999,158.389999,106.449997,65.470001
2017-03-14,153.710007,85.910004,224.350006,107.239998,324.640015,37.41,14.57,74.190002,10.2,139.320007,845.619995,85.5,81.940002,39.740002,88.580002,86.269997,26.35,50.009998,1769.0,116.650002,116.120003,159.119995,104.370003,64.459999
2017-03-15,152.919998,88.400002,225.929993,108.639999,325.380005,37.75,15.74,74.559998,11.0,139.720001,847.200012,85.959999,83.269997,39.23,90.889999,87.82,26.82,51.560001,1767.97998,118.620003,116.690002,162.119995,105.580002,66.870003
2017-03-16,153.410004,86.730003,222.360001,110.849998,323.720001,37.68,15.23,75.529999,11.3,139.990005,848.780029,85.43,83.220001,39.209999,90.349998,88.059998,26.790001,51.18,1773.97998,117.120003,116.139999,162.039993,105.449997,67.139999
2017-03-17,152.399994,86.220001,221.179993,111.75,325.809998,37.459999,14.73,75.699997,11.8,139.839996,852.119995,85.730003,83.529999,39.57,90.080002,88.330002,27.58,50.790001,1772.630005,118.32,115.650002,161.75,105.989998,67.209999
2017-03-20,152.440002,86.32,221.240005,111.949997,324.98999,37.48,14.59,74.300003,12.2,139.940002,848.400024,85.519997,82.349998,39.470001,90.300003,88.68,26.620001,50.5,1765.439941,118.239998,117.059998,162.550003,105.080002,66.879997
2017-03-21,151.220001,83.639999,216.020004,111.519997,320.660004,37.07,13.98,73.440002,11.8,138.509995,830.460022,84.269997,81.919998,38.810001,88.150002,89.099998,26.129999,49.259998,1747.140015,116.949997,117.080002,164.610001,103.650002,64.900002
2017-03-22,151.270004,84.599998,217.419998,110.940002,321.200012,37.040001,13.17,73.980003,11.35,139.589996,829.590027,84.720001,82.349998,38.209999,88.150002,92.139999,26.030001,49.57,1751.98999,117.07,116.879997,164.199997,104.059998,64.800003
2017-03-23,150.779999,85.690002,216.860001,110.980003,323.619995,37.220001,12.92,74.379997,11.65,139.529999,817.580017,85.199997,82.449997,38.779999,88.300003,93.139999,25.92,49.299999,1748.329956,117.639999,118.129997,162.720001,103.870003,65.239998
2017-03-24,149.729996,86.480003,218.970001,110.860001,325.350006,37.380001,12.97,74.919998,11.85,140.339996,814.429993,85.599998,82.209999,38.330002,87.559998,93.5,25.709999,48.869999,1753.109985,116.410004,118.290001,164.059998,103.959999,64.639999
2017-03-27,147.800003,85.440002,219.050003,111.370003,323.140015,37.110001,12.85,76.129997,11.9,140.320007,819.51001,85.449997,81.559998,38.349998,88.620003,93.169998,26.58,48.830002,1772.0,117.889999,117.800003,163.679993,104.019997,64.239998
2017-03-28,148.360001,85.470001,220.949997,111.529999,324.079987,37.09,13.89,76.550003,12.3,141.759995,820.919983,85.559998,82.400002,38.580002,90.900002,94.489998,27.17,49.029999,1788.449951,118.779999,118.550003,162.429993,105.5,65.449997
2017-03-29,149.669998,86.400002,221.309998,111.330002,325.940002,37.220001,14.57,78.510002,12.2,142.649994,831.409973,85.769997,82.209999,38.66,90.730003,94.589996,27.290001,50.549999,1785.050049,118.379997,119.779999,163.690002,105.580002,65.599998
2017-03-30,148.669998,86.32,220.039993,110.260002,328.119995,37.509998,14.34,79.440002,12.3,142.410004,831.5,86.639999,82.300003,39.189999,91.269997,94.639999,27.33,50.139999,1789.199951,118.599998,118.919998,162.440002,106.940002,65.650002
2017-03-31,148.259995,86.470001,218.960007,109.760002,327.320007,37.59,15.04,78.459999,12.0,142.050003,829.559998,86.400002,82.209999,38.919998,91.190002,94.18,27.4,50.540001,1779.969971,118.599998,120.370003,162.070007,105.919998,66.050003
2017-04-03,145.5,85.389999,218.800003,110.739998,328.269989,37.560001,15.22,77.720001,11.75,142.279999,838.549988,87.089996,82.040001,38.540001,90.260002,92.75,27.75,49.939999,1773.98999,118.0,119.550003,161.660004,105.5,65.540001
2017-04-04,143.039993,84.949997,218.960007,110.849998,331.519989,37.790001,15.11,77.669998,11.65,141.729996,834.570007,88.449997,81.589996,39.0,90.690002,92.470001,27.82,50.299999,1767.380005,119.269997,119.440002,161.509995,107.199997,66.110001
2017-04-05,142.740005,83.540001,217.130005,110.480003,331.98999,37.34,14.28,77.050003,12.0,141.850006,831.409973,87.849998,81.620003,39.290001,88.400002,91.959999,27.6,49.439999,1761.77002,118.129997,119.080002,161.399994,106.760002,65.32
2017-04-06,142.559998,84.07,217.5,110.489998,336.799988,38.130001,14.77,78.050003,11.95,141.169998,827.880005,88.43,81.970001,39.48,89.190002,91.769997,28.43,49.84,1773.52002,119.370003,120.07,171.770004,107.07,66.559998
2017-04-07,142.050003,84.790001,218.25,109.940002,330.649994,38.029999,14.55,77.610001,12.3,140.779999,824.669983,87.93,82.139999,39.52,88.790001,91.209999,28.110001,50.02,1769.560059,118.849998,121.169998,170.369995,107.029999,67.190002
