,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,portfolioreturn,portfoliostandarddeviation,px,sbac,stz,unp,wlk,returnoverrisk
0,0.08,0.05,0.04,0.1,0.05,0.03,0.01,0.01,0.02,0.01,0.15,0.01,0.05,0.01,0.13,0.04,0.01,0.05,0.01,0.0888420342331,0.0073894663531,0.01,0.03,0.03,0.05,0.02,12.0227943383
1,0.11,0.04,0.02,0.03,0.17,0.04,0.01,0.01,0.04,0.03,0.05,0.02,0.1,0.04,0.03,0.02,0.01,0.03,0.03,0.0774402584247,0.00753340263318,0.08,0.02,0.01,0.01,0.05,10.279585759
2,0.01,0.04,0.12,0.03,0.09,0.01,0.03,0.03,0.01,0.02,0.13,0.04,0.01,0.11,0.04,0.04,0.06,0.02,0.02,0.134564479371,0.00751336385239,0.02,0.03,0.02,0.01,0.06,17.9100176718
3,0.15,0.04,0.02,0.02,0.02,0.01,0.03,0.06,0.05,0.02,0.06,0.01,0.03,0.01,0.02,0.05,0.06,0.05,0.02,0.0662786848655,0.00697392733252,0.09,0.01,0.02,0.08,0.07,9.50378197325
4,0.07,0.04,0.03,0.04,0.01,0.01,0.02,0.08,0.02,0.01,0.04,0.01,0.05,0.01,0.01,0.04,0.12,0.07,0.1,0.121581995939,0.00728744390666,0.04,0.05,0.06,0.01,0.06,16.6837642246
5,0.01,0.03,0.1,0.03,0.03,0.01,0.03,0.02,0.1,0.01,0.02,0.01,0.1,0.02,0.04,0.06,0.05,0.07,0.08,0.136494320646,0.00708396302896,0.06,0.01,0.09,0.01,0.01,19.268073547
6,0.03,0.08,0.02,0.09,0.01,0.01,0.1,0.07,0.01,0.02,0.03,0.08,0.01,0.03,0.04,0.03,0.02,0.03,0.01,0.0657146508145,0.00792675592633,0.05,0.02,0.01,0.19,0.01,8.29023265321
7,0.05,0.09,0.04,0.04,0.02,0.07,0.04,0.09,0.01,0.06,0.02,0.1,0.02,0.03,0.07,0.02,0.04,0.01,0.01,0.107441463414,0.00740925736839,0.01,0.03,0.09,0.03,0.01,14.5009760185
8,0.02,0.07,0.02,0.02,0.04,0.05,0.01,0.02,0.02,0.03,0.03,0.04,0.03,0.02,0.17,0.01,0.02,0.12,0.04,0.124189284543,0.00689779707035,0.08,0.02,0.01,0.06,0.05,18.0041951475
9,0.06,0.12,0.1,0.07,0.05,0.01,0.01,0.03,0.07,0.01,0.08,0.02,0.02,0.03,0.03,0.09,0.02,0.08,0.01,0.129249844483,0.00713785469568,0.01,0.03,0.01,0.02,0.02,18.1076597932
10,0.01,0.01,0.05,0.02,0.03,0.01,0.07,0.01,0.01,0.03,0.01,0.02,0.07,0.08,0.11,0.05,0.03,0.04,0.04,0.113484626087,0.00812700385776,0.04,0.05,0.13,0.04,0.04,13.9638946988
11,0.09,0.13,0.02,0.03,0.02,0.07,0.01,0.01,0.04,0.06,0.02,0.01,0.04,0.05,0.08,0.02,0.12,0.02,0.02,0.114819441227,0.00736004143102,0.03,0.04,0.01,0.05,0.01,15.6003797402
12,0.01,0.07,0.04,0.05,0.05,0.01,0.08,0.02,0.01,0.02,0.03,0.03,0.05,0.03,0.08,0.05,0.03,0.13,0.02,0.105110061456,0.00649503762094,0.06,0.01,0.02,0.03,0.07,16.1831335844
13,0.15,0.09,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.0755688637162,0.0078400543168,0.12,0.03,0.12,0.1,0.07,9.63881889877
14,0.04,0.07,0.03,0.08,0.01,0.03,0.02,0.04,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.23,0.01,0.132915344122,0.00826319457336,0.1,0.09,0.09,0.01,0.03,16.0852250231
15,0.07,0.06,0.02,0.01,0.03,0.05,0.03,0.01,0.07,0.01,0.04,0.02,0.02,0.01,0.02,0.06,0.02,0.04,0.02,0.130686173294,0.00794130404298,0.02,0.01,0.25,0.07,0.04,16.4565130093
16,0.19,0.05,0.02,0.04,0.04,0.04,0.02,0.04,0.02,0.07,0.01,0.04,0.04,0.01,0.01,0.02,0.01,0.03,0.09,0.0459013916743,0.00733163465722,0.01,0.05,0.03,0.03,0.09,6.26073090387
17,0.11,0.01,0.06,0.03,0.07,0.05,0.02,0.02,0.03,0.04,0.01,0.02,0.03,0.02,0.02,0.04,0.01,0.09,0.01,0.0924990635898,0.00774083673449,0.12,0.06,0.06,0.01,0.06,11.949491607
18,0.01,0.1,0.01,0.11,0.02,0.06,0.01,0.07,0.02,0.02,0.09,0.04,0.03,0.04,0.02,0.04,0.09,0.01,0.03,0.155302956238,0.00650699270915,0.02,0.01,0.07,0.02,0.06,23.8670862531
19,0.02,0.01,0.03,0.05,0.08,0.02,0.01,0.03,0.02,0.05,0.02,0.09,0.01,0.05,0.05,0.1,0.01,0.01,0.05,0.14330027241,0.00676015392999,0.06,0.02,0.01,0.07,0.13,21.1977824609
