Date,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,px,sbac,stz,unp,wlk
2017-02-28,156.372772,86.300003,208.236099,107.440208,323.059998,37.111244,17.870001,76.68,10.45,135.539993,823.210022,85.940002,73.64695,39.330002,88.51519,86.425133,26.004591,48.883213,1724.130005,116.541183,115.769997,157.922546,106.723541,63.059715
2017-03-01,156.442657,88.93,212.392334,107.881783,325.170013,37.279842,18.85,76.839996,10.65,137.419998,835.23999,85.529999,80.658112,39.639999,91.086052,87.91539,26.538729,50.253132,1733.180054,118.161034,115.360001,158.718079,108.86908,65.793671
2017-03-02,157.121628,87.32,214.514862,103.868347,323.950012,37.140999,18.440001,77.739998,10.4,136.759995,830.630005,84.860001,79.618324,39.32,90.351807,86.951683,26.024374,50.302406,1734.369995,116.609901,115.279999,157.544678,107.821022,64.998329
2017-03-03,155.114685,85.32,215.531738,106.694435,322.320007,36.912899,18.190001,77.129997,10.2,137.169998,829.080017,84.93,80.88588,38.990002,90.302849,86.226433,26.172745,50.529083,1735.099976,116.222488,114.980003,157.872833,107.791359,65.376122
2017-03-06,154.016342,82.940002,215.15657,105.222519,323.769989,37.131077,18.290001,75.93,10.55,137.419998,827.780029,85.099998,80.232285,38.84,89.62735,86.156883,26.261765,50.410816,1730.209961,116.350975,115.169998,156.918198,108.196747,65.107689
2017-03-07,151.759781,82.07,216.449844,105.673904,323.23999,37.111244,17.51,75.220001,10.5,137.300003,831.909973,84.940002,80.054039,38.880001,89.314064,85.590584,25.46056,49.42527,1736.459961,117.39856,115.410004,156.331512,107.138802,65.465591
2017-03-08,154.974884,83.459999,216.824997,104.035164,322.600006,36.803806,15.25,75.599998,10.5,137.720001,835.369995,84.550003,80.539284,38.869999,87.904305,85.829025,25.510231,49.494255,1743.48999,117.181137,114.650002,155.506134,105.507393,64.073761
2017-03-09,154.914963,84.239998,219.174591,104.810379,323.140015,37.071575,15.7,75.529999,10.3,138.240005,838.679993,84.949997,80.380836,38.529999,87.620399,85.74955,25.261885,48.567841,1749.420044,115.619644,116.589996,154.919434,104.983368,63.785461
2017-03-10,153.736771,86.120003,223.459183,105.595406,323.480011,37.012074,15.03,75.059998,10.45,138.789993,843.25,85.529999,80.786858,38.52,87.904305,86.057541,25.331421,49.149311,1754.23999,115.580109,117.800003,156.679535,105.082245,63.984291
2017-03-13,154.11618,86.690002,223.557892,105.909409,324.339996,36.992237,15.24,74.580002,10.45,139.600006,845.539978,85.610001,80.786858,39.830002,88.286118,86.464867,25.778446,50.253132,1767.119995,115.352806,117.639999,157.504898,105.25032,65.087807
2017-03-14,153.477173,85.910004,221.484711,105.23233,324.640015,37.101326,14.57,74.190002,10.2,139.320007,845.619995,85.5,81.143356,39.740002,86.719719,85.709801,26.175802,49.287289,1769.0,115.28363,116.120003,158.23082,103.193764,64.083702
2017-03-15,152.688339,88.400002,223.044525,106.606117,325.380005,37.438526,15.74,74.559998,11.0,139.720001,847.200012,85.959999,82.460419,39.23,88.981209,87.249741,26.642694,50.814892,1767.97998,117.230553,116.690002,161.21405,104.390137,66.479637
2017-03-16,153.177612,86.730003,220.515701,108.774742,323.720001,37.369102,15.23,75.529999,11.3,139.990005,848.780029,85.43,82.410904,39.209999,88.452545,87.488182,26.612894,50.44038,1773.97998,115.748123,116.139999,161.134506,104.261597,66.748055
