,lsxma,chtr,lyb,sbac,adsk,cmcsa,avgo,dspg,px,pcln,low,goog,lbrdk,mar,mpc,mgm,fb,bud,unp,dltr,crc,wlk,aap,stz
lsxma,1.0,0.37815953334,0.174222552651,-0.0685003878036,0.221507967998,0.226011872463,0.172898344487,0.141684709802,0.112132232841,0.301714426975,0.0641153628146,0.200000585962,0.376655342157,0.283010905463,0.226118027837,0.151596271097,0.414356643724,0.258628077271,0.128933281328,0.133698129613,0.147430967813,0.173132259034,0.108382267836,0.0766385486587
chtr,0.37815953334,1.0,0.277211404962,0.0572589130077,0.123553575558,0.593264866777,0.166005544326,0.093684420296,0.128322337971,0.0950116837966,0.170647400744,0.104900710037,0.930607366904,0.228412249653,0.0715325696817,0.202771232206,0.291205330329,0.193203844358,0.153686258805,0.09825149491,0.108044498943,0.196989294024,0.0706437588887,0.0714718970551
lyb,0.174222552651,0.277211404962,1.0,0.0548635746365,0.230303434966,0.267714331266,0.227025213306,0.252656075782,0.576185983936,0.130076782051,0.277429430786,0.019657578731,0.298680266258,0.247726673341,0.422289692886,0.269862580922,0.166508860931,0.121473032292,0.538621802305,0.210400484951,0.436725835654,0.726228879343,0.0845192364772,0.0704539712276
sbac,-0.0685003878036,0.0572589130077,0.0548635746365,1.0,0.13353158486,0.0151487184604,0.000182730474255,0.151840668728,0.0947898212173,0.036371346072,0.0460148667956,0.0195936281237,0.0678624802398,-0.0389667159218,0.0587331544044,-0.0400266152498,-0.0234651993533,0.0858878646925,0.0403719954666,0.0957555424097,0.0394852666987,0.0660004694055,0.0748746991438,0.190034077397
adsk,0.221507967998,0.123553575558,0.230303434966,0.13353158486,1.0,0.222443311287,0.336778842459,0.153066546804,0.247279612686,0.322283317169,0.195439145896,0.416543397586,0.17082674695,0.394250676071,0.224158375353,0.349018355549,0.392356278779,0.125894597607,0.249014598043,0.163499462639,0.164772401352,0.297290817321,0.0412020998563,0.216044983792
cmcsa,0.226011872463,0.593264866777,0.267714331266,0.0151487184604,0.222443311287,1.0,0.26981186889,0.149990228478,0.224858787113,0.111142886702,0.188890174969,0.172931763711,0.609110796891,0.3126481933,0.218469341654,0.256068208757,0.250885995293,-0.0148984059699,0.289433169935,0.146531668323,0.196355351905,0.26624191842,0.137544680548,0.104366819395
avgo,0.172898344487,0.166005544326,0.227025213306,0.000182730474255,0.336778842459,0.26981186889,1.0,0.0947794862417,0.342077258375,0.425358223987,0.0797120545793,0.518696003669,0.235228270723,0.36068564114,0.142378425047,0.308239723455,0.58362018997,0.0905112339199,0.348435251145,0.0287712180573,0.0207724150469,0.323322446266,-0.0841814314039,0.0777019410952
dspg,0.141684709802,0.093684420296,0.252656075782,0.151840668728,0.153066546804,0.149990228478,0.0947794862417,1.0,0.233371481889,0.16090366658,0.259387407909,0.145886313198,0.119033735566,0.179296073871,0.2114167262,0.163024861248,0.178461965992,0.15678015593,0.220954682595,0.194478794234,0.117931843054,0.299473463005,0.223946407009,0.0223643099278
px,0.112132232841,0.128322337971,0.576185983936,0.0947898212173,0.247279612686,0.224858787113,0.342077258375,0.233371481889,1.0,0.225960202044,0.277711956184,0.242823410418,0.167794682005,0.275673864787,0.396837800636,0.337574427248,0.208357900924,0.190983898488,0.510056926466,0.206795531346,0.322261884702,0.510319568124,0.0592833517635,0.0790391210852
pcln,0.301714426975,0.0950116837966,0.130076782051,0.036371346072,0.322283317169,0.111142886702,0.425358223987,0.16090366658,0.225960202044,1.0,0.0434674409909,0.523839422821,0.155987234005,0.36942101641,0.225283192288,0.371673481861,0.529808759928,0.275934877324,0.209032558759,0.17641867846,-0.0303428156826,0.0777440675179,-0.0536985804778,0.169788717614
low,0.0641153628146,0.170647400744,0.277429430786,0.0460148667956,0.195439145896,0.188890174969,0.0797120545793,0.259387407909,0.277711956184,0.0434674409909,1.0,0.0937980047519,0.163256601459,0.25687716689,0.265354629549,0.121441244614,0.125528911522,0.164644909935,0.316749919797,0.336483118813,0.186413402702,0.393030045482,0.378623891447,0.0914227662442
goog,0.200000585962,0.104900710037,0.019657578731,0.0195936281237,0.416543397586,0.172931763711,0.518696003669,0.145886313198,0.242823410418,0.523839422821,0.0937980047519,1.0,0.172476406608,0.324208053082,0.128057269211,0.445058057944,0.730612657986,0.189988027393,0.275476914551,-0.0050005957171,-0.0123842586858,0.107889171532,-0.112564774291,0.0943110547595
