,lsxma,chtr,lyb,sbac,adsk,cmcsa,avgo,dspg,px,pcln,low,goog,lbrdk,mar,mpc,mgm,fb,bud,unp,dltr,crc,wlk,aap,stz
lsxma,0.0002020525343,7.53775336017e-05,3.1238698595e-05,-9.03972047005e-06,5.95297383982e-05,3.57089070106e-05,3.84496578802e-05,3.87924930513e-05,1.44350336509e-05,4.81661205115e-05,1.30613272185e-05,2.83558441549e-05,6.29737171438e-05,4.82676763918e-05,4.48532680367e-05,3.2175146892e-05,5.74698294005e-05,4.27406693504e-05,1.91350736235e-05,2.56274299226e-05,0.000101068526182,3.79280561285e-05,3.9110004976e-05,1.04045197521e-05
chtr,7.53775336017e-05,0.00019663890047,4.9034553128e-05,7.45431322924e-06,3.27568782543e-05,9.24690725358e-05,3.64188984364e-05,2.53043186183e-05,1.62964182237e-05,1.49632238493e-05,3.42947349475e-05,1.46721010036e-05,0.000153491472114,3.84304243778e-05,1.3997977679e-05,4.24561811168e-05,3.98444181352e-05,3.14980725793e-05,2.2501046037e-05,1.85789624691e-05,7.30688788267e-05,4.25723653505e-05,2.51481478053e-05,9.57221940286e-06
lyb,3.1238698595e-05,4.9034553128e-05,0.000159115621131,6.42495854575e-06,5.4924902499e-05,3.75354116096e-05,4.48022675839e-05,6.13873252266e-05,6.58224856184e-05,1.84276363534e-05,5.01535864491e-05,2.47323620089e-06,4.43145134819e-05,3.74930050539e-05,7.43350507331e-05,5.08275231976e-05,2.0494022532e-05,1.78143417312e-05,7.09370769736e-05,3.57890950922e-05,0.000265680915391,0.000141182335728,2.7065089052e-05,8.48798304161e-06
sbac,-9.03972047005e-06,7.45431322924e-06,6.42495854575e-06,8.61905476207e-05,2.34383099729e-05,1.56321555281e-06,2.65405730289e-08,2.71525412905e-05,7.96978679814e-06,3.7922995452e-06,6.12239074349e-06,1.81436158803e-06,7.41041610415e-06,-4.34054932625e-06,7.60921574394e-06,-5.54853787721e-06,-2.12562925427e-06,9.27032847492e-06,3.91329859367e-06,1.1987850345e-05,1.76790922089e-05,9.44337601208e-06,1.76466550527e-05,1.68501558866e-05
adsk,5.95297383982e-05,3.27568782543e-05,5.4924902499e-05,2.34383099729e-05,0.00035745793308,4.67460559194e-05,9.96154643515e-05,5.57423545723e-05,4.23404979405e-05,6.8432709352e-05,5.29562325269e-05,7.85510304671e-05,3.79884336726e-05,8.94346861251e-05,5.91417528023e-05,9.85282130469e-05,7.23813246848e-05,2.76727972428e-05,4.91552861353e-05,4.16846703585e-05,0.00015024222484,8.66252304774e-05,1.97755834814e-05,3.90120950208e-05
cmcsa,3.57089070106e-05,9.24690725358e-05,3.75354116096e-05,1.56321555281e-06,4.67460559194e-05,0.000123545322095,4.69184544038e-05,3.21120975654e-05,2.2634879989e-05,1.38742100477e-05,3.0089541938e-05,1.91719852189e-05,7.96328936849e-05,4.16955922364e-05,3.38867879047e-05,4.24980188629e-05,2.72096541997e-05,-1.9252469957e-06,3.35887935553e-05,2.19630281976e-05,0.000105256993562,4.56078946863e-05,3.88109647141e-05,1.10794504025e-05
avgo,3.84496578802e-05,3.64188984364e-05,4.48022675839e-05,2.65405730289e-08,9.96154643515e-05,4.69184544038e-05,0.000244759179054,2.85611966312e-05,4.84673055069e-05,7.47373625365e-05,1.78725512737e-05,8.0939693888e-05,4.32854619175e-05,6.7704793507e-05,3.10842526353e-05,7.20042230784e-05,8.90908806326e-05,1.6462867264e-05,5.69147104819e-05,6.06981304107e-06,1.56729789618e-05,7.79571203125e-05,-3.34336110742e-05,1.16103143481e-05
dspg,3.87924930513e-05,2.53043186183e-05,6.13873252266e-05,2.71525412905e-05,5.57423545723e-05,3.21120975654e-05,2.85611966312e-05,0.000371009568128,4.07094765696e-05,3.48074281528e-05,7.1603540798e-05,2.80276229067e-05,2.69678090616e-05,4.1436627879e-05,5.68275129946e-05,4.68863324559e-05,3.35406657154e-05,3.51088936426e-05,4.44353613054e-05,5.05140721383e-05,0.000109551595251,8.88999133889e-05,0.000109505048041,4.1142499582e-06
px,1.44350336509e-05,1.62964182237e-05,6.58224856184e-05,7.96978679814e-06,4.23404979405e-05,2.2634879989e-05,4.84673055069e-05,4.07094765696e-05,8.20182236111e-05,2.29826748866e-05,3.60448158895e-05,2.19343563866e-05,1.78737804268e-05,2.99551738747e-05,5.01527746555e-05,4.56482977787e-05,1.84118998212e-05,2.01087664793e-05,4.82288359591e-05,2.52547981176e-05,0.000140753494952,7.12275226138e-05,1.3629672336e-05,6.83659570719e-06
pcln,4.81661205115e-05,1.49632238493e-05,1.84276363534e-05,3.7922995452e-06,6.8432709352e-05,1.38742100477e-05,7.47373625365e-05,3.48074281528e-05,2.29826748866e-05,0.000126132463906,6.99633453558e-06,5.86800912639e-05,2.06056132147e-05,4.9780139476e-05,3.53076638121e-05,6.23268078281e-05,5.80585285382e-05,3.60291100035e-05,2.45109603529e-05,2.67181003152e-05,-1.64347985054e-05,1.34564696691e-05,-1.53099485433e-05,1.82123037163e-05
low,1.30613272185e-05,3.42947349475e-05,5.01535864491e-05,6.12239074349e-06,5.29562325269e-05,3.0089541938e-05,1.78725512737e-05,7.1603540798e-05,3.60448158895e-05,6.99633453558e-06,0.000205393222616,1.34080560404e-05,2.75199000724e-05,4.41712437182e-05,5.30696807457e-05,2.59871786781e-05,1.75537645076e-05,2.74330983491e-05,4.73960903941e-05,6.50285255831e-05,0.000128844312839,8.68098976847e-05,0.000137752203738,1.25138236002e-05
goog,2.83558441549e-05,1.46721010036e-05,2.47323620089e-06,1.81436158803e-06,7.85510304671e-05,1.91719852189e-05,8.0939693888e-05,2.80276229067e-05,2.19343563866e-05,5.86800912639e-05,1.34080560404e-05,9.94851647234e-05,2.02344732765e-05,3.87993125129e-05,1.78242042247e-05,6.62820143827e-05,7.11049448809e-05,2.20312375043e-05,2.86878051686e-05,-6.72587014418e-07,-5.95722827265e-06,1.65846938186e-05,-2.85022504939e-05,8.98430278528e-06
lbrdk,6.29737171438e-05,0.000153491472114,4.43145134819e-05,7.41041610415e-06,3.79884336726e-05,7.96328936849e-05,4.32854619175e-05,2.69678090616e-05,1.78737804268e-05,2.06056132147e-05,2.75199000724e-05,2.02344732765e-05,0.000138345836366,3.37897639066e-05,1.65158915389e-05,3.68997743553e-05,4.03776710152e-05,2.90885491983e-05,2.52674580953e-05,2.7463327631e-05,5.9194202064e-05,4.01134084247e-05,4.21806485344e-05,1.05252438799e-05
mar,4.82676763918e-05,3.84304243778e-05,3.74930050539e-05,-4.34054932625e-06,8.94346861251e-05,4.16955922364e-05,6.7704793507e-05,4.1436627879e-05,2.99551738747e-05,4.9780139476e-05,4.41712437182e-05,3.87993125129e-05,3.37897639066e-05,0.000143960100445,4.55680132586e-05,6.03867374056e-05,4.85308935925e-05,2.47867823983e-05,3.69327775585e-05,3.36066644406e-05,3.73884835265e-05,4.45008117878e-05,2.21685750399e-05,-3.92275029002e-07
mpc,4.48532680367e-05,1.3997977679e-05,7.43350507331e-05,7.60921574394e-06,5.91417528023e-05,3.38867879047e-05,3.10842526353e-05,5.68275129946e-05,5.01527746555e-05,3.53076638121e-05,5.30696807457e-05,1.78242042247e-05,1.65158915389e-05,4.55680132586e-05,0.000194739254449,4.82256940336e-05,2.30974535585e-05,1.28825767237e-05,4.69218102447e-05,4.8981960979e-05,0.000260091133527,0.000108336020153,3.52109293187e-05,2.61201438963e-06
mgm,3.2175146892e-05,4.24561811168e-05,5.08275231976e-05,-5.54853787721e-06,9.85282130469e-05,4.24980188629e-05,7.20042230784e-05,4.68863324559e-05,4.56482977787e-05,6.23268078281e-05,2.59871786781e-05,6.62820143827e-05,3.68997743553e-05,6.03867374056e-05,4.82256940336e-05,0.000222946026716,6.4554165727e-05,2.71422042453e-05,5.10077917646e-05,3.03697037655e-05,0.000148899627726,5.19823289917e-05,-4.72320721508e-05,2.3397436963e-05
fb,5.74698294005e-05,3.98444181352e-05,2.0494022532e-05,-2.12562925427e-06,7.23813246848e-05,2.72096541997e-05,8.90908806326e-05,3.35406657154e-05,1.84118998212e-05,5.80585285382e-05,1.75537645076e-05,7.11049448809e-05,4.03776710152e-05,4.85308935925e-05,2.30974535585e-05,6.4554165727e-05,9.52065659147e-05,2.7434143797e-05,2.85860423778e-05,9.77131223466e-06,1.9648303143e-05,3.52255772358e-05,-2.08732707449e-05,1.17128150809e-05
bud,4.27406693504e-05,3.14980725793e-05,1.78143417312e-05,9.27032847492e-06,2.76727972428e-05,-1.9252469957e-06,1.6462867264e-05,3.51088936426e-05,2.01087664793e-05,3.60291100035e-05,2.74330983491e-05,2.20312375043e-05,2.90885491983e-05,2.47867823983e-05,1.28825767237e-05,2.71422042453e-05,2.7434143797e-05,0.000135165854458,2.47883143863e-07,2.34152468539e-05,1.35909517744e-05,9.4940507308e-06,1.9517601773e-05,2.09873763152e-05
unp,1.91350736235e-05,2.2501046037e-05,7.09370769736e-05,3.91329859367e-06,4.91552861353e-05,3.35887935553e-05,5.69147104819e-05,4.44353613054e-05,4.82288359591e-05,2.45109603529e-05,4.73960903941e-05,2.86878051686e-05,2.52674580953e-05,3.69327775585e-05,4.69218102447e-05,5.10077917646e-05,2.85860423778e-05,2.47883143863e-07,0.000109009890144,2.47643295846e-05,0.000136085418726,7.04120512884e-05,2.01700938236e-05,7.1551147666e-07
dltr,2.56274299226e-05,1.85789624691e-05,3.57890950922e-05,1.1987850345e-05,4.16846703585e-05,2.19630281976e-05,6.06981304107e-06,5.05140721383e-05,2.52547981176e-05,2.67181003152e-05,6.50285255831e-05,-6.72587014418e-07,2.7463327631e-05,3.36066644406e-05,4.8981960979e-05,3.03697037655e-05,9.77131223466e-06,2.34152468539e-05,2.47643295846e-05,0.000181842395449,8.35780457847e-05,4.57104440872e-05,0.000131591590419,1.14550523365e-05
crc,0.000101068526182,7.30688788267e-05,0.000265680915391,1.76790922089e-05,0.00015024222484,0.000105256993562,1.56729789618e-05,0.000109551595251,0.000140753494952,-1.64347985054e-05,0.000128844312839,-5.95722827265e-06,5.9194202064e-05,3.73884835265e-05,0.000260091133527,0.000148899627726,1.9648303143e-05,1.35909517744e-05,0.000136085418726,8.35780457847e-05,0.00232589513552,0.000296069614881,0.000188884317956,-3.67750973917e-06
wlk,3.79280561285e-05,4.25723653505e-05,0.000141182335728,9.44337601208e-06,8.66252304774e-05,4.56078946863e-05,7.79571203125e-05,8.88999133889e-05,7.12275226138e-05,1.34564696691e-05,8.68098976847e-05,1.65846938186e-05,4.01134084247e-05,4.45008117878e-05,0.000108336020153,5.19823289917e-05,3.52255772358e-05,9.4940507308e-06,7.04120512884e-05,4.57104440872e-05,0.000296069614881,0.000237520378383,4.71724821692e-05,2.06450073508e-05
