,AXS,AXP,VSAT,BC,EGN,JWN,PAG,AGN,TAP,UAL,LYB,KHC,WTM,LPX,HAIN,GPC,HRL,GE,T,HAS,LVLT,GPS,MAS,VIA,VRSK,SNA,XRAY,LAZ,JNJ,APD,CXO,AES,BEN,KSS,FLS,SKX,AMAT,COLM,SWKS,CRI,HD,ARNC,LLY,NWS,RTN,AMD,PCLN,NWL,FSLR,PM,GRMN,S,QCOM,FTI,NFX,MD,AVT,MO,MDLZ,UHS,MS,JLL,NUAN,ETR,KMB,MUR,PEP,AMGN,KMI,GWW,OTEX,GWR,LUK,WPX,SEE,HPE,WHR,LNG,CASY,MDT,UNP,CL,CA,WAB,SJM,FCNCA,ADM,TRIP,NKE,LEG,LMT,VMC,MMM,CMCSA,BAC,CVX,AAL,CVS,CAH,LOW,PDCO,DISH,DIS,TGT,TWTR,F,SON,CELG,RPM,HOG,INTC,M,MLM,Y,XOM,STX,SLB,ALKS,CSCO,HHC
AXS,1.0,0.398665856457,0.222355434016,0.257457430703,0.206955914015,0.130641302336,0.265915245554,0.122212130896,0.1917394855,0.293410180074,0.297834538359,0.106466158132,0.304036538141,0.0591988088055,0.0902014941452,0.189260649972,0.0924124443411,0.272834548801,0.239695554411,0.263050745481,0.138094751208,0.185714078934,0.272466305353,0.0860183601145,0.149697368341,0.169383641376,0.142924652827,0.36941815509,0.0925627238826,0.365181974923,0.0474582441978,0.203589477156,0.411631495867,0.162133788266,0.203450122016,0.286052178722,0.119775386053,0.198683177594,0.112961442729,0.23926348471,0.0131567101305,0.307475397383,0.0471517809284,0.196434357676,0.157212563205,0.0700493599239,0.151824508696,0.148079083873,0.0967214086111,-0.00925134125863,0.251379662639,0.0913617937133,0.269607080146,0.0448193025883,0.139754634725,0.222960480221,0.330277493527,0.0127292991247,0.140309890282,0.139713745006,0.470909182306,0.280427251504,0.194449512898,0.0542405322666,0.0772380228177,0.0390598260746,-0.0279824570167,0.25357684364,0.251206240188,0.212153256245,0.22263795074,0.269167511874,0.462246810884,0.0944360535475,0.251841066952,0.253682005459,0.287196529633,0.0491855028194,0.103503090621,0.219595501746,0.328330094808,0.0142799946391,0.125111857452,0.155501991887,0.047391186104,0.460982545805,0.145061288615,-0.0794656553495,0.10255799977,0.485060586046,0.180043105844,0.119449194935,0.213860878817,0.285390200669,0.454528354811,0.135794392711,0.358172744088,0.0718817784098,0.138113782879,0.108378992872,0.274965788866,0.19062075735,0.263195595571,0.0447734289095,0.135537943705,0.223000837751,0.254439096391,0.100295725589,0.236738503965,0.188500356724,0.24634213478,0.209431509713,0.12111703052,0.73982298858,0.0751192029815,0.0222583231897,0.0256152469786,0.139270624695,0.206379102948,0.221107316096
AXP,0.398665856457,1.0,0.312865558517,0.392187564911,0.126917079343,0.158591071357,0.348237411164,0.0984397014394,0.0756857543529,0.340693480202,0.411436556104,0.0828407371547,0.0929556884467,0.284805719578,0.0691681533064,0.184316889793,0.0603467890254,0.237348030153,0.201128082451,0.313674340901,0.141821402506,0.28254096657,0.304205774295,0.0454877765294,0.268760398408,0.457719705162,0.167583485223,0.45683987311,0.25185854567,0.381017856926,0.135731373963,0.0933110032478,0.489315665911,0.306416229338,0.221231921393,0.247137884365,0.280706824669,0.330373720402,0.362624312041,0.329226843825,0.19738524858,0.309096996881,0.132119999178,0.433405535018,0.239510492596,0.19261173183,0.227160156351,0.219197195112,0.125326663767,-0.044358000472,0.290053978911,0.229535264986,0.323680347035,0.0811837008055,0.170875563702,-0.0791273843053,0.458850276573,-0.0442205145892,0.151449612331,0.160257611344,0.533927341651,0.388571366116,0.309792776222,-0.032484749146,0.01199876508,0.173887958919,0.0933822739799,0.316925817919,0.152554100552,0.162871182637,0.258161073836,0.388544425355,0.493258636311,0.137295355282,0.225827301165,0.194584773203,0.348111356906,0.165198305149,0.040219814701,0.274719061911,0.375720246788,-0.0429909986138,0.16913648707,0.217568514987,0.0565781950351,0.46583685982,0.197682501322,0.186188468594,0.192527497541,0.298935820484,0.319667884113,0.285995116487,0.23551669942,0.226382738015,0.560133003972,0.222673220803,0.384441045914,0.255715000665,0.224801217108,0.225439659413,0.267419979036,0.176993498983,0.222118435294,0.133077491233,0.201276084022,0.424793589823,0.403334501235,0.286575723166,0.410047793777,0.110008716811,0.341509240198,0.279260160993,0.294276428596,0.378174622736,0.185453337663,0.0923795404729,0.154088210514,0.170133838181,0.347971730517,0.152530825078
VSAT,0.222355434016,0.312865558517,1.0,0.310375048312,0.132475670949,0.170121140856,0.201026366265,0.138501265934,0.190734213341,0.20403625918,0.231084298015,0.225827382491,0.11462520146,0.20788380466,0.135086763403,0.168572137829,0.153760152883,0.113059444522,0.179052017742,0.285470289817,0.254057293083,0.211753270612,0.320216162192,0.00385155940489,0.268586774518,0.197710081758,0.387685030431,0.263988052084,0.102126442295,0.309205120988,0.102189566387,0.273083256227,0.297981837817,0.19511721643,0.239144831879,0.136429417041,0.259127661708,0.246447520205,0.26597179519,0.282108208585,0.0742475094923,0.272707254016,0.0478139007994,0.305745943401,0.0191179576591,0.129663941534,0.401217916562,0.157488011064,0.201200899931,0.128522931698,0.278610144118,0.23322841261,0.184684081521,0.0873460432553,0.0821866736099,0.167845627542,0.354712129688,0.111989558187,0.216831857558,0.0546556195072,0.304668188159,0.249485922342,0.323058266342,0.147507925784,0.181939452471,0.0940104351922,0.169307998884,0.224874656345,0.211089711204,0.0805953400344,0.305386636654,0.218008631972,0.270421663061,0.150626748476,0.218494557264,0.133019012429,0.236978291596,0.184024907407,0.290354084721,0.186868830735,0.260688299494,0.210326534839,0.14547013879,0.0719068617128,0.104848944326,0.287418334729,0.16820886992,0.0255148979533,0.0315872912637,0.298784857189,0.102732396134,0.214774200706,0.0908124105696,0.181886887453,0.277543227971,0.105105770296,0.264405504551,0.122354489092,0.193260210008,0.0639236508718,0.265667680476,0.0945789620948,0.201148644314,0.171962849004,0.112354543606,0.10068217486,0.274976523092,0.229279776114,0.247541026423,0.0558112073995,0.294771809035,0.155607105248,0.192787126764,0.218635314415,0.0593924264286,0.0575568763301,0.0819488091913,0.201664420193,0.296734185433,0.290179649223
BC,0.257457430703,0.392187564911,0.310375048312,1.0,0.167162894551,0.312944709097,0.279419930172,0.0827551681046,0.0906780113806,0.336261434511,0.432708183139,0.0542414129448,0.0439952006781,0.385690679159,0.0700735229143,0.237424128551,0.138762105306,0.300044418312,0.0622639286514,0.227314079811,0.127233285158,0.382202132531,0.403357768893,0.00120644926605,0.199242301911,0.292767659416,0.240260936864,0.389465407951,0.0789770541441,0.343433618807,0.179032543844,0.167297875598,0.435118716999,0.312345279232,0.281340420001,0.396824689582,0.258025384979,0.332131077959,0.205999177162,0.320412846085,0.340294818984,0.320921575448,0.15598069273,0.303982966056,0.112058774445,0.176471463969,0.185208730704,0.188405292621,0.194630855668,0.067644480958,0.347493862742,0.173191731178,0.375198902553,0.157050945162,0.21022663962,0.165753149142,0.46824892586,0.0362572922238,0.125845271909,0.169946671122,0.415988940956,0.381000136178,0.394003036491,-0.109497411323,-0.00848374100632,0.233357085052,0.0814552282523,0.369412554062,0.130961546278,0.147818875143,0.235513251615,0.433902985809,0.369851284219,0.117441465846,0.192262250267,0.212213105895,0.398813478369,0.250029467225,0.150781460775,0.197438247522,0.375678167792,-0.0441129019078,0.323905515321,0.206034421461,-0.0805311061393,0.390808144358,0.158573440824,0.278517010759,0.131838473903,0.385971358599,0.216620019928,0.249231930195,0.128038817041,0.211485113159,0.401384650175,0.199041351136,0.448958809567,0.214364791299,0.20221318073,0.387361323229,0.289792003551,0.143115471472,0.135511983942,0.222399366274,0.247059969823,0.39626759415,0.373969136554,0.327774917381,0.353724157497,0.195088517944,0.169272710997,0.279623409264,0.203011555745,0.205569359301,0.13574805578,0.118879877724,0.195062803831,0.315170008249,0.371172871993,0.174478686182
EGN,0.206955914015,0.126917079343,0.132475670949,0.167162894551,1.0,0.111716259834,0.200214486095,-0.0723883434574,0.24380503282,0.00949980919985,0.455491922661,-0.00293759406267,0.183839976941,0.201312136321,0.0927263139813,0.26529560633,0.198786383628,0.170928348664,0.187604363273,0.0653641396303,0.262865934905,0.258859475798,0.206388642783,0.0268385331169,0.13596881144,0.262833111947,0.113267870463,0.243253096718,-0.0139941054842,0.339938845794,0.709081610317,0.247998748584,0.198189525107,0.140771964214,0.402978692775,0.198128270344,0.0520213960712,0.189534525547,0.0528985281464,0.1422276783,0.078340081929,0.294608285083,-0.0930718957087,0.28554460118,0.0806939695628,0.0099264850303,0.0135865908773,0.0992284619428,0.0908199397047,0.11526066376,0.189448918724,0.0313943080809,0.144919740236,0.535523316453,0.732821696272,0.164413625483,0.327679580039,-0.0191280772046,0.112197345187,0.103888501345,0.25868156183,0.174821708633,0.153285132845,0.0735493838425,0.0733506041737,0.662471245038,-0.000170744978125,0.00146075922769,0.439158332952,0.167822255841,0.230039785274,0.303640424729,0.27419003547,0.75324410068,0.206479012475,0.233448043499,0.0772192923911,0.482490888058,0.152668956894,-0.0387286538978,0.192246217274,0.0505120442336,-0.156366090846,0.129642043972,0.109833698534,0.241272063495,0.0996131523695,0.167490805483,0.0322814234007,0.127031369501,0.00334893506107,0.13927578509,-0.137650234396,0.114044297889,0.257558681521,0.541366615759,0.0966429795753,0.13782594649,0.187874293205,0.214093022522,0.105978427919,0.248893473363,0.150586455901,0.203968248471,-0.0920108067908,0.266368149794,0.269519210263,-0.0526177624113,0.267816998719,0.102080103732,0.00973244235889,0.09454803021,0.160737416885,0.140045726719,0.362612167369,-0.0114433689203,0.607942672671,0.0992025237845,0.0493396857035,0.243656135939
JWN,0.130641302336,0.158591071357,0.170121140856,0.312944709097,0.111716259834,1.0,0.305718765731,0.103364865086,-0.156740552023,0.154008069483,0.154349341846,-0.0231968336452,0.235492297622,0.245454779814,-0.0659120794397,0.293843126092,0.063453644648,0.256152736238,0.111596292064,0.112668324778,0.190685704146,0.541101824124,0.197660781805,0.121179615594,0.0360613493052,0.169186228984,0.166020284677,0.125657270882,-0.0981971438287,0.146823633076,0.127656855055,0.112794079092,0.23404351087,0.60035546195,0.221211723926,0.228093403787,-0.0201239805725,0.374687728243,0.0423714807394,0.436155956924,0.187678647585,0.0632273324099,0.0965663880428,0.264427459787,0.0134631888477,-0.147126503002,0.0196108387239,0.162972988994,0.134369308922,-0.113630393106,0.166119931616,-0.0480709107081,0.0521776107264,0.219924055819,0.181087565663,0.120958107507,0.171433434658,0.0383498600243,-0.0302164699372,0.155186127643,0.225866920364,0.258804278285,0.163474492193,-0.107436455721,-0.0513712726241,0.218670904508,-0.0223774704672,0.0332721585539,0.205990535166,0.205554260808,0.165305857555,0.18615547963,0.184771759029,0.0202972132296,0.111817330706,0.141953090312,0.204761075751,0.00521598699509,0.33082280831,0.110253910944,0.0646510898107,-0.041016914638,0.0532642899727,0.153966918874,0.0255666643704,0.307578041072,0.0932480346864,0.124027631848,0.0996132566719,0.297487198268,-0.0199575288311,0.215273833194,-0.015879325745,0.072425923934,0.233502085945,0.159882683321,0.278041473315,0.209853572152,0.215634594534,0.237669620256,0.143784507474,0.109341933074,0.136259569087,0.485916197801,0.0465882726276,0.281960409446,0.209979130531,0.0764086193411,0.0901692846215,0.317618657853,0.103793720379,0.649330221516,0.20064935051,0.126730703111,0.0849901480068,0.0696051229685,0.181439361745,0.0497073772282,0.127948353934,0.0406488491693
PAG,0.265915245554,0.348237411164,0.201026366265,0.279419930172,0.200214486095,0.305718765731,1.0,0.126288775382,0.170719305406,0.201913563708,0.381823403729,0.173321208417,0.210059565008,0.346330828339,0.265126590758,0.312172875926,0.235250424199,0.263846074673,0.218739304232,0.261212942162,0.307653904167,0.356041810114,0.410212061206,0.110560051758,0.28908703454,0.345336732336,0.182903184711,0.313697724476,-0.0173943802595,0.251152475287,0.174448706837,0.0719152396917,0.384843499395,0.411567786845,0.329614081398,0.251063577455,0.273235612542,0.442230098183,0.28887308914,0.389364742059,0.234016486894,0.148691400823,0.105700211248,0.327653891809,0.202933110372,0.149955501056,0.148095245087,0.137846916027,0.176648575414,-0.0174405979776,0.394379292357,0.208420698836,0.233728797643,0.143095144539,0.262601386869,0.0679929403377,0.286283901021,0.0383937598614,0.161468036667,0.163190610254,0.399820003364,0.370119003521,0.209990919463,-0.0917275568211,0.0495679231133,0.176254510599,0.0140203292355,0.161143691911,0.271116595875,0.101330567508,0.392850823466,0.361207330965,0.391106628751,0.162440977006,0.202410570783,0.174092131357,0.221366274728,0.128136150487,0.12511006368,0.229232387261,0.355468813802,-0.00321374371102,0.137987247716,0.162728754495,0.139221696711,0.27651820264,0.181895617491,0.253671403053,0.158196840627,0.253192927014,0.162444554974,0.233993640974,0.0867630387705,0.211310502154,0.404276519079,0.175800434082,0.280865288076,0.345212687117,0.184881124507,0.271252437248,0.260692073457,0.220764449686,0.153511411673,0.305466984556,0.198549099893,0.487544854086,0.26730313948,0.143708862234,0.292043912053,0.224773339936,0.20086588355,0.325857242047,0.251375256433,0.228276813024,0.141848110839,0.149022648543,0.158443761802,0.141466056423,0.233972650468,0.227687942832
AGN,0.122212130896,0.0984397014394,0.138501265934,0.0827551681046,-0.0723883434574,0.103364865086,0.126288775382,1.0,0.113496601958,0.0996184254238,0.137953953291,0.136738006293,0.0388437700409,0.274895714849,0.10948095486,0.122802239776,0.210637309117,0.0738515352364,0.0296241519583,0.129356943169,0.0602676041318,0.0901239912238,0.207724843612,0.127840476004,0.244744807065,0.0914974932298,0.301282046316,0.124345442558,0.21141501748,0.160191145534,-0.0843613186436,0.0640255442277,0.250782204148,0.072973742292,0.0389367714897,0.128970610052,0.069689844308,0.0725024113404,0.0886152581143,0.116999556561,0.0328375246031,0.0926486030451,0.305919026157,0.261724977281,0.0444702825569,0.0602111857003,0.293731826183,0.00598729294237,0.0281728234216,0.0927578215592,0.176385132353,0.014311129456,0.0642632390014,-0.0896827471408,-0.0969617113611,0.169399929141,0.141304977522,0.0871070254021,0.0662195485584,0.117452950601,0.066487439171,0.276244964922,0.0537806491018,0.123138162267,0.0942984568238,-0.0997208237043,0.0921677758966,0.373741292052,0.207597257519,0.0824145004679,0.182562419094,0.0879613033807,0.0711268274949,-0.147768743276,0.0426423628717,0.0458861169829,0.190920513559,0.198624435784,0.111606242169,0.340940636984,0.0936761304908,0.0540940888937,0.270672932051,-0.00418904743362,0.091177901233,0.159236052898,0.0639610098145,-0.0528812655264,0.092794660198,0.132386279875,0.0819408381084,0.154371612358,0.173372984623,0.0245151534811,0.0152647545942,-0.0666464058823,0.0615637112947,0.246036956576,0.299635249015,0.0747314909231,0.38388653765,0.140609858752,0.125681399103,-0.0651170952772,0.16169513867,0.0840957133057,0.0873918041893,0.428700293123,0.068672630836,0.18841920648,0.060007355161,0.121702614853,0.18116546693,0.172004401265,0.117344032677,0.0563435335344,-0.0450945596194,0.363629255246,0.208820793391,0.164445677292
TAP,0.1917394855,0.0756857543529,0.190734213341,0.0906780113806,0.24380503282,-0.156740552023,0.170719305406,0.113496601958,1.0,0.122758131467,0.197852115291,0.222876187514,-0.0709491800943,0.0683600406363,0.12395429802,0.150912859631,0.130707139939,0.13305501985,0.123959376991,0.170682724466,0.222682152927,0.0847939624523,0.237060626346,0.0499675403197,0.305674750339,0.234487626188,0.0818360922075,0.0482508000658,0.0446694461571,0.224562463902,0.166524567246,0.278823427841,0.149715249001,0.0481459734275,0.217437772775,0.184525320866,0.0495829740868,0.115776426723,0.0967964658865,0.153716924743,0.0989800029643,0.190633991528,-0.0303317650651,0.133648140999,0.0705640995573,-0.079277515973,0.12832877943,0.187720928383,-0.0564494710346,0.227476437001,0.394752780948,0.364736581108,0.181003856007,0.168917399823,0.113912738849,0.126333460899,0.17174032325,0.176375484012,0.167039170367,0.0979092417181,0.111194593512,0.158145804342,0.18633488801,0.124905254011,0.197419972144,0.192356538801,0.326632567717,0.0109821957291,0.164592353418,-0.0876942291028,0.20028987221,0.235663807657,0.144122949454,0.334032947335,0.273726373923,0.0553292975309,0.110496938895,0.242299781741,0.0233681387592,0.191297969112,0.115560685404,0.079478147692,0.0036300413625,-0.0210173013849,0.0744314941386,0.0307105717115,0.166141899419,0.202029985615,0.0224239415388,0.129939870165,0.129052198995,0.0589617779295,0.137246609052,0.189964765555,0.0575212140345,0.156575444025,0.0963242696661,0.0715806560017,-0.0861531690272,0.173639427696,0.151129650532,0.219047746194,0.169589117201,0.0417017276035,-0.0124258302069,0.134459113829,0.217276807179,0.00788298275107,0.167835280599,0.0142291764594,0.136289599063,0.0265878033603,0.062290389509,0.110677101525,0.0973591113183,0.0100800910623,0.190445112139,0.00720459789222,0.195347154969,0.137333469331
UAL,0.293410180074,0.340693480202,0.20403625918,0.336261434511,0.00949980919985,0.154008069483,0.201913563708,0.0996184254238,0.122758131467,1.0,0.214916619213,0.147218636044,0.0646272847034,0.157868398469,0.00520683446797,0.107965571393,0.0451413091876,0.209414963742,0.0929565758963,0.302612050248,0.105026245574,0.124650280251,0.288291371737,-0.0310881356024,0.149488370422,0.200653129155,0.192560917968,0.324364081871,0.1612188176,0.334852276925,-0.0647126825135,0.030502554653,0.376433003509,0.175481791096,0.199837537815,0.259656890192,0.322377462772,0.175182666806,0.292452108535,0.210673838832,0.253179831448,0.271413729573,0.0883409380636,0.185963288523,0.212874503844,0.0500589175523,0.297879825224,0.230551275167,0.121713157102,0.202003403995,0.173319858395,0.193742346186,0.356911334024,-0.0131653773773,-0.113391445259,0.143994236612,0.19565415001,0.109525469949,0.190427150908,0.285077163994,0.265382299143,0.183189305506,0.306130914791,0.0251683571744,0.00824959947723,-0.0714986795703,0.150527368778,0.265709250789,0.127133206488,0.198108998448,0.212817794637,0.317959617196,0.257804700356,-0.0392348453294,0.130922484235,0.164776958608,0.329054534828,0.102537170817,-0.0330690768436,0.243573480618,0.333972814236,-0.00823291743586,0.186717966897,0.162046593042,0.0348113736182,0.219847023688,-0.0219869699509,0.0423284219434,0.0386804244784,0.316493749198,0.281140156073,0.196118787073,0.24587764614,0.190424037618,0.303466194472,0.0291856998474,0.779836877913,0.0282937301864,0.284641978119,0.261474224722,0.186909664637,0.195146674939,0.0883133875026,0.0760278523058,0.253710313974,0.136205368808,0.284005880394,0.282882715714,0.278810295444,0.194654559592,0.307669012314,0.147031185043,0.221103998995,0.183218204889,-0.00459591427802,0.172291749334,-0.042653350424,0.281645403692,0.222570443482,0.110589407953
