,AXS,AXP,VSAT,BC,EGN,JWN,PAG,AGN,TAP,UAL,LYB,KHC,WTM,LPX,HAIN,GPC,HRL,GE,T,HAS,LVLT,GPS,MAS,VIA,VRSK,SNA,XRAY,LAZ,JNJ,APD,CXO,AES,BEN,KSS,FLS,SKX,AMAT,COLM,SWKS,CRI,HD,ARNC,LLY,NWS,RTN,AMD,PCLN,NWL,FSLR,PM,GRMN,S,QCOM,FTI,NFX,MD,AVT,MO,MDLZ,UHS,MS,JLL,NUAN,ETR,KMB,MUR,PEP,AMGN,KMI,GWW,OTEX,GWR,LUK,WPX,SEE,HPE,WHR,LNG,CASY,MDT,UNP,CL,CA,WAB,SJM,FCNCA,ADM,TRIP,NKE,LEG,LMT,VMC,MMM,CMCSA,BAC,CVX,AAL,CVS,CAH,LOW,PDCO,DISH,DIS,TGT,TWTR,F,SON,CELG,RPM,HOG,INTC,M,MLM,Y,XOM,STX,SLB,ALKS,CSCO,HHC
AXS,0.000175931413196,4.62148657148e-05,4.407293314e-05,5.50133983017e-05,5.47432032772e-05,3.96465347954e-05,5.96489141635e-05,1.76441094335e-05,2.69210874545e-05,7.13705307263e-05,4.8733158338e-05,1.01903705947e-05,2.78965173201e-05,8.40702599255e-06,2.14716753456e-05,3.08435561264e-05,1.34733515044e-05,3.65671752313e-05,3.04502405962e-05,4.63752052554e-05,2.10672366108e-05,5.13281101403e-05,3.74041327227e-05,2.42687961293e-05,1.96176007145e-05,2.85133489925e-05,2.24914462517e-05,6.37564335909e-05,8.00213233033e-06,4.22443760299e-05,1.1587084776e-05,3.02250934076e-05,6.00056722948e-05,4.63175791671e-05,4.58709325857e-05,7.52825728037e-05,2.82661883677e-05,3.5957022611e-05,2.39617030618e-05,4.06094915981e-05,1.27725546261e-06,7.71866152617e-05,6.37933886611e-06,3.26227485409e-05,1.53855811669e-05,3.66636182438e-05,2.24288928637e-05,2.94183067968e-05,3.60301668549e-05,-1.49204041824e-06,3.43136191766e-05,3.20466913962e-05,3.94776691857e-05,9.20972214936e-06,4.37867867903e-05,6.13654103604e-05,5.83665978261e-05,2.11708825141e-06,1.64796952629e-05,2.5844420107e-05,8.38063741613e-05,5.56963533368e-05,3.8063152652e-05,4.5900022062e-06,7.36814822986e-06,1.3448856488e-05,-3.02465180662e-06,3.66861326646e-05,3.81470206513e-05,4.84642020743e-05,3.23843840873e-05,4.75219440842e-05,7.39904861918e-05,3.75148769022e-05,4.06867460688e-05,4.39790077507e-05,4.79804406749e-05,9.39548296638e-06,1.76578636344e-05,2.21377297081e-05,4.55045356964e-05,1.8395090581e-06,2.78007777638e-05,2.96225582446e-05,9.324796591e-06,9.37047290329e-05,2.36702941842e-05,-1.93297088158e-05,2.16350962273e-05,7.57132040553e-05,1.65181350333e-05,2.51464532731e-05,2.05409500072e-05,4.42806076452e-05,8.34550143459e-05,1.63106420898e-05,8.54011820827e-05,1.13103048577e-05,2.82786744106e-05,1.72269399676e-05,5.25782745332e-05,3.90404214226e-05,3.28576066483e-05,9.24424279365e-06,4.05414825061e-05,3.31277461778e-05,3.27459062452e-05,1.54605997857e-05,3.64658670685e-05,3.35273636858e-05,2.91727087182e-05,7.28893234006e-05,2.77928916556e-05,0.000101261118454,7.11014308258e-06,9.48710916284e-06,4.21788472849e-06,2.93825024524e-05,2.85522651707e-05,2.74246708304e-05
AXP,4.62148657148e-05,7.60331296914e-05,4.08315235557e-05,5.53746694646e-05,2.19091621703e-05,3.14214845176e-05,5.12238356181e-05,8.85890545348e-06,6.80007940916e-06,5.46666019249e-05,4.43108782612e-05,5.12122804671e-06,5.3420660438e-06,3.24443752292e-05,1.03947249303e-05,1.97467909902e-05,5.88337589646e-06,2.0697782869e-05,1.70348763826e-05,3.58024963078e-05,1.3904950091e-05,4.98359992218e-05,2.76159124897e-05,7.79274582864e-06,2.30277484246e-05,4.84682716258e-05,1.71066668193e-05,5.21282099575e-05,1.52242036343e-05,2.91856653783e-05,2.00358096027e-05,8.88621695425e-06,4.68704628647e-05,5.67395535756e-05,3.18713594154e-05,4.24181464548e-05,4.26106588932e-05,3.92953333469e-05,4.75984156633e-05,3.54770340559e-05,1.50987004079e-05,5.07947535668e-05,1.17701944651e-05,4.61509511184e-05,1.52072339599e-05,6.44328928118e-05,2.19117432518e-05,2.84809295597e-05,2.90125897321e-05,-3.40651565559e-06,2.56580557227e-05,5.22146479031e-05,3.14339152705e-05,1.20884450523e-05,3.47585875494e-05,-1.32343238695e-05,5.31831018357e-05,-4.24280125649e-06,1.14383249535e-05,1.90757637975e-05,6.24836682043e-05,5.02148647712e-05,3.95058077784e-05,-2.48222284865e-06,5.9798422286e-07,3.31777216649e-05,4.53362487917e-06,3.08292154992e-05,1.49231508266e-05,2.42128441171e-05,2.49630102101e-05,4.5499955067e-05,5.18955879914e-05,3.49755436835e-05,2.44123376179e-05,2.1553677158e-05,3.85877075521e-05,2.33763029791e-05,4.40007717639e-06,1.82301582607e-05,3.40438800965e-05,-2.96128285095e-06,2.39850010505e-05,2.73614021866e-05,6.14728024865e-06,6.219642552e-05,2.0721501456e-05,3.52607600106e-05,2.61460610543e-05,3.07785136014e-05,1.8914819091e-05,3.9334423726e-05,1.47502981739e-05,2.25139450574e-05,6.78269172969e-05,1.76551289581e-05,6.21144680443e-05,2.46588483074e-05,2.89997879927e-05,2.33860767524e-05,3.32254625687e-05,2.38179817955e-05,1.80136492303e-05,1.70211104793e-05,3.87669480611e-05,4.10263819585e-05,3.50628001452e-05,2.91480253885e-05,4.15026836699e-05,1.26586169274e-05,2.67299891762e-05,6.36687964686e-05,4.39777169932e-05,3.39993545181e-05,1.20710831616e-05,2.12821531093e-05,1.40213896034e-05,2.38210548041e-05,3.15952665513e-05,1.26225755873e-05
VSAT,4.407293314e-05,4.08315235557e-05,0.000217848843271,7.4364139986e-05,3.83193091049e-05,5.6627460681e-05,5.05596333147e-05,2.10752794231e-05,2.88491706089e-05,5.64179538181e-05,4.20511775807e-05,2.3689558997e-05,1.10839573114e-05,3.9499948105e-05,3.33825114487e-05,3.02543341984e-05,2.50185329631e-05,1.53920415492e-05,2.56897355268e-05,5.47233074279e-05,4.20203926747e-05,6.30616363918e-05,4.90152708301e-05,-2.98548785294e-07,3.88430409482e-05,3.532488238e-05,6.60930849121e-05,5.21250500418e-05,9.87361302016e-06,3.997157365e-05,2.57590376089e-05,4.44112123656e-05,4.94357813439e-05,6.08056371549e-05,5.74957929452e-05,4.07302842661e-05,6.85021616669e-05,4.99317341003e-05,5.97629893007e-05,5.12719304045e-05,9.46861531522e-06,7.56960957133e-05,7.58801888378e-06,5.53386836403e-05,1.77467500701e-06,7.43883896054e-05,6.56591529555e-05,3.50718397963e-05,7.76482715901e-05,1.54608020623e-05,4.15775561748e-05,8.95307066894e-05,3.08734824732e-05,2.24059678894e-05,2.84338009759e-05,5.08573515033e-05,6.93823487534e-05,1.83679016101e-05,2.74277956849e-05,1.13853480709e-05,6.09736296177e-05,5.42734723768e-05,6.96961532697e-05,1.4578917738e-05,1.99888307952e-05,3.06133330395e-05,1.37643846012e-05,3.6940884496e-05,3.44590660918e-05,2.00962690814e-05,5.05952820424e-05,4.35109476204e-05,4.87063919081e-05,6.44723664141e-05,3.96842636513e-05,2.46823404045e-05,4.42934042749e-05,4.42512524505e-05,5.13414404443e-05,2.06635722451e-05,4.0137457964e-05,2.5168920385e-05,3.47422911364e-05,1.52970092214e-05,1.76510463709e-05,6.63339212123e-05,2.90182627597e-05,9.49878125087e-06,5.81814287502e-06,5.19637408481e-05,1.02455299264e-05,5.09394268664e-05,9.01232560612e-06,3.07999197709e-05,5.83864489131e-05,1.4017972264e-05,7.19476391915e-05,1.95651846451e-05,4.20342203841e-05,1.11418449967e-05,5.58744214403e-05,2.26264291769e-05,2.77027396812e-05,3.66629503404e-05,3.76722299225e-05,1.65266141991e-05,4.096248212e-05,3.915172194e-05,4.24658480466e-05,1.06490841605e-05,3.88170889738e-05,6.05976042183e-05,5.02098392622e-05,3.27135904489e-05,7.1694365306e-06,2.26398202407e-05,1.27446510213e-05,4.8067508037e-05,4.51396784591e-05,4.02616455078e-05
BC,5.50133983017e-05,5.53746694646e-05,7.4364139986e-05,0.000258228923277,5.28633954279e-05,0.0001137053192,7.58784263136e-05,1.34415490806e-05,1.46097721643e-05,9.91040534827e-05,8.59071157956e-05,5.9625996644e-06,4.34781222359e-06,8.27395584225e-05,1.83105984094e-05,4.59589139192e-05,2.47299142141e-05,4.87665708082e-05,9.91796933799e-06,4.72746074538e-05,2.27452058319e-05,0.000122513971744,6.70184415161e-05,-6.95035102882e-07,3.13668327523e-05,5.66112579257e-05,4.45412442283e-05,8.26578222381e-05,8.41777565086e-06,4.82409946056e-05,4.77903242564e-05,2.9513712591e-05,7.71174321956e-05,0.000105812855224,7.34225203042e-05,0.000122942362209,7.28255998127e-05,7.20600689826e-05,5.01189405949e-05,6.21390216503e-05,4.78322293004e-05,9.67621886439e-05,2.55122743714e-05,5.95088945361e-05,1.29954713803e-05,0.000108867605891,3.2867637864e-05,4.53745630865e-05,8.09209219484e-05,8.8442946301e-06,5.60455683795e-05,7.2350228287e-05,6.71927060438e-05,4.08254393461e-05,7.7381321399e-05,5.40292103062e-05,9.97328265529e-05,6.36954941412e-06,1.71742699632e-05,3.67040287236e-05,9.0027626407e-05,8.97410438525e-05,9.22307979251e-05,-1.36549824134e-05,-1.58982404997e-06,8.05315877173e-05,7.34380714097e-06,6.65537736019e-05,2.29533180702e-05,3.9859936734e-05,4.27750020508e-05,9.35895887017e-05,7.21683522056e-05,5.44200772404e-05,3.82284923069e-05,4.34508675146e-05,8.11244222506e-05,6.57402875763e-05,2.86757393956e-05,2.40339843839e-05,6.20955367729e-05,-6.22033386778e-06,8.40734882088e-05,4.74194409222e-05,-1.44699556389e-05,9.56245825622e-05,2.97526434227e-05,9.49271454075e-05,3.11676340964e-05,7.33457958488e-05,2.34855173158e-05,6.32246074812e-05,1.4314413092e-05,3.78189011167e-05,9.05404392342e-05,2.89152917106e-05,0.000134580183093,3.74361335124e-05,4.74942294232e-05,7.36349552736e-05,6.58449489911e-05,3.52365289142e-05,2.02182245431e-05,5.11924707179e-05,8.75965451092e-05,7.0165746935e-05,6.0036794151e-05,6.1414700481e-05,6.57680331943e-05,4.24087722512e-05,2.42872483337e-05,0.000116834886413,5.65492912713e-05,3.38514544104e-05,1.65305656779e-05,4.9259679452e-05,3.20947649682e-05,8.22815542519e-05,6.19315299812e-05,2.6374858437e-05
EGN,5.47432032772e-05,2.19091621703e-05,3.83193091049e-05,5.28633954279e-05,0.000396985749653,5.04415176645e-05,6.68777126575e-05,-1.49888645966e-05,5.09021604489e-05,2.82597589134e-06,0.000112370139612,-4.27040777866e-07,2.59958142819e-05,5.49001535555e-05,3.13898427674e-05,6.31403637514e-05,4.46840664763e-05,3.58883348505e-05,3.58295001374e-05,1.72296352105e-05,5.93240907742e-05,0.000102760863099,4.20297017205e-05,1.27556818706e-05,2.64933710088e-05,6.37154994147e-05,2.5858565521e-05,6.30191865848e-05,-2.1290851259e-06,5.86419169543e-05,0.000231828722333,5.53508757572e-05,4.26986194027e-05,5.91367156982e-05,0.000132223984901,7.51692225064e-05,1.58974005003e-05,4.91784819485e-05,1.54305677007e-05,3.3290217363e-05,1.34293628479e-05,0.000110196954634,-1.87592957622e-05,6.87189524279e-05,1.21254393387e-05,7.48957448796e-06,3.25568799059e-06,2.94239054116e-05,4.69087596223e-05,1.91943883713e-05,3.77686791441e-05,1.68265575309e-05,3.16652579534e-05,0.000160563240213,0.000333486660401,6.61603882555e-05,8.66261706569e-05,-4.34818310422e-06,1.93178687971e-05,2.75852537932e-05,6.89354552044e-05,5.07228290837e-05,4.43125192762e-05,1.06120838933e-05,1.10908692574e-05,0.000283327668365,-5.13804099067e-07,5.590970941e-08,9.96738280121e-05,5.6540911474e-05,5.14423554894e-05,8.04584724028e-05,6.61505313573e-05,0.00043378774467,5.06158783719e-05,6.11589169929e-05,1.89792681677e-05,0.000155792911451,3.66491678532e-05,-5.88032922264e-06,3.87482184542e-05,7.92971858355e-06,-5.03720411818e-05,3.66484732307e-05,2.39817549604e-05,7.0797953794e-05,2.39014925793e-05,7.01737410656e-05,8.88582731411e-06,2.99288929203e-05,5.43805978792e-07,4.1400598946e-05,-2.00646749305e-05,2.51582564141e-05,7.07726981494e-05,9.7586985307e-05,3.4947105007e-05,3.0300374877e-05,5.52005941972e-05,5.04462385288e-05,2.98098261307e-05,7.26097224689e-05,2.77634003557e-05,5.76152875723e-05,-3.95917868992e-05,5.84634447616e-05,5.17936678731e-05,-1.22904623533e-05,6.12471635932e-05,2.81921069935e-05,1.21008365049e-06,4.81504376876e-05,5.19346145801e-05,2.90643154853e-05,5.17439537904e-05,-5.91870275126e-06,0.000123334732475,3.24287788415e-05,1.0359780385e-05,4.57524507906e-05
JWN,3.96465347954e-05,3.14214845176e-05,5.6627460681e-05,0.0001137053192,5.04415176645e-05,0.000516092471111,0.000116665182829,2.53297672353e-05,-3.73771496067e-05,6.30381329707e-05,4.34206926806e-05,-3.89598715471e-06,3.77592255913e-05,7.58108165231e-05,-2.59346117998e-05,7.99102394285e-05,1.57663534032e-05,6.07365260601e-05,2.42874890909e-05,3.36312915627e-05,4.90503365473e-05,0.000245339034344,4.60072819066e-05,6.17129814072e-05,7.97569773328e-06,4.68079178945e-05,4.33722302328e-05,3.75463588929e-05,-1.60875878531e-05,2.8724722915e-05,4.75890136681e-05,2.87427210357e-05,5.79310606231e-05,0.000288543659231,8.26110741233e-05,9.91798122991e-05,-7.34160885027e-06,0.0001124028349,1.44439640418e-05,0.000118121255879,3.71126619662e-05,2.69766361951e-05,2.18752502961e-05,7.27392381007e-05,2.45816646693e-06,-0.000126386853071,5.12071233369e-06,5.51544627256e-05,7.92185020754e-05,-2.18653752548e-05,3.78368245146e-05,-2.84708227137e-05,1.30806925291e-05,7.51274413584e-05,9.36381276145e-05,5.575857604e-05,5.16234383711e-05,9.63461635534e-06,-6.00120203061e-06,4.71522362808e-05,6.88726670469e-05,8.5957364594e-05,5.40262151558e-05,-1.79478863899e-05,-9.39056864918e-06,0.000106772652257,-3.41952239683e-06,8.18696359316e-06,5.30936843251e-05,7.89676906216e-05,4.2385879734e-05,5.62753573437e-05,5.10866589e-05,1.32282498326e-05,3.10186718615e-05,4.25087262512e-05,5.84090725633e-05,1.61813072485e-06,9.04931614392e-05,1.9364454803e-05,1.47755732883e-05,-8.12369655105e-06,1.98210710692e-05,4.97675062528e-05,6.22710412141e-06,0.000103891958486,2.52721604491e-05,5.94572829848e-05,3.35881344245e-05,8.00342803157e-05,-3.0011132032e-06,7.42173573897e-05,-2.83565315115e-06,1.84761110573e-05,7.36462548238e-05,3.2718885384e-05,0.000116806213817,5.25361836808e-05,7.22114356229e-05,6.38857290179e-05,4.62268296284e-05,3.65555146187e-05,2.87323800401e-05,0.000157352898329,2.38293495475e-05,7.06113377985e-05,4.6182747568e-05,2.03707867874e-05,2.33765961114e-05,9.89353091456e-05,2.04493256978e-05,0.00038095964499,7.50111190391e-05,2.98202019119e-05,1.36754777327e-05,4.06994042672e-05,4.19101748175e-05,1.86334967738e-05,3.04292959063e-05,8.31040314741e-06
PAG,5.96489141635e-05,5.12238356181e-05,5.05596333147e-05,7.58784263136e-05,6.68777126575e-05,0.000116665182829,0.000281767946974,2.2451342171e-05,2.99933463305e-05,6.25775163267e-05,7.92634527357e-05,2.0941965016e-05,2.4405317213e-05,7.70747226469e-05,7.63552412797e-05,6.36171369586e-05,4.47582310084e-05,4.51095433352e-05,3.54963199706e-05,5.76893440893e-05,5.83769680469e-05,0.000120542226324,7.12943058544e-05,3.99399971687e-05,4.76850096373e-05,7.07648246636e-05,3.5832403301e-05,6.88888468671e-05,-2.48646324647e-06,3.70308551659e-05,4.90013542139e-05,1.33540914858e-05,7.0899746898e-05,0.000146663229517,9.16276736788e-05,8.25280134387e-05,7.81312860254e-05,9.98416872102e-05,7.30271055959e-05,7.9984757051e-05,3.43872694013e-05,4.73396015459e-05,1.80275575244e-05,6.73027849065e-05,2.49725215111e-05,9.66152420991e-05,2.75938564132e-05,3.45758551706e-05,7.8182171917e-05,-2.7396136017e-06,6.69151592399e-05,9.16969535133e-05,4.36272312141e-05,3.77307924711e-05,0.000101867595301,2.40973837058e-05,6.40193112133e-05,7.32467115414e-06,2.35778168457e-05,3.73147815745e-05,9.01521855088e-05,9.20556290025e-05,5.16849033711e-05,-1.172170086e-05,6.08584163438e-06,6.4754846993e-05,1.02236821092e-06,2.99677315984e-05,5.16969985648e-05,2.92529508961e-05,7.3240776827e-05,8.12305118187e-05,7.93089849463e-05,7.95621036946e-05,4.19828162271e-05,3.76328168741e-05,4.72032661918e-05,3.46071989333e-05,2.5774508213e-05,2.94113384187e-05,6.18259974921e-05,-2.54985248821e-07,3.79179923401e-05,3.93730776203e-05,2.71459613273e-05,7.15990319745e-05,3.6977738892e-05,9.15565416717e-05,4.14671667033e-05,5.0205991351e-05,1.86235584021e-05,6.14410876882e-05,1.0395847465e-05,4.05511706663e-05,9.42294505242e-05,2.68220982874e-05,8.67932922505e-05,6.42572564309e-05,4.6201970243e-05,5.41424705852e-05,6.23737832051e-05,5.6120100526e-05,2.4139958646e-05,7.38450622741e-05,7.35600999897e-05,9.06374007033e-05,4.44961994175e-05,2.81387640561e-05,5.69244209551e-05,5.09696821409e-05,3.03073229912e-05,0.000142400050109,7.16139088425e-05,3.94012836253e-05,1.75522892423e-05,6.53265056847e-05,2.76332616599e-05,3.81974962466e-05,4.09982180071e-05,3.6198156458e-05
AGN,1.76441094335e-05,8.85890545348e-06,2.10752794231e-05,1.34415490806e-05,-1.49888645966e-05,2.53297672353e-05,2.2451342171e-05,0.00011472232483,1.32006111295e-05,1.83567455555e-05,1.82541868328e-05,1.07454607545e-05,3.18742963573e-06,4.00013703176e-05,2.07434016423e-05,1.5653664803e-05,2.55124592459e-05,8.89836840325e-06,2.70404407679e-06,1.8821296404e-05,7.70687902478e-06,1.98399664678e-05,2.25336913101e-05,3.11580548031e-05,2.56273800326e-05,1.26690049102e-05,3.71510810803e-05,1.65643869339e-05,1.59102464208e-05,1.45778422015e-05,-1.48303758245e-05,8.09640128147e-06,2.84674404767e-05,1.68197708639e-05,7.92096301473e-06,2.64851138448e-05,9.47854762655e-06,9.28121720514e-06,1.38494021626e-05,1.51545303487e-05,2.8397006839e-06,1.88126000176e-05,3.23400528598e-05,3.38669820912e-05,3.84800891477e-06,2.40808535634e-05,3.55124181771e-05,8.58009394769e-07,8.82125036346e-06,8.234463055e-06,1.90968853078e-05,4.77172944894e-06,7.05627501983e-06,-1.67227535155e-05,-2.36405143402e-05,3.69973694835e-05,2.01313218715e-05,1.05038962048e-05,6.4219935693e-06,1.69745390469e-05,9.28070280194e-06,4.3511263899e-05,8.33553621352e-06,9.81838140672e-06,7.75326800251e-06,-2.20954523285e-05,4.87660840003e-06,4.41769388989e-05,2.59057610937e-05,1.53646575894e-05,2.14375595312e-05,1.19607875887e-05,9.11626652455e-06,-4.51425413942e-05,5.14486293982e-06,7.45185046922e-06,2.53651257579e-05,3.34322177178e-05,1.50363012289e-05,2.83848890409e-05,1.00834362326e-05,4.83877203495e-06,4.75144036746e-05,-8.59273859722e-07,1.15741633951e-05,2.45815288085e-05,8.93192013054e-06,-1.1422061549e-05,1.57583169394e-05,1.66330436503e-05,6.19637598312e-06,2.36412527236e-05,1.38461863161e-05,3.70915610311e-06,1.53293835385e-06,-6.54989518439e-06,1.04442332604e-05,2.95907758651e-05,4.7740146348e-05,9.48847981393e-06,5.80135978204e-05,2.17156864016e-05,1.26337076427e-05,-1.00692217543e-05,3.77877435292e-05,1.00427823531e-05,7.80812722202e-06,5.41084009147e-05,8.20474765898e-06,2.77637795092e-05,5.33552758563e-06,3.31821436588e-05,3.02550869149e-05,1.91454538973e-05,8.2765412021e-06,1.59535228313e-05,-4.86643068089e-06,6.31350884825e-05,2.38012771917e-05,1.64225544922e-05
TAP,2.69210874545e-05,6.80007940916e-06,2.88491706089e-05,1.46097721643e-05,5.09021604489e-05,-3.73771496067e-05,2.99933463305e-05,1.32006111295e-05,0.000109730589443,2.26205553867e-05,2.56551079554e-05,1.68943628835e-05,-5.1430072366e-06,1.00810309219e-05,2.21381395446e-05,1.85710262349e-05,1.50664542137e-05,1.48385768778e-05,1.22488146647e-05,2.37094151804e-05,2.65653237589e-05,1.77339081366e-05,2.52053396218e-05,1.25443597577e-05,3.13234959054e-05,3.01595288451e-05,9.77370118385e-06,6.61756929088e-06,3.09406119192e-06,2.00688283828e-05,2.84773692291e-05,3.28623743488e-05,1.69585476461e-05,1.05063032886e-05,3.76894295988e-05,3.68875202421e-05,7.3069125662e-06,1.50679134288e-05,1.49446065971e-05,1.8844505246e-05,8.77952648083e-06,3.75142827747e-05,-3.40205578489e-06,1.69080820618e-05,5.75003056667e-06,-3.14085026408e-05,1.5318568768e-05,2.92782796532e-05,-1.48587454712e-05,1.98662997362e-05,4.14464382717e-05,0.000100875905522,2.06788337693e-05,2.53755777319e-05,2.67925379953e-05,2.70672804931e-05,2.37965910452e-05,2.0595179989e-05,1.51676220143e-05,1.37093697117e-05,1.56464026928e-05,2.39407586973e-05,2.83318063282e-05,9.45237915682e-06,1.57257863011e-05,4.34513393455e-05,1.86267274425e-05,8.99217703432e-07,1.9709713191e-05,-1.55079977648e-05,2.36903604917e-05,3.25387139071e-05,1.85148847209e-05,0.000101109776082,3.50114402914e-05,8.42253582312e-06,1.40861114062e-05,4.0642903549e-05,3.09131334101e-06,1.55977028944e-05,1.20354213469e-05,6.51001455898e-06,9.42430688431e-07,-3.55429973314e-06,8.62149283995e-06,4.11000242483e-06,2.10081728572e-05,4.4612165425e-05,2.59070485588e-06,1.60180257442e-05,9.31854428415e-06,8.38229494046e-06,1.04878550297e-05,2.23068178512e-05,8.38632578727e-06,1.4648061098e-05,1.74368586954e-05,8.34352952279e-06,-1.28787604806e-05,2.14108545376e-05,2.24917539132e-05,3.34380114561e-05,1.65810322238e-05,5.81840197057e-06,-2.31466540969e-06,1.54516901524e-05,2.13107503361e-05,1.03650381207e-06,1.99368515287e-05,2.43989771504e-06,1.2123294314e-05,6.70894939782e-06,9.63515096031e-06,1.19550783954e-05,6.83360172119e-06,2.82547700642e-06,2.018898475e-05,1.45387507514e-06,2.15555935015e-05,1.32214462429e-05
UAL,7.13705307263e-05,5.46666019249e-05,5.64179538181e-05,9.91040534827e-05,2.82597589134e-06,6.30381329707e-05,6.25775163267e-05,1.83567455555e-05,2.26205553867e-05,0.000329585650579,4.80301233093e-05,1.88063760178e-05,7.05910605713e-06,3.55867301951e-05,1.15696965413e-06,2.4256660167e-05,8.30998410087e-06,3.66988337609e-05,1.65905739454e-05,7.13821640794e-05,2.12449992796e-05,4.66207748744e-05,5.44147246093e-05,-1.48291278098e-05,2.66776415526e-05,4.42796198757e-05,4.07483104989e-05,7.8340354702e-05,1.95268432788e-05,5.32671464088e-05,-1.75120500124e-05,5.64440505026e-06,7.64152824001e-05,6.7423026911e-05,5.92337325409e-05,9.33756081754e-05,0.000103897929404,4.47471671264e-05,8.10085862592e-05,4.83449266228e-05,3.99825826993e-05,9.27460679397e-05,1.67480473137e-05,4.2120015099e-05,2.79719360819e-05,3.72676556059e-05,5.96318207602e-05,6.27284905155e-05,5.89040125515e-05,3.00358543841e-05,3.22503177602e-05,9.11599838843e-05,7.23659816961e-05,4.42049769898e-07,-4.5434551162e-05,5.42489415027e-05,4.7143066485e-05,2.21241110147e-05,2.96501873812e-05,6.99404046488e-05,6.55912471678e-05,4.94240212003e-05,8.13610816392e-05,1.69606844929e-06,1.82561607775e-07,-2.60319662134e-05,1.48798047437e-05,5.35021816746e-05,2.50646419521e-05,6.0850873434e-05,4.33776883689e-05,7.76716387739e-05,5.71342231494e-05,-1.9631775066e-05,2.90432141861e-05,3.76708403547e-05,7.55555558137e-05,3.02818888795e-05,-7.09247203007e-06,3.31881142391e-05,6.31995813235e-05,-1.46316171262e-06,5.49300219076e-05,4.22485546985e-05,8.26299494606e-06,6.42674610756e-05,-5.95361903515e-06,1.88087824751e-05,9.39991375774e-06,6.75652329947e-05,3.45321533363e-05,5.79844953734e-05,3.14751804737e-05,4.01542741322e-05,7.84184070451e-05,4.83204738977e-06,0.000261681266041,5.41577071507e-06,7.61648937965e-05,5.61170940157e-05,4.89310578406e-05,5.51566147196e-05,1.54411512277e-05,2.05529642393e-05,0.000102290334424,2.75456291516e-05,5.21049540273e-05,5.94149880534e-05,5.8843353177e-05,4.71365046492e-05,4.99226464463e-05,7.08992029577e-05,7.08012769899e-05,3.32826412564e-05,5.79262029333e-07,8.15252172606e-05,-7.07821722924e-06,8.23712241992e-05,4.12715131525e-05,1.86054736005e-05
