Date,AAL,ADM,AES,AGN,ALKS,AMAT,AMD,AMGN,APD,ARNC,AVT,AXP,AXS,BAC,BC,BEN,CA,CAH,CASY,CELG,CL,CMCSA,COLM,CRI,CSCO,CVS,CVX,CXO,DIS,DISH,EGN,ETR,F,FCNCA,FLS,FSLR,FTI,GE,GPC,GPS,GRMN,GWR,GWW,HAIN,HAS,HD,HHC,HOG,HPE,HRL,INTC,JLL,JNJ,JWN,KHC,KMB,KMI,KSS,LAZ,LEG,LLY,LMT,LNG,LOW,LPX,LUK,LVLT,LYB,M,MAS,MD,MDLZ,MDT,MLM,MMM,MO,MS,MUR,NFX,NKE,NUAN,NWL,NWS,OTEX,PAG,PCLN,PDCO,PEP,PM,QCOM,RPM,RTN,S,SEE,SJM,SKX,SLB,SNA,SON,STX,SWKS,T,TAP,TGT,TRIP,TWTR,UAL,UHS,UNP,VIA,VMC,VRSK,VSAT,WAB,WHR,WPX,WTM,XOM,XRAY,Y
2017-03-01,47.09,46.509998,11.35,245.289993,59.709999,36.849998,14.96,178.240005,143.690002,29.540001,46.990002,81.919998,70.919998,25.5,60.959999,43.439999,32.75,82.050003,116.029999,123.699997,73.459999,37.59,55.639999,87.919998,34.439999,80.699997,113.879997,134.529999,111.040001,61.990002,54.580002,75.580002,12.69,367.980011,48.09,35.02,33.189999,30.190001,96.57,24.33,52.34,75.440002,252.110001,35.59,97.93,146.679993,118.160004,58.400002,13.47238,35.27,35.93,117.529999,123.860001,45.599998,91.43,133.240005,21.77,41.98,44.09,49.919998,83.849998,268.380005,48.0,81.449997,23.940001,27.200001,57.650002,93.889999,32.950001,34.560001,71.410004,44.040001,82.07,222.270004,189.860001,75.599998,46.810001,29.309999,36.740002,57.950001,17.139999,49.599998,13.4,33.169998,50.73,1733.180054,45.889999,109.730003,110.220001,57.009998,54.369999,154.570007,8.84,47.119999,140.690002,25.74,82.269997,172.850006,54.389999,49.48,96.739998,42.040001,99.660004,57.830002,41.470001,15.79,75.389999,125.559998,110.110001,45.900002,124.379997,84.32,69.019997,81.349998,178.029999,13.27,947.0,83.019997,64.5,655.049988
2017-03-02,45.720001,45.48,11.63,244.960007,61.16,36.490002,13.9,178.070007,140.570007,28.540001,46.490002,80.099998,70.190002,25.23,60.48,42.889999,32.630001,81.790001,115.580002,122.239998,73.739998,37.450001,55.759998,88.5,34.389999,81.349998,113.360001,132.429993,110.589996,60.82,52.720001,75.540001,12.66,362.230011,47.029999,35.52,33.139999,30.190001,95.870003,25.129999,51.720001,73.730003,248.210007,35.279999,97.529999,147.949997,117.169998,58.639999,13.338702,35.200001,35.91,116.730003,123.629997,46.650002,91.279999,134.5,21.85,42.130001,43.07,49.490002,82.910004,266.98999,46.669998,80.400002,23.719999,26.549999,56.98,92.290001,33.220001,34.330002,71.089996,43.779999,81.989998,219.020004,189.889999,75.720001,46.279999,28.16,36.77,57.799999,17.09,49.330002,13.25,33.220001,50.459999,1734.369995,45.669998,110.110001,109.800003,56.369999,53.240002,154.300003,8.73,46.709999,140.949997,25.860001,80.949997,171.080002,53.990002,48.919998,94.760002,42.07,98.489998,57.950001,40.82,15.79,73.279999,122.830002,109.050003,44.450001,121.32,83.669998,68.699997,80.040001,177.800003,12.87,937.72998,83.300003,63.650002,648.650024
2017-03-03,46.82,45.200001,11.55,245.630005,60.970001,36.869999,13.03,180.199997,139.520004,28.09,46.369999,79.879997,69.720001,25.440001,60.66,42.68,32.48,82.849998,113.910004,123.660004,73.589996,37.220001,55.040001,87.220001,34.290001,81.019997,113.550003,132.410004,111.239998,61.18,52.740002,75.379997,12.65,365.029999,46.52,34.610001,32.52,30.120001,94.699997,24.690001,51.52,73.919998,249.869995,35.360001,97.75,147.809998,117.529999,58.82,13.396823,35.369999,35.900002,116.410004,123.790001,46.349998,91.5,133.649994,21.75,41.34,43.009998,49.48,83.779999,267.76001,47.5,81.68,23.690001,26.67,56.84,92.239998,31.77,34.060001,72.029999,43.73,81.860001,217.690002,189.309998,75.57,46.830002,28.040001,36.57,56.700001,17.17,49.34,13.25,33.200001,49.709999,1735.099976,45.0,110.559998,110.209999,56.439999,53.759998,153.75,8.9,46.299999,140.490005,25.59,80.699997,170.490005,53.860001,48.959999,94.919998,42.009998,99.849998,57.349998,41.740002,15.75,75.589996,125.580002,109.019997,44.200001,121.470001,83.949997,68.790001,79.889999,177.889999,12.86,928.900024,82.459999,63.360001,645.109985
2017-03-06,45.310001,44.759998,11.52,242.360001,60.200001,36.860001,13.04,179.460007,139.309998,27.700001,46.029999,79.5,68.739998,25.25,60.369999,42.380001,32.82,81.699997,114.199997,123.519997,73.790001,37.439999,55.080002,87.510002,34.189999,80.849998,113.169998,134.039993,110.669998,61.23,53.27,74.970001,12.52,359.339996,46.150002,33.330002,32.279999,30.0,94.18,24.389999,51.759998,73.099998,252.309998,35.490002,97.040001,147.130005,116.940002,57.580002,13.408447,35.0,35.57,114.709999,123.709999,45.5,91.160004,133.330002,21.76,39.400002,42.580002,49.029999,83.830002,267.720001,47.549999,81.019997,23.450001,26.530001,56.25,91.550003,30.690001,33.459999,70.959999,43.650002,81.540001,214.679993,188.899994,75.580002,46.57,28.23,36.189999,56.77,16.959999,48.98,13.25,33.349998,48.73,1730.209961,43.82,109.629997,109.730003,56.450001,53.119999,153.320007,8.78,45.290001,139.990005,25.459999,80.720001,169.009995,53.18,48.509998,95.449997,41.959999,98.230003,56.099998,41.599998,15.56,73.139999,126.559998,109.43,44.099998,120.220001,82.870003,68.660004,79.959999,175.75,13.05,927.580017,82.830002,62.75,644.52002
2017-03-07,44.84,44.459999,11.33,239.600006,58.799999,36.970001,13.05,177.380005,139.639999,26.98,45.66,79.580002,68.699997,25.209999,60.07,42.380001,31.969999,81.209999,109.779999,122.080002,73.720001,37.419998,54.790001,86.830002,34.200001,80.809998,111.809998,133.539993,110.860001,64.0,53.290001,75.0,12.46,353.899994,46.0,32.630001,31.9,29.860001,93.519997,24.18,51.509998,72.300003,250.589996,35.110001,97.199997,146.020004,116.330002,57.779999,13.263145,34.849998,35.799999,115.290001,123.830002,44.029999,90.800003,133.380005,21.629999,39.509998,43.029999,48.830002,82.739998,269.040009,47.060001,80.839996,23.389999,26.66,55.459999,91.230003,30.809999,33.25,70.169998,43.23,81.400002,209.929993,189.089996,76.099998,46.330002,27.74,35.860001,56.549999,16.67,48.529999,13.0,33.25,48.43,1736.459961,44.150002,109.32,110.550003,56.73,53.080002,154.479996,8.3,44.41,139.169998,25.26,79.949997,168.460007,52.82,48.279999,95.050003,41.880001,96.989998,55.139999,41.310001,15.18,72.639999,123.75,108.360001,44.599998,118.370003,81.839996,66.080002,79.5,175.380005,12.85,922.349976,82.519997,62.549999,640.359985
2017-03-08,44.889999,43.990002,11.07,239.440002,57.400002,37.189999,13.22,177.779999,139.559998,26.85,45.389999,79.040001,68.830002,25.26,60.740002,42.560001,32.049999,81.199997,108.660004,123.040001,73.160004,37.110001,55.209999,87.860001,34.02,81.040001,109.610001,126.610001,110.839996,63.990002,51.0,73.290001,12.53,350.170013,45.970001,32.66,31.59,29.799999,93.150002,24.23,51.990002,70.690002,250.149994,35.09,97.379997,146.919998,115.809998,58.529999,13.146904,34.650002,35.619999,116.040001,124.099998,45.150002,90.900002,132.350006,21.290001,40.509998,42.919998,48.709999,83.410004,267.720001,45.09,81.330002,23.68,26.74,55.349998,89.790001,31.77,33.82,70.290001,43.139999,82.220001,210.850006,189.509995,75.839996,46.389999,25.870001,33.919998,56.509998,16.91,48.75,12.8,33.119999,49.540001,1743.48999,44.369999,109.300003,109.720001,57.77,53.759998,154.110001,8.41,44.080002,138.440002,25.940001,78.099998,169.009995,52.880001,48.110001,96.690002,41.77,96.769997,55.02,43.830002,15.24,73.440002,123.809998,106.709999,45.75,119.110001,80.709999,64.889999,79.220001,176.039993,11.89,923.440002,81.029999,62.689999,640.630005
2017-03-09,43.330002,44.419998,11.06,240.179993,57.080002,37.380001,13.33,178.919998,138.580002,26.49,45.189999,79.300003,68.940002,25.35,60.23,42.419998,32.130001,81.940002,108.019997,125.129997,73.370003,37.380001,55.16,87.239998,34.07,80.699997,110.040001,127.75,111.029999,63.509998,51.209999,73.150002,12.5,349.76001,45.220001,32.48,31.5,29.66,92.949997,24.129999,52.110001,69.849998,244.020004,34.939999,97.349998,146.619995,115.419998,58.75,13.059723,34.549999,35.82,115.029999,125.949997,44.669998,91.529999,132.710007,21.27,39.779999,43.369999,48.200001,84.550003,268.679993,44.919998,81.169998,23.629999,26.75,55.860001,89.5,31.530001,33.709999,69.660004,43.799999,82.790001,208.160004,189.899994,76.190002,46.68,26.65,34.57,56.360001,16.870001,48.439999,12.8,33.32,48.93,1749.420044,44.41,109.019997,110.279999,57.970001,53.209999,154.130005,8.31,44.849998,139.690002,25.73,78.699997,168.339996,52.810001,46.68,97.139999,41.939999,96.790001,55.200001,43.59,15.22,72.540001,123.940002,106.18,45.700001,116.900002,80.050003,65.809998,78.470001,176.399994,12.22,921.030029,81.669998,62.82,640.900024
2017-03-10,43.900002,45.040001,11.15,241.149994,57.220001,38.119999,13.91,181.440002,138.770004,26.83,45.360001,79.379997,68.809998,25.309999,60.560001,42.580002,32.400002,82.040001,109.220001,124.0,74.260002,37.32,55.490002,88.68,34.259998,80.400002,110.610001,126.699997,110.919998,62.049999,50.740002,73.610001,12.53,352.100006,46.0,32.400002,31.700001,30.280001,93.209999,24.27,52.509998,70.190002,245.160004,35.73,97.470001,146.850006,116.199997,60.049999,13.001602,35.07,35.91,114.879997,126.209999,44.450001,91.510002,133.889999,21.5,40.459999,43.59,48.84,84.360001,268.660004,45.549999,81.580002,23.809999,26.75,56.470001,89.790001,31.73,33.93,69.959999,43.849998,83.040001,212.809998,191.210007,76.449997,46.490002,26.57,34.310001,56.43,16.91,48.669998,12.8,33.610001,48.889999,1754.23999,44.57,109.589996,110.540001,58.639999,53.790001,154.380005,8.28,45.209999,139.490005,26.24,78.690002,169.839996,53.330002,47.279999,98.18,42.349998,97.099998,55.360001,43.599998,15.12,72.339996,121.82,106.279999,45.599998,118.75,79.940002,65.589996,77.550003,177.75,12.34,922.0,81.610001,63.400002,642.469971
2017-03-13,42.369999,44.700001,11.02,240.649994,55.549999,38.439999,14.28,181.050003,137.820007,26.799999,45.529999,79.209999,68.860001,25.299999,59.849998,42.57,32.599998,82.550003,108.660004,124.43,73.900002,37.299999,55.580002,88.940002,34.099998,80.440002,109.349998,128.850006,111.519997,61.98,50.59,74.080002,12.54,351.470001,46.220001,32.84,31.790001,29.860001,94.139999,23.540001,51.849998,70.129997,246.350006,35.439999,97.690002,147.429993,116.900002,60.509998,12.972542,34.939999,35.16,113.25,126.68,43.599998,91.18,133.740005,21.51,39.810001,45.709999,49.049999,84.139999,269.190002,45.959999,81.580002,23.91,26.93,56.950001,90.18,30.9,33.68,70.360001,44.209999,82.889999,214.929993,191.520004,75.650002,46.259998,26.4,34.509998,56.669998,17.09,48.549999,12.55,34.060001,48.889999,1767.119995,45.25,109.410004,111.019997,58.459999,54.860001,154.610001,8.48,45.040001,139.110001,26.459999,78.589996,170.759995,53.290001,47.57,99.040001,42.369999,97.489998,55.189999,43.509998,15.21,69.849998,121.980003,106.449997,44.799999,119.589996,79.760002,65.300003,78.269997,178.220001,12.4,919.599976,81.419998,63.939999,642.599976
2017-03-14,41.209999,44.669998,11.0,239.449997,55.66,38.27,14.1,180.119995,136.179993,26.67,45.580002,79.690002,68.839996,25.32,59.459999,42.43,32.330002,82.599998,109.150002,124.68,73.650002,37.41,56.119999,88.370003,34.119999,79.889999,107.360001,128.5,112.309998,62.459999,50.0,73.860001,12.55,349.839996,45.490002,32.07,31.370001,29.540001,94.059998,23.700001,51.419998,67.620003,244.529999,35.610001,98.18,147.160004,115.279999,60.099998,12.920233,34.700001,35.18,110.989998,127.050003,43.779999,91.059998,133.539993,21.040001,39.849998,45.509998,49.220001,84.459999,268.0,44.400002,81.940002,23.629999,26.790001,56.82,88.580002,30.950001,33.68,70.410004,43.860001,82.519997,211.669998,190.330002,75.339996,46.189999,26.27,34.389999,57.279999,16.940001,47.939999,12.7,33.939999,49.209999,1769.0,45.18,109.339996,110.769997,58.220001,55.23,154.399994,8.37,45.5,138.919998,26.16,78.379997,169.449997,52.91,46.700001,98.790001,42.09,97.110001,54.75,42.259998,15.32,66.550003,120.050003,104.370003,45.099998,117.940002,79.349998,64.790001,77.349998,178.789993,12.01,917.75,80.989998,63.66,641.890015
