,AGN,AXP,VSAT,AXS,EGN,JWN,PAG,TAP,BC,UAL,LYB,KHC,WTM,LPX,PEP,GPC,HRL,GE,T,HAS,LVLT,GPS,MAS,VIA,VRSK,SNA,XRAY,LAZ,JNJ,APD,CXO,AES,BEN,KSS,FLS,SKX,AMAT,COLM,SWKS,CRI,HD,ARNC,LLY,NWS,RTN,AMD,PCLN,NWL,FSLR,PM,GRMN,S,QCOM,FTI,NFX,MD,AVT,MO,MDLZ,UHS,MS,JLL,NUAN,ETR,KMB,MUR,HAIN,AMGN,KMI,GWW,OTEX,GWR,LUK,WPX,SEE,SLB,WHR,LNG,CASY,MDT,UNP,F,CA,WAB,SJM,FCNCA,ADM,TRIP,ALKS,LEG,LMT,VMC,MMM,CMCSA,LOW,CVX,AAL,CVS,CAH,BAC,PDCO,DISH,DIS,TGT,TWTR,CL,SON,CELG,RPM,HOG,INTC,M,MLM,Y,XOM,STX,HPE,NKE,CSCO,HHC
AGN,1.0,0.0867325952424,0.129385044248,0.114513045839,-0.0706988891448,0.101498225658,0.113762401423,0.120370685023,0.0745193435344,0.0937934582963,0.13730727135,0.139310721079,0.0306089005036,0.255515687237,0.0826873734536,0.115689488111,0.195075165087,0.0810208476405,0.0181424846239,0.130813949988,0.0636985036216,0.091721954689,0.200764143135,0.135782534172,0.235529091039,0.106432659724,0.30601230988,0.0960889042683,0.219396342747,0.158785474889,-0.0846544442124,0.0690747260555,0.240125777674,0.0760460141769,0.0505644115253,0.127936175954,0.0370290222371,0.0548355553789,0.0893469394071,0.109733779764,0.0258476808019,0.0965299174637,0.291740670487,0.247994314947,0.0508115347169,0.0627272845738,0.297751851337,-0.000818274707939,0.0350046333231,0.0951704397645,0.174854927635,0.0207702328656,0.0574104743813,-0.105801114004,-0.09631429512,0.172810326332,0.141266068646,0.0896632774936,0.067404027723,0.114353112144,0.0611672174753,0.276322089977,0.0549475999926,0.127765876309,0.0880681864156,-0.0947903206451,0.102797250424,0.369428397801,0.205917384418,0.0821221438688,0.175781871007,0.0789517437747,0.0648375259353,-0.148353311462,0.037337874241,-0.0493283510174,0.178492363688,0.182706931703,0.115110605624,0.341625744197,0.097968789943,0.0809131321379,0.274348943901,-0.0072774727334,0.103359030004,0.15743574087,0.0707530445132,-0.037048631907,0.355047316405,0.122224178528,0.0865583339095,0.142714597929,0.175385373647,0.0382718504696,0.0739585263022,-0.0709784174054,0.0543855323897,0.244942396793,0.30702593464,0.00833668339849,0.38722931693,0.140825559737,0.136785858478,-0.0631149578357,0.164184290864,0.0526724440655,0.0621845813489,0.428703593928,0.0722234276194,0.189376617951,0.0483648850259,0.119272112885,0.162261271161,0.173116427604,0.0941550404822,0.05820116135,0.0644421147059,0.0916910441167,0.214966555669,0.156742239076
AXP,0.0867325952424,1.0,0.318399625797,0.400451036685,0.126985652309,0.158069791095,0.351998437366,0.0731628283725,0.396774937135,0.346004136967,0.408535216938,0.0797051218405,0.0896645474027,0.25186871533,0.0943625911714,0.191467698883,0.0654451579356,0.222394343584,0.205613461061,0.312434906667,0.139804320149,0.283852402782,0.308739520934,0.0372142156277,0.270940397748,0.447900369712,0.166274866128,0.463243611475,0.243632823991,0.382853484922,0.138751137433,0.0896669316764,0.492325741286,0.304269768688,0.217061487186,0.250615466706,0.29322624556,0.340154485919,0.365170891179,0.33650910945,0.201345074062,0.304072145024,0.136351217423,0.437621135371,0.233316988984,0.194479994366,0.221982015773,0.223497887266,0.124483894702,-0.0457387842126,0.292076641229,0.22477801359,0.327484362171,0.0943416780241,0.172653190839,-0.077022675564,0.458255555143,-0.0450041574794,0.15197612649,0.164071189334,0.535026805335,0.388299729582,0.31021254796,-0.0399077930132,0.0123813065993,0.171862017778,0.0730132634055,0.31442673866,0.15044145493,0.163828349103,0.26033019115,0.392084763839,0.494686301865,0.13842841416,0.227847103561,0.158938274756,0.352654489372,0.169399908525,0.0398022789723,0.268400775929,0.376893294834,0.426309974846,0.167584422779,0.220233065585,0.0584834521888,0.463556612765,0.193661294614,0.181283497433,0.169557209214,0.3003873435,0.315247730051,0.292584095798,0.230789557152,0.222951167216,0.227253817794,0.22298427933,0.382193782864,0.255469914535,0.220051532611,0.562598187528,0.266502266125,0.182245507417,0.217204096812,0.137099305395,0.201740740606,-0.0408376164117,0.4117963849,0.282474747977,0.41116407761,0.104504412024,0.348850300993,0.28137901984,0.303538040194,0.371342200325,0.194664490667,0.0947291261458,0.182081866275,0.195245498766,0.341946667029,0.154171568874
VSAT,0.129385044248,0.318399625797,1.0,0.22538646587,0.131953352353,0.168724030821,0.20446453812,0.187961367462,0.314831520425,0.211007721273,0.228525856004,0.22154989511,0.107188642132,0.175054580941,0.163537208689,0.172565906192,0.152686893804,0.0980330560848,0.181970681645,0.283824057226,0.251074928843,0.213496572315,0.323374084446,-0.00195125098405,0.270732507626,0.195956015621,0.386846701631,0.273508823507,0.0926070738816,0.309603031388,0.106250836786,0.269578175778,0.30710459499,0.193131863986,0.235775124934,0.144554383171,0.27456619514,0.25548662128,0.272357408441,0.290179724395,0.0758130090195,0.268640397851,0.0521039051674,0.309479148615,0.0171238848153,0.133021035261,0.396636783542,0.163612259701,0.202135433512,0.124388798412,0.279726867188,0.229294651232,0.190377134633,0.0991875846405,0.0838915938602,0.171236243163,0.354196059484,0.10913523067,0.216664716178,0.0597379375486,0.308852704912,0.24872089077,0.325484441151,0.13546714843,0.17698921561,0.0934461639663,0.136587298854,0.221111327983,0.205769023465,0.081735856726,0.310623225875,0.221737398401,0.276095929422,0.15145516087,0.216140615507,0.0862503077266,0.238701968016,0.186450526202,0.287878008618,0.180588521297,0.263761199164,0.102439473536,0.14588116686,0.0742134339673,0.107593210257,0.295550743316,0.161745028883,0.0282755254741,0.199152703962,0.297193429338,0.10080012604,0.223199591488,0.0832844943677,0.185831852036,0.0653751541799,0.10377858257,0.259720945971,0.121264389467,0.191573692189,0.285988345178,0.267724358355,0.105317028724,0.201365829542,0.175244778785,0.116262559363,0.208393674999,0.281250216569,0.226086803968,0.249609736495,0.0509573911127,0.298589594371,0.15925748605,0.20369592021,0.210465815237,0.0667987278224,0.0607796418961,0.127136524297,0.0244862007608,0.290980992085,0.28791835496
AXS,0.114513045839,0.400451036685,0.22538646587,1.0,0.201051308445,0.123745024793,0.26397151296,0.18807575507,0.260227515965,0.298891550663,0.29035858898,0.102364454953,0.297519763547,0.0250909693723,-0.0317267398754,0.193309672364,0.0953493689544,0.260058809973,0.241355100249,0.262728008817,0.129535579426,0.183670922184,0.274369025203,0.0800178483925,0.149938283453,0.17025001475,0.142367570878,0.370615688521,0.0937412541771,0.366363962457,0.048023042361,0.207266553666,0.416432203213,0.15574395825,0.201996292476,0.299367041694,0.133343584268,0.205312018479,0.120286256086,0.250039890532,0.0156542908451,0.298417417147,0.0517713887214,0.192345392941,0.15366107573,0.0735644873755,0.148172855187,0.152295686964,0.099677381822,-0.0156127891779,0.250547554881,0.0851116065439,0.270215008734,0.0457192280607,0.139905807204,0.224097374273,0.326023223303,0.00892129376996,0.141909747356,0.14206287198,0.470908973468,0.277404426494,0.198372184849,0.0515776405411,0.077359119277,0.0301930043138,0.0919344010122,0.247706196956,0.247456838097,0.213363253392,0.225285036397,0.266132076457,0.460764145177,0.0899195981752,0.249886639493,0.0295984693001,0.289233303265,0.0473523252065,0.0984987997215,0.211247208964,0.328525851703,0.224737402874,0.125867843427,0.152830583993,0.0554876442636,0.460786262313,0.139345447981,-0.0810156464762,0.129950349381,0.479552912687,0.177034212769,0.123309128042,0.208933516755,0.283571674708,0.109784582622,0.131826896848,0.355173259246,0.0708115789943,0.138481960207,0.452998512287,0.276142922174,0.197547415833,0.26005721136,0.0452832623348,0.137655953859,0.0181643737484,0.257866694959,0.0953516642426,0.235707940528,0.180692117269,0.248397721455,0.210168424194,0.125463673439,0.730770160601,0.076504646496,0.0227716847165,0.23689741733,0.100766634274,0.204854479646,0.217358308988
EGN,-0.0706988891448,0.126985652309,0.131953352353,0.201051308445,1.0,0.110679944779,0.197841765592,0.245295037796,0.167901218017,0.00869238739151,0.452605871783,-0.00314166999997,0.183261867573,0.175730406374,-0.00167030374982,0.264412787993,0.201759539207,0.169803637541,0.188524724506,0.0657278027604,0.260345155401,0.255528433775,0.20697943705,0.0279088590814,0.139950906357,0.261807895548,0.112864628291,0.244171202959,-0.0146525478215,0.337318649025,0.706239113489,0.248035604959,0.196242699891,0.138085384944,0.400661779613,0.196478293918,0.053230700674,0.18903467408,0.0518840497194,0.138890656653,0.0802097474893,0.288744040383,-0.0924932417504,0.281361438446,0.0832873356694,0.00995819094813,0.0175994693231,0.103364446089,0.0889892559951,0.115126960609,0.185092589724,0.0303559559911,0.146200342109,0.527760242999,0.730445458623,0.164389877602,0.327400940994,-0.0225918945588,0.113213519553,0.104691490844,0.258137561657,0.170997830005,0.15526670575,0.0738199083025,0.0755590891429,0.652656116186,0.0956982454971,0.000248194403486,0.437636850543,0.168037975478,0.236378441026,0.304075867032,0.27782535124,0.751851105374,0.204399444208,0.606585355674,0.0777048618844,0.483132454197,0.148914735184,-0.0375041923568,0.188255010999,0.265636998142,-0.154395986311,0.131192767322,0.105902901732,0.236483322964,0.0970851795977,0.164066186459,0.0974680595668,0.126187332253,0.00155161696591,0.136135408061,-0.139431087632,0.110766360286,0.215023545139,0.53827344704,0.0976209919303,0.137131368982,0.185133582912,0.257006564623,0.1051250121,0.248320195515,0.149535646061,0.204419033221,-0.0924594016883,0.0477834135299,0.26529086646,-0.0496279374844,0.267935828013,0.100394851963,0.0102896675358,0.0947608744476,0.157617159108,0.1388718036,0.356678059966,-0.0112094354154,0.234046573968,0.0258758412324,0.0514926261036,0.243635966078
JWN,0.101498225658,0.158069791095,0.168724030821,0.123745024793,0.110679944779,1.0,0.304951579279,-0.157817083823,0.310769929136,0.152860791999,0.154558235691,-0.0239273466389,0.233545495903,0.233429154745,-0.024572415419,0.291660902153,0.0592391988201,0.252887370497,0.110458437503,0.111733934533,0.190685369269,0.539610335722,0.195820640799,0.12211869421,0.0343099948839,0.166906770733,0.164855568389,0.125042222491,-0.0992115294867,0.145746611682,0.126964200477,0.112830709889,0.233661071217,0.599706252874,0.21951806326,0.225287959361,-0.0190821788541,0.36811349283,0.0421743215061,0.429664425816,0.185246606415,0.0634177745088,0.0961400897707,0.262949325934,0.0138332464575,-0.146733495604,0.0191502383547,0.161993132471,0.133633515502,-0.114165132776,0.165380375135,-0.0476951074652,0.0520533682176,0.216648988169,0.180001937746,0.120588149047,0.170756920766,0.0382122460685,-0.0315077684826,0.153883651695,0.226451636726,0.257551296502,0.162390376275,-0.108485852635,-0.053566707331,0.217622755068,-0.0683250649626,0.0332385128838,0.204782411868,0.204515913539,0.166544239174,0.184984949235,0.185331028814,0.0197456058705,0.110430700023,0.180082674468,0.202594789448,0.00433199598679,0.329967281183,0.109707428327,0.0633509126002,0.281067485483,0.0527247338136,0.152227128725,0.0232130564051,0.297849975689,0.0915745263331,0.121921297064,0.0505932155693,0.296341851174,-0.0196811866655,0.212939353272,-0.0172722646794,0.0706142327428,0.236354332019,0.159244333588,0.276160786008,0.208660563793,0.214769750938,0.235147779461,0.143370476776,0.106432862181,0.135964759595,0.483810609646,0.0478141402325,-0.0438127293479,0.20515244056,0.0753889600474,0.0889630387802,0.318521343208,0.100972004746,0.647575991797,0.19744904374,0.125937540871,0.0836605729663,0.0689339663218,0.141659940871,0.096951701453,0.126333460271,0.0387775005156
PAG,0.113762401423,0.351998437366,0.20446453812,0.26397151296,0.197841765592,0.304951579279,1.0,0.163842634321,0.281312875317,0.206079807975,0.381390942827,0.169734610146,0.208143056741,0.328567579301,0.0173784546536,0.316425692447,0.232249408858,0.251376472356,0.221158051805,0.258855549656,0.30671753232,0.356240270356,0.410827965696,0.10328224899,0.285075368888,0.332209615085,0.178630854199,0.319241002837,-0.0222709886296,0.253377401029,0.175318637627,0.0682062591098,0.386721056848,0.409677530456,0.323009702496,0.249064632275,0.277062750882,0.443606731159,0.289029504142,0.389472297603,0.235312929605,0.147854337839,0.108680511929,0.333263308231,0.195096440458,0.150993663069,0.140054183145,0.138157651783,0.173623879258,-0.0180653148134,0.396936274178,0.204967377332,0.235326027866,0.152435659793,0.262779468619,0.065609001657,0.285272238133,0.0398489258668,0.159323501974,0.163304106326,0.400836389536,0.369841573069,0.206730560652,-0.0975799829987,0.0477681891383,0.176569666476,0.262100537517,0.161764477469,0.269867034571,0.10036455577,0.390124524472,0.362577066069,0.389352823297,0.162748133594,0.206294974248,0.160881649299,0.224819275968,0.129160519305,0.125422211038,0.223602971015,0.354820191661,0.487671701285,0.133774908239,0.162337535445,0.136511324494,0.269954088532,0.17882355619,0.243500510741,0.144871547029,0.256441732307,0.159769116707,0.238433643984,0.0849571881001,0.202319648009,0.270560974343,0.177970657625,0.279739434648,0.343447593334,0.179697526081,0.406670607597,0.257497439115,0.216320688821,0.14677680682,0.304790934972,0.198784132873,-0.000808810696207,0.276118036111,0.137929287662,0.290828225855,0.222508801411,0.205342485529,0.324797820394,0.25777630867,0.224968044282,0.152220813591,0.148775872895,0.159511623147,0.163324408626,0.226409877944,0.228374473485
TAP,0.120370685023,0.0731628283725,0.187961367462,0.18807575507,0.245295037796,-0.157817083823,0.163842634321,1.0,0.0901049297851,0.11918245655,0.193791975464,0.223020416711,-0.0723064969484,0.0429934671474,0.318755780192,0.146361548535,0.132452259805,0.134244813306,0.122575858014,0.171249951091,0.219116135685,0.0812129013795,0.235751003829,0.0544781374608,0.308732088399,0.240234792857,0.0843881306675,0.0472307752895,0.0445159027622,0.219568480154,0.164979342926,0.280238165248,0.147467207775,0.0454727140003,0.218284713727,0.184807545298,0.0451159580923,0.112851445578,0.0959371183614,0.14948081433,0.0978648365827,0.184828227873,-0.0313278184927,0.125620680895,0.0775097615354,-0.0788843218122,0.135958748666,0.191440144684,-0.0549960307693,0.225835549279,0.386196571823,0.363650248924,0.181332430417,0.160530730277,0.111524554526,0.129377896132,0.17128873128,0.170436662633,0.168589147707,0.0990538638779,0.110467818969,0.153492145227,0.19035690012,0.12583659387,0.197503742153,0.184750891322,0.12703577867,0.00780769862176,0.161245679897,-0.0864006042914,0.208554805007,0.234151347262,0.149514394051,0.332021339402,0.266205107814,0.188167077283,0.107174947555,0.242984659691,0.0189450498069,0.192928929605,0.111943703884,0.132513886017,0.00807940084488,-0.0192614511894,0.0730683288015,0.035437523241,0.163415398179,0.203858094862,0.00226078598299,0.12478520855,0.128069400557,0.054431252679,0.133452306703,0.191006334167,0.173909075226,0.151066511995,0.0948630350831,0.070911602069,-0.0838706667559,0.0575968379528,0.152338626569,0.222183972814,0.173345063866,0.0425531638071,-0.0120161189743,0.0736749924761,0.205387005966,0.0134123353332,0.168394654305,0.0126033439023,0.132717319256,0.0276160043771,0.056525711158,0.108501666746,0.0868141049761,0.0108876231241,0.0662791380119,0.0103038467801,0.199506775353,0.134865577782
BC,0.0745193435344,0.396774937135,0.314831520425,0.260227515965,0.167901218017,0.310769929136,0.281312875317,0.0901049297851,1.0,0.340056580362,0.428335516639,0.0510968570063,0.0403304708072,0.337207913841,0.0780099491003,0.241016502824,0.143042702677,0.285764648429,0.0672043814937,0.226402418344,0.123781230101,0.380432657642,0.406602207929,-0.00350906709247,0.205194813768,0.288926678849,0.239220903115,0.398612794798,0.0710982193287,0.342134920004,0.180902598131,0.164629985832,0.439521991328,0.308215200897,0.276404525344,0.398909603503,0.271615342297,0.339744047504,0.210125733,0.324115677823,0.342458388884,0.313344084602,0.159490629345,0.305607702851,0.110902629871,0.178707323577,0.184906148238,0.196371985242,0.193124769328,0.0651028023047,0.345380378398,0.169012984442,0.379790257576,0.165723444263,0.209736642843,0.167706446958,0.467359708579,0.0319423934863,0.126782027919,0.173963498486,0.418390480318,0.377085427553,0.396389691535,-0.116158043458,-0.00830969473418,0.22712620759,0.0745050659837,0.365335485756,0.126261316383,0.148640851777,0.244495346156,0.437078597422,0.376438149185,0.117674300524,0.190810729057,0.198143109074,0.400978668919,0.25535737924,0.146581956152,0.192961051676,0.374206459616,0.39656165457,0.323486904091,0.208878911636,-0.0804919594744,0.392382936841,0.151651787295,0.273440960738,0.312191983953,0.384918345412,0.212473816411,0.2538249344,0.121126414007,0.210009308488,0.388421753191,0.19636896599,0.445880691411,0.212792334054,0.19798534885,0.406707524744,0.289634959013,0.151880248889,0.134202270747,0.225392256946,0.248203668432,-0.0470830811362,0.378664020088,0.326086566867,0.355094450614,0.189310315053,0.174517317893,0.281844529712,0.210979605909,0.19899161718,0.140730310477,0.121029741615,0.205983250011,0.124166303629,0.367181550739,0.173896690328
UAL,0.0937934582963,0.346004136967,0.211007721273,0.298891550663,0.00869238739151,0.152860791999,0.206079807975,0.11918245655,0.340056580362,1.0,0.213006163315,0.142904319394,0.0561058207532,0.131796026473,0.144237249368,0.112571134551,0.0425943769248,0.190727339088,0.0957437153084,0.300329444226,0.103481529361,0.128527905279,0.291166158944,-0.0375741797499,0.150860003418,0.198594402093,0.193405848972,0.33165510516,0.150426168095,0.336141341738,-0.0585183238074,0.0278319776481,0.385960523305,0.174601677235,0.197244107432,0.267151809996,0.335165265366,0.185401987767,0.299866240127,0.221910602509,0.251808315435,0.269193258233,0.0925325694963,0.192275218847,0.208106152795,0.0542636020815,0.292007992503,0.234191428289,0.124516595078,0.1966869858,0.177032200281,0.190135024502,0.360941510361,0.00185541260668,-0.109609454239,0.147988225393,0.195671763086,0.108000521053,0.189723034201,0.288492525368,0.270229139523,0.184428864293,0.307831789243,0.0125621170835,0.002553163372,-0.0674815587557,0.00615700390055,0.261546488674,0.12201783668,0.19857666481,0.215795113988,0.320361859222,0.262057847178,-0.0370657419451,0.12905497289,-0.0371296864425,0.329459275297,0.103611162041,-0.0324461712584,0.235569834628,0.338400954855,0.13811634937,0.186349248487,0.162986852645,0.0406531737599,0.231414135378,-0.0274919140405,0.0464718067686,0.278486175802,0.314228009826,0.278863240516,0.206759006049,0.237338002827,0.196249243105,0.261216964444,0.0291090472436,0.769187399913,0.027721163265,0.283193804177,0.312670374433,0.190422695433,0.203777457418,0.0905429393449,0.0797780258021,0.257677842461,-0.00954251484854,0.29025281061,0.277583089413,0.28057107219,0.188972442014,0.310999418832,0.150979354837,0.233173808959,0.174467712124,0.00510761476853,0.175142710164,0.157147238131,0.0336256202455,0.215639759535,0.108306291056
