,AGN,AXP,VSAT,AXS,EGN,JWN,PAG,TAP,BC,UAL,LYB,KHC,WTM,LPX,PEP,GPC,HRL,GE,T,HAS,LVLT,GPS,MAS,VIA,VRSK,SNA,XRAY,LAZ,JNJ,APD,CXO,AES,BEN,KSS,FLS,SKX,AMAT,COLM,SWKS,CRI,HD,ARNC,LLY,NWS,RTN,AMD,PCLN,NWL,FSLR,PM,GRMN,S,QCOM,FTI,NFX,MD,AVT,MO,MDLZ,UHS,MS,JLL,NUAN,ETR,KMB,MUR,HAIN,AMGN,KMI,GWW,OTEX,GWR,LUK,WPX,SEE,SLB,WHR,LNG,CASY,MDT,UNP,F,CA,WAB,SJM,FCNCA,ADM,TRIP,ALKS,LEG,LMT,VMC,MMM,CMCSA,LOW,CVX,AAL,CVS,CAH,BAC,PDCO,DISH,DIS,TGT,TWTR,CL,SON,CELG,RPM,HOG,INTC,M,MLM,Y,XOM,STX,HPE,NKE,CSCO,HHC
AGN,0.000114737445082,8.08926354585e-06,2.03981408786e-05,1.61757218127e-05,-1.50505940237e-05,2.46131397529e-05,2.04418647823e-05,1.34927969734e-05,1.28059194687e-05,1.81808215502e-05,1.81652481479e-05,1.07612088522e-05,2.32256209388e-06,3.95112339717e-05,4.97830167987e-06,1.48667981964e-05,2.39816268897e-05,9.14184977838e-06,1.87310884952e-06,1.83362978827e-05,7.68855946174e-06,1.95746340957e-05,2.21339917012e-05,3.22265560168e-05,2.48449706969e-05,1.39127036442e-05,3.77578844295e-05,1.34834070013e-05,1.65951019216e-05,1.47632984869e-05,-1.48730057758e-05,8.23061781851e-06,2.79685461798e-05,1.71946044152e-05,8.90442278148e-06,2.63386653316e-05,6.81760534051e-06,7.85900437829e-06,1.41990257629e-05,1.41273855986e-05,2.42968914899e-06,1.94383925275e-05,3.12197436439e-05,3.21774475851e-05,4.01584242579e-06,2.54183784827e-05,3.57942558968e-05,-1.30074267936e-07,9.6989599356e-06,8.54021986235e-06,1.87619759005e-05,5.83502409574e-06,6.77877311186e-06,-1.73370656738e-05,-2.352203228e-05,3.72659539514e-05,2.00348771818e-05,1.0725216406e-05,6.22415400439e-06,1.63622922912e-05,8.7376339048e-06,4.33332036472e-05,8.55280190131e-06,9.94037903219e-06,7.29422957299e-06,-2.18521131812e-05,1.88097852907e-05,4.42782405213e-05,2.50077740441e-05,1.48444947978e-05,2.09427190541e-05,1.12866211709e-05,8.35955525149e-06,-4.57897898578e-05,4.95830150007e-06,-5.37556829877e-06,2.41701827052e-05,3.1931862721e-05,1.48077274711e-05,2.82890603379e-05,1.07292849638e-05,9.53574067013e-06,4.76300709589e-05,-1.11512216403e-06,1.22636857684e-05,2.57219811666e-05,9.13694183218e-06,-8.45697692482e-06,6.18695988246e-05,1.55137329427e-05,6.28662988319e-06,2.34612672138e-05,1.36811697075e-05,4.59084332515e-06,9.37424820318e-06,-6.87000326821e-06,1.08693612087e-05,2.88486457767e-05,4.83769852781e-05,1.22854180543e-06,5.84073238714e-05,2.24951331126e-05,1.35299162912e-05,-9.63600751897e-06,3.82825827244e-05,4.60196101692e-06,6.60583131129e-06,5.4013157945e-05,8.90550256389e-06,2.76751093877e-05,4.58822382003e-06,3.2958741405e-05,2.90386834066e-05,1.9354168563e-05,7.32901939572e-06,1.59805070256e-05,9.01993210573e-06,1.49571920486e-05,2.42087842926e-05,1.58854889378e-05
AXP,8.08926354585e-06,7.58137731252e-05,4.08037919961e-05,4.59811250864e-05,2.19744074811e-05,3.11586702339e-05,5.14143043224e-05,6.66642823109e-06,5.54252225539e-05,5.45184769226e-05,4.39337997686e-05,5.00477108821e-06,5.53046735133e-06,3.16591113207e-05,4.61810007713e-06,2.000048526e-05,6.53996835645e-06,2.03977612118e-05,1.72559654966e-05,3.55990668079e-05,1.37169579516e-05,4.924185378e-05,2.76686065246e-05,7.17960123953e-06,2.32321372636e-05,4.75926084448e-05,1.66769578359e-05,5.2839330946e-05,1.49798618324e-05,2.89352141543e-05,1.98155898271e-05,8.6849443871e-06,4.6612792256e-05,5.59237138762e-05,3.10717030151e-05,4.19401265624e-05,4.38847794856e-05,3.96280730809e-05,4.71733247798e-05,3.52159779982e-05,1.53847913052e-05,4.97733095304e-05,1.1860768898e-05,4.61561549999e-05,1.49893286626e-05,6.40601211868e-05,2.16919266421e-05,2.88793326213e-05,2.80371760279e-05,-3.33636118421e-06,2.54752815152e-05,5.13306288998e-05,3.14319986764e-05,1.25663866609e-05,3.4275213465e-05,-1.35015186795e-05,5.28296862892e-05,-4.3758815532e-06,1.14075221485e-05,1.90831450954e-05,6.21258192747e-05,4.94986949826e-05,3.92500770905e-05,-2.52387153628e-06,8.33581986699e-07,3.22055576451e-05,1.08598935431e-05,3.06338102433e-05,1.48515238337e-05,2.40721935376e-05,2.52118659517e-05,4.55620919608e-05,5.18451446656e-05,3.47310663249e-05,2.45950847327e-05,1.40791925665e-05,3.88178231948e-05,2.40659975868e-05,4.16200388699e-06,1.80664642651e-05,3.35523478351e-05,4.08396847736e-05,2.36501038328e-05,2.74312661067e-05,5.64062278978e-06,6.15637878078e-05,2.03291877433e-05,3.36374224553e-05,2.40175549771e-05,3.09929048108e-05,1.86115455866e-05,3.90980638023e-05,1.46341492424e-05,2.17392335796e-05,2.34142825845e-05,1.75439081887e-05,6.20905809569e-05,2.44580990163e-05,2.81844526124e-05,6.73932542189e-05,3.2675440599e-05,2.36638487417e-05,1.74639866148e-05,1.70145926652e-05,3.8237078893e-05,-2.90028928739e-06,3.55589363889e-05,2.89296742335e-05,4.12113622073e-05,1.2414209898e-05,2.69014076577e-05,6.32040469183e-05,4.4156703295e-05,3.37467545094e-05,1.23171577191e-05,2.11428682199e-05,2.07167511443e-05,2.58896184631e-05,3.13027091467e-05,1.27010697225e-05
VSAT,2.03981408786e-05,4.08037919961e-05,0.000216624633734,4.37459517972e-05,3.85978232126e-05,5.62194823952e-05,5.04825273424e-05,2.89501742887e-05,7.43397824688e-05,5.62005590353e-05,4.15417201629e-05,2.3515239266e-05,1.1175570602e-05,3.71944240508e-05,1.35288202935e-05,3.04705207457e-05,2.57916871401e-05,1.51988655374e-05,2.58148144107e-05,5.46648465405e-05,4.16409308027e-05,6.26055148276e-05,4.89869204559e-05,-6.36333011941e-07,3.92406029518e-05,3.51962628704e-05,6.55856741899e-05,5.27350154594e-05,9.62489577662e-06,3.95529759997e-05,2.56497228065e-05,4.41366460733e-05,4.91494605451e-05,6.00027282733e-05,5.70505888974e-05,4.08914957515e-05,6.94605169531e-05,5.03123705722e-05,5.94729379676e-05,5.13321976215e-05,9.79206301487e-06,7.43311869941e-05,7.66132637476e-06,5.51750319188e-05,1.85959333974e-06,7.40649972786e-05,6.55168771863e-05,3.57362879324e-05,7.69561648114e-05,1.53373236127e-05,4.12416671324e-05,8.851085692e-05,3.08870251618e-05,2.23328424283e-05,2.81516510046e-05,5.07387281775e-05,6.90230083149e-05,1.79373283451e-05,2.74905865877e-05,1.17448565225e-05,6.06216652584e-05,5.3594323139e-05,6.9613144458e-05,1.44818281261e-05,2.01422746068e-05,2.96000374195e-05,3.43410831777e-05,3.64143368046e-05,3.4337079441e-05,2.03010778065e-05,5.08503846927e-05,4.35554497771e-05,4.89122988356e-05,6.42327943002e-05,3.94385609569e-05,1.2914862084e-05,4.44137685891e-05,4.477485373e-05,5.08841936831e-05,2.05475197391e-05,3.9691295841e-05,1.65883843657e-05,3.47999401836e-05,1.56252049192e-05,1.7541179313e-05,6.63490139338e-05,2.87004035164e-05,8.86859837916e-06,4.7684650747e-05,5.18322093019e-05,1.00593845926e-05,5.04170924425e-05,8.92679053797e-06,3.06291185501e-05,1.13857661247e-05,1.38019261681e-05,7.13228922824e-05,1.96243863697e-05,4.14763892275e-05,5.79090311225e-05,5.54866234778e-05,2.31156980329e-05,2.73678712439e-05,3.6763026267e-05,3.72486760064e-05,2.50175819751e-05,4.10524388752e-05,3.91398352301e-05,4.22905362865e-05,1.02322586156e-05,3.89215778196e-05,6.04690151395e-05,5.00893864298e-05,3.23309999424e-05,7.1444996822e-06,2.29307560389e-05,2.4451480072e-05,5.48840170915e-06,4.50264840912e-05,4.00945391073e-05
AXS,1.61757218127e-05,4.59811250864e-05,4.37459517972e-05,0.000173905065081,5.26928250379e-05,3.69436535246e-05,5.83958991531e-05,2.59547945612e-05,5.50552184591e-05,7.13276837472e-05,4.72918173573e-05,9.73484915876e-06,2.7793225583e-05,4.77665630063e-06,-2.35164081932e-06,3.05830404914e-05,1.44310526114e-05,3.61253777553e-05,3.06779447378e-05,4.53385366406e-05,1.92490077557e-05,4.82574407223e-05,3.72402168847e-05,2.33808547308e-05,1.94719746517e-05,2.73985327113e-05,2.16263565524e-05,6.40256108501e-05,8.72940872038e-06,4.19361834961e-05,1.03872882131e-05,3.0405070812e-05,5.97143820649e-05,4.33541293326e-05,4.37933069618e-05,7.58766088044e-05,3.02249273349e-05,3.62262337549e-05,2.35341437954e-05,3.96309322684e-05,1.81161562942e-06,7.39820069025e-05,6.82064896839e-06,3.07252328672e-05,1.4951396139e-05,3.66997491382e-05,2.19296169464e-05,2.98046066763e-05,3.40016335762e-05,-1.72484867289e-06,3.30974393413e-05,2.94370038391e-05,3.92801338041e-05,9.22333049873e-06,4.20652389956e-05,5.94953260312e-05,5.69247183205e-05,1.31378053406e-06,1.61328180714e-05,2.50253566954e-05,8.28162600636e-05,5.35577233615e-05,3.80140367141e-05,4.94029708297e-06,7.88815470735e-06,8.56918080059e-06,2.07101821525e-05,3.6551102261e-05,3.69985761492e-05,4.74819226743e-05,3.30441708239e-05,4.68384993709e-05,7.31373032187e-05,3.41687657333e-05,4.08535600413e-05,3.97100621085e-06,4.82183248254e-05,1.01885895505e-05,1.55993872871e-05,2.15358708958e-05,4.42951436205e-05,3.260725986e-05,2.69027239377e-05,2.88307315107e-05,8.10536178468e-06,9.26838646991e-05,2.21539944208e-05,-2.27675028788e-05,2.78786696151e-05,7.4937507747e-05,1.58295925504e-05,2.49563933716e-05,2.00651079355e-05,4.187736879e-05,1.71314089591e-05,1.57086256116e-05,8.73905405871e-05,1.02676078837e-05,2.68633684747e-05,8.21858279538e-05,5.12786428282e-05,3.88491894747e-05,3.16684158044e-05,8.51149932485e-06,3.95155614025e-05,1.95381492264e-06,3.37243467882e-05,1.47902069516e-05,3.57814617828e-05,3.25091582637e-05,2.90111918762e-05,7.14994502006e-05,2.76428982468e-05,0.000100582070492,7.33151348093e-06,7.6976399592e-06,4.08222876998e-05,2.02368742369e-05,2.84021408112e-05,2.71202891073e-05
EGN,-1.50505940237e-05,2.19744074811e-05,3.85978232126e-05,5.26928250379e-05,0.000394981656997,4.97981693082e-05,6.59592358308e-05,5.10159399064e-05,5.35342187113e-05,3.12619384934e-06,0.000111097390546,-4.50269946996e-07,2.58004682669e-05,5.0418023261e-05,-1.86583547612e-07,6.30437268175e-05,4.60199997852e-05,3.55484086322e-05,3.61135716956e-05,1.70939561924e-05,5.83043722879e-05,0.000101180182972,4.23386173146e-05,1.22898885644e-05,2.73908509353e-05,6.34972965249e-05,2.58382138027e-05,6.35706602515e-05,-2.05636197203e-06,5.81900669318e-05,0.000230216595074,5.48356717903e-05,4.24092404337e-05,5.79294391363e-05,0.000130910537723,7.50500270645e-05,1.81839266786e-05,5.02669614153e-05,1.52984915142e-05,3.31764847402e-05,1.3989176756e-05,0.000107881584966,-1.83644629835e-05,6.77345606638e-05,1.22131923375e-05,7.48699736569e-06,3.92549399226e-06,3.04859210399e-05,4.57481024106e-05,1.91681363866e-05,3.68489914751e-05,1.58227176697e-05,3.2029062563e-05,0.000160456716598,0.000330984579492,6.57738859575e-05,8.61518533716e-05,-5.01394981475e-06,1.9396735755e-05,2.77935114024e-05,6.84167120791e-05,4.97544200265e-05,4.48408565684e-05,1.06560793107e-05,1.1611356651e-05,0.000279157780893,3.24894374409e-05,5.51935005424e-08,9.86124579056e-05,5.6357077009e-05,5.2251976663e-05,8.06529119081e-05,6.64606349473e-05,0.000430565397156,5.03615316161e-05,0.000122646619923,1.95229014328e-05,0.000156664759878,3.55423896502e-05,-5.76213759812e-06,3.82529962147e-05,5.80844469644e-05,-4.97335909672e-05,3.72981791079e-05,2.33139749373e-05,7.1686516858e-05,2.32618656071e-05,6.94860988585e-05,3.15129646148e-05,2.97174006345e-05,2.09088140371e-07,4.15231260111e-05,-2.01801945634e-05,2.46522618413e-05,5.05673381941e-05,9.66650466341e-05,3.61992630795e-05,2.99663712611e-05,5.41233688665e-05,7.02710954075e-05,2.94198878562e-05,7.35961335859e-05,2.74431852232e-05,5.79057965322e-05,-3.99996860919e-05,7.74591117529e-06,5.22881093497e-05,-1.16012436493e-05,6.12980987439e-05,2.72213907523e-05,1.81113846601e-06,4.85843774436e-05,5.23361075986e-05,2.88062144706e-05,5.15127302303e-05,-5.71055763348e-06,6.07815329892e-05,7.83165424344e-06,1.0759274809e-05,4.581332539e-05
JWN,2.46131397529e-05,3.11586702339e-05,5.62194823952e-05,3.69436535246e-05,4.97981693082e-05,0.000512521348157,0.000115812660735,-3.73885532154e-05,0.000112871455966,6.26239493557e-05,4.32158781441e-05,-3.90637969454e-06,3.74536797322e-05,7.628892841e-05,-3.12675069656e-06,7.92145855044e-05,1.53917934761e-05,6.03070147739e-05,2.41028578823e-05,3.31013785233e-05,4.86448100494e-05,0.000243390713161,4.56284223718e-05,6.12569726965e-05,7.64923455995e-06,4.6112000743e-05,4.29908239969e-05,3.70839920808e-05,-1.58604709075e-05,2.86400972113e-05,4.71447848828e-05,2.84147590615e-05,5.75202630563e-05,0.000286587802286,8.17023352117e-05,9.80261108032e-05,-7.42541903618e-06,0.000111503991257,1.41654496183e-05,0.000116910697226,3.68029630354e-05,2.69906163943e-05,2.17440416677e-05,7.21083105929e-05,2.31069092099e-06,-0.000125667799577,4.8656004655e-06,5.44242256354e-05,7.82561393123e-05,-2.1652290932e-05,3.75049044306e-05,-2.83190390431e-05,1.29900909499e-05,7.50318079612e-05,9.29104714625e-05,5.49604872342e-05,5.11835650707e-05,9.66045122813e-06,-6.14915611964e-06,4.65363196707e-05,6.83681732676e-05,8.53635220796e-05,5.3422396412e-05,-1.78387560184e-05,-9.37688778992e-06,0.000106032046919,-2.64232227204e-05,8.41986359746e-06,5.25627488968e-05,7.81332055317e-05,4.19364816192e-05,5.58910166015e-05,5.0501963871e-05,1.28808719269e-05,3.09939237621e-05,4.14765963984e-05,5.79818351063e-05,1.60014989458e-06,8.97113402236e-05,1.92002709953e-05,1.46635560669e-05,7.00082818804e-05,1.93462022668e-05,4.92989091087e-05,5.8211435381e-06,0.000102849466936,2.49938869514e-05,5.8820124157e-05,1.8633169768e-05,7.94978834189e-05,-3.02109009489e-06,7.39847806942e-05,-2.84762327979e-06,1.79022924519e-05,6.33162461056e-05,3.25760191858e-05,0.000116650348248,5.19403936701e-05,7.15220978774e-05,7.32387469382e-05,4.5704840728e-05,3.59323991266e-05,2.84238996214e-05,0.000156114633614,2.35629342562e-05,-8.090272799e-06,4.60600966206e-05,2.00749092257e-05,2.31842653575e-05,9.8379570173e-05,2.02450478238e-05,0.000378203756343,7.46827798837e-05,2.97573901361e-05,1.3763425095e-05,4.00032764785e-05,4.19067454004e-05,3.34258130101e-05,3.00693379978e-05,8.30611127187e-06
PAG,2.04418647823e-05,5.14143043224e-05,5.04825273424e-05,5.83958991531e-05,6.59592358308e-05,0.000115812660735,0.000281409234849,2.87623760923e-05,7.57090751365e-05,6.25594585247e-05,7.90195875962e-05,2.05335250531e-05,2.47342141972e-05,7.95690765943e-05,1.63858794012e-06,6.36812927552e-05,4.47144467051e-05,4.44199955407e-05,3.57590187308e-05,5.68239816759e-05,5.79790284831e-05,0.000119063857263,7.09333020572e-05,3.83894824674e-05,4.70945024491e-05,6.80088454723e-05,3.45176972992e-05,7.01554887557e-05,-2.63819335204e-06,3.68941144397e-05,4.82384846085e-05,1.27278216353e-05,7.05416335978e-05,0.000145068948322,8.90826171812e-05,8.03024960937e-05,7.9888513384e-05,9.95680488876e-05,7.19345663566e-05,7.85262065867e-05,3.4641086757e-05,4.66282448918e-05,1.8213802226e-05,6.77195327243e-05,2.41479507756e-05,9.58223154196e-05,2.63676568518e-05,3.43940874227e-05,7.53400099411e-05,-2.53880353693e-06,6.67018795891e-05,9.01784190852e-05,4.35157539194e-05,3.9119069311e-05,0.000100506027146,2.21575923049e-05,6.33614226527e-05,7.46491142032e-06,2.30404475206e-05,3.6593997029e-05,8.96724109654e-05,9.08317132026e-05,5.03942461182e-05,-1.18895492412e-05,6.1960617566e-06,6.37473492705e-05,7.51081104899e-05,3.0364058748e-05,5.13273030853e-05,2.84120189216e-05,7.27911903517e-05,8.117440939e-05,7.86170332993e-05,7.86690684414e-05,4.29030903379e-05,2.74568607603e-05,4.76771649202e-05,3.53521309162e-05,2.52676068997e-05,2.89976020904e-05,6.08566367669e-05,9.00076781749e-05,3.63721675242e-05,3.89562724472e-05,2.53663426551e-05,6.90728822102e-05,3.61657137195e-05,8.70481271807e-05,3.95358197947e-05,5.09758494153e-05,1.81726567456e-05,6.13856966619e-05,1.03787863677e-05,3.80073557878e-05,5.37068818802e-05,2.69771223946e-05,8.75570085437e-05,6.33488201396e-05,4.43427294602e-05,9.385469454e-05,6.08259047214e-05,5.41155060041e-05,2.27367260777e-05,7.28758217852e-05,7.25885178727e-05,-1.10668222864e-07,4.59363120484e-05,2.72154502549e-05,5.61608246962e-05,5.09244995013e-05,3.05077258649e-05,0.000140559886409,7.22473019988e-05,3.9388882144e-05,1.85563656058e-05,6.39746613907e-05,3.49657142799e-05,4.17244702374e-05,3.993135418e-05,3.62475522313e-05
TAP,1.34927969734e-05,6.66642823109e-06,2.89501742887e-05,2.59547945612e-05,5.10159399064e-05,-3.73885532154e-05,2.87623760923e-05,0.000109510895918,1.51274726726e-05,2.25698860339e-05,2.5047227856e-05,1.68305078795e-05,-5.36010138331e-06,6.49503615353e-06,1.8748915913e-05,1.8374969255e-05,1.5907872795e-05,1.47982681231e-05,1.23636662333e-05,2.34511492534e-05,2.58384338346e-05,1.69325144893e-05,2.53923691026e-05,1.26318894344e-05,3.18164545038e-05,3.06795230318e-05,1.01724649213e-05,6.47481786108e-06,3.28959023543e-06,1.99442956046e-05,2.83174819207e-05,3.26224537653e-05,1.67804129176e-05,1.00448322077e-05,3.75543471797e-05,3.71703093632e-05,8.11513736633e-06,1.58011424884e-05,1.48950379798e-05,1.88010885144e-05,8.98735478006e-06,3.6361583752e-05,-3.27520575377e-06,1.59238137015e-05,5.98476125601e-06,-3.12290037008e-05,1.59676904718e-05,2.97304412485e-05,-1.48869955099e-05,1.97986400533e-05,4.0484165427e-05,9.98070583893e-05,2.09175840959e-05,2.56992005588e-05,2.66091294744e-05,2.72570415236e-05,2.37330577704e-05,1.99173040946e-05,1.52089830165e-05,1.38466162944e-05,1.54165422603e-05,2.35162152739e-05,2.89470550771e-05,9.56469442026e-06,1.59812881474e-05,4.16094590472e-05,2.27093378887e-05,9.14237851885e-07,1.91313752331e-05,-1.52580137469e-05,2.42747777681e-05,3.27020487313e-05,1.88328402013e-05,0.000100118303361,3.45362997931e-05,2.00330697928e-05,1.417847921e-05,4.14881590076e-05,2.38092055212e-06,1.56077882539e-05,1.19772961205e-05,1.52571314222e-05,1.37035525541e-06,-2.88341360922e-06,8.4698914029e-06,5.6564053353e-06,2.06169673299e-05,4.54618400757e-05,3.84881109558e-07,1.54738496136e-05,9.08720780175e-06,8.74193303572e-06,1.01702591919e-05,2.23839567742e-05,2.15350816926e-05,1.4284824603e-05,1.8522249549e-05,8.15933649052e-06,-1.29107036581e-05,8.29223021429e-06,2.24483896606e-05,3.46733567332e-05,1.6751028094e-05,6.34706239214e-06,-2.73722139774e-06,6.28862421253e-06,2.13154157033e-05,1.65090820815e-06,2.02854532862e-05,1.79938814627e-06,1.23003682861e-05,7.45536014217e-06,9.88289454794e-06,1.18508288424e-05,6.60189582782e-06,2.92057297022e-06,9.06330124037e-06,1.64209629908e-06,2.19500649885e-05,1.33533962304e-05
BC,1.28059194687e-05,5.54252225539e-05,7.43397824688e-05,5.50552184591e-05,5.35342187113e-05,0.000112871455966,7.57090751365e-05,1.51274726726e-05,0.00025738208637,9.87253561499e-05,8.48727855163e-05,5.91163046194e-06,4.58341801005e-06,7.80975399917e-05,7.03442460972e-06,4.63881334999e-05,2.63377661274e-05,4.8292798276e-05,1.03920304713e-05,4.7530811444e-05,2.23772705419e-05,0.000121600318767,6.71397773699e-05,-1.24737842733e-06,3.24187961626e-05,5.6566698966e-05,4.42083649066e-05,8.37749560646e-05,8.05463444754e-06,4.76438229358e-05,4.760256548e-05,2.93804725534e-05,7.66740296459e-05,0.000104377371869,7.29025190368e-05,0.000123001798447,7.48997694914e-05,7.29279006279e-05,5.00143558014e-05,6.24968416462e-05,4.82140387352e-05,9.45053694628e-05,2.55625455153e-05,5.93896456257e-05,1.31278246399e-05,0.000108460168833,3.32925293324e-05,4.67528795137e-05,8.01445844936e-05,8.74990281255e-06,5.55053607926e-05,7.11144621538e-05,6.71645877875e-05,4.06729689866e-05,7.67175940172e-05,5.41662639511e-05,9.92742615199e-05,5.7226275378e-06,1.75343126667e-05,3.72812840438e-05,8.95145195716e-05,8.85689535025e-05,9.24099228833e-05,-1.35354882395e-05,-1.0308180524e-06,7.84211613043e-05,2.04185413713e-05,6.55825815225e-05,2.29661875668e-05,4.02420317836e-05,4.36280851345e-05,9.35832952919e-05,7.26920536255e-05,5.43988353838e-05,3.79509546293e-05,3.23402468539e-05,8.13238879685e-05,6.68427351681e-05,2.82416559571e-05,2.39317335941e-05,6.13805657787e-05,6.99975287493e-05,8.41145663656e-05,4.79372402305e-05,-1.43041369681e-05,9.60169194224e-05,2.93318754236e-05,9.34852540196e-05,8.14796930381e-05,7.31752753607e-05,2.31127165817e-05,6.24962445864e-05,1.41515916636e-05,3.77301147726e-05,7.37374839348e-05,2.84668921661e-05,0.000133467607044,3.75365209002e-05,4.67232843008e-05,8.97667308964e-05,6.54314627241e-05,3.63366555842e-05,1.98815547972e-05,5.15395232754e-05,8.66791003703e-05,-6.16113764419e-06,6.0246993142e-05,6.1533543412e-05,6.55783965667e-05,4.14356197647e-05,2.47964515499e-05,0.000116648158546,5.65508446143e-05,3.33201992805e-05,1.6406899332e-05,4.97722851794e-05,4.31819213567e-05,3.03363604126e-05,6.19326275105e-05,2.63962618247e-05
UAL,1.81808215502e-05,5.45184769226e-05,5.62005590353e-05,7.13276837472e-05,3.12619384934e-06,6.26239493557e-05,6.25594585247e-05,2.25698860339e-05,9.87253561499e-05,0.000327473932301,4.76075407797e-05,1.86490904724e-05,7.19222563855e-06,3.44303249509e-05,1.46708482732e-05,2.44391653604e-05,8.84636202697e-06,3.63568315343e-05,1.66998399179e-05,7.11199247482e-05,2.11015504117e-05,4.633973658e-05,5.42313318706e-05,-1.50659067338e-05,2.68846152723e-05,4.3857048552e-05,4.0315693937e-05,7.86228657888e-05,1.92224930594e-05,5.27995641364e-05,-1.73690730421e-05,5.60264508472e-06,7.59468515025e-05,6.66960207719e-05,5.86814224284e-05,9.29168117574e-05,0.000104252000377,4.48906041527e-05,8.05085900914e-05,4.82653314521e-05,3.99884876752e-05,9.15795218968e-05,1.67287217611e-05,4.21472225747e-05,2.77865771103e-05,3.71480271077e-05,5.93047373233e-05,6.28925259717e-05,5.82857848522e-05,2.98179910568e-05,3.20914060034e-05,9.02400221152e-05,7.20000128488e-05,5.13643311021e-07,-4.5223886898e-05,5.39144891999e-05,4.68827160237e-05,2.1824941324e-05,2.95971792591e-05,6.97375206936e-05,6.5214336184e-05,4.88618453281e-05,8.09485234982e-05,1.65115058745e-06,3.57252075121e-07,-2.62815112518e-05,1.90330131806e-06,5.29596068524e-05,2.50346269564e-05,6.06413883325e-05,4.34346544814e-05,7.7371106397e-05,5.70807520878e-05,-1.9327686976e-05,2.89530197553e-05,-6.8357291723e-06,7.53698778249e-05,3.05922594365e-05,-7.05135062146e-06,3.29551572434e-05,6.26109647714e-05,2.74989612706e-05,5.46564425789e-05,4.21920098917e-05,8.14897199584e-06,6.38743872379e-05,-5.99786221813e-06,1.79212503919e-05,8.1984261112e-05,6.73813734102e-05,3.42165370495e-05,5.74226569287e-05,3.12775639855e-05,3.9770108951e-05,5.59352209074e-05,4.75986245122e-06,0.000259709943927,5.51580238874e-06,7.53847095881e-05,7.78429246377e-05,4.85236616928e-05,5.49919348617e-05,1.51301863934e-05,2.05770872334e-05,0.000101503842605,-1.40850401454e-06,5.20903143329e-05,5.90841824006e-05,5.84465673029e-05,4.66548980865e-05,4.98436448543e-05,7.04831088077e-05,7.04981296246e-05,3.29524024909e-05,6.71670401338e-07,8.12431491762e-05,3.71600267154e-05,9.26678817066e-06,4.10267109451e-05,1.85440249815e-05
