Date,AAL,ADM,AES,AGN,ALKS,AMAT,AMD,AMGN,APD,ARNC,AVT,AXP,AXS,BAC,BC,BEN,CA,CAH,CASY,CELG,CL,CMCSA,COLM,CRI,CSCO,CVS,CVX,CXO,DIS,DISH,EGN,ETR,F,FCNCA,FLS,FSLR,FTI,GE,GPC,GPS,GRMN,GWR,GWW,HAIN,HAS,HD,HHC,HOG,HPE,HRL,INTC,JLL,JNJ,JWN,KHC,KMB,KMI,KSS,LAZ,LEG,LLY,LMT,LNG,LOW,LPX,LUK,LVLT,LYB,M,MAS,MD,MDLZ,MDT,MLM,MMM,MO,MS,MUR,NFX,NKE,NUAN,NWL,NWS,OTEX,PAG,PCLN,PDCO,PEP,PM,QCOM,RPM,RTN,S,SEE,SJM,SKX,SLB,SNA,SON,STX,SWKS,T,TAP,TGT,TRIP,TWTR,UAL,UHS,UNP,VIA,VMC,VRSK,VSAT,WAB,WHR,WPX,WTM,XOM,XRAY,Y
2017-03-01,46.8937,45.804726,11.110501,243.797073,59.709999,36.68272,14.96,175.775223,141.756104,29.404261,46.359421,81.278244,70.101265,25.287176,60.581528,42.844749,32.233685,81.124268,115.507912,123.699997,72.660271,37.279842,55.110126,86.770668,33.826538,79.66629,111.611824,134.529999,110.220055,61.990002,54.580002,73.878746,12.362485,367.018951,47.47987,35.02,33.189999,29.641287,94.417465,23.850277,50.324032,75.440002,248.499573,35.59,96.857048,144.102859,118.160004,57.55064,13.316682,34.912037,35.398949,117.187485,122.266281,44.819008,90.160019,130.232788,21.506931,40.272419,43.291416,48.845982,82.784035,265.083008,48.0,80.658112,23.940001,26.952765,57.650002,91.086052,31.480318,34.369423,71.410004,43.422298,80.732201,220.985184,187.653442,73.604614,46.352238,28.764706,36.740002,57.376595,17.139999,49.150127,13.19791,32.896793,49.98238,1733.180054,45.347954,108.224144,107.261314,55.835575,53.764236,152.998764,8.84,46.780487,138.953506,25.74,81.040039,171.324402,53.548782,47.179504,96.172729,41.009735,98.773735,56.570816,41.470001,15.79,75.389999,125.334503,108.86908,45.236233,123.860825,84.32,69.019997,81.116524,175.832581,13.27,945.96228,81.453835,64.227142,655.049988
2017-03-02,45.529411,44.790344,11.384592,243.469086,61.16,36.32436,13.9,175.607574,138.678101,28.408855,45.866131,79.472511,69.3797,25.01943,60.104507,42.302288,32.115578,80.867203,115.059944,122.239998,72.937225,37.140999,55.228981,87.343094,33.777428,80.307961,111.102188,132.429993,109.773376,60.82,52.720001,73.839645,12.33326,361.283936,46.433319,35.52,33.139999,29.641287,93.73307,24.634504,49.727917,73.730003,244.655441,35.279999,96.461433,145.350571,117.169998,57.787151,13.184548,34.842747,35.379242,116.389824,122.03923,45.851025,90.012108,131.46434,21.585966,40.416321,42.28989,48.425236,81.855995,263.710052,46.669998,79.618324,23.719999,26.308672,56.98,90.351807,31.738277,34.140694,71.089996,43.165947,80.653503,218.166214,187.683105,73.721436,45.827415,27.636101,36.77,57.406387,17.09,48.882584,13.050173,32.946388,49.716354,1734.369995,45.130554,108.598923,106.852592,55.208759,52.646828,152.731506,8.73,46.373444,139.210297,25.860001,79.739777,169.570023,53.154976,46.645538,94.204338,41.038998,97.614128,56.688198,40.82,15.79,73.279999,122.609413,107.821022,43.807205,120.813599,83.669998,68.699997,79.81028,175.605423,12.87,936.702454,81.728561,63.380741,648.650024
2017-03-03,46.624825,44.514587,11.30628,244.13501,60.970001,36.702629,13.03,177.708115,137.642227,27.960922,45.747742,79.254234,68.915115,25.227676,60.28339,42.095165,31.967941,81.915245,113.397453,123.660004,72.788849,36.912899,54.515842,86.079826,33.679211,79.982185,111.288399,132.410004,110.418571,61.18,52.740002,73.683243,12.323518,364.07663,45.92979,34.610001,32.52,29.572559,92.589142,24.20318,49.535618,73.919998,246.291656,35.360001,96.679024,145.213013,117.529999,57.964531,13.241998,35.011021,35.369392,116.070755,122.197182,45.556164,90.229057,130.633499,21.487175,39.658455,42.230976,48.415451,82.714928,264.470612,47.5,80.88588,23.690001,26.42758,56.84,90.302849,30.352951,33.872181,72.029999,43.116646,80.525627,216.8414,187.109833,73.575401,46.37204,27.518333,36.57,56.313877,17.17,48.89249,13.050173,32.926548,48.977409,1735.099976,44.468468,109.042747,107.251587,55.277317,53.16103,152.187088,8.9,45.966396,138.755981,25.59,79.493515,168.985214,53.026981,46.683678,94.363396,40.980465,98.962036,56.101265,41.740002,15.75,75.589996,125.354469,107.791359,43.560818,120.962975,83.949997,68.790001,79.660713,175.694305,12.86,927.882141,80.904404,63.091972,645.109985
2017-03-06,45.12112,44.081257,11.276914,240.884918,60.200001,36.692677,13.04,176.978348,137.435043,27.572716,45.412304,78.877205,67.946426,25.039261,59.99519,41.799278,32.302582,80.778214,113.686142,123.519997,72.986679,37.131077,54.555462,86.366035,33.58099,79.814362,110.91597,134.039993,109.852783,61.23,53.27,73.282478,12.196873,358.401489,45.564487,33.330002,32.279999,29.454741,92.080742,23.909094,49.766369,73.099998,248.696716,35.490002,95.976807,144.544983,116.940002,56.742569,13.253487,34.644779,35.04427,114.375702,122.11821,44.720722,89.893776,130.32074,21.497055,38.307014,41.808765,47.975132,82.764297,264.431091,47.549999,80.232285,23.450001,26.288855,56.25,89.62735,29.321121,33.275486,70.959999,43.037769,80.210846,213.843124,186.704605,73.585144,46.114586,27.704798,36.189999,56.383404,16.959999,48.535755,13.050173,33.075314,48.011852,1730.209961,43.302406,108.125519,106.784477,55.287113,52.528164,151.761475,8.78,44.963676,138.262146,25.459999,79.513214,167.51828,52.357498,46.254597,94.890289,40.931694,97.356453,54.878479,41.599998,15.56,73.139999,126.33271,108.196747,43.462261,119.718185,82.870003,68.660004,79.730515,173.580734,13.05,926.563599,81.267426,62.484547,644.52002
2017-03-07,44.65308,43.785809,11.090922,238.141724,58.799999,36.802177,13.05,174.927109,137.760605,26.856022,45.047268,78.956581,67.906891,24.999596,59.697052,41.799278,31.465982,80.293747,109.286034,122.080002,72.917442,37.111244,54.446156,85.694916,33.590813,79.774879,109.583054,133.539993,110.041382,64.0,53.290001,73.311806,12.138421,352.975677,45.416386,32.630001,31.9,29.317286,91.43544,23.703236,49.525993,72.300003,247.001343,35.110001,96.13504,144.32753,116.330002,56.939655,13.109865,34.4963,35.27087,114.954018,122.236671,43.275894,89.538773,130.369614,21.368624,38.413963,42.250614,47.779438,81.688148,265.734894,47.060001,80.054039,23.389999,26.417671,55.459999,89.314064,29.43577,33.06665,70.169998,42.623661,80.073128,209.111649,186.892395,74.091415,45.87693,27.223913,35.860001,56.164902,16.67,48.089832,12.803944,32.976139,47.716274,1736.459961,43.62851,107.819771,107.582466,55.561344,52.488613,152.909668,8.3,44.090015,137.452255,25.26,78.754723,166.973145,52.003067,46.035294,94.492638,40.853653,96.127472,53.939384,41.310001,15.18,72.639999,123.527756,107.138802,43.955029,117.875908,81.839996,66.080002,79.271835,173.215286,12.85,921.339294,80.963264,62.285389,640.359985
2017-03-08,44.702869,43.322937,10.836409,237.982681,57.400002,37.021175,13.22,175.321564,137.681686,26.726622,44.780891,78.420815,68.035393,25.049179,60.362892,41.97681,31.54472,80.283852,108.171082,123.040001,72.363541,36.803806,54.863518,87.082535,33.414021,80.001938,107.42688,126.610001,110.02153,63.990002,51.0,71.640289,12.206614,349.255463,45.386768,32.66,31.59,29.258375,91.735817,23.752251,49.987511,70.690002,246.567657,35.09,96.313072,145.217087,115.809998,57.678745,12.994967,34.298332,35.093529,115.701828,122.503197,44.376717,89.637383,130.310547,21.032734,39.386219,42.142605,47.662014,82.34964,264.431091,45.09,80.539284,23.68,26.496944,55.349998,87.904305,30.352951,33.633507,70.290001,42.534924,80.879761,210.028061,187.307526,73.838272,45.93634,25.388706,33.919998,56.125172,16.91,48.307838,12.606959,32.847206,48.809917,1743.48999,43.845909,107.800049,106.774742,56.579918,53.16103,152.543442,8.41,43.762398,136.731277,25.940001,76.932388,167.51828,52.062141,45.873199,96.123016,40.746353,95.909431,53.821995,43.830002,15.24,73.440002,123.587646,105.507393,45.088402,118.612823,80.709999,64.889999,78.992638,173.867142,11.89,922.428101,79.501381,62.424797,640.630005
2017-03-09,43.149376,43.746414,10.82662,238.71817,57.080002,37.210316,13.33,176.445801,136.714874,26.368275,44.583576,78.67878,68.144127,25.138428,59.856056,41.83873,31.623461,81.015511,107.533951,125.129997,72.571251,37.071575,54.813831,86.468018,33.463131,79.66629,107.848312,127.75,110.210129,63.509998,51.209999,71.503441,12.177389,348.846527,44.646282,32.48,31.5,29.12092,91.538857,23.654221,50.10289,69.849998,240.525452,34.939999,96.283401,144.920563,115.419998,57.89555,12.908793,34.199345,35.290573,114.694771,124.329384,43.904934,90.258629,130.665009,21.012976,38.676472,42.584457,47.162991,83.475143,265.379303,44.919998,80.380836,23.629999,26.506853,55.860001,87.620399,30.123655,33.524113,69.660004,43.185665,81.440468,207.348557,187.692978,74.179039,46.223507,26.154194,34.57,55.976196,16.870001,48.000652,12.606959,33.045563,48.208908,1749.420044,43.885437,107.52388,107.319702,56.775803,52.617161,152.563232,8.31,44.526844,137.965836,25.73,77.523415,166.854202,51.993225,44.509686,96.570381,40.912186,95.929253,53.998077,43.59,15.22,72.540001,123.717415,104.983368,45.039124,116.412048,80.050003,65.809998,78.244789,174.222687,12.22,920.020813,80.129303,62.554249,640.900024
2017-03-10,43.716999,44.357018,10.914721,239.682266,57.220001,37.946953,13.91,178.930969,136.902313,26.706713,44.93026,78.758148,68.015617,25.098761,60.184013,41.99654,31.889204,81.114388,108.728554,124.0,73.451569,37.012074,55.141758,87.895279,33.649746,79.370132,108.40696,126.699997,110.100937,62.049999,50.740002,71.953087,12.206614,351.18042,45.416386,32.400002,31.700001,29.729652,91.794914,23.791462,50.487476,70.190002,241.649124,35.73,96.402092,145.147903,116.199997,59.176643,12.851344,34.714066,35.379242,114.545212,124.586044,43.688705,90.238914,131.826813,21.240194,39.337608,42.800472,47.789219,83.287552,265.359558,45.549999,80.786858,23.809999,26.506853,56.470001,87.904305,30.314734,33.742901,69.959999,43.234962,81.686386,211.980423,188.987762,74.432167,46.035366,26.075682,34.310001,56.045719,16.91,48.228565,12.606959,33.333172,48.169495,1754.23999,44.043549,108.08606,107.572731,57.431995,53.190701,152.810699,8.28,44.884251,137.768326,26.24,77.513565,168.340958,52.505184,45.081783,97.604286,41.312134,96.236488,54.154594,43.599998,15.12,72.339996,121.601219,105.082245,44.940567,118.254326,79.940002,65.589996,77.327431,175.55603,12.34,920.989685,80.070442,63.131802,642.469971
2017-03-13,42.193371,44.022171,10.787464,239.185318,55.549999,38.265503,14.28,178.546356,135.965118,26.676849,45.098648,78.589485,68.065048,25.088844,59.47842,41.986671,32.086048,81.618629,108.171082,124.43,73.095482,36.992237,55.231194,88.152985,33.492592,79.409622,107.17205,128.850006,110.696503,61.98,50.59,72.412514,12.216357,350.552032,45.633598,32.84,31.790001,29.317286,92.710793,23.075855,50.341843,70.129997,242.822083,35.439999,96.619682,145.721176,116.900002,59.629951,12.859988,34.585388,34.640327,112.91996,125.049995,42.85326,89.913498,131.679123,21.250074,38.705643,44.882072,48.331158,83.070351,265.883026,45.959999,80.786858,23.91,26.685217,56.950001,88.286118,29.877687,33.494278,70.360001,43.589916,81.538834,214.092148,189.294174,74.245705,45.807613,25.908844,34.509998,56.284081,17.09,48.109653,12.458058,33.779469,48.169495,1767.119995,44.715515,107.908539,108.039841,57.255703,54.248775,153.038345,8.48,44.715481,137.39299,26.459999,77.415062,169.252838,52.465797,45.358307,98.459236,41.331646,96.623024,53.988293,43.509998,15.21,69.849998,121.760941,105.25032,44.346642,119.090813,79.760002,65.300003,78.045357,176.020233,12.4,918.592285,79.884018,63.66951,642.599976
2017-03-14,41.038212,43.992622,10.767886,237.992615,55.66,38.096275,14.1,177.629211,134.347168,26.547449,45.148178,79.065727,68.045273,25.108677,59.090839,41.848591,31.820309,81.66806,108.658875,124.68,72.848206,37.101326,55.767807,87.58802,33.512238,78.866661,105.221687,128.5,111.480675,62.459999,50.0,72.197464,12.226099,348.9263,44.912857,32.07,31.370001,29.003101,92.631996,23.2327,49.924355,67.620003,241.028137,35.610001,97.104317,145.4543,115.279999,59.225914,12.808133,34.347824,34.660034,110.666542,125.415237,43.030178,89.795158,131.482193,20.785755,38.74453,44.685696,48.498669,83.386284,264.707642,44.400002,81.143356,23.629999,26.546492,56.82,86.719719,29.926035,33.494278,70.410004,43.244827,81.174866,210.844849,188.117996,73.94146,45.7383,25.781263,34.389999,56.889931,16.940001,47.505188,12.606959,33.66045,48.484779,1769.0,44.646339,107.839493,107.796547,57.020653,54.614658,152.83049,8.37,45.172165,137.205353,26.16,77.208199,167.954391,52.091675,44.528751,98.210701,41.058506,96.246407,53.557877,42.259998,15.32,66.550003,119.834404,103.193764,44.643604,117.447708,79.349998,64.790001,77.128006,176.583191,12.01,916.744385,79.462128,63.390701,641.890015
