Date,XRX,XYL,YUM,ZBH,ZION,ZTS
2017-03-01,28.839523,49.234039,64.998573,118.18615,46.314316,53.692272
2017-03-02,28.449274,48.578243,64.641708,117.321304,44.751595,53.174179
2017-03-03,28.722448,48.41927,64.46328,117.579758,45.149742,53.223991
2017-03-06,29.073673,48.220539,63.937897,116.526031,45.119884,52.885242
2017-03-07,28.722448,48.468948,63.462078,116.376923,45.070114,52.875278
2017-03-08,29.034649,47.246792,63.521564,116.903786,45.050205,52.805538
2017-03-09,28.800501,47.366028,63.253914,118.474426,45.070114,53.493
2017-03-10,28.722448,47.952263,63.749554,119.369102,44.701828,53.144291
2017-03-13,28.527323,48.210606,63.818943,119.080818,44.82127,53.363483
2017-03-14,28.566349,47.743603,63.392693,117.977394,44.283775,53.223991
2017-03-15,28.449274,48.250351,63.353043,118.941643,43.865723,54.080837
2017-03-16,28.917574,48.43914,63.263828,118.703072,44.154381,54.230289
2017-03-17,28.722448,48.846527,63.313389,120.949692,43.557156,53.801868
2017-03-20,28.995625,48.518631,63.511646,120.92981,42.989799,54.080837
2017-03-21,28.098047,47.753544,63.17461,120.263779,40.650696,53.194107
2017-03-22,28.019997,48.965759,62.768185,120.6614,40.541203,53.672344
2017-03-23,28.098047,48.578243,62.629406,119.68721,40.700462,53.6026
2017-03-24,28.059023,48.906143,63.025921,119.945671,40.720367,53.652416
2017-03-27,27.863895,48.786907,62.956528,119.577858,40.590973,53.771976
2017-03-28,28.6444,49.353271,63.908165,120.472534,41.108562,53.961281
2017-03-29,28.616846,49.075058,63.491825,120.890877,41.128468,53.622528
2017-03-30,29.049839,49.58181,63.462078,120.880913,42.183556,53.273811
2017-03-31,28.892385,49.899769,63.343132,121.627953,41.805317,53.174179
2017-04-03,28.53812,49.134678,62.996178,120.870949,41.576385,52.974911
2017-04-04,28.380667,50.048809,63.283653,120.293243,41.466892,52.560619
2017-04-05,28.183853,50.108425,63.313389,119.705574,40.859718,52.580582
2017-04-06,28.065763,50.595303,63.987469,119.725494,41.307632,52.580582
2017-04-07,28.0264,50.505878,63.719818,119.406754,41.327541,52.450806
2017-04-10,27.86895,50.416451,63.571125,119.556168,40.740276,52.650467
2017-04-11,27.86895,50.346893,63.889832,119.107941,40.750229,52.760277
2017-04-12,27.672136,49.065125,63.770313,118.699554,40.003704,53.12965
2017-04-13,27.672136,48.56831,63.531288,119.058136,39.267139,53.009853
2017-04-17,27.632772,49.144611,63.630882,120.681702,39.993752,53.409176
2017-04-18,27.632772,48.816719,63.7006,119.097977,39.645378,53.459091
2017-04-19,27.317869,49.015442,64.278244,119.785255,39.794678,53.758579
2017-04-20,27.435957,49.899769,64.776222,121.36898,40.88958,54.197834
2017-04-21,27.239143,50.327026,64.557114,120.711586,40.660645,54.098003
2017-04-24,27.790224,51.141796,65.453461,122.783371,41.765499,54.896648
2017-04-25,27.514683,51.479626,65.71241,123.998558,40.302319,55.026424
2017-04-26,27.947676,51.121922,65.612808,124.825279,40.98912,55.475662
2017-04-27,28.0264,51.29084,65.742287,117.633781,40.471531,56.364151
2017-04-28,28.301943,51.082176,65.483337,119.177666,39.844448,56.014744
2017-05-01,27.790224,50.992752,65.483337,120.34304,40.332176,56.184456
2017-05-02,27.711498,50.088554,66.070946,120.153786,39.794678,56.374134
2017-05-03,27.396595,49.641422,67.973198,118.958534,40.391899,55.495628
2017-05-04,27.278505,51.191475,68.700241,116.388718,40.481483,58.770058
2017-05-05,27.829588,51.966503,69.018944,116.079941,40.561111,59.369041
2017-05-08,27.987038,51.867142,68.859589,116.448479,41.009026,58.710163
2017-05-09,27.711498,51.519371,68.481133,118.191574,40.740276,59.329109
2017-05-10,27.947676,50.714535,68.600639,119.018288,40.750229,59.798313
2017-05-11,27.86895,50.555557,68.849625,120.542252,40.212734,59.618618
2017-05-12,27.750862,50.654922,68.620567,120.781311,39.963894,59.778347
2017-05-15,28.144491,51.956566,68.93927,121.847084,40.352085,59.89814
2017-05-16,28.105127,51.43988,69.068741,119.307152,40.551548,60.227581
2017-05-17,27.081692,51.221283,68.879517,117.255287,38.886005,59.628597
2017-05-18,27.514683,51.15173,68.819748,116.797104,39.474434,59.808292
2017-05-19,27.554047,51.678352,69.78582,117.205475,39.993042,60.207615
2017-05-22,27.475321,51.936695,70.722008,117.325012,40.102749,60.207615
2017-05-23,27.357231,52.644604,70.63237,117.344925,41.229736,61.325714
2017-05-24,27.632772,52.455166,71.658188,118.629837,40.591442,62.194237
2017-05-25,27.514683,51.976578,71.837463,118.829048,40.770966,62.473763
2017-05-26,27.554047,51.258694,71.797623,118.759331,40.34211,62.503712
2017-05-30,27.86895,51.637577,72.116333,117.962479,39.763657,62.154301
2017-05-31,27.829588,51.986546,72.345398,118.739395,39.963123,62.174267
2017-06-01,27.947676,52.285664,73.530571,122.185738,40.441841,62.533657
2017-06-02,27.86895,52.844017,73.689919,123.450729,39.993042,62.393898
2017-06-05,27.475321,53.043427,73.899063,123.440765,40.352081,62.563606
2017-06-06,27.554047,52.534927,74.018585,123.679817,40.152615,62.873081
2017-06-07,27.711498,53.302662,73.958824,123.859108,40.352081,63.152603
2017-06-08,27.554047,53.42231,73.670006,124.675873,41.279602,62.473763
2017-06-09,27.317869,53.811161,72.803528,124.516502,42.22707,62.483742
2017-06-12,27.790224,53.861015,71.618362,124.506546,42.815495,61.744999
2017-06-13,27.593409,53.631691,72.375275,124.974693,43.014961,61.959999
2017-06-14,27.278505,53.502071,72.743774,125.104172,43.114693,62.23
2017-06-15,27.347391,53.801189,72.315521,125.343224,42.755653,62.389999
2017-06-16,28.046083,53.890926,72.484825,125.422905,42.975067,62.549999
2017-06-19,28.331465,54.010571,73.630165,126.588287,43.24435,63.029999
2017-06-20,27.87879,53.721428,73.610245,126.717781,42.845413,63.0
2017-06-21,27.435957,53.382427,74.098259,128.254608,42.217098,63.0
2017-06-22,27.524523,53.691513,74.237694,129.122803,42.187176,63.509998
2017-06-23,27.987038,54.170105,74.516556,128.82341,41.818161,62.779999
2017-06-26,28.725094,54.519073,74.436874,128.793488,42.22707,62.720001
2017-06-27,28.518438,54.3396,73.670006,127.985153,42.426537,62.759998
2017-06-28,29.074316,54.80822,73.849274,128.244614,42.855389,62.950001
2017-06-29,28.905567,54.738426,73.152107,127.6259,43.872669,62.5
2017-06-30,28.518438,55.266865,73.460854,128.134842,43.792881,62.380001
2017-07-03,28.637554,55.286804,73.052513,128.114899,44.610695,62.669998
2017-07-05,28.240501,54.778305,72.783615,127.506142,44.62067,62.549999
2017-07-06,28.141237,54.219955,72.355354,125.37056,44.002319,61.790001
2017-07-07,28.568071,54.788277,73.191948,126.847511,44.321465,62.59
2017-07-10,28.667334,54.44928,73.241745,127.136909,44.540882,62.470001
2017-07-11,28.687185,54.180073,73.670006,126.22879,45.079441,62.209999
2017-07-12,28.826157,55.157188,74.099998,126.09906,44.670536,62.560001
2017-07-13,29.024683,55.675659,73.419998,128.713638,44.879974,63.049999
2017-07-14,29.203358,55.934891,73.599998,132.2164,44.600723,63.349998
2017-07-17,29.133873,56.55307,73.57,132.336151,44.221733,63.07
2017-07-18,29.08424,56.253948,73.760002,130.909103,43.962429,62.459999
2017-07-19,29.163651,56.902039,74.150002,130.799347,43.862694,62.419998
2017-07-20,29.19343,56.762451,74.620003,129.202637,43.723068,62.75
2017-07-21,29.233137,57.450417,74.739998,129.342346,43.42387,63.16
2017-07-24,30.334961,57.550125,74.589996,128.524033,44.201786,63.290001
2017-07-25,30.801502,57.041626,74.800003,128.504089,44.53091,61.279999
2017-07-26,30.265478,56.722565,74.589996,128.434219,45.548183,62.060001
2017-07-27,30.354815,56.702625,75.610001,125.180962,45.0196,62.009998
2017-07-28,30.205919,56.762451,75.0,123.524384,45.139278,62.209999
2017-07-31,30.444153,56.563038,75.480003,121.069466,45.19912,62.52
2017-08-01,32.22097,59.125473,75.529999,120.071533,45.258961,62.27
2017-08-02,32.310307,59.743649,76.620003,117.446968,45.598053,61.540001
2017-08-03,31.863621,59.384712,74.860001,116.91806,45.368668,62.279999
2017-08-04,31.98274,59.843357,75.029999,117.68647,45.996986,62.119999
2017-08-07,32.270603,59.863297,74.989998,116.947998,45.637943,61.830002
2017-08-08,32.072079,59.663887,74.199997,114.802437,45.687817,60.0
2017-08-09,32.062149,59.534267,75.07,112.626938,45.169201,60.810001
2017-08-10,31.208483,58.806416,75.360001,109.902573,44.321465,59.740002
2017-08-11,31.426863,58.946003,75.559998,111.46933,43.992348,59.73
2017-08-14,31.893402,59.70377,76.279999,112.277664,44.870003,60.740002
2017-08-15,32.042294,59.683826,76.389999,112.73671,45.130001,61.029999
2017-08-16,32.171341,59.75362,76.419998,112.846481,45.119999,61.5
2017-08-17,31.615463,58.776505,75.540001,112.187843,43.849998,60.900002
2017-08-18,31.218409,58.856266,75.410004,111.149994,43.919998,60.75
2017-08-21,31.000029,59.135445,75.849998,112.537117,43.540001,61.349998
2017-08-22,31.26804,59.783531,76.550003,113.724663,43.990002,61.599998
2017-08-23,31.605537,59.813446,76.410004,112.048134,43.93,61.360001
2017-08-24,31.81399,59.923119,76.260002,112.616959,44.380001,61.389999
2017-08-25,32.022442,60.302002,75.830002,112.956261,44.700001,61.330002
2017-08-28,32.072079,60.98,76.209999,112.656876,44.279999,61.540001
2017-08-29,32.002594,61.110001,76.089996,112.587021,43.709999,61.5
2017-08-30,32.062149,61.549999,76.019997,112.776627,43.82,61.939999
2017-08-31,32.032372,62.07,76.82,114.034019,43.66,62.700001
2017-09-01,32.320236,61.970001,76.629997,114.093903,44.32,62.869999
2017-09-05,31.883474,61.900002,76.32,114.004082,42.759998,63.169998
2017-09-06,31.913256,62.02,76.209999,115.391212,42.610001,63.389999
2017-09-07,31.645241,62.48,76.470001,115.431129,41.330002,64.849998
2017-09-08,31.327599,62.779999,76.480003,115.461067,41.639999,64.699997
2017-09-11,31.823917,62.970001,77.800003,115.560867,42.73,65.279999
2017-09-12,32.558468,62.93,77.169998,116.189568,43.330002,65.400002
2017-09-13,32.479057,63.009998,77.129997,115.650681,43.049999,65.279999
2017-09-14,32.568394,63.009998,77.160004,115.750473,42.66,65.25
2017-09-15,32.399647,63.299999,75.25,115.231552,43.279999,65.199997
2017-09-18,32.052223,63.66,75.709999,116.059837,43.959999,65.199997
2017-09-19,32.201118,63.830002,75.760002,115.241531,44.41,64.779999
2017-09-20,32.637878,64.040001,76.370003,115.980003,45.110001,64.480003
2017-09-21,32.687511,63.93,76.480003,113.059998,45.360001,64.239998
2017-09-22,32.88604,64.75,75.970001,114.400002,45.119999,64.160004
2017-09-25,33.005154,64.459999,73.949997,114.370003,45.450001,63.669998
2017-09-26,33.461765,63.34,73.400002,114.75,45.84,63.330002
2017-09-27,33.700001,63.0,73.099998,116.25,46.59,63.209999
2017-09-28,33.860001,62.450001,73.5,115.660004,46.939999,63.32
2017-09-29,33.404999,62.709999,73.695,116.415001,47.25,63.57
