Date,XRX,XYL,YUM,ZBH,ZION,ZTS
2017-03-01,29.559999,49.549999,65.57,118.889999,46.529999,53.889999
2017-03-02,29.16,48.889999,65.209999,118.019997,44.959999,53.369999
2017-03-03,29.440001,48.73,65.029999,118.279999,45.360001,53.419998
2017-03-06,29.799999,48.529999,64.5,117.220001,45.330002,53.080002
2017-03-07,29.440001,48.779999,64.019997,117.07,45.279999,53.07
2017-03-08,29.76,47.549999,64.080002,117.599998,45.259998,53.0
2017-03-09,29.52,47.669998,63.810001,119.18,45.279999,53.689999
2017-03-10,29.440001,48.259998,64.309998,120.080002,44.91,53.34
2017-03-13,29.24,48.52,64.379997,119.790001,45.029999,53.560001
2017-03-14,29.280001,48.049999,63.950001,118.68,44.490002,53.419998
2017-03-15,29.16,48.560001,63.91,119.650002,44.07,54.279999
2017-03-16,29.639999,48.75,63.82,119.410004,44.360001,54.43
2017-03-17,29.440001,49.16,63.869999,121.669998,43.759998,54.0
2017-03-20,29.719999,48.830002,64.07,121.650002,43.189999,54.279999
2017-03-21,28.799999,48.060001,63.73,120.980003,40.84,53.389999
2017-03-22,28.719999,49.279999,63.32,121.379997,40.73,53.869999
2017-03-23,28.799999,48.889999,63.18,120.400002,40.889999,53.799999
2017-03-24,28.76,49.220001,63.580002,120.660004,40.91,53.849998
2017-03-27,28.559999,49.099998,63.509998,120.290001,40.779999,53.970001
2017-03-28,29.360001,49.669998,64.470001,121.190002,41.299999,54.16
2017-03-29,29.08,49.389999,64.050003,121.370003,41.32,53.82
2017-03-30,29.52,49.900002,64.019997,121.360001,42.380001,53.470001
2017-03-31,29.360001,50.220001,63.900002,122.110001,42.0,53.369999
2017-04-03,29.0,49.450001,63.549999,121.349998,41.77,53.169998
2017-04-04,28.84,50.369999,63.84,120.769997,41.66,52.650002
2017-04-05,28.639999,50.43,63.869999,120.18,41.049999,52.669998
2017-04-06,28.52,50.919998,64.550003,120.199997,41.5,52.669998
2017-04-07,28.48,50.830002,64.279999,119.879997,41.52,52.540001
2017-04-10,28.32,50.740002,64.129997,120.029999,40.93,52.740002
2017-04-11,28.32,50.669998,64.150002,119.580002,40.939999,52.849998
2017-04-12,28.120001,49.380001,64.029999,119.169998,40.189999,53.220001
2017-04-13,28.120001,48.880001,63.790001,119.529999,39.450001,53.099998
2017-04-17,28.08,49.459999,63.889999,121.160004,40.18,53.5
2017-04-18,28.08,49.130001,63.959999,119.57,39.830002,53.549999
2017-04-19,27.76,49.330002,64.540001,120.260002,39.98,53.849998
2017-04-20,27.879999,50.220001,65.040001,121.849998,41.080002,54.290001
2017-04-21,27.68,50.650002,64.82,121.190002,40.849998,54.189999
2017-04-24,28.24,51.470001,65.720001,123.269997,41.959999,54.990002
2017-04-25,27.959999,51.810001,65.980003,124.489998,40.490002,55.119999
2017-04-26,28.4,51.450001,65.879997,125.32,41.18,55.57
2017-04-27,28.48,51.619999,66.010002,118.099998,40.66,56.459999
2017-04-28,28.76,51.41,65.75,119.650002,40.029999,56.110001
2017-05-01,28.24,51.32,65.75,120.82,40.52,56.279999
2017-05-02,28.16,50.41,66.339996,120.629997,39.98,56.470001
2017-05-03,27.84,49.959999,68.25,119.43,40.580002,55.59
2017-05-04,27.719999,51.52,68.980003,116.849998,40.669998,58.869999
2017-05-05,28.280001,52.299999,69.300003,116.540001,40.75,59.470001
2017-05-08,28.440001,52.200001,69.139999,116.910004,41.200001,58.810001
2017-05-09,28.16,51.849998,68.760002,118.660004,40.93,59.43
2017-05-10,28.4,51.040001,68.879997,119.489998,40.939999,59.900002
2017-05-11,28.32,50.880001,69.129997,121.019997,40.400002,59.720001
2017-05-12,28.200001,50.98,68.900002,121.260002,40.150002,59.880001
2017-05-15,28.6,52.290001,69.220001,122.330002,40.540001,60.0
2017-05-16,28.559999,51.77,69.349998,119.779999,40.66,60.330002
2017-05-17,27.52,51.549999,69.160004,117.720001,38.990002,59.73
2017-05-18,27.959999,51.48,69.099998,117.260002,39.580002,59.91
2017-05-19,28.0,52.009998,70.07,117.669998,40.099998,60.310001
2017-05-22,27.92,52.27,71.010002,117.790001,40.209999,60.310001
2017-05-23,27.799999,52.799999,70.919998,117.809998,41.34,61.43
2017-05-24,28.08,52.610001,71.949997,119.099998,40.700001,62.299999
2017-05-25,27.959999,52.130001,72.129997,119.300003,40.880001,62.580002
2017-05-26,28.0,51.41,72.089996,119.230003,40.450001,62.610001
2017-05-30,28.32,51.790001,72.410004,118.43,39.869999,62.259998
