,XRX,XYL,YUM,ZBH,ZION,ZTS,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.0495,0.0195,0.013,0.024,0.01,0.038,0.0217460657334,0.00109154914684,19.9222048739
1,0.038,0.0485,0.0375,0.0305,0.0245,0.043,0.032256534556,0.00134540424224,23.975347738
2,0.0445,0.014,0.044,0.0425,0.0285,0.0475,0.0254409540942,0.00140241404369,18.1408295279
3,0.0415,0.031,0.035,0.049,0.011,0.0185,0.022628927365,0.00125468289093,18.0355749876
4,0.0495,0.017,0.0145,0.049,0.033,0.0285,0.0196047827692,0.00138346760562,14.1707566477
5,0.048,0.0175,0.0315,0.015,0.0305,0.0415,0.0246293001134,0.00118699576357,20.7492738133
6,0.01,0.0175,0.0115,0.012,0.0195,0.0155,0.0109773064367,0.000522918118018,20.9924002601
7,0.013,0.044,0.012,0.0425,0.024,0.023,0.0197861036975,0.00103131158869,19.1853790013
8,0.016,0.02,0.032,0.0425,0.038,0.03,0.0179384362415,0.00110440150561,16.242676373
9,0.021,0.017,0.03,0.0115,0.035,0.025,0.0171253562486,0.000836753819068,20.4664213755
10,0.031,0.028,0.0115,0.0245,0.0195,0.0335,0.0202998364921,0.000961646025153,21.1094685167
11,0.013,0.046,0.0425,0.0315,0.042,0.049,0.0297259493648,0.00129596010062,22.9373954882
12,0.0255,0.04,0.0475,0.0305,0.0105,0.0255,0.0257867908242,0.00105783660241,24.376912999
13,0.024,0.0435,0.0235,0.039,0.014,0.032,0.024435394082,0.00109894710462,22.2352777302
14,0.026,0.019,0.0215,0.048,0.0145,0.014,0.0143422477176,0.000998062359683,14.3700917868
15,0.0385,0.024,0.0325,0.0415,0.0185,0.034,0.023018978792,0.00121348939577,18.9692459384
16,0.0265,0.0175,0.0135,0.0105,0.031,0.029,0.0165953451267,0.000820244594025,20.2321907972
17,0.0465,0.0295,0.042,0.0175,0.0375,0.038,0.0285412888532,0.00130402868524,21.8870099839
18,0.0305,0.038,0.0285,0.015,0.0235,0.022,0.023339839005,0.000969072306529,24.0847239651
19,0.011,0.044,0.0155,0.048,0.0235,0.0425,0.0234326464258,0.00115697481864,20.253376347
20,0.041,0.0145,0.049,0.0235,0.036,0.0235,0.0217137042627,0.00117522530463,18.4762055218
21,0.0315,0.018,0.013,0.0385,0.035,0.011,0.0138065894385,0.0010502149188,13.1464419248
22,0.0195,0.035,0.0205,0.0475,0.02,0.0275,0.0201610534516,0.00108983060787,18.4992542015
23,0.0365,0.0125,0.047,0.0215,0.0365,0.0465,0.0244576803138,0.00121747887678,20.0887923235
24,0.0245,0.0415,0.035,0.0495,0.033,0.02,0.0235246251568,0.00128133366735,18.3594841502
25,0.013,0.0475,0.023,0.033,0.042,0.0135,0.0209741442018,0.0010867207321,19.3003994331
26,0.04,0.0355,0.024,0.0405,0.048,0.013,0.0220144963938,0.00135745641234,16.217460976
27,0.042,0.048,0.0355,0.0465,0.0495,0.019,0.0283353478738,0.00155699097659,18.1987874688
28,0.025,0.0235,0.0185,0.013,0.018,0.0235,0.017357195891,0.000753774607448,23.0270371535
29,0.033,0.0205,0.032,0.041,0.0265,0.0185,0.0184409972674,0.00112217749586,16.4332267715
30,0.0345,0.0495,0.0375,0.0165,0.0245,0.032,0.0301623184214,0.00117354394641,25.7019078949
31,0.017,0.0135,0.0455,0.045,0.044,0.0425,0.0205072015133,0.00126232050825,16.2456376009
32,0.0235,0.0485,0.03,0.0225,0.019,0.021,0.024919087241,0.00100346524424,24.8330347105
33,0.0415,0.041,0.0125,0.0475,0.045,0.022,0.0237089527596,0.00144438762501,16.414536063
34,0.0445,0.036,0.035,0.0305,0.0275,0.049,0.0306940608244,0.00137626999962,22.3023540677
35,0.0285,0.0475,0.03,0.0405,0.028,0.0395,0.0287524140392,0.00130957448779,21.9555392284
36,0.038,0.012,0.0355,0.0445,0.037,0.028,0.0192816408989,0.00128536414352,15.0009170523
37,0.0215,0.032,0.041,0.0225,0.0435,0.048,0.027020099436,0.00121667959156,22.2080649855
38,0.0145,0.029,0.048,0.031,0.018,0.0155,0.0194058206748,0.000908195511769,21.3674483339
39,0.029,0.0315,0.0165,0.0135,0.0225,0.016,0.0186161811491,0.000835427960946,22.2834068518
40,0.03,0.018,0.026,0.0485,0.038,0.0345,0.0195424792666,0.00127153294645,15.3692276092
41,0.0195,0.047,0.0485,0.019,0.012,0.046,0.0308607478818,0.00109162024809,28.2705894617
42,0.024,0.02,0.0135,0.0355,0.0225,0.015,0.0137619133085,0.000889437837503,15.4725971038
43,0.035,0.0345,0.0255,0.041,0.0485,0.0115,0.0208765987011,0.00131022802127,15.9335614581
44,0.0125,0.0135,0.028,0.0185,0.044,0.02,0.0137112493767,0.000838920282241,16.3439240497
45,0.0265,0.0125,0.0275,0.031,0.022,0.018,0.0145871984213,0.000889727328464,16.395133604
46,0.028,0.042,0.0425,0.0415,0.019,0.045,0.0296552887123,0.0012951141079,22.8978192203
47,0.049,0.047,0.049,0.0395,0.0115,0.042,0.034544485064,0.00147405943709,23.4349336226
48,0.022,0.0205,0.0115,0.021,0.0395,0.019,0.0146111936975,0.000876278685312,16.6741402506
49,0.0285,0.041,0.0495,0.0455,0.032,0.0305,0.0279324274849,0.0013628498437,20.4956016351
50,0.021,0.0175,0.04,0.0285,0.0385,0.0325,0.0197958696648,0.00106291549862,18.6241236396
51,0.0225,0.044,0.0485,0.019,0.029,0.0215,0.0263507321892,0.00106994110087,24.6282081956
52,0.0395,0.03,0.033,0.0345,0.044,0.02,0.02293096277,0.00129732628591,17.6755555014
53,0.0385,0.0425,0.041,0.015,0.047,0.042,0.0316645742614,0.00136093436924,23.2667900652
54,0.043,0.0185,0.0465,0.036,0.0195,0.0245,0.0224539754773,0.00120450696612,18.641631895
55,0.0275,0.0125,0.038,0.0245,0.046,0.011,0.0154448375332,0.00102250603664,15.1048864063
56,0.032,0.0375,0.0185,0.038,0.036,0.013,0.0203546337539,0.00117426120775,17.3339914659
57,0.018,0.0405,0.02,0.0445,0.0205,0.0365,0.0230728976342,0.00112360259689,20.5347492949
58,0.0245,0.045,0.0475,0.0335,0.0465,0.026,0.02777137703,0.00132582299784,20.9465193131
59,0.046,0.0235,0.0125,0.0225,0.0455,0.0135,0.0184523813252,0.00117236243043,15.7394853726
60,0.0225,0.0245,0.019,0.041,0.03,0.044,0.0208962338925,0.0011387433478,18.3502577054
61,0.0395,0.037,0.0455,0.0495,0.019,0.0425,0.0299288194276,0.00143742855764,20.8210830852
62,0.0465,0.0255,0.01,0.035,0.033,0.029,0.0211561347224,0.00125601338964,16.8438767427
63,0.041,0.034,0.0415,0.014,0.0115,0.0365,0.0280866344703,0.00108828106811,25.8082542215
64,0.035,0.042,0.015,0.022,0.0475,0.02,0.0233528740546,0.00119807852729,19.4919394035
65,0.047,0.049,0.0285,0.0175,0.025,0.0175,0.0281277039673,0.00121764418157,23.100101321
66,0.031,0.0305,0.045,0.0325,0.032,0.036,0.0260587910107,0.00123266287218,21.140241666
67,0.037,0.049,0.0395,0.0285,0.028,0.024,0.0291079389848,0.00126819521634,22.9522542033
68,0.026,0.0245,0.02,0.0125,0.0285,0.042,0.0216129606351,0.000939115934923,23.0141560071
69,0.0385,0.0475,0.0375,0.02,0.0485,0.0365,0.0315083990359,0.00139332301265,22.6138510236
70,0.013,0.0225,0.021,0.048,0.036,0.0185,0.0144375869358,0.00104608145724,13.8015895758
71,0.0265,0.0355,0.04,0.0205,0.0135,0.046,0.0276917756682,0.00105735782989,26.1895972067
72,0.0225,0.017,0.02,0.0125,0.0385,0.045,0.0197599838268,0.000961914757981,20.5423439685
73,0.028,0.022,0.0455,0.0475,0.045,0.028,0.0218903074559,0.00134477899058,16.2779963171
74,0.0105,0.04,0.025,0.019,0.0215,0.011,0.0181288474478,0.000770908510456,23.5162113297
75,0.0165,0.0105,0.042,0.0455,0.014,0.0295,0.0161334513346,0.000981045561024,16.4451601185
76,0.01,0.018,0.029,0.0155,0.048,0.012,0.0133349988844,0.000820669677503,16.2489235925
77,0.0285,0.016,0.0105,0.017,0.0295,0.0315,0.0164322160025,0.00087199336024,18.8444278956
78,0.043,0.018,0.024,0.02,0.0205,0.0265,0.0199346705903,0.00101431890001,19.6532575604
79,0.01,0.02,0.03,0.021,0.028,0.0465,0.019876675537,0.000906193332389,21.9342548952
80,0.011,0.021,0.044,0.045,0.0445,0.046,0.0220635088162,0.00126420262201,17.4525099316
81,0.048,0.039,0.0165,0.045,0.0195,0.0235,0.024523940104,0.00134153509549,18.2805058074
82,0.01,0.0175,0.0485,0.037,0.049,0.0445,0.0214841312015,0.00122321477162,17.5636623265
83,0.0445,0.031,0.036,0.0285,0.0265,0.0215,0.0244099080543,0.00120966622887,20.1790439973
84,0.029,0.0355,0.027,0.018,0.038,0.0295,0.0238451612729,0.00108279943399,22.021771091
85,0.0425,0.025,0.041,0.023,0.047,0.011,0.0216848985489,0.00122879804821,17.6472436463
86,0.028,0.0255,0.0385,0.0375,0.0375,0.0265,0.021634126733,0.00119102529417,18.1642882304
87,0.0205,0.04,0.022,0.0115,0.03,0.0125,0.0198706016922,0.000851168474206,23.345086542
88,0.027,0.024,0.0115,0.021,0.029,0.0285,0.0178962952091,0.000909705436533,19.6726264243
89,0.014,0.014,0.0155,0.016,0.044,0.026,0.0135544191694,0.00082235829375,16.4823766871
90,0.0435,0.032,0.0265,0.014,0.0255,0.0275,0.024555181023,0.00108902593724,22.5478385623
91,0.0495,0.0355,0.0455,0.022,0.0485,0.02,0.0279701082589,0.00140290602082,19.9372643953
92,0.037,0.0305,0.0485,0.04,0.033,0.044,0.0288564691215,0.00140443463994,20.5466799955
93,0.014,0.021,0.0135,0.01,0.042,0.047,0.0191156821253,0.000921559656238,20.742750614
94,0.012,0.017,0.035,0.0385,0.032,0.029,0.0166402145851,0.00099012602848,16.8061581117
95,0.0235,0.029,0.038,0.025,0.0395,0.028,0.0223165304918,0.00108892707826,20.4940541359
96,0.0105,0.0165,0.0155,0.029,0.039,0.033,0.014676579105,0.000902241713978,16.2667928977
97,0.016,0.041,0.02,0.0395,0.021,0.0255,0.0209545112978,0.00102156491479,20.5121681396
98,0.0475,0.043,0.032,0.0435,0.048,0.0185,0.0272918606775,0.00153719006568,17.7543826797
99,0.0455,0.0435,0.01,0.027,0.0135,0.0435,0.0283181355455,0.00123226355672,22.9805834889
100,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.125833114646,0.00615204010551,20.4538839942
