,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker,Ticker
2017-08-01,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.939999,50.956642,113.977783,149.463058,104.779846,117.079651,31.832895,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-02,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.200001,50.347874,114.407509,156.52533,103.145309,117.328522,32.561817,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-03,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV,60.369999,50.44767,110.460007,154.961472,103.314751,117.328522,32.5718,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-04,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV,60.130001,50.697166,110.939705,155.778259,104.670212,117.308609,33.130974,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-07,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.869999,50.477612,109.420662,158.188797,105.816383,116.920372,31.743031,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-08,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,60.139999,49.898785,109.320732,159.453827,103.603775,116.731232,31.243769,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-09,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV,59.68,49.300003,109.110863,160.429993,101.012436,116.810867,30.764477,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-10,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV,58.57,48.549999,106.06279,155.320007,99.18853,116.412674,30.305157,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-11,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.330002,48.349998,107.272026,157.479996,99.068932,116.024437,30.245247,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-14,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV,59.619999,48.810001,109.250771,159.850006,99.736702,116.611771,30.574759,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001,A,AAL,AAP,AAPL,MAR,MON,NOV
