Date,A,AAL,AAP,AAPL,MAR,MON,NOV
2017-08-01,59.939999,51.060001,114.050003,150.050003,105.129997,117.610001,31.879999
2017-08-02,60.200001,50.450001,114.480003,157.139999,103.489998,117.860001,32.610001
2017-08-03,60.369999,50.549999,110.529999,155.570007,103.660004,117.860001,32.619999
2017-08-04,60.130001,50.799999,111.010002,156.389999,105.019997,117.839996,33.18
2017-08-07,60.869999,50.580002,109.489998,158.809998,106.169998,117.449997,31.790001
2017-08-08,60.139999,50.0,109.389999,160.080002,103.949997,117.260002,31.290001
2017-08-09,59.68,49.400002,109.18,161.059998,101.349998,117.339996,30.809999
2017-08-10,58.57,48.549999,106.129997,155.320007,99.519997,116.940002,30.35
2017-08-11,59.330002,48.349998,107.339996,157.479996,99.400002,116.550003,30.290001
2017-08-14,59.619999,48.810001,109.32,159.850006,100.07,117.139999,30.620001
2017-08-15,59.380001,48.52,87.080002,161.600006,100.400002,117.019997,30.389999
2017-08-16,62.139999,48.41,91.510002,160.949997,100.300003,117.699997,29.940001
2017-08-17,60.860001,46.029999,92.849998,157.860001,97.839996,117.099998,30.09
2017-08-18,61.25,45.549999,93.260002,157.5,98.029999,116.870003,30.379999
2017-08-21,61.740002,45.709999,95.190002,157.210007,99.080002,116.849998,30.290001
2017-08-22,62.959999,45.41,95.800003,159.779999,102.0,117.150002,30.200001
2017-08-23,62.77,43.970001,93.540001,159.979996,100.43,116.769997,30.370001
2017-08-24,62.68,42.919998,93.099998,159.270004,99.949997,116.68,30.08
2017-08-25,62.900002,45.25,95.800003,159.860001,100.660004,116.849998,30.52
2017-08-28,63.459999,44.950001,94.660004,161.470001,100.709999,116.639999,30.34
2017-08-29,63.490002,44.560001,95.120003,162.910004,100.230003,116.589996,30.360001
2017-08-30,63.900002,44.32,96.809998,163.350006,103.639999,116.879997,30.450001
2017-08-31,64.720001,44.740002,97.900002,164.0,103.580002,117.199997,30.67
2017-09-01,64.379997,45.310001,98.059998,164.050003,103.800003,117.209999,30.68
2017-09-05,64.290001,43.919998,96.730003,162.080002,102.279999,117.019997,31.33
2017-09-06,64.709999,44.310001,95.610001,161.910004,101.800003,117.540001,31.83
2017-09-07,65.139999,43.84,93.529999,161.259995,101.760002,117.699997,31.879999
2017-09-08,65.019997,43.599998,94.029999,158.630005,103.43,117.419998,31.75
2017-09-11,66.110001,45.860001,94.400002,161.5,104.629997,117.230003,32.259998
2017-09-12,66.139999,46.290001,97.260002,160.860001,105.080002,117.440002,33.380001
2017-09-13,65.440002,47.0,100.099998,159.649994,106.769997,117.849998,33.84
2017-09-14,65.68,46.189999,100.019997,158.279999,106.389999,117.599998,33.950001
2017-09-15,65.959999,46.0,99.510002,159.880005,105.389999,118.269997,34.450001
2017-09-18,66.080002,45.310001,98.580002,158.669998,105.540001,119.120003,34.77
2017-09-19,66.169998,44.380001,94.849998,158.729996,107.349998,119.410004,35.18
2017-09-20,66.089996,45.419998,94.75,156.070007,107.690002,119.440002,35.509998
2017-09-21,65.919998,46.290001,93.68,153.389999,107.57,119.400002,35.200001
2017-09-22,65.779999,47.060001,95.589996,151.889999,107.879997,119.769997,35.540001
2017-09-25,64.730003,47.700001,97.940002,150.550003,108.870003,120.010002,35.860001
2017-09-26,64.110001,47.580002,97.589996,153.139999,108.07,119.730003,36.299999
2017-09-27,64.389999,46.849998,99.330002,154.229996,108.360001,119.349998,36.139999
2017-09-28,63.98,47.490002,99.5,153.279999,110.0,119.660004,35.529999
2017-09-29,64.199997,47.490002,99.199997,154.119995,110.260002,119.82,35.73
2017-10-02,64.870003,47.73,99.360001,153.809998,110.529999,120.330002,35.349998
2017-10-03,65.150002,50.509998,98.980003,154.479996,109.400002,119.690002,35.130001
2017-10-04,65.830002,50.73,94.93,153.479996,108.82,119.75,35.23
2017-10-05,65.699997,50.560001,94.330002,155.389999,111.269997,119.860001,36.029999
2017-10-06,66.360001,51.299999,94.290001,155.300003,111.760002,119.730003,35.029999
