Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2016-01-04,105.349998,636.98999,16.43,28.16,41.755001,31.48,223.410004
2016-01-05,102.709999,633.789978,16.43,27.879999,41.400002,31.280001,223.429993
2016-01-06,100.699997,632.650024,16.08,27.27,41.205002,30.5,219.039993
2016-01-07,96.449997,607.940002,15.5,26.379999,40.540001,28.98,215.649994
2016-01-08,96.959999,607.049988,15.2,26.35,41.029999,28.379999,211.0
2016-01-11,98.529999,617.73999,15.31,26.200001,41.310001,28.459999,207.850006
2016-01-12,99.959999,617.890015,15.31,26.77,41.865002,28.459999,209.970001
2016-01-13,97.389999,581.809998,14.9,26.35,39.325001,26.889999,200.309998
2016-01-14,99.519997,593.0,14.99,27.059999,39.115002,27.15,206.179993
2016-01-15,97.129997,570.179993,14.46,26.530001,39.465,25.969999,204.990005
2016-01-19,96.660004,574.47998,14.24,26.1,39.48,26.26,204.720001
2016-01-20,96.790001,571.77002,13.69,25.83,39.259998,25.24,198.699997
2016-01-21,96.300003,575.02002,13.36,26.17,39.605,24.780001,199.970001
2016-01-22,101.419998,596.380005,13.56,26.73,40.535,25.610001,202.550003
2016-01-25,99.440002,596.530029,12.96,26.25,39.724998,24.98,196.380005
2016-01-26,99.989998,601.25,13.31,26.85,40.154999,25.49,193.559998
2016-01-27,93.419998,583.349976,13.36,27.73,40.255001,25.370001,188.070007
2016-01-28,94.089996,635.349976,13.53,28.200001,40.794998,25.17,189.699997
2016-01-29,97.339996,587.0,14.14,28.73,42.0,25.879999,191.199997
2016-02-01,96.43,574.809998,13.96,28.459999,42.535,25.709999,196.940002
2016-02-02,94.480003,552.099976,13.23,27.629999,42.889999,24.5,182.779999
2016-02-03,96.349998,531.070007,13.03,27.870001,43.535,24.32,173.479996
2016-02-04,96.599998,536.26001,13.25,28.15,43.369999,25.01,175.330002
2016-02-05,94.019997,502.130005,12.95,28.32,43.450001,24.35,162.600006
2016-02-08,95.010002,488.100006,12.27,27.450001,43.625,22.67,147.990005
2016-02-09,94.989998,482.070007,12.2,27.57,44.244999,22.93,148.25
2016-02-10,94.269997,490.480011,11.98,27.709999,44.209999,22.700001,143.669998
2016-02-11,93.699997,503.820007,11.16,27.15,43.310001,21.690001,150.470001
2016-02-12,93.989998,507.079987,11.95,27.700001,44.290001,23.09,151.039993
2016-02-16,96.639999,521.099976,12.25,28.360001,44.82,23.719999,155.169998
2016-02-17,98.120003,534.099976,12.56,28.809999,44.939999,24.23,168.679993
2016-02-18,96.260002,525.0,12.24,29.17,44.755001,23.959999,166.770004
2016-02-19,96.040001,534.900024,12.13,30.01,44.705002,24.0,166.580002
2016-02-22,96.879997,559.5,12.54,29.530001,45.084999,24.540001,177.740005
2016-02-23,94.690002,552.940002,12.16,29.23,45.459999,23.709999,177.210007
2016-02-24,96.099998,554.039978,12.13,29.51,45.810001,23.709999,179.0
2016-02-25,96.760002,555.150024,12.32,29.780001,46.105,24.629999,187.429993
2016-02-26,96.910004,555.22998,12.7,29.379999,45.849998,25.16,190.339996
2016-02-29,96.690002,552.52002,12.52,29.290001,45.380001,24.700001,191.929993
2016-03-01,100.529999,579.039978,13.19,30.07,45.490002,26.09,186.350006
2016-03-02,100.75,580.210022,13.41,29.610001,45.674999,26.110001,188.339996
2016-03-03,101.5,577.48999,13.5,29.809999,45.875,26.139999,195.740005
2016-03-04,103.010002,575.140015,13.54,29.559999,45.889999,26.129999,201.039993
2016-03-07,101.870003,562.799988,13.53,29.77,45.325001,26.09,205.289993
2016-03-08,101.029999,560.26001,13.06,29.6,45.465,25.01,202.600006
2016-03-09,101.120003,559.469971,13.14,30.07,45.084999,24.610001,208.720001
2016-03-10,101.169998,558.929993,13.27,29.99,45.150002,24.65,205.179993
2016-03-11,102.260002,569.609985,13.79,30.540001,45.490002,26.0,207.5
