Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2016-01-04,101.790649,636.98999,15.993037,26.601702,40.508621,30.28862,52.433533,223.410004
2016-01-05,99.239845,633.789978,15.993037,26.337194,40.164219,30.096193,52.672737,223.429993
2016-01-06,97.29776,632.650024,15.652348,25.760952,39.975033,29.345711,51.715916,219.039993
2016-01-07,93.191338,607.940002,15.087772,24.9202,39.329884,27.883236,49.917099,215.649994
2016-01-08,93.68412,607.049988,14.795751,24.891863,39.805256,27.305943,50.070198,211.0
2016-01-11,95.201073,617.73999,14.902827,24.750162,40.0769,27.382912,50.041489,207.850006
2016-01-12,96.582756,617.890015,14.902827,25.288622,40.615337,27.382912,50.500759,209.970001
2016-01-13,94.099594,581.809998,14.50373,24.891863,38.151157,25.872334,49.409988,200.309998
2016-01-14,96.157608,593.0,14.591336,25.562572,37.947418,26.122492,50.816513,206.179993
2016-01-15,93.848373,570.179993,14.075431,25.061903,38.286976,24.98715,48.788059,204.990005
2016-01-19,93.394257,574.47998,13.861282,24.655697,38.301525,25.266172,48.376629,204.720001
2016-01-20,93.519867,571.77002,13.32591,24.400639,38.088085,24.284777,48.596699,198.699997
2016-01-21,93.046417,575.02002,13.004685,24.721823,38.422794,23.84219,48.300083,199.970001
2016-01-22,97.993423,596.380005,13.199368,25.250832,39.325035,24.640779,50.031921,202.550003
2016-01-25,96.080322,596.530029,12.615324,24.797398,38.539207,24.034618,49.553509,196.380005
2016-01-26,96.61174,601.25,12.956017,25.364193,38.956375,24.525314,49.917099,193.559998
2016-01-27,90.263725,583.349976,13.004685,26.195498,39.053394,24.554354,49.008129,188.070007
2016-01-28,90.911087,635.349976,13.170165,26.639488,39.577274,24.360783,49.811855,189.699997
2016-01-29,94.05127,587.0,13.763942,27.14016,40.746307,25.047955,52.711006,191.199997
2016-02-01,93.172028,574.809998,13.58873,26.885099,41.265331,24.883421,52.347412,196.940002
2016-02-02,91.28791,552.099976,12.878142,26.10103,41.609737,23.71232,50.711258,182.779999
2016-02-03,93.094734,531.070007,12.683462,26.327751,42.235481,23.538109,49.907536,173.479996
2016-02-04,93.842743,536.26001,12.897613,26.592255,42.075409,24.205925,49.754448,175.330002
2016-02-05,91.336388,502.130005,12.605591,26.752848,42.153027,23.567144,47.993904,162.600006
2016-02-08,92.298134,488.100006,11.943675,25.93099,42.3228,21.941154,47.276287,147.990005
2016-02-09,92.278694,482.070007,11.875538,26.044352,42.924294,22.192799,47.151901,148.25
2016-02-10,91.579254,490.480011,11.661387,26.176603,42.890339,21.970192,47.563332,143.669998
2016-02-11,91.025528,503.820007,10.863195,25.647591,42.186573,20.992664,47.544201,150.470001
2016-02-12,91.307251,507.079987,11.632184,26.167156,43.141159,22.347652,48.319218,151.039993
2016-02-16,93.881607,521.099976,11.924208,27.03463,43.657413,22.957399,49.234718,155.169998
2016-02-17,95.319359,534.099976,12.225964,27.463598,43.774292,23.451004,50.516418,168.679993
2016-02-18,93.512459,525.0,11.914473,27.806774,43.594097,23.189684,50.294781,166.770004
2016-02-19,93.298737,534.900024,11.807399,28.607517,43.545391,23.228395,49.938213,166.580002
2016-02-22,94.114754,559.5,12.206494,28.149948,43.915535,23.751038,50.738071,177.740005
2016-02-23,91.987267,552.940002,11.836602,27.863974,44.280804,22.947718,49.321453,177.210007
2016-02-24,93.357018,554.039978,11.807399,28.130884,44.621731,22.947718,49.494919,179.0
