Date,A,AAL,AAP,AAPL,MAR,MON,NOV
2015-01-02,39.511665,52.522354,157.838852,103.86647,74.798141,112.662132,61.323757
2015-01-05,38.771305,52.49313,155.758377,100.940392,72.749016,110.375771,58.523979
2015-01-06,38.167328,51.674747,155.648865,100.94989,71.835068,109.378426,57.802959
2015-01-07,38.673889,51.645512,158.993576,102.36544,73.480171,110.748497,57.859146
2015-01-08,39.833138,52.278786,160.387207,106.298531,75.914116,112.619347,59.582096
2015-01-09,39.540882,50.681,159.570953,106.412552,75.740929,112.477608,57.943428
2015-01-12,39.073292,48.303802,158.207153,103.790474,74.95208,112.968956,54.872078
2015-01-13,38.527771,49.102692,153.060684,104.711998,74.480667,111.362656,54.282166
2015-01-14,38.05043,48.138176,150.144043,104.312988,73.662941,111.031967,54.113617
2015-01-15,37.027565,48.138176,147.346817,101.481903,73.210793,110.852432,53.177227
2015-01-16,37.261368,48.527885,149.317764,100.693382,73.008743,111.107559,54.572445
2015-01-20,36.949642,51.392208,151.965683,103.286957,73.42244,111.088638,54.600536
2015-01-21,37.173691,52.288521,152.652557,104.075485,73.364723,111.759506,55.930195
2015-01-22,38.625187,54.159107,155.828018,106.783058,75.500435,113.384697,55.078087
2015-01-23,37.806896,54.256531,155.071472,107.334084,75.529282,111.920128,53.514332
2015-01-26,38.138103,54.022713,158.505829,107.448074,76.404732,112.543747,54.066803
2015-01-27,37.748444,51.343494,158.306732,103.685966,75.625496,112.080772,54.029343
2015-01-28,37.017826,49.317039,158.5755,109.547638,73.980431,110.880775,50.124619
2015-01-29,37.465931,50.89534,159.531097,112.958244,74.182449,111.957924,49.871792
2015-01-30,36.793777,47.816677,158.276855,111.305183,71.671532,111.476044,50.967365
2015-02-02,37.689991,47.465946,155.260651,112.701721,71.960144,112.326424,52.802677
2015-02-03,38.595955,46.27734,156.355621,112.720718,73.720657,113.715401,50.639637
2015-02-04,38.09914,48.18689,155.758377,113.585258,73.05687,112.496506,49.000954
2015-02-05,38.508286,47.649967,159.431595,114.395966,72.825974,114.197296,49.853069
2015-02-06,38.323189,47.005657,161.263245,113.43264,71.402168,113.592567,48.158215
2015-02-09,38.030952,45.424152,160.008957,114.186127,70.603676,114.565788,49.422329
2015-02-10,38.644669,46.908031,162.159103,116.379814,74.29789,114.773643,49.019688
2015-02-11,38.313457,46.458961,161.651428,119.107613,74.095848,115.727974,48.588947
2015-02-12,38.985615,46.742069,150.731354,120.614594,76.01992,116.001976,49.216331
2015-02-13,39.112263,47.239952,149.477081,121.205933,76.38549,117.891731,49.965435
2015-02-17,39.472698,46.868977,149.546722,121.921249,78.203743,117.787804,51.622833
2015-02-18,40.466335,48.138077,152.523148,122.770134,78.357658,117.693314,52.287666
2015-02-19,40.086422,48.596905,152.572906,122.512596,79.945015,118.543694,50.789463
2015-02-20,40.865734,49.807446,154.354767,123.514084,79.848816,118.024002,51.004818
2015-02-23,40.651424,50.090557,156.465134,126.85228,79.800713,117.693314,50.845638
2015-02-24,40.972897,50.295559,155.68869,126.060654,79.127296,118.052361,51.201466
2015-02-25,41.109276,48.5481,155.539368,122.836899,79.426247,117.381516,51.257641
2015-02-26,41.265144,48.177128,154.673355,124.391541,80.25563,113.356354,49.881161
2015-02-27,41.119011,46.761593,154.225357,122.522156,80.1399,113.790985,50.892452
2015-03-02,41.596352,47.16185,154.066101,123.123016,81.808289,114.613022,52.240856
2015-03-03,41.167725,47.610916,153.767471,123.380539,80.921051,113.573669,50.976727
2015-03-04,40.914444,47.78664,150.144043,122.598434,80.188118,113.252403,51.295101
2015-03-05,41.128757,47.24971,151.82634,120.56691,79.947014,112.694923,50.190159
2015-03-06,40.456589,46.859215,148.392014,120.748108,78.61618,111.655571,49.197598
2015-03-09,40.661163,46.78112,147.61557,121.263153,79.542,111.853996,48.364227
2015-03-10,39.579849,45.629158,145.863586,118.754723,78.365448,110.587868,47.455933
2015-03-11,39.794159,46.263718,146.659943,116.589638,78.182205,110.465027,47.399227
2015-03-12,40.037701,47.523052,148.64093,118.697479,79.850578,111.91069,47.059044
2015-03-13,39.813648,48.050224,148.929581,117.877243,79.156227,110.427246,46.369221
2015-03-16,40.729347,49.026455,150.432663,119.174377,80.516006,111.409904,45.991238
2015-03-17,40.505299,52.413982,149.317764,121.16777,79.503418,110.398888,44.847828
2015-03-18,41.031338,52.843521,148.411591,122.531677,80.265274,110.701248,45.915642
2015-03-19,41.119011,53.878338,148.570892,121.606522,81.306786,109.019371,45.254162
2015-03-20,41.119011,54.434788,151.279602,120.080482,81.046417,109.368973,46.926739
2015-03-23,41.109276,53.107113,148.889572,121.329918,81.268211,107.233559,46.643253
2015-03-24,40.027966,52.648281,150.383377,120.833961,79.320175,107.318596,45.840038
2015-03-25,39.755196,50.773914,148.112808,117.676964,76.947807,106.232018,46.34087
2015-03-26,39.648041,50.051506,148.789993,118.497215,77.709663,106.061928,46.255829
2015-03-27,40.146088,51.408463,150.761765,117.552971,77.941116,106.515465,46.539314
2015-03-30,40.741783,52.365173,151.448929,120.528755,78.596886,107.129631,47.09684
2015-03-31,40.575768,51.525612,149.068817,118.678413,77.458923,106.797493,47.238586
2015-04-01,40.419518,49.241226,143.153473,118.506744,77.468582,110.991951,47.172436
2015-04-02,41.064045,48.011177,143.382523,119.527283,77.294975,110.365631,48.202438
2015-04-06,40.946857,46.937313,145.125244,121.46344,77.420341,111.115311,49.799427
2015-04-07,41.444904,46.371098,146.101212,120.185402,76.330597,111.836555,49.865578
2015-04-08,41.269119,47.581635,148.19249,119.794342,77.333549,111.162766,49.837227
2015-04-09,41.493732,46.703018,147.435638,120.709961,77.36248,113.231529,51.547607
2015-04-10,42.528873,46.595634,149.576736,121.225006,77.458923,114.009697,51.434212
2015-04-13,42.030834,46.654205,148.560944,120.986565,77.352837,113.392868,50.253014
2015-04-14,42.060127,46.292999,148.431473,120.46199,76.436691,113.003792,51.368061
2015-04-15,42.362865,46.615154,148.95929,120.919792,76.147354,113.269485,52.917801
2015-04-16,42.118717,47.093513,149.377563,120.33799,75.713409,112.86145,52.256325
2015-04-17,41.97224,47.044697,149.178406,118.983627,74.874382,110.745216,51.585403
2015-04-20,42.177311,48.577389,151.767578,121.701889,76.928505,111.38105,52.00119
2015-04-21,41.884342,50.139359,151.767578,121.0438,77.603584,111.295616,50.205761
2015-04-22,41.708565,50.17841,150.881287,122.674751,77.91217,110.906548,50.961731
2015-04-23,41.620678,50.227222,146.081299,123.676208,78.452232,111.494919,52.681561
2015-04-24,41.493732,51.457283,147.993317,124.257996,78.924774,112.415428,51.216873
2015-04-27,40.995686,50.637238,144.388321,126.518456,78.471519,111.694206,51.679893
2015-04-28,41.19099,49.973404,143.900375,124.525078,78.423317,109.131966,49.071812
2015-04-29,40.976147,47.718304,144.059708,122.693825,80.882469,109.131966,50.007317
2015-04-30,40.399986,47.238968,142.406601,119.365135,77.198547,108.145042,51.415306
2015-05-01,40.849205,48.315022,144.736893,122.989487,78.085762,112.396446,51.717705
2015-05-04,40.956623,47.884605,144.846436,122.751053,77.642159,110.005028,51.72715
2015-05-05,40.614826,45.98682,143.392471,119.985092,75.424072,110.697784,52.350822
2015-05-06,40.614826,46.025951,143.492065,119.231606,76.012352,110.365631,51.519253
2015-05-07,40.819904,47.992207,143.930252,119.969086,75.684456,113.051231,49.109604
2015-05-08,41.50349,47.972645,144.159302,122.229424,77.439644,114.626534,50.300255
2015-05-11,41.620678,48.569366,144.906174,120.984306,76.880295,111.978897,48.504833
2015-05-12,40.927326,47.786777,146.51947,120.553329,76.34024,110.137878,48.646576
2015-05-13,40.829674,47.434612,148.760132,120.687416,75.87735,112.216141,49.024559
2015-05-14,41.064045,47.757431,149.238113,123.503227,77.709663,114.560089,48.400883
2015-05-15,41.054276,47.610695,150.990829,123.330833,78.018272,114.654999,48.448135
2015-05-18,41.630451,47.933514,151.249741,124.690865,78.336517,114.180504,48.363083
2015-05-19,41.376549,46.808544,152.305344,124.575912,78.018272,113.791435,47.210232
2015-05-20,41.61092,42.122799,149.277939,124.566338,78.027946,112.70961,47.408676
2015-05-21,41.327717,41.545639,156.846436,125.840164,77.844124,113.876846,48.57098
2015-05-22,41.50349,41.68259,159.535187,126.941574,77.534576,114.152054,47.918953
2015-05-26,41.073811,40.655441,157.34433,124.14492,76.141563,111.91246,47.210232
2015-05-27,41.61092,41.320644,156.567581,126.462708,76.615578,112.510307,47.531517
2015-05-28,40.77108,41.056515,155.701187,126.213676,76.451126,112.548271,47.144089
2015-05-29,40.224209,41.447811,152.584198,124.777046,75.445076,111.010941,46.482616
2015-06-01,39.960545,43.218422,152.683777,125.026062,75.425735,110.659821,46.37867
2015-06-02,40.146088,42.827126,154.715286,124.470581,75.870712,110.631348,47.437027
2015-06-03,40.136318,42.191277,155.880447,124.623802,76.789711,109.843697,46.926739
2015-06-04,39.589458,41.252171,155.950165,123.895912,75.919067,107.784431,45.953438
2015-06-05,39.364849,40.811966,156.736877,123.215904,75.822342,107.993202,46.189678
2015-06-08,39.013287,38.992447,156.657227,122.401802,74.448669,108.107079,46.26527
2015-06-09,39.179298,39.452225,156.766739,122.037849,74.796928,107.746468,45.263618
2015-06-10,39.569916,39.550037,159.604935,123.436188,74.709869,108.647995,46.942871
2015-06-11,39.579685,39.148964,159.863846,123.158417,74.74855,109.207893,46.360859
2015-06-12,38.905865,39.823948,160.541031,121.798416,74.129448,108.296867,46.084164
2015-06-15,38.593365,39.197876,157.66304,121.558975,74.506714,106.750038,46.131863
2015-06-16,38.85704,38.620712,158.389999,122.210251,74.226181,107.091667,46.494434
2015-06-17,38.671486,39.012009,158.389999,121.92292,74.506714,107.366882,46.647099
2015-06-18,38.964458,39.109833,159.645218,122.478409,75.599846,108.610039,46.837921
2015-06-19,38.564075,40.655441,159.894287,121.252487,75.106483,106.882896,46.961956
2015-06-22,38.876564,42.093452,162.643875,122.219826,75.367683,108.505646,46.904713
2015-06-23,38.671486,41.799984,163.2715,121.664322,75.058113,107.025253,46.799751
2015-06-24,39.24765,41.320644,162.803268,122.698708,73.877922,100.894882,47.028748
2015-06-25,39.110935,41.320644,163.580338,122.114471,73.684448,101.824875,46.723427
2015-06-26,39.17947,40.538059,163.660034,121.396149,73.53936,99.841522,47.143238
2015-06-29,37.926357,38.884846,158.3302,119.269913,71.420815,98.009995,46.341774
2015-06-30,37.769711,39.070705,158.688843,120.131905,71.96254,101.633293,46.065079
2015-07-01,38.435432,37.955517,162.036179,121.252487,72.542961,102.653542,44.796093
2015-07-02,38.748714,38.180508,161.498215,121.099236,72.359169,103.311447,45.24453
2015-07-06,38.533333,38.865276,162.803268,120.677834,71.885147,102.691666,42.992805
2015-07-07,38.954304,39.784813,162.912842,120.380928,72.978279,102.787025,43.097752
2015-07-08,37.936142,38.454414,159.38623,117.392715,71.54657,101.051659,42.13409
2015-07-09,38.10257,38.806583,161.458359,114.998314,71.759392,101.557014,42.534828
2015-07-10,38.572491,40.313061,163.490677,118.072723,73.490982,103.750061,42.926014
2015-07-13,39.120731,41.496727,168.671021,120.352196,74.468025,103.626099,43.603436
2015-07-14,39.639599,41.144566,166.578979,120.304298,74.738899,102.787025,43.431702
2015-07-15,39.287159,40.63588,167.834213,121.463196,74.835625,102.329346,41.714275
2015-07-16,39.492748,40.489147,168.720856,123.081818,75.696587,102.806091,41.494835
2015-07-17,39.110939,40.498928,169.05957,124.14492,75.164513,102.10051,41.036842
2015-07-20,39.218628,39.667431,168.053375,126.491463,75.290291,102.024223,41.151344
2015-07-21,38.738918,40.009811,166.897736,125.227188,74.100426,101.423531,41.43758
2015-07-22,39.482964,40.528275,167.585175,119.930779,74.419655,100.450951,39.987312
2015-07-23,39.40464,41.68259,167.754532,119.873306,72.185043,99.211411,40.950977
2015-07-24,38.484383,38.767456,167.674835,119.241196,71.604599,98.076752,40.283089
2015-07-27,38.778088,39.26635,167.704712,117.584259,71.488533,96.741852,39.739243
2015-07-28,39.600437,40.27393,169.657303,118.168503,72.156013,96.894417,40.960514
2015-07-29,39.551487,39.843513,172.406921,117.794968,74.487366,97.256744,41.876472
2015-07-30,40.109516,39.39352,171.888855,117.201164,70.269646,98.229301,41.399418
2015-07-31,40.089943,39.227219,173.552567,116.176353,70.240631,97.151855,40.197216
2015-08-03,40.138889,40.802174,173.154037,113.437157,70.201927,97.52372,39.090439
2015-08-04,39.766865,41.809757,174.439194,109.797668,69.86335,97.619064,38.785122
2015-08-05,39.864769,42.024975,174.608566,110.525574,68.392952,97.981392,38.5275
2015-08-06,39.277374,41.358223,172.088104,110.76609,68.615448,97.428368,38.737415
2015-08-07,39.150097,40.681664,173.094299,111.141319,69.041092,96.541611,37.907322
2015-08-10,39.620018,40.867966,173.004623,115.182114,70.182579,98.391411,39.023651
2015-08-11,38.592072,41.868092,171.271194,109.188248,69.785957,97.7621,38.632462
2015-08-12,38.073204,41.691597,171.350876,110.871918,69.911705,98.448608,39.109516
2015-08-13,37.750134,41.838665,187.081299,110.785339,69.940735,98.515358,38.002735
2015-08-14,37.838242,42.044586,186.324173,111.564629,69.505432,98.37233,37.735577
2015-08-17,38.004677,43.093739,183.993011,112.719162,70.55986,98.639305,37.697422
2015-08-18,38.200474,42.779972,185.068924,112.084152,70.258942,98.02906,37.907322
2015-08-19,37.593494,42.681919,187.131104,110.650642,69.802719,97.590462,37.296688
2015-08-20,36.722187,41.162125,183.753906,108.380096,67.948677,95.492767,36.657425
2015-08-21,35.469074,38.975567,176.86998,101.751259,67.298317,92.937393,35.50293
2015-08-24,33.951626,36.887062,173.094299,99.211334,64.735695,89.199684,35.541096
2015-08-25,33.638348,36.769402,170.573837,99.807816,64.609482,85.261734,35.636509
2015-08-26,34.871883,38.093094,170.812943,105.532295,67.871033,92.565536,37.239437
2015-08-27,35.870457,38.269592,175.564926,108.639862,69.026154,93.824135,39.462543
2015-08-28,35.743187,37.86758,175.813965,108.995834,69.482376,93.805077,39.739243
2015-08-31,35.54739,38.22057,174.588623,108.485931,68.589333,93.109032,40.388046
2015-09-01,34.020157,38.436283,171.968552,103.636963,67.065338,91.345055,39.453003
2015-09-02,34.783768,40.701275,174.588623,108.081833,68.841713,92.689484,38.985477
2015-09-03,34.999153,40.093353,172.586212,106.186516,68.987335,92.46064,39.090439
2015-09-04,34.323643,39.809002,171.480408,105.128212,67.968094,91.297379,38.584747
2015-09-08,35.44949,40.005104,174.658386,108.052979,70.297768,90.820641,38.756496
2015-09-09,34.793568,40.201214,174.259888,105.974854,69.103813,88.904099,37.444023
2015-09-10,35.106838,40.407124,174.220047,108.303116,70.152168,89.399925,37.878296
2015-09-11,35.204739,41.328808,174.180191,109.880959,70.870483,88.188972,37.289616
2015-09-14,34.803349,41.46608,174.339569,110.939262,70.851059,85.948257,37.222061
2015-09-15,35.390751,41.809265,176.182617,111.872498,70.123039,86.653854,37.328213
2015-09-16,35.752979,42.221081,177.976395,111.997581,70.656921,86.18663,38.602085
