Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2015-01-02,109.330002,308.519989,17.9,30.690001,39.544998,38.709999,46.759998,219.309998
2015-01-05,106.25,302.190002,17.379999,30.780001,39.105,37.5,46.330002,210.089996
2015-01-06,106.260002,295.290009,16.860001,30.27,38.779999,36.419998,45.650002,211.279999
2015-01-07,107.75,298.420013,16.940001,30.620001,39.215,36.939999,46.23,210.949997
2015-01-08,111.889999,300.459991,17.290001,31.110001,39.990002,37.490002,47.59,210.619995
2015-01-09,112.010002,296.929993,16.98,31.120001,39.860001,36.880001,47.189999,206.660004
2015-01-12,109.25,291.410004,16.68,31.27,39.744999,36.369999,46.599998,202.210007
2015-01-13,110.220001,294.73999,16.450001,31.23,39.834999,36.029999,46.360001,204.25
2015-01-14,109.800003,293.269989,16.040001,31.059999,40.084999,35.209999,45.959999,192.690002
2015-01-15,106.82,286.950012,15.2,30.780001,40.41,34.580002,45.48,191.869995
2015-01-16,105.989998,290.73999,15.38,31.360001,41.169998,34.889999,46.240002,193.070007
2015-01-20,108.720001,289.440002,15.26,31.67,41.244999,34.75,46.389999,191.929993
2015-01-21,109.550003,297.25,15.41,29.940001,41.145,34.73,45.919998,196.570007
2015-01-22,112.400002,310.320007,16.09,30.540001,41.695,35.529999,47.130001,201.619995
2015-01-23,112.980003,312.390015,15.73,31.01,40.994999,35.150002,47.18,201.289993
2015-01-26,113.099998,309.660004,15.85,30.85,41.375,35.110001,47.009998,206.550003
2015-01-27,109.139999,306.75,15.63,29.940001,41.009998,34.66,42.66,205.979996
2015-01-28,115.309998,303.910004,15.2,29.889999,40.805,33.77,41.189999,199.369995
2015-01-29,118.900002,311.779999,15.43,30.299999,41.334999,34.369999,42.009998,205.199997
2015-01-30,117.160004,354.529999,15.15,30.299999,40.459999,33.810001,40.400002,203.600006
2015-02-02,118.629997,364.470001,15.46,30.41,41.040001,34.419998,41.279999,210.940002
2015-02-03,118.650002,363.549988,15.89,31.18,41.345001,35.040001,41.599998,218.360001
2015-02-04,119.559998,364.75,15.79,31.51,41.799999,34.77,41.84,218.550003
2015-02-05,119.940002,373.890015,15.97,31.780001,41.615002,34.93,42.450001,220.990005
2015-02-06,118.93,374.279999,16.49,32.029999,40.98,35.790001,42.41,217.360001
2015-02-09,119.720001,370.559998,16.35,31.950001,40.91,35.630001,42.360001,217.479996
2015-02-10,122.019997,373.0,16.42,32.290001,41.445,36.16,42.599998,216.289993
2015-02-11,124.879997,375.140015,16.360001,32.150002,41.625,36.369999,42.380001,212.800003
2015-02-12,126.459999,377.170013,16.67,32.41,41.68,36.900002,43.09,202.880005
2015-02-13,127.080002,381.829987,16.610001,32.630001,42.014999,36.779999,43.869999,203.770004
2015-02-17,127.830002,375.429993,16.629999,32.580002,42.16,36.919998,43.580002,204.350006
2015-02-18,128.720001,373.369995,16.299999,32.59,42.384998,36.369999,43.529999,204.460007
2015-02-19,128.449997,379.0,16.209999,32.52,42.110001,36.330002,43.5,211.710007
2015-02-20,129.5,383.660004,16.379999,32.830002,42.685001,36.740002,43.860001,217.110001
2015-02-23,133.0,380.140015,16.200001,32.59,42.950001,36.27,44.150002,207.339996
2015-02-24,132.169998,378.589996,16.379999,32.700001,43.07,36.740002,44.09,204.110001
2015-02-25,128.789993,385.369995,16.49,33.110001,42.764999,36.59,43.990002,203.759995
2015-02-26,130.419998,384.799988,16.040001,32.82,42.724998,36.060001,44.060001,207.190002
2015-02-27,128.460007,380.160004,15.81,32.52,42.57,35.790001,43.849998,203.339996
2015-03-02,129.089996,385.660004,16.01,32.84,42.77,36.240002,43.880001,197.330002
2015-03-03,129.360001,384.609985,16.040001,32.200001,42.744999,35.82,43.279999,199.559998
2015-03-04,128.539993,382.720001,15.84,31.91,42.445,35.09,43.060001,202.440002
2015-03-05,126.410004,387.829987,16.0,31.959999,42.630001,35.52,43.110001,200.630005
2015-03-06,126.599998,380.089996,16.219999,31.709999,41.884998,35.529999,42.360001,193.880005
2015-03-09,127.139999,378.559998,16.17,31.860001,42.334999,35.669998,42.849998,190.880005
2015-03-10,124.510002,369.51001,15.79,31.309999,41.805,34.880001,42.029999,190.320007
2015-03-11,122.239998,366.369995,16.110001,31.219999,42.02,34.950001,41.98,193.740005
2015-03-12,124.449997,374.23999,16.09,31.6,42.459999,37.09,41.02,191.070007
2015-03-13,123.589996,370.579987,16.09,31.389999,42.18,36.349998,41.380001,188.679993
2015-03-16,124.949997,373.350006,16.129999,31.4,42.75,36.73,41.560001,195.699997
2015-03-17,127.040001,371.920013,16.09,31.549999,42.505001,36.549999,41.700001,194.729996
2015-03-18,128.470001,375.140015,15.98,32.369999,42.66,36.73,42.5,200.710007
2015-03-19,127.5,373.23999,15.61,32.349998,42.669998,36.110001,42.290001,195.649994
2015-03-20,125.900002,378.48999,15.84,32.900002,43.07,36.5,42.880001,198.080002
2015-03-23,127.209999,375.109985,15.72,33.049999,43.09,36.310001,42.860001,199.630005
2015-03-24,126.690002,374.089996,15.61,32.889999,42.755001,36.240002,42.900002,201.720001
2015-03-25,123.379997,370.959991,15.41,31.879999,42.494999,35.450001,41.459999,194.300003
2015-03-26,124.239998,367.350006,15.42,31.83,42.099998,35.619999,41.209999,190.410004
2015-03-27,123.25,370.559998,15.31,32.290001,42.485001,35.830002,40.970001,185.0
2015-03-30,126.370003,374.589996,15.52,32.709999,42.965,36.310001,40.959999,190.570007
2015-03-31,124.43,372.100006,15.39,32.610001,42.709999,35.689999,40.66,188.770004
2015-04-01,124.25,370.26001,15.41,32.130001,42.700001,35.970001,40.720001,187.589996
2015-04-02,125.32,372.25,15.54,31.93,42.884998,36.060001,40.290001,191.0
2015-04-06,127.349998,377.040009,15.51,32.389999,43.119999,35.91,41.549999,203.100006
2015-04-07,126.010002,374.410004,15.46,32.27,42.775002,35.939999,41.529999,203.25
2015-04-08,125.599998,381.200012,15.61,32.299999,42.990002,36.259998,41.419998,207.669998
2015-04-09,126.559998,383.540009,15.71,31.440001,42.965,36.639999,41.48,210.089996
2015-04-10,127.099998,382.649994,15.72,31.549999,42.950001,36.240002,41.720001,210.899994
2015-04-13,126.849998,382.359985,15.8,31.059999,42.810001,36.299999,41.759998,209.779999
2015-04-14,126.300003,385.109985,15.82,31.280001,43.285,36.84,41.650002,207.460007
2015-04-15,126.779999,383.450012,15.64,31.809999,42.865002,37.389999,42.259998,207.830002
2015-04-16,126.169998,386.040009,15.79,31.860001,42.875,37.360001,42.16,206.699997
