Date,AAL,AAPL,AMZN,CA,CHD,GOOG,GOOGL,MSFT,PCLN
2017-07-03,50.389999,143.5,953.659973,34.16,52.02,898.700012,919.460022,68.169998,1843.130005
2017-07-05,51.259998,144.089996,971.400024,34.48,51.779999,911.710022,932.26001,69.080002,1866.01001
2017-07-06,52.049999,142.729996,965.140015,33.900002,51.950001,906.690002,927.690002,68.57,1872.300049
2017-07-07,53.029999,144.179993,978.76001,34.34,52.0,918.590027,940.809998,69.459999,1918.5
2017-07-10,52.66,145.059998,996.469971,34.299999,52.310001,928.799988,951.0,69.980003,1921.819946
2017-07-11,51.610001,145.529999,994.130005,34.310001,52.18,930.090027,953.530029,69.989998,1929.150024
2017-07-12,53.799999,145.740005,1006.51001,34.32,51.900002,943.830017,967.659973,71.150002,1946.180054
2017-07-13,53.810001,147.770004,1000.630005,34.439999,52.0,947.159973,968.849976,71.769997,1940.699951
2017-07-14,54.220001,149.039993,1001.809998,34.48,52.619999,955.98999,976.909973,72.779999,1950.869995
2017-07-17,53.869999,149.559998,1010.039978,34.5,53.330002,953.419983,975.960022,73.349998,1945.459961
2017-07-18,53.150002,150.080002,1024.449951,34.060001,53.630001,965.400024,986.950012,73.300003,1976.23999
2017-07-19,52.610001,151.020004,1026.869995,34.59,52.950001,970.890015,992.77002,73.860001,1992.099976
2017-07-20,52.34,150.339996,1028.699951,34.639999,52.990002,968.150024,992.190002,74.220001,1999.219971
2017-07-21,51.91,150.270004,1025.670044,34.419998,53.259998,972.919983,993.840027,73.790001,1994.890015
2017-07-24,51.279999,152.089996,1038.949951,34.73,52.799999,980.340027,998.309998,73.599998,2002.01001
2017-07-25,50.610001,152.740005,1039.869995,35.029999,53.330002,950.700012,969.030029,74.190002,2016.910034
2017-07-26,51.009998,153.460007,1052.800049,34.650002,53.669998,947.799988,965.309998,74.050003,2033.209961
2017-07-27,50.0,150.559998,1046.0,31.1,53.799999,934.090027,952.51001,73.160004,2025.089966
2017-07-28,50.490002,149.5,1020.039978,30.940001,53.299999,941.530029,958.330017,73.040001,2024.060059
2017-07-31,50.439999,148.729996,987.780029,31.040001,53.349998,930.5,945.5,72.699997,2028.5
2017-08-01,51.060001,150.050003,996.190002,31.219999,53.009998,930.830017,946.559998,72.580002,2024.589966
2017-08-02,50.450001,157.139999,995.890015,30.85,52.73,930.390015,947.640015,72.260002,2021.369995
2017-08-03,50.549999,155.570007,986.919983,31.85,51.77,923.650024,940.299988,72.150002,2027.97998
2017-08-04,50.799999,156.389999,987.580017,31.99,50.389999,927.960022,945.789978,72.68,2032.77002
2017-08-07,50.580002,158.809998,992.27002,32.32,50.290001,929.359985,945.75,72.400002,2042.640015
2017-08-08,50.0,160.080002,989.840027,32.220001,49.700001,926.789978,944.190002,72.790001,2049.0
