Date,AAL,AAPL,AMZN,BAC,CSCO,KO,MSFT,PCLN,PEP
2016-07-01,29.33,95.889999,725.679993,13.1,28.799999,45.119999,51.16,1267.369995,105.629997
2016-07-05,28.93,94.989998,728.099976,12.74,28.33,45.43,51.169998,1275.030029,106.419998
2016-07-06,28.35,95.529999,737.609985,12.86,28.719999,45.27,51.380001,1292.040039,105.919998
2016-07-07,29.4,95.940002,736.570007,13.01,28.74,45.09,51.380001,1297.26001,107.489998
2016-07-08,30.040001,96.68,745.809998,13.17,29.26,45.380001,52.299999,1329.459961,108.269997
2016-07-11,31.16,96.980003,753.780029,13.21,29.43,45.57,52.59,1351.030029,108.910004
2016-07-12,34.66,97.419998,748.210022,13.54,29.610001,45.580002,53.209999,1345.430054,108.790001
2016-07-13,34.450001,96.870003,742.630005,13.44,29.75,45.740002,53.509998,1338.650024,109.910004
2016-07-14,35.880001,98.790001,741.200012,13.65,29.76,45.689999,53.740002,1346.180054,109.959999
2016-07-15,35.889999,98.779999,735.440002,13.66,29.82,45.630001,53.700001,1330.569946,109.660004
2016-07-18,36.029999,99.830002,736.070007,14.11,29.91,45.630001,53.959999,1341.359985,109.209999
2016-07-19,36.009998,99.870003,739.950012,14.26,29.92,45.630001,53.09,1327.0,109.529999
2016-07-20,35.919998,99.959999,745.719971,14.4,30.629999,45.509998,55.91,1352.829956,108.919998
2016-07-21,34.959999,99.43,744.429993,14.27,30.58,45.450001,55.799999,1332.5,108.580002
2016-07-22,36.360001,98.660004,744.859985,14.38,30.709999,45.830002,56.57,1327.400024,109.190002
2016-07-25,35.799999,97.339996,739.609985,14.37,30.790001,45.57,56.73,1321.670044,109.019997
2016-07-26,36.549999,96.669998,735.590027,14.53,30.879999,44.880001,56.759998,1324.530029,108.199997
2016-07-27,36.200001,102.949997,736.669983,14.63,30.76,43.400002,56.189999,1324.47998,107.480003
2016-07-28,36.34,104.339996,752.609985,14.68,30.52,43.650002,56.209999,1326.099976,108.129997
2016-07-29,35.5,104.209999,758.809998,14.49,30.530001,43.630001,56.68,1350.810059,108.919998
2016-08-01,35.599998,106.050003,767.73999,14.33,30.73,43.450001,56.580002,1356.079956,108.93
2016-08-02,33.509998,104.480003,760.580017,14.13,30.620001,43.529999,56.580002,1345.380005,108.720001
2016-08-03,33.48,105.790001,754.640015,14.48,30.719999,43.639999,56.970001,1371.140015,108.040001
2016-08-04,33.580002,105.870003,760.77002,14.48,30.799999,43.509998,57.389999,1359.98999,108.419998
2016-08-05,34.439999,107.480003,765.97998,15.05,31.040001,43.48,57.959999,1414.219971,108.660004
2016-08-08,34.349998,108.370003,766.559998,15.13,31.01,43.439999,58.060001,1405.0,108.139999
2016-08-09,34.59,108.809998,768.309998,15.19,30.940001,43.470001,58.200001,1407.01001,108.279999
2016-08-10,34.18,108.0,768.559998,14.81,30.85,43.610001,58.02,1406.280029,108.82
2016-08-11,34.959999,107.93,771.23999,14.88,30.950001,43.75,58.299999,1406.920044,108.480003
2016-08-12,34.919998,108.18,772.559998,14.91,30.870001,44.029999,57.939999,1407.97998,108.589996
2016-08-15,35.869999,109.480003,768.48999,15.02,31.190001,44.240002,58.119999,1399.160034,108.720001
2016-08-16,36.75,109.379997,764.039978,15.17,31.120001,43.830002,57.439999,1408.660034,108.0
2016-08-17,36.599998,109.220001,764.630005,15.15,30.719999,44.060001,57.560001,1427.199951,108.470001
2016-08-18,36.669998,109.080002,764.460022,15.16,30.48,44.099998,57.599998,1443.069946,108.279999
2016-08-19,36.490002,109.360001,757.309998,15.22,30.52,43.919998,57.619999,1432.0,108.169998
2016-08-22,36.0,108.510002,759.47998,15.18,30.629999,43.740002,57.669998,1423.98999,107.959999
2016-08-23,36.400002,108.849998,762.450012,15.35,30.98,43.849998,57.889999,1422.469971,107.879997
2016-08-24,36.650002,108.029999,757.25,15.4,31.059999,43.849998,57.950001,1410.180054,108.110001
2016-08-25,36.720001,107.57,759.219971,15.53,31.290001,43.669998,58.169998,1415.550049,107.879997
2016-08-26,36.23,106.940002,769.0,15.79,31.35,43.32,58.029999,1419.790039,107.449997
2016-08-29,36.169998,106.82,771.289978,15.84,31.58,43.540001,58.099998,1425.189941,107.989998
2016-08-30,37.049999,106.0,767.580017,16.190001,31.540001,43.240002,57.889999,1416.550049,107.209999
2016-08-31,36.299999,106.099998,769.159973,16.139999,31.440001,43.43,57.459999,1416.72998,106.75
2016-09-01,36.240002,106.730003,770.619995,15.98,31.58,43.349998,57.59,1418.589966,107.290001
2016-09-02,36.529999,107.730003,772.440002,16.0,31.83,43.66,57.669998,1422.849976,107.870003
2016-09-06,36.959999,107.699997,788.869995,15.78,31.870001,43.790001,57.610001,1436.959961,107.919998
2016-09-07,38.75,108.360001,784.47998,15.7,31.790001,43.639999,57.66,1444.01001,107.209999
2016-09-08,39.349998,105.519997,784.059998,15.86,31.469999,43.630001,57.43,1445.829956,106.879997
2016-09-09,38.490002,103.129997,760.140015,15.74,30.85,42.27,56.209999,1413.900024,104.050003
2016-09-12,38.34,105.440002,771.48999,15.9,31.440001,43.189999,57.049999,1436.209961,106.019997
2016-09-13,37.369999,107.949997,761.01001,15.72,31.059999,42.279999,56.529999,1415.949951,104.589996
2016-09-14,36.389999,111.769997,761.090027,15.63,31.0,42.110001,56.259998,1429.380005,105.050003
2016-09-15,36.41,115.57,769.690002,15.67,31.309999,42.360001,57.189999,1457.219971,105.480003
2016-09-16,35.490002,114.919998,778.52002,15.49,30.84,42.139999,57.25,1460.050049,105.279999
2016-09-19,35.439999,113.580002,775.099976,15.59,31.02,42.099998,56.93,1448.060059,105.669998
2016-09-20,35.150002,113.57,780.219971,15.6,31.1,42.34,56.810001,1449.0,106.300003
2016-09-21,34.669998,113.550003,789.73999,15.65,31.360001,42.529999,57.759998,1464.0,107.129997
2016-09-22,35.25,114.620003,804.700012,15.6,31.66,42.959999,57.82,1465.869995,107.82
2016-09-23,35.549999,112.709999,805.75,15.52,31.34,42.740002,57.43,1456.76001,107.339996
2016-09-26,34.93,112.879997,799.159973,15.09,31.07,42.049999,56.900002,1447.150024,107.029999
2016-09-27,36.0,113.089996,816.109985,15.29,31.48,42.59,57.950001,1453.48999,107.489998
2016-09-28,35.84,113.949997,828.719971,15.38,31.5,42.150002,58.029999,1458.030029,107.379997
2016-09-29,35.82,112.18,829.049988,15.16,31.389999,42.029999,57.400002,1472.97998,107.760002
2016-09-30,36.610001,113.050003,837.309998,15.65,31.719999,42.32,57.599998,1471.48999,108.769997
2016-10-03,37.700001,112.519997,836.73999,15.63,31.5,42.029999,57.419998,1486.719971,108.25
2016-10-04,37.630001,113.0,834.030029,15.8,31.35,41.84,57.240002,1489.02002,107.099998
2016-10-05,37.869999,113.050003,844.359985,16.110001,31.59,41.810001,57.639999,1497.579956,106.010002
2016-10-06,38.169998,113.889999,841.659973,16.219999,31.48,41.709999,57.740002,1490.439941,106.400002
