Date,BAC,C,JPM,MS
2014-01-02,16.1,52.27,58.209999,31.030001
2014-01-03,16.41,53.400002,58.66,31.51
2014-01-06,16.66,53.810001,59.0,31.620001
2014-01-07,16.5,54.18,58.32,31.52
2014-01-08,16.58,54.810001,58.869999,31.559999
2014-01-09,16.83,55.200001,58.759998,31.549999
2014-01-10,16.77,54.720001,58.490002,31.299999
2014-01-13,16.43,53.720001,57.700001,30.870001
2014-01-14,16.77,53.950001,57.740002,31.1
2014-01-15,17.15,54.990002,59.490002,32.220001
2014-01-16,17.08,52.599998,58.990002,32.0
2014-01-17,17.01,52.27,58.110001,33.400002
2014-01-21,17.01,51.849998,58.169998,32.630001
2014-01-22,17.15,51.900002,57.59,32.290001
2014-01-23,16.860001,50.720001,56.470001,31.48
2014-01-24,16.450001,49.330002,55.09,30.450001
2014-01-27,16.309999,48.810001,55.09,29.969999
2014-01-28,16.73,49.599998,55.740002,30.129999
2014-01-29,16.68,48.080002,55.529999,29.940001
2014-01-30,16.93,48.299999,56.0,29.98
2014-01-31,16.75,47.43,55.360001,29.51
2014-02-03,16.35,46.34,54.310001,28.950001
2014-02-04,16.35,46.779999,54.950001,29.02
2014-02-05,16.4,47.060001,55.209999,29.18
2014-02-06,16.690001,48.25,56.48,29.690001
2014-02-07,16.82,49.34,56.619999,29.690001
2014-02-10,16.719999,49.32,56.740002,29.700001
2014-02-11,16.879999,49.66,57.43,30.27
2014-02-12,16.75,49.959999,57.52,30.16
2014-02-13,16.75,49.860001,58.029999,29.91
2014-02-14,16.700001,49.52,58.150002,29.690001
2014-02-18,16.469999,49.380001,58.490002,29.559999
2014-02-19,16.200001,48.189999,57.259998,28.959999
2014-02-20,16.299999,48.130001,57.580002,29.33
2014-02-21,16.290001,48.259998,57.610001,29.620001
2014-02-24,16.530001,48.98,58.029999,30.309999
2014-02-25,16.34,48.400002,57.029999,29.709999
2014-02-26,16.33,48.32,56.75,29.940001
2014-02-27,16.49,48.689999,56.689999,30.360001
2014-02-28,16.530001,48.630001,56.82,30.799999
2014-03-03,16.299999,47.610001,56.209999,30.26
2014-03-04,16.73,48.830002,57.259998,31.1
2014-03-05,17.25,49.419998,58.16,31.969999
2014-03-06,17.35,49.709999,58.900002,31.84
2014-03-07,17.33,49.619999,59.400002,32.209999
2014-03-10,17.469999,49.57,59.200001,32.130001
2014-03-11,17.27,48.43,58.189999,31.700001
2014-03-12,17.280001,47.98,57.919998,31.440001
2014-03-13,17.16,47.330002,57.419998,31.440001
2014-03-14,16.799999,46.880001,56.799999,31.1
2014-03-17,17.110001,47.73,57.580002,31.370001
2014-03-18,17.190001,48.139999,58.060001,31.65
2014-03-19,17.440001,48.939999,58.299999,31.809999
2014-03-20,17.92,50.220001,60.110001,32.790001
2014-03-21,17.559999,50.080002,60.169998,32.599998
2014-03-24,17.370001,50.049999,61.07,32.439999
2014-03-25,17.209999,50.299999,60.93,31.59
2014-03-26,17.18,50.16,59.900002,31.219999
2014-03-27,17.01,47.450001,59.919998,30.9
2014-03-28,16.98,47.25,60.040001,30.91
2014-03-31,17.200001,47.599998,60.709999,31.17
2014-04-01,17.34,47.799999,60.669998,31.209999
2014-04-02,17.23,48.240002,60.48,31.41
2014-04-03,17.15,47.68,60.66,30.950001
2014-04-04,16.719999,47.110001,59.810001,30.370001
2014-04-07,16.379999,46.549999,59.0,29.52
2014-04-08,16.440001,46.599998,58.849998,29.530001
2014-04-09,16.620001,47.16,59.27,30.219999
2014-04-10,16.120001,46.23,57.400002,29.25
2014-04-11,15.77,45.68,55.299999,28.469999
2014-04-14,16.0,47.669998,54.959999,29.059999
2014-04-15,16.389999,48.310001,54.799999,29.549999
2014-04-16,16.129999,48.18,55.259998,29.889999
2014-04-17,16.15,48.220001,55.220001,30.76
2014-04-21,16.09,47.84,55.029999,30.98
2014-04-22,16.290001,48.02,55.810001,31.200001
2014-04-23,16.370001,48.400002,56.049999,31.040001
2014-04-24,16.34,48.330002,56.189999,30.940001
2014-04-25,15.95,47.75,55.700001,30.58
2014-04-28,14.95,47.299999,55.490002,29.99
2014-04-29,15.24,48.16,56.099998,30.52
2014-04-30,15.14,47.91,55.98,30.93
2014-05-01,15.09,47.759998,55.720001,31.219999
2014-05-02,15.25,47.73,55.580002,30.690001
2014-05-05,15.08,47.18,54.220001,30.07
2014-05-06,14.73,46.360001,53.34,29.459999
2014-05-07,14.8,46.700001,54.049999,29.700001
2014-05-08,14.93,47.139999,54.360001,29.690001
2014-05-09,14.74,46.990002,54.009998,29.68
2014-05-12,15.07,47.27,54.650002,30.33
2014-05-13,15.03,47.419998,54.619999,30.33
2014-05-14,14.84,47.119999,54.360001,30.25
2014-05-15,14.55,46.52,53.509998,29.77
2014-05-16,14.51,46.439999,53.310001,30.139999
2014-05-19,14.67,46.77,53.830002,30.16
2014-05-20,14.53,46.549999,53.720001,29.709999
2014-05-21,14.61,46.849998,54.119999,30.01
2014-05-22,14.71,47.139999,54.549999,30.389999
2014-05-23,14.72,47.290001,54.529999,30.49
2014-05-27,15.22,47.57,55.139999,31.120001
2014-05-28,15.14,47.32,55.450001,30.93
2014-05-29,15.15,47.279999,55.720001,31.129999
2014-05-30,15.14,47.57,55.57,30.860001
2014-06-02,15.26,47.759998,55.349998,30.9
2014-06-03,15.21,48.189999,55.599998,30.85
2014-06-04,15.21,47.880001,55.68,31.200001
2014-06-05,15.43,48.630001,56.630001,31.629999
2014-06-06,15.59,48.93,56.970001,31.950001
2014-06-09,15.84,49.580002,57.419998,31.98
2014-06-10,15.92,49.330002,57.900002,32.080002
2014-06-11,15.59,48.810001,57.27,31.690001
2014-06-12,15.42,48.27,57.040001,31.73
2014-06-13,15.44,47.59,57.040001,31.59
2014-06-16,15.28,47.639999,56.869999,31.709999
2014-06-17,15.59,47.790001,57.419998,32.5
2014-06-18,15.65,47.93,57.779999,32.66
2014-06-19,15.55,47.560001,57.299999,32.540001
2014-06-20,15.45,47.34,57.549999,32.290001
2014-06-23,15.64,48.060001,58.189999,32.52
2014-06-24,15.49,47.810001,57.419998,32.029999
2014-06-25,15.47,47.82,57.529999,32.23
2014-06-26,15.41,47.23,57.389999,31.889999
2014-06-27,15.33,47.139999,57.529999,31.549999
2014-06-30,15.37,47.099998,57.619999,32.330002
2014-07-01,15.6,47.459999,57.57,32.32
2014-07-02,15.85,48.009998,56.970001,32.490002
2014-07-03,16.030001,48.240002,57.049999,32.619999
2014-07-07,15.94,47.98,56.669998,32.389999
2014-07-08,15.58,47.419998,55.759998,31.75
2014-07-09,15.6,47.380001,56.02,32.009998
2014-07-10,15.44,46.900002,55.560001,31.68
2014-07-11,15.38,47.0,55.799999,31.41
2014-07-14,15.57,48.419998,56.290001,31.809999
2014-07-15,15.81,49.290001,58.27,32.0
2014-07-16,15.51,49.82,58.709999,32.5
2014-07-17,15.2,49.18,57.860001,32.299999
2014-07-18,15.49,49.560001,58.23,32.639999
2014-07-21,15.52,49.349998,58.240002,32.549999
2014-07-22,15.52,49.599998,58.669998,32.91
2014-07-23,15.52,50.18,59.0,33.349998
2014-07-24,15.62,50.09,59.169998,33.400002
2014-07-25,15.59,50.029999,59.009998,33.240002
2014-07-28,15.5,49.700001,59.189999,33.07
2014-07-29,15.34,49.419998,58.639999,32.650002
2014-07-30,15.58,50.0,58.91,33.34
2014-07-31,15.25,48.91,57.669998,32.34
2014-08-01,14.98,48.099998,56.48,31.6
2014-08-04,15.05,48.34,56.650002,31.83
2014-08-05,15.0,47.889999,56.060001,31.41
2014-08-06,15.2,48.139999,56.23,31.559999
2014-08-07,15.12,48.060001,55.91,31.360001
2014-08-08,15.2,48.450001,56.34,31.950001
2014-08-11,15.22,48.389999,56.32,32.080002
2014-08-12,15.21,48.439999,56.349998,32.009998
2014-08-13,15.25,48.75,56.720001,32.02
2014-08-14,15.32,49.130001,56.98,32.169998
2014-08-15,15.22,48.720001,56.75,32.220001
2014-08-18,15.45,49.509998,57.23,32.610001
2014-08-19,15.45,49.700001,57.560001,32.529999
2014-08-20,15.52,49.799999,57.639999,32.540001
2014-08-21,16.16,51.07,58.5,33.029999
2014-08-22,16.129999,50.93,58.490002,33.470001
2014-08-25,16.290001,51.630001,59.34,34.200001
2014-08-26,16.33,52.130001,59.740002,34.400002
2014-08-27,16.200001,51.860001,59.59,34.130001
2014-08-28,16.01,51.389999,59.16,34.060001
2014-08-29,16.09,51.650002,59.450001,34.310001
2014-09-02,16.27,51.959999,59.669998,34.549999
2014-09-03,16.1,52.23,59.700001,34.560001
2014-09-04,16.110001,52.470001,59.709999,34.700001
2014-09-05,16.02,52.299999,59.91,34.630001
2014-09-08,16.35,52.049999,59.889999,34.860001
2014-09-09,16.139999,51.259998,59.060001,33.91
2014-09-10,16.360001,51.830002,59.220001,34.330002
2014-09-11,16.57,52.23,59.759998,34.73
2014-09-12,16.790001,52.380001,60.029999,35.009998
2014-09-15,16.74,52.310001,59.939999,35.209999
2014-09-16,16.709999,52.360001,59.990002,35.110001
2014-09-17,16.77,52.389999,60.310001,35.560001
2014-09-18,17.040001,53.66,61.32,36.130001
2014-09-19,16.950001,53.48,61.110001,35.759998
2014-09-22,17.030001,53.040001,60.91,35.18
2014-09-23,17.049999,52.84,60.939999,35.02
2014-09-24,17.18,53.259998,61.630001,34.98
2014-09-25,16.85,51.959999,60.150002,34.220001
2014-09-26,17.030001,52.490002,60.560001,34.650002
2014-09-29,17.01,52.049999,60.330002,34.5
2014-09-30,17.049999,51.82,60.240002,34.57
2014-10-01,16.82,51.099998,59.77,33.959999
2014-10-02,16.879999,51.25,58.84,34.279999
2014-10-03,17.290001,52.32,60.299999,35.049999
2014-10-06,17.290001,52.279999,60.18,34.990002
2014-10-07,16.879999,51.27,59.27,34.02
2014-10-08,17.120001,52.540001,60.400002,34.5
2014-10-09,16.59,51.139999,59.080002,33.299999
