Date,AAL,DAL,JBLU
2014-01-02,24.583054,26.381571,8.6
2014-01-03,25.726906,27.838743,9.05
2014-01-06,26.201893,27.895891,8.66
2014-01-07,26.085571,27.410166,8.68
2014-01-08,26.78351,28.381611,9.0
2014-01-09,28.518667,29.581642,8.83
2014-01-10,28.450815,29.972128,9.1
2014-01-13,27.772261,29.448305,8.96
2014-01-14,27.985519,30.48642,9.11
2014-01-15,27.956438,30.000698,8.98
2014-01-16,28.441122,30.076891,9.0
2014-01-17,29.10029,29.591164,8.94
2014-01-21,29.720682,30.553095,9.07
2014-01-22,30.244135,31.276922,9.37
2014-01-23,30.389544,30.953114,9.23
2014-01-24,29.468645,29.629261,8.86
2014-01-27,29.25539,29.13401,8.64
2014-01-28,30.980854,29.429256,8.74
2014-01-29,31.969599,28.495901,8.5
2014-01-30,32.764488,29.124489,8.99
2014-01-31,32.522141,29.153063,8.76
2014-02-03,32.919586,27.981602,8.58
2014-02-04,33.006828,28.514952,8.72
2014-02-05,32.764488,28.591143,8.61
2014-02-06,33.598133,29.419729,8.7
2014-02-07,34.577187,30.143557,8.69
2014-02-10,34.489952,29.724501,8.49
2014-02-11,34.053734,29.914984,8.5
2014-02-12,33.627213,29.64831,8.46
2014-02-13,33.956795,29.85784,8.51
2014-02-14,33.355793,29.848316,8.54
2014-02-18,33.258869,29.448305,8.42
2014-02-19,33.530273,29.171574,8.42
2014-02-20,34.567501,30.383474,8.69
2014-02-21,35.061871,30.307131,8.95
2014-02-24,35.527176,30.965569,8.97
2014-02-25,35.866447,31.71944,9.05
2014-02-26,35.624107,31.977083,9.05
2014-02-27,35.439926,31.795767,9.0
2014-02-28,35.798592,31.690798,8.83
2014-03-03,34.994019,31.099169,8.62
2014-03-04,36.196033,32.874081,8.62
2014-03-05,36.7001,33.131725,8.76
2014-03-06,37.620995,33.751991,9.0
2014-03-07,37.824562,33.742458,9.03
2014-03-10,37.766396,33.561142,8.87
2014-03-11,36.913361,33.322578,8.73
2014-03-12,36.409286,32.921791,8.75
2014-03-13,35.614414,32.043884,8.81
2014-03-14,35.226662,32.55917,8.68
2014-03-17,36.544998,32.635521,8.88
2014-03-18,36.205727,32.511463,8.84
2014-03-19,35.943996,32.187016,8.69
2014-03-20,35.439926,32.101128,8.72
2014-03-21,35.003708,31.232761,8.51
2014-03-24,35.672577,31.795767,8.53
2014-03-25,36.738873,32.854992,8.54
2014-03-26,35.575638,32.406502,8.45
2014-03-27,34.674126,32.568722,8.32
2014-03-28,34.305775,31.996168,8.42
2014-03-31,35.478695,33.064938,8.69
2014-04-01,36.777645,34.114609,8.94
2014-04-02,36.554695,34.066898,9.08
2014-04-03,36.196033,33.751991,9.01
2014-04-04,35.439926,33.026764,8.76
2014-04-07,34.683819,32.435131,8.8
2014-04-08,34.877693,31.977083,8.75
2014-04-09,35.769512,33.14127,8.99
2014-04-10,34.208832,31.49995,8.7
2014-04-11,32.648159,31.032368,8.43
2014-04-14,32.347652,30.278507,8.22
2014-04-15,32.686935,30.450272,8.31
2014-04-16,34.422092,32.08205,8.8
2014-04-17,34.315464,32.215645,8.62
2014-04-21,34.577187,32.387405,8.76
2014-04-22,35.052185,33.351212,8.59
2014-04-23,35.95369,35.393311,8.59
2014-04-24,36.118481,35.049782,8.37
2014-04-25,34.897079,34.419971,7.92
2014-04-28,34.082821,34.2005,7.63
2014-04-29,34.422092,35.059326,7.77
2014-04-30,33.995571,35.145206,7.91
2014-05-01,35.275135,35.421936,8.12
2014-05-02,35.372082,35.526905,8.2
2014-05-05,35.478695,35.832272,8.36
2014-05-06,35.546551,35.965862,8.2
2014-05-07,36.079704,36.548889,8.29
2014-05-08,37.078144,36.032772,8.3
2014-05-09,37.087841,36.004097,8.44
2014-05-12,38.183228,36.940758,8.76
2014-05-13,38.105675,37.065002,8.86
2014-05-14,37.650074,36.740051,8.78
2014-05-15,37.019989,36.443741,8.75
2014-05-16,37.349567,36.185699,8.68
2014-05-19,37.388344,36.692249,8.89
2014-05-20,37.068451,36.157024,8.86
2014-05-21,37.146004,36.644463,8.88
2014-05-22,37.533749,36.921646,8.95
2014-05-23,37.9118,37.4282,9.11
2014-05-27,38.144447,37.714931,9.26
2014-05-28,38.580662,38.489124,9.45
2014-05-29,38.600048,38.364868,9.55
2014-05-30,38.92963,38.145039,9.66
2014-06-02,39.957157,38.966999,9.82
2014-06-03,40.170418,39.330204,10.05
2014-06-04,41.508137,40.305088,10.27
2014-06-05,41.110706,39.664719,10.28
2014-06-06,42.535664,40.362438,10.54
2014-06-09,42.254547,40.018353,10.46
2014-06-10,42.322399,40.066143,10.63
2014-06-11,40.994381,38.909657,10.43
2014-06-12,38.968414,36.79739,9.94
2014-06-13,39.142895,37.504669,10.23
2014-06-16,39.802067,37.122353,10.39
2014-06-17,40.587242,37.74361,10.53
2014-06-18,41.353046,37.992111,10.55
2014-06-19,41.740788,37.867855,10.52
2014-06-20,43.185135,37.820068,10.6
2014-06-23,43.000965,37.342178,10.46
2014-06-24,41.857117,36.864296,10.41
2014-06-25,42.564747,37.609798,10.66
2014-06-26,43.185135,37.562016,10.58
2014-06-27,42.651993,37.590694,10.88
2014-06-30,41.64386,37.007668,10.85
2014-07-01,42.516289,38.527355,10.98
2014-07-02,40.664803,36.548889,10.75
2014-07-03,40.344906,36.892971,10.89
2014-07-07,38.871468,35.26815,10.62
2014-07-08,39.026566,34.828491,10.49
2014-07-09,40.703568,35.325493,10.66
2014-07-10,41.508137,35.793831,10.73
2014-07-11,41.566303,35.583553,10.82
2014-07-14,41.663231,35.726925,10.71
2014-07-15,42.361187,36.348179,10.82
2014-07-16,42.147919,36.195251,10.87
2014-07-17,40.422455,34.95274,10.63
2014-07-18,41.605076,35.535767,10.83
2014-07-21,41.178558,35.507099,10.71
2014-07-22,41.081623,36.013664,10.78
2014-07-23,42.002525,37.418648,11.28
2014-07-24,40.868366,36.386414,11.06
2014-07-25,40.403061,36.376846,11.41
2014-07-28,39.055656,36.501099,11.17
2014-07-29,38.318932,36.013664,11.06
2014-07-30,38.338318,36.166573,11.08
2014-07-31,37.755226,35.803391,10.72
2014-08-01,38.318882,35.918076,10.81
2014-08-04,37.065231,35.631344,10.86
2014-08-05,36.13229,34.627777,10.78
2014-08-06,36.404396,34.512794,10.92
2014-08-07,35.821308,34.119965,11.13
2014-08-08,36.13229,34.723598,11.46
2014-08-11,36.900036,35.154762,11.74
2014-08-12,36.462708,34.982292,11.62
2014-08-13,37.045803,35.710503,11.88
2014-08-14,38.454945,36.793217,11.8
2014-08-15,38.085655,36.917774,11.91
