Date,AAL,DAL,JBLU
2014-01-02,25.360001,27.700001,8.6
2014-01-03,26.540001,29.23,9.05
2014-01-06,27.030001,29.290001,8.66
2014-01-07,26.91,28.780001,8.68
2014-01-08,27.629999,29.799999,9.0
2014-01-09,29.42,31.059999,8.83
2014-01-10,29.35,31.469999,9.1
2014-01-13,28.65,30.92,8.96
2014-01-14,28.870001,32.009998,9.11
2014-01-15,28.84,31.5,8.98
2014-01-16,29.34,31.58,9.0
2014-01-17,30.02,31.07,8.94
2014-01-21,30.66,32.080002,9.07
2014-01-22,31.200001,32.84,9.37
2014-01-23,31.35,32.5,9.23
2014-01-24,30.4,31.110001,8.86
2014-01-27,30.18,30.59,8.64
2014-01-28,31.959999,30.9,8.74
2014-01-29,32.98,29.92,8.5
2014-01-30,33.799999,30.58,8.99
2014-01-31,33.549999,30.610001,8.76
2014-02-03,33.959999,29.379999,8.58
2014-02-04,34.049999,29.940001,8.72
2014-02-05,33.799999,30.02,8.61
2014-02-06,34.66,30.889999,8.7
2014-02-07,35.669998,31.65,8.69
2014-02-10,35.580002,31.209999,8.49
2014-02-11,35.130001,31.41,8.5
2014-02-12,34.689999,31.129999,8.46
2014-02-13,35.029999,31.35,8.51
2014-02-14,34.41,31.34,8.54
2014-02-18,34.310001,30.92,8.42
2014-02-19,34.59,30.57,8.42
2014-02-20,35.66,31.84,8.69
2014-02-21,36.169998,31.76,8.95
2014-02-24,36.650002,32.450001,8.97
2014-02-25,37.0,33.240002,9.05
2014-02-26,36.75,33.509998,9.05
2014-02-27,36.560001,33.32,9.0
2014-02-28,36.93,33.209999,8.83
2014-03-03,36.099998,32.59,8.62
2014-03-04,37.34,34.450001,8.62
2014-03-05,37.860001,34.720001,8.76
2014-03-06,38.810001,35.369999,9.0
2014-03-07,39.02,35.360001,9.03
2014-03-10,38.959999,35.169998,8.87
2014-03-11,38.080002,34.919998,8.73
2014-03-12,37.560001,34.5,8.75
2014-03-13,36.740002,33.580002,8.81
2014-03-14,36.34,34.119999,8.68
2014-03-17,37.700001,34.200001,8.88
2014-03-18,37.349998,34.07,8.84
2014-03-19,37.080002,33.73,8.69
2014-03-20,36.560001,33.639999,8.72
2014-03-21,36.110001,32.73,8.51
2014-03-24,36.799999,33.32,8.53
2014-03-25,37.900002,34.43,8.54
2014-03-26,36.700001,33.959999,8.45
2014-03-27,35.77,34.130001,8.32
2014-03-28,35.389999,33.529999,8.42
2014-03-31,36.599998,34.650002,8.69
2014-04-01,37.939999,35.75,8.94
2014-04-02,37.709999,35.700001,9.08
2014-04-03,37.34,35.369999,9.01
2014-04-04,36.560001,34.610001,8.76
2014-04-07,35.779999,33.990002,8.8
2014-04-08,35.98,33.509998,8.75
2014-04-09,36.900002,34.73,8.99
2014-04-10,35.290001,33.009998,8.7
2014-04-11,33.68,32.52,8.43
2014-04-14,33.369999,31.73,8.22
2014-04-15,33.720001,31.91,8.31
2014-04-16,35.509998,33.619999,8.8
2014-04-17,35.400002,33.759998,8.62
2014-04-21,35.669998,33.939999,8.76
2014-04-22,36.16,34.950001,8.59
2014-04-23,37.09,37.09,8.59
2014-04-24,37.259998,36.73,8.37
2014-04-25,36.0,36.07,7.92
2014-04-28,35.16,35.84,7.63
2014-04-29,35.509998,36.740002,7.77
2014-04-30,35.07,36.830002,7.91
2014-05-01,36.389999,37.119999,8.12
2014-05-02,36.490002,37.23,8.2
2014-05-05,36.599998,37.549999,8.36
2014-05-06,36.669998,37.689999,8.2
2014-05-07,37.220001,38.240002,8.29
2014-05-08,38.25,37.700001,8.3
2014-05-09,38.259998,37.669998,8.44
2014-05-12,39.389999,38.650002,8.76
2014-05-13,39.310001,38.779999,8.86
2014-05-14,38.84,38.439999,8.78
2014-05-15,38.189999,38.130001,8.75
2014-05-16,38.529999,37.860001,8.68
2014-05-19,38.57,38.389999,8.89
2014-05-20,38.240002,37.830002,8.86
2014-05-21,38.32,38.34,8.88
2014-05-22,38.720001,38.630001,8.95
2014-05-23,39.110001,39.16,9.11
2014-05-27,39.349998,39.459999,9.26
2014-05-28,39.799999,40.27,9.45
2014-05-29,39.82,40.139999,9.55
2014-05-30,40.16,39.91,9.66
2014-06-02,41.220001,40.77,9.82
2014-06-03,41.439999,41.150002,10.05
2014-06-04,42.82,42.169998,10.27
2014-06-05,42.41,41.5,10.28
2014-06-06,43.880001,42.23,10.54
2014-06-09,43.59,41.869999,10.46
2014-06-10,43.66,41.919998,10.63
2014-06-11,42.290001,40.709999,10.43
2014-06-12,40.200001,38.5,9.94
2014-06-13,40.380001,39.240002,10.23
2014-06-16,41.060001,38.84,10.39
2014-06-17,41.869999,39.490002,10.53
2014-06-18,42.66,39.75,10.55
2014-06-19,43.060001,39.619999,10.52
2014-06-20,44.549999,39.57,10.6
2014-06-23,44.360001,39.07,10.46
2014-06-24,43.18,38.57,10.41
2014-06-25,43.91,39.349998,10.66
2014-06-26,44.549999,39.299999,10.58
2014-06-27,44.0,39.330002,10.88
2014-06-30,42.959999,38.720001,10.85
2014-07-01,43.860001,40.310001,10.98
2014-07-02,41.950001,38.240002,10.75
2014-07-03,41.619999,38.599998,10.89
2014-07-07,40.099998,36.900002,10.62
2014-07-08,40.259998,36.439999,10.49
2014-07-09,41.990002,36.959999,10.66
2014-07-10,42.82,37.450001,10.73
2014-07-11,42.880001,37.23,10.82
2014-07-14,42.98,37.380001,10.71
2014-07-15,43.700001,38.029999,10.82
2014-07-16,43.48,37.869999,10.87
2014-07-17,41.700001,36.57,10.63
2014-07-18,42.919998,37.18,10.83
2014-07-21,42.48,37.150002,10.71
2014-07-22,42.380001,37.68,10.78
2014-07-23,43.330002,39.150002,11.28
2014-07-24,42.16,38.07,11.06
2014-07-25,41.68,38.060001,11.41
2014-07-28,40.290001,38.189999,11.17
2014-07-29,39.529999,37.68,11.06
2014-07-30,39.549999,37.84,11.08
2014-07-31,38.849998,37.459999,10.72
2014-08-01,39.43,37.580002,10.81
2014-08-04,38.139999,37.279999,10.86
2014-08-05,37.18,36.23,10.78
