Date,AAL,DAL,JBLU,LUV
2011-01-03,10.323719,11.92012,6.93,12.670496
2011-01-04,10.29464,11.872742,6.86,12.747056
2011-01-05,10.759933,12.299137,7.1,12.737485
2011-01-06,10.895645,12.232808,6.95,12.593935
2011-01-07,11.050742,12.318089,7.08,12.718346
2011-01-10,11.118599,11.939071,6.99,12.727917
2011-01-11,10.633916,11.702186,6.85,12.507807
2011-01-12,10.546675,11.85379,6.96,12.593935
2011-01-13,10.556368,11.948545,6.89,12.526947
2011-01-14,10.459431,12.081202,6.8,12.670496
2011-01-18,9.809958,11.086279,6.62,12.517378
2011-01-19,9.722713,10.849392,6.45,12.278131
2011-01-20,9.935977,11.001,6.49,12.239852
2011-01-21,9.528842,10.934672,6.35,12.029314
2011-01-24,9.790569,11.389496,6.39,12.211143
2011-01-25,9.819651,11.019951,6.35,11.962326
2011-01-26,10.469124,11.351591,6.48,11.924047
2011-01-27,10.711465,11.654808,6.4,11.952756
2011-01-28,9.84873,11.20946,5.88,11.416842
2011-01-31,9.616086,11.057855,6.0,11.340284
2011-02-01,9.606391,11.171559,5.83,11.340284
2011-02-02,9.22834,10.754639,5.85,11.072329
2011-02-03,9.296196,10.925196,5.93,11.177598
2011-02-04,8.956917,10.802014,5.8,11.215878
2011-02-07,9.422213,10.944149,5.8,11.502973
2011-02-08,9.577311,11.237885,5.92,11.656091
2011-02-09,9.577311,11.124181,5.87,11.742218
2011-02-10,9.548228,11.076804,5.86,11.780499
2011-02-11,9.819651,11.275788,6.07,11.85706
2011-02-14,9.664553,11.199985,5.94,11.665663
2011-02-15,9.771183,11.275788,5.98,11.837917
2011-02-16,9.790569,11.199985,6.03,11.847486
2011-02-17,9.616086,11.038901,6.08,11.962326
2011-02-18,9.422213,10.89677,6.1,12.029314
2011-02-22,8.889065,10.176634,5.78,11.368994
2011-02-23,8.229897,10.441949,5.7,11.187166
2011-02-24,8.171734,10.546179,5.65,11.254157
2011-02-25,8.307444,10.536703,5.76,11.282866
2011-02-28,8.346219,10.650408,5.7,11.321145
2011-03-01,7.706439,10.053454,5.59,11.211046
2011-03-02,7.725825,9.617583,5.45,11.077013
2011-03-03,8.103877,9.721813,5.63,11.278062
2011-03-04,8.026328,9.390174,5.55,11.29721
2011-03-07,8.045716,9.560731,5.54,11.26849
2011-03-08,8.995691,10.489326,5.86,12.120565
2011-03-09,8.656414,10.309292,5.76,11.785481
2011-03-10,8.811512,10.593555,6.0,11.967385
2011-03-11,8.898759,10.640933,6.08,12.17801
2011-03-14,8.598253,10.394571,5.93,11.871646
2011-03-15,8.646722,10.129256,5.88,11.852498
2011-03-16,8.288057,9.664961,5.73,11.507836
2011-03-17,8.229897,9.342796,5.63,11.34508
2011-03-18,8.685496,9.702861,5.68,11.680165
2011-03-21,8.889065,9.636536,5.99,11.75676
2011-03-22,8.627335,9.475452,5.87,11.795054
2011-03-23,8.462542,9.390174,5.9,11.890793
2011-03-24,8.58856,9.484927,6.03,12.005679
2011-03-25,8.743659,9.285944,6.34,12.139715
2011-03-28,8.743659,9.390174,6.32,12.043975
2011-03-29,8.598253,9.276467,6.36,11.976958
2011-03-30,8.695189,9.4186,6.3,12.264177
2011-03-31,8.443156,9.285944,6.27,12.091845
2011-04-01,8.51101,9.304895,6.24,12.13014
2011-04-04,8.472236,9.314368,6.26,11.929091
2011-04-05,8.191122,9.19119,6.15,11.680165
2011-04-06,8.142652,9.086958,6.21,11.632297
2011-04-07,7.987554,8.916402,6.12,11.29721
2011-04-08,7.696744,8.565808,5.86,11.182323
2011-04-11,7.987554,8.935351,5.88,11.278062
2011-04-12,8.191122,9.380698,5.92,11.335508
2011-04-13,8.006942,9.077482,5.75,11.249344
2011-04-14,7.813069,8.85955,5.62,11.105733
2011-04-15,7.84215,8.764795,5.54,11.134455
2011-04-18,8.074797,8.660563,5.53,11.057864
2011-04-19,7.997247,8.651089,5.48,11.077013
2011-04-20,7.890617,8.594235,5.5,11.134455
2011-04-21,7.880925,8.575285,5.39,10.82809
2011-04-25,8.026328,8.527908,5.48,11.019567
2011-04-26,8.530397,9.465977,5.56,11.182323
2011-04-27,8.481932,9.522829,5.57,11.26849
2011-04-28,8.501318,9.54178,5.63,11.306784
2011-04-29,8.811512,9.835519,5.66,11.249344
2011-05-02,8.782434,9.911322,5.71,11.115304
2011-05-03,8.937529,9.968177,5.81,11.048287
2011-05-04,9.01508,9.9208,5.9,11.14403
2011-05-05,9.51915,10.631458,5.96,11.402524
2011-05-06,9.393129,10.621983,5.9,11.594003
2011-05-09,9.034466,10.242964,5.86,11.488688
2011-05-10,9.208953,10.233487,5.84,11.584428
2011-05-11,9.68394,10.479851,5.96,11.622724
2011-05-12,9.325275,10.299817,5.94,11.622724
2011-05-13,9.121709,10.091356,5.82,11.555707
2011-05-16,9.635472,10.422997,6.14,11.622724
