Date,AAL,DAL,JBLU,LUV
2011-01-03,10.65,12.58,6.93,13.24
2011-01-04,10.62,12.53,6.86,13.32
2011-01-05,11.1,12.98,7.1,13.31
2011-01-06,11.24,12.91,6.95,13.16
2011-01-07,11.4,13.0,7.08,13.29
2011-01-10,11.47,12.6,6.99,13.3
2011-01-11,10.97,12.35,6.85,13.07
2011-01-12,10.88,12.51,6.96,13.16
2011-01-13,10.89,12.61,6.89,13.09
2011-01-14,10.79,12.75,6.8,13.24
2011-01-18,10.12,11.7,6.62,13.08
2011-01-19,10.03,11.45,6.45,12.83
2011-01-20,10.25,11.61,6.49,12.79
2011-01-21,9.83,11.54,6.35,12.57
2011-01-24,10.1,12.02,6.39,12.76
2011-01-25,10.13,11.63,6.35,12.5
2011-01-26,10.8,11.98,6.48,12.46
2011-01-27,11.05,12.3,6.4,12.49
2011-01-28,10.16,11.83,5.88,11.93
2011-01-31,9.92,11.67,6.0,11.85
2011-02-01,9.91,11.79,5.83,11.85
2011-02-02,9.52,11.35,5.85,11.57
2011-02-03,9.59,11.53,5.93,11.68
2011-02-04,9.24,11.4,5.8,11.72
2011-02-07,9.72,11.55,5.8,12.02
2011-02-08,9.88,11.86,5.92,12.18
2011-02-09,9.88,11.74,5.87,12.27
2011-02-10,9.85,11.69,5.86,12.31
2011-02-11,10.13,11.9,6.07,12.39
2011-02-14,9.97,11.82,5.94,12.19
2011-02-15,10.08,11.9,5.98,12.37
2011-02-16,10.1,11.82,6.03,12.38
2011-02-17,9.92,11.65,6.08,12.5
2011-02-18,9.72,11.5,6.1,12.57
2011-02-22,9.17,10.74,5.78,11.88
2011-02-23,8.49,11.02,5.7,11.69
2011-02-24,8.43,11.13,5.65,11.76
2011-02-25,8.57,11.12,5.76,11.79
2011-02-28,8.61,11.24,5.7,11.83
2011-03-01,7.95,10.61,5.59,11.71
2011-03-02,7.97,10.15,5.45,11.57
2011-03-03,8.36,10.26,5.63,11.78
2011-03-04,8.28,9.91,5.55,11.8
2011-03-07,8.3,10.09,5.54,11.77
2011-03-08,9.28,11.07,5.86,12.66
2011-03-09,8.93,10.88,5.76,12.31
2011-03-10,9.09,11.18,6.0,12.5
2011-03-11,9.18,11.23,6.08,12.72
2011-03-14,8.87,10.97,5.93,12.4
2011-03-15,8.92,10.69,5.88,12.38
2011-03-16,8.55,10.2,5.73,12.02
2011-03-17,8.49,9.86,5.63,11.85
2011-03-18,8.96,10.24,5.68,12.2
2011-03-21,9.17,10.17,5.99,12.28
2011-03-22,8.9,10.0,5.87,12.32
2011-03-23,8.73,9.91,5.9,12.42
2011-03-24,8.86,10.01,6.03,12.54
2011-03-25,9.02,9.8,6.34,12.68
2011-03-28,9.02,9.91,6.32,12.58
2011-03-29,8.87,9.79,6.36,12.51
2011-03-30,8.97,9.94,6.3,12.81
2011-03-31,8.71,9.8,6.27,12.63
2011-04-01,8.78,9.82,6.24,12.67
2011-04-04,8.74,9.83,6.26,12.46
2011-04-05,8.45,9.7,6.15,12.2
2011-04-06,8.4,9.59,6.21,12.15
2011-04-07,8.24,9.41,6.12,11.8
2011-04-08,7.94,9.04,5.86,11.68
2011-04-11,8.24,9.43,5.88,11.78
2011-04-12,8.45,9.9,5.92,11.84
2011-04-13,8.26,9.58,5.75,11.75
2011-04-14,8.06,9.35,5.62,11.6
2011-04-15,8.09,9.25,5.54,11.63
2011-04-18,8.33,9.14,5.53,11.55
2011-04-19,8.25,9.13,5.48,11.57
2011-04-20,8.14,9.07,5.5,11.63
2011-04-21,8.13,9.05,5.39,11.31
2011-04-25,8.28,9.0,5.48,11.51
2011-04-26,8.8,9.99,5.56,11.68
2011-04-27,8.75,10.05,5.57,11.77
2011-04-28,8.77,10.07,5.63,11.81
2011-04-29,9.09,10.38,5.66,11.75
2011-05-02,9.06,10.46,5.71,11.61
2011-05-03,9.22,10.52,5.81,11.54
2011-05-04,9.3,10.47,5.9,11.64
2011-05-05,9.82,11.22,5.96,11.91
2011-05-06,9.69,11.21,5.9,12.11
2011-05-09,9.32,10.81,5.86,12.0
2011-05-10,9.5,10.8,5.84,12.1
2011-05-11,9.99,11.06,5.96,12.14
2011-05-12,9.62,10.87,5.94,12.14
2011-05-13,9.41,10.65,5.82,12.07
2011-05-16,9.94,11.0,6.14,12.14
2011-05-17,9.8,11.01,6.35,12.22
2011-05-18,9.67,10.93,6.25,12.27
2011-05-19,10.32,11.38,6.34,12.4
2011-05-20,10.17,11.51,6.24,12.27
2011-05-23,10.0,11.23,6.08,12.14
2011-05-24,9.74,11.09,5.95,11.97
2011-05-25,9.27,10.49,5.9,11.84
2011-05-26,9.25,10.18,5.91,11.79
2011-05-27,9.12,10.0,6.08,11.83
2011-05-31,9.1,10.08,6.07,11.83
2011-06-01,9.04,9.68,5.83,11.59
2011-06-02,9.11,9.62,5.82,11.57
2011-06-03,8.89,9.62,5.7,11.56
2011-06-06,8.55,9.33,5.58,11.23
2011-06-07,8.56,9.26,5.59,11.34
2011-06-08,8.26,9.14,5.5,11.08
2011-06-09,8.04,9.18,5.5,11.05
2011-06-10,8.1,9.22,5.61,10.93
2011-06-13,8.21,9.26,5.66,10.93
2011-06-14,8.17,9.5,5.7,11.09
2011-06-15,8.23,9.33,5.62,10.77
2011-06-16,8.23,9.4,5.76,10.77
2011-06-17,8.4,9.58,5.94,10.94
2011-06-20,8.6,9.69,6.0,11.04
2011-06-21,8.65,9.81,6.13,11.16
2011-06-22,8.48,9.59,6.08,11.02
2011-06-23,8.91,9.94,6.19,11.41
2011-06-24,8.69,9.43,6.06,11.36
2011-06-27,9.15,9.66,6.13,11.39
2011-06-28,9.13,9.39,6.18,11.43
2011-06-29,8.85,9.2,6.09,11.39
2011-06-30,8.91,9.17,6.1,11.42
2011-07-01,8.94,9.29,6.25,11.64
2011-07-05,8.45,9.12,5.96,11.39
2011-07-06,8.34,9.13,6.01,11.45
2011-07-07,8.39,9.41,6.12,11.61
2011-07-08,8.21,9.35,6.05,11.38
2011-07-11,8.06,9.0,5.88,11.04
2011-07-12,7.95,8.61,5.79,10.91
2011-07-13,7.9,8.7,5.66,10.88
2011-07-14,7.64,8.51,5.61,10.75
2011-07-15,7.44,8.41,5.61,10.72
2011-07-18,7.03,8.06,5.42,10.46
2011-07-19,7.01,8.26,5.54,10.58
2011-07-20,6.9,8.14,5.48,10.49
2011-07-21,6.9,8.17,5.5,10.47
2011-07-22,6.8,8.1,5.42,10.42
2011-07-25,6.5,7.86,5.28,10.24
2011-07-26,6.39,8.02,4.83,10.12
2011-07-27,6.18,7.61,4.7,9.94
2011-07-28,5.98,7.63,4.65,9.79
2011-07-29,6.24,7.89,4.79,9.96
2011-08-01,5.96,7.8,4.69,9.72
2011-08-02,5.52,7.43,4.4,9.39
2011-08-03,5.9,7.55,4.54,9.65
2011-08-04,5.63,7.02,4.25,8.84
2011-08-05,5.52,6.97,4.18,8.47
2011-08-08,4.97,6.62,4.02,8.08
2011-08-09,5.79,7.08,4.32,8.44
2011-08-10,5.32,6.68,3.87,8.17
2011-08-11,5.48,6.97,4.17,8.29
2011-08-12,5.53,6.97,4.09,8.31
2011-08-15,5.88,7.32,4.46,8.5
2011-08-16,5.97,7.66,4.41,8.53
2011-08-17,5.69,7.8,4.4,8.47
2011-08-18,5.35,7.39,4.14,8.04
2011-08-19,5.14,7.21,4.13,7.89
2011-08-22,5.11,7.22,4.0,7.85
2011-08-23,5.33,7.26,4.12,8.01
2011-08-24,5.3,7.25,4.28,8.21
2011-08-25,5.08,6.83,3.97,8.12
2011-08-26,5.26,7.12,4.07,8.2
2011-08-29,5.55,7.5,4.36,8.68
2011-08-30,5.52,7.61,4.37,8.54
2011-08-31,5.59,7.53,4.35,8.62
2011-09-01,5.29,7.42,4.2,8.43
2011-09-02,5.22,7.27,4.08,8.25
2011-09-06,5.04,7.13,4.05,8.06
2011-09-07,5.21,7.47,4.17,8.35
2011-09-08,5.14,7.31,4.05,8.13
2011-09-09,5.02,7.18,4.01,8.06
2011-09-12,4.85,7.38,4.16,7.96
2011-09-13,5.64,7.99,4.36,8.31
2011-09-14,5.74,8.39,4.4,8.5
2011-09-15,5.86,8.46,4.5,8.6
2011-09-16,5.91,8.4,4.5,8.97
2011-09-19,5.8,8.31,4.45,8.67
2011-09-20,5.97,8.37,4.35,8.49
2011-09-21,5.85,8.0,4.16,8.3
2011-09-22,5.73,7.58,4.11,8.03
2011-09-23,6.13,8.17,4.2,8.38
2011-09-26,6.43,8.3,4.42,8.71
2011-09-27,6.11,8.14,4.23,8.53
2011-09-28,6.12,8.11,4.1,8.53
2011-09-29,6.1,7.95,4.26,8.63
2011-09-30,5.5,7.5,4.09,8.04
2011-10-03,4.63,6.65,3.49,7.35
2011-10-04,5.0,7.29,3.77,7.5
2011-10-05,5.17,7.43,3.79,7.57
2011-10-06,5.35,7.78,3.86,7.86
2011-10-07,5.21,7.8,3.87,7.69
2011-10-10,5.33,8.05,4.0,7.97
2011-10-11,5.84,8.21,4.28,8.15
2011-10-12,6.23,8.42,4.52,8.33
2011-10-13,6.3,8.68,4.57,8.61
2011-10-14,6.04,8.57,4.59,8.61
2011-10-17,5.85,8.4,4.45,8.61
2011-10-18,6.02,8.71,4.63,8.82
2011-10-19,5.76,8.5,4.32,8.71
2011-10-20,6.01,8.7,4.36,9.1
2011-10-21,5.87,8.66,4.32,8.87
2011-10-24,5.95,8.9,4.55,9.06
2011-10-25,5.6,8.44,4.36,8.72
2011-10-26,5.66,8.56,4.42,8.63
2011-10-27,5.83,8.64,4.66,8.85
2011-10-28,5.94,8.51,4.55,8.78
2011-10-31,5.77,8.52,4.48,8.55
2011-11-01,5.5,8.33,4.3,8.46
2011-11-02,5.28,8.25,4.29,8.48
2011-11-03,5.61,8.3,4.45,8.59
2011-11-04,5.5,8.35,4.39,8.53
2011-11-07,5.39,8.31,4.29,8.42
2011-11-08,5.21,8.2,4.33,8.47
2011-11-09,5.05,8.0,4.12,8.17
2011-11-10,4.85,7.62,4.11,8.11
2011-11-11,5.01,7.95,4.12,8.21
2011-11-14,4.98,8.06,4.02,8.19
2011-11-15,4.78,8.0,3.96,8.2
2011-11-16,4.5,7.58,3.85,8.05
2011-11-17,4.4,7.28,3.7,7.78
2011-11-18,4.42,7.36,3.7,7.81
2011-11-21,4.25,7.21,3.59,7.73
2011-11-22,4.05,7.28,3.49,7.65
2011-11-23,4.0,7.12,3.4,7.4
2011-11-25,4.02,7.12,3.48,7.5
2011-11-28,4.27,7.43,3.68,7.87
2011-11-29,4.46,7.8,4.06,7.93
2011-11-30,4.72,8.12,4.12,8.38
2011-12-01,4.94,8.52,4.3,8.33
2011-12-02,4.84,8.41,4.44,8.28
2011-12-05,5.12,8.61,4.7,8.47
2011-12-06,5.25,8.47,4.71,8.54
2011-12-07,5.59,8.56,4.95,8.58
2011-12-08,5.34,8.18,4.75,8.27
2011-12-09,5.62,8.5,5.05,8.44
2011-12-12,5.63,8.5,5.09,8.43
2011-12-13,5.19,7.99,4.92,8.16
2011-12-14,5.59,8.15,5.12,8.17
2011-12-15,5.71,8.59,5.26,8.42
2011-12-16,6.18,9.02,5.57,8.71
2011-12-19,5.83,8.51,5.17,8.3
2011-12-20,5.94,8.63,5.34,8.48
2011-12-21,5.77,8.47,5.37,8.37
2011-12-22,5.7,8.36,5.29,8.4
2011-12-23,5.62,8.33,5.34,8.58
2011-12-27,5.4,8.18,5.32,8.51
2011-12-28,5.19,8.12,5.16,8.4
2011-12-29,5.23,8.09,5.26,8.6
2011-12-30,5.07,8.09,5.2,8.56
2012-01-03,5.12,8.04,5.12,8.41
2012-01-04,5.03,8.01,5.23,8.6
2012-01-05,5.47,8.33,5.42,8.62
2012-01-06,5.6,8.32,5.45,8.52
2012-01-09,5.72,8.28,5.53,8.59
2012-01-10,5.72,8.27,5.92,8.71
2012-01-11,5.91,8.61,5.68,8.88
2012-01-12,6.05,8.87,5.58,8.97
2012-01-13,5.97,8.85,5.49,8.84
2012-01-17,5.88,8.73,5.26,8.94
2012-01-18,6.04,8.92,5.38,9.02
2012-01-19,6.26,9.33,5.54,9.3
2012-01-20,6.37,9.41,5.44,9.4
2012-01-23,6.26,9.29,5.42,9.28
2012-01-24,6.41,9.38,5.5,9.16
2012-01-25,7.52,9.96,5.57,9.51
2012-01-26,7.85,10.17,5.8,9.38
2012-01-27,8.18,10.39,5.81,9.62
2012-01-30,8.52,10.77,5.92,9.38
2012-01-31,8.44,10.55,5.92,9.58
2012-02-01,8.9,10.9,6.07,9.74
2012-02-02,9.12,11.1,6.09,9.75
2012-02-03,9.64,11.3,6.23,10.04
2012-02-06,9.15,10.99,6.14,9.75
2012-02-07,9.24,10.97,5.95,9.64
2012-02-08,9.1,10.99,5.98,9.63
2012-02-09,8.96,11.12,5.94,9.78
2012-02-10,8.85,10.89,5.86,9.62
2012-02-13,9.18,11.15,5.92,9.72
2012-02-14,9.0,10.94,5.86,9.59
2012-02-15,8.89,10.83,5.83,9.53
2012-02-16,9.1,10.93,5.92,9.59
2012-02-17,8.9,10.83,5.81,9.43
2012-02-21,7.89,10.05,5.3,9.1
2012-02-22,7.7,9.93,5.14,9.02
2012-02-23,7.26,9.69,5.02,8.87
2012-02-24,6.99,9.53,4.81,8.68
2012-02-27,7.0,9.66,5.16,8.82
2012-02-28,7.41,9.9,5.19,8.95
2012-02-29,7.41,9.81,5.1,8.98
2012-03-01,7.41,9.64,5.19,8.88
2012-03-02,7.63,9.77,5.11,8.96
2012-03-05,6.99,9.67,5.01,8.74
2012-03-06,6.88,9.36,4.96,8.6
2012-03-07,6.91,9.37,4.99,8.49
2012-03-08,6.96,9.47,4.99,8.5
2012-03-09,7.03,9.37,4.98,8.48
2012-03-12,6.89,9.19,4.91,8.28
2012-03-13,6.96,9.31,5.08,8.41
2012-03-14,7.09,9.3,5.07,8.18
2012-03-15,7.58,9.63,5.37,8.45
2012-03-16,7.15,9.21,5.15,8.31
