Date,BAC,C,JPM,MS
2014-01-02,15.370997,51.07716,52.758812,29.080124
2014-01-03,15.666961,52.181381,53.166656,29.529959
2014-01-06,15.905638,52.58202,53.474819,29.633049
2014-01-07,15.752884,52.943581,52.858498,29.539331
2014-01-08,15.829261,53.559196,53.356995,29.576817
2014-01-09,16.067942,53.940304,53.257305,29.567448
2014-01-10,16.010658,53.471256,53.012581,29.333151
2014-01-13,15.686054,52.494076,52.296562,28.930176
2014-01-14,16.010658,52.71883,52.332817,29.145721
2014-01-15,16.373455,53.735096,53.918938,30.195343
2014-01-16,16.306622,51.399632,53.465759,29.989168
2014-01-17,16.239792,51.07716,52.668167,31.301195
2014-01-21,16.239792,50.666748,52.722542,30.579578
2014-01-22,16.373455,50.715614,52.196873,30.260942
2014-01-23,16.096582,49.562538,51.181747,29.501841
2014-01-24,15.705147,48.204254,49.930977,28.53657
2014-01-27,15.571486,47.696125,49.930977,28.086727
2014-01-28,15.972468,48.468094,50.520111,28.236675
2014-01-29,15.924735,46.982788,50.329784,28.105255
2014-01-30,16.163414,47.207577,50.755756,28.142805
2014-01-31,15.991565,46.357262,50.175697,27.701605
2014-02-03,15.609676,45.291912,49.224026,27.175924
2014-02-04,15.609676,45.721954,49.804092,27.241632
2014-02-05,15.657413,45.995628,50.039738,27.391829
2014-02-06,15.934282,47.15871,51.190811,27.870573
2014-02-07,16.058393,48.22406,51.317703,27.870573
2014-02-10,15.962923,48.204506,51.426472,27.879961
2014-02-11,16.115677,48.536823,52.051849,28.41503
2014-02-12,15.991565,48.830036,52.133427,28.311769
2014-02-13,15.991565,48.732292,52.595657,28.077093
2014-02-14,15.943833,48.399986,52.704422,27.870573
2014-02-18,15.724242,48.263157,53.012581,27.748543
2014-02-19,15.466469,47.100063,51.897766,27.18531
2014-02-20,15.561939,47.04142,52.187801,27.532637
2014-02-21,15.552395,47.16848,52.214989,27.804865
2014-02-24,15.781526,47.872196,52.595657,28.452576
2014-02-25,15.600125,47.305321,51.689304,27.889349
2014-02-26,15.590584,47.227131,51.435528,28.105255
2014-02-27,15.743338,47.588757,51.381149,28.499514
2014-02-28,15.781526,47.530113,51.498974,28.912554
2014-03-03,15.561939,46.533195,50.946087,28.40564
2014-03-04,15.972468,47.72559,51.897766,29.194168
2014-03-05,16.478777,48.30225,52.71349,30.010847
2014-03-06,16.574301,48.585693,53.384182,29.888821
2014-03-07,16.555199,48.497719,53.837372,30.236141
2014-03-10,16.688938,48.448856,53.656094,30.161049
2014-03-11,16.497879,47.334648,52.740673,29.757401
2014-03-12,16.507431,46.89481,52.495964,29.513332
2014-03-13,16.392796,46.259518,52.042786,29.513332
2014-03-14,16.048893,45.819698,51.48085,29.194168
2014-03-17,16.345034,46.650467,52.187801,29.447622
2014-03-18,16.421457,47.051193,52.622852,29.710461
2014-03-19,16.660278,47.833103,52.840374,29.860661
2014-03-20,17.118818,49.084148,54.480877,30.780605
2014-03-21,16.774912,48.947319,54.535259,30.602249
2014-03-24,16.593409,48.918003,55.350967,30.452051
2014-03-25,16.440565,49.162342,55.224091,29.654144
2014-03-26,16.4119,49.025513,54.290546,29.306812
2014-03-27,16.249506,46.376804,54.308662,29.006428
2014-03-28,16.220842,46.181339,54.417435,29.01581
2014-03-31,16.431009,46.523403,55.024681,29.259874
2014-04-01,16.564753,46.718884,54.988434,29.297426
2014-04-02,16.459669,47.148945,55.16172,29.48517
2014-04-03,16.383245,46.601604,55.325893,29.053362
2014-04-04,15.972468,46.044498,54.550644,28.508904
2014-04-07,15.647669,45.497162,53.811863,27.710989
