Date,ALGN,CELG,FB,MRK,MSFT,THO
2017-02-28,102.760002,123.510002,135.539993,64.454506,63.278221,110.098602
2017-03-01,103.830002,123.699997,137.419998,64.787201,64.227699,112.810837
2017-03-02,104.120003,122.239998,136.759995,64.659996,63.307896,112.979729
2017-03-03,104.040001,123.660004,137.169998,65.149261,63.545258,113.198303
2017-03-06,102.739998,123.519997,137.419998,65.041618,63.565041,114.668663
2017-03-07,103.150002,122.080002,137.300003,64.542572,63.693615,103.332939
2017-03-08,103.720001,123.040001,137.720001,64.386009,64.277138,100.789597
2017-03-09,105.360001,125.129997,138.240005,64.474083,64.020004,98.593987
2017-03-10,105.32,124.0,138.789993,64.190308,64.217804,98.911903
2017-03-13,107.989998,124.43,139.600006,63.224453,64.000214,96.676544
2017-03-14,107.480003,124.68,139.320007,63.273727,63.70351,96.070518
2017-03-15,110.309998,126.879997,139.720001,63.766514,64.03978,98.017769
2017-03-16,110.470001,126.620003,139.990005,63.254021,63.930984,98.236328
2017-03-17,111.849998,125.769997,139.839996,62.978058,64.158463,97.600494
2017-03-20,113.230003,126.510002,139.940002,63.185032,64.217804,96.974594
2017-03-21,111.059998,123.82,138.509995,62.987915,63.505699,93.646408
2017-03-22,111.989998,123.370003,139.589996,62.583832,64.316704,97.213028
2017-03-23,112.550003,123.220001,139.529999,62.367004,64.158463,96.80571
2017-03-24,113.870003,123.379997,140.339996,62.268448,64.267258,96.845451
2017-03-27,114.019997,124.860001,140.320007,62.278301,64.385933,96.706352
2017-03-28,113.900002,124.43,141.759995,62.42614,64.573853,98.420975
2017-03-29,114.230003,124.089996,142.649994,62.721809,64.751884,96.855888
2017-03-30,113.959999,124.339996,142.410004,62.53455,64.98925,96.487045
2017-03-31,114.709999,124.43,142.050003,62.623253,65.137604,95.829109
2017-04-03,116.360001,124.050003,142.279999,62.554264,64.831001,94.194244
2017-04-04,115.610001,124.769997,141.729996,62.751373,65.009033,92.170601
2017-04-05,114.800003,124.18,141.850006,62.652821,64.840889,90.505829
2017-04-06,115.190002,124.300003,141.169998,62.327583,65.009033,91.383072
2017-04-07,114.739998,125.580002,140.779999,62.21917,64.959579,91.502693
2017-04-10,114.730003,125.919998,141.039993,61.647537,64.811218,91.084015
2017-04-11,114.949997,125.059998,139.919998,61.677105,64.761772,91.652229
2017-04-12,114.110001,125.150002,139.580002,62.140324,64.514511,89.170013
2017-04-13,113.730003,124.449997,139.389999,61.706673,64.237579,89.13015
2017-04-17,115.18,125.07,141.419998,61.893929,64.761772,90.296486
2017-04-18,116.32,123.010002,140.960007,61.371574,64.67276,90.475922
2017-04-19,117.550003,122.919998,142.270004,61.736237,64.326599,90.824821
2017-04-20,118.870003,123.269997,143.800003,61.647537,64.781548,92.031036
2017-04-21,118.440002,122.260002,143.679993,60.997055,65.671677,91.512665
2017-04-24,120.339996,123.150002,145.470001,61.24345,66.789284,94.523209
2017-04-25,118.779999,125.519997,146.490005,61.401142,67.175003,96.257767
2017-04-26,119.739998,125.199997,146.559998,61.795372,67.085999,97.035324
2017-04-27,120.089996,123.970001,147.699997,61.677105,67.521164,97.204796
2017-04-28,134.619995,124.050003,150.25,61.43071,67.709076,95.878952
2017-05-01,133.679993,124.059998,152.460007,61.479992,68.648666,95.95871
2017-05-02,134.119995,123.82,152.779999,61.795372,68.539871,94.024773
2017-05-03,131.970001,123.43,151.800003,62.711956,68.322281,93.78553
2017-05-04,141.889999,124.459999,150.850006,62.465561,68.055244,92.629158
2017-05-05,138.029999,122.410004,150.240005,63.047047,68.243156,92.858437
2017-05-08,137.0,118.360001,151.059998,63.086475,68.183823,91.502693
2017-05-09,138.169998,120.099998,150.479996,62.376862,68.282722,91.642258
2017-05-10,137.009995,119.68,150.289993,63.017483,68.549751,94.074623
2017-05-11,137.460007,119.519997,150.039993,63.500412,67.709076,94.244087
2017-05-12,138.669998,119.32,150.330002,62.652821,67.629959,93.695808
2017-05-15,138.460007,119.040001,150.190002,62.593685,67.679413,94.712616
2017-05-16,138.610001,119.360001,149.779999,62.869648,69.04216,96.018517
2017-05-17,136.080002,117.099998,144.850006,62.091042,67.122383,91.851601
2017-05-18,137.690002,117.400002,147.660004,62.968201,67.351158,93.62603
2017-05-19,138.429993,116.93,148.059998,62.859791,67.331268,92.998001
2017-05-22,138.100006,115.709999,148.240005,63.116039,68.087234,93.406715
2017-05-23,138.220001,117.309998,148.070007,63.618683,68.316025,92.220444
2017-05-24,138.649994,117.75,150.039993,63.993198,68.40554,92.768715
2017-05-25,141.389999,116.739998,151.960007,64.101616,69.251045,91.692101
2017-05-26,142.100006,116.779999,152.130005,63.983337,69.589233,91.113914
2017-05-30,143.330002,115.129997,152.380005,63.94392,70.036858,90.5158
2017-05-31,145.199997,114.410004,151.460007,64.170609,69.469872,90.246635
2017-06-01,145.910004,116.410004,151.529999,64.318436,69.728493,92.220444
2017-06-02,149.699997,118.730003,153.610001,64.525406,71.3797,93.346901
2017-06-05,148.830002,118.099998,153.630005,64.13118,71.896942,94.393623
2017-06-06,148.619995,116.879997,152.809998,63.736942,72.135666,103.93367
2017-06-07,149.130005,117.57,153.119995,63.135746,72.006363,101.71064
2017-06-08,151.820007,117.059998,154.710007,62.288158,71.568687,102.707512
2017-06-09,148.850006,118.190002,149.600006,63.460991,69.947327,102.02964
2017-06-12,143.410004,119.349998,148.440002,63.460991,69.410194,103.514977
2017-06-13,144.380005,119.620003,150.679993,62.815655,70.275581,105.598434
2017-06-14,144.300003,121.040001,150.25,62.914936,69.897591,105.468849
