Date,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,USD,XLV
2017-02-28,135.89325,120.07914,174.088852,113.090446,163.014572,33.900002,17.144886,32.389999,34.865757,38.032509,844.929993,49.622147,51.540077,83.769997,35.664955,59.89764,23.58,63.278221,1724.130005,43.910183,42.0,29.463619,93.892189,34.549999,25.812912,46.785549,72.851814,74.150604
2017-03-01,138.670807,121.618111,175.775223,112.15451,165.141006,34.27,17.489756,32.560001,35.397457,38.430752,856.75,50.324032,53.140827,84.139999,35.398949,61.220146,23.940001,64.227699,1733.180054,44.565258,42.43,29.589533,94.47506,34.060001,25.881931,46.864384,75.006546,74.892212
2017-03-02,137.847473,121.892578,175.607574,113.110138,164.151978,33.91,17.410929,31.950001,35.190685,37.604393,849.849976,49.727917,52.251522,83.720001,35.379242,60.509552,23.719999,63.307896,1734.369995,44.118614,42.77,31.40074,93.57605,34.27,25.812912,46.588474,73.85936,74.6549
2017-03-03,138.660889,121.196609,177.708115,113.957413,164.181656,33.740002,17.578436,32.009998,35.683002,37.703953,849.080017,49.535618,52.47879,83.470001,35.369392,61.022762,23.690001,63.545258,1735.099976,43.989586,43.029999,31.40074,93.250038,34.259998,25.980528,46.933357,74.028938,74.951546
2017-03-06,138.224426,120.804512,176.978348,113.011627,164.023392,33.639999,17.489756,32.07,35.554996,37.674084,847.27002,49.766369,52.271286,82.239998,35.04427,60.667461,23.450001,63.565041,1730.209961,43.840698,42.869999,31.294201,91.412498,34.34,25.990389,46.893944,73.280762,74.664795
2017-03-07,138.402985,121.686729,174.927109,113.00177,164.191528,33.470001,17.509462,32.259998,35.348228,37.79356,851.150024,49.525993,52.024258,82.07,35.27087,60.489811,23.389999,63.693615,1736.459961,43.850628,42.889999,31.110172,90.513496,34.450001,25.714314,47.012184,74.6175,74.140724
2017-03-08,137.887146,122.000404,175.321564,111.563385,164.479492,33.32,17.489756,32.169998,35.24976,37.743778,853.640015,49.987511,51.98473,81.309998,35.093529,60.489811,23.68,64.277138,1743.48999,43.731525,42.790001,30.897089,89.634239,34.540001,25.546698,46.864384,74.657394,74.437363
2017-03-09,137.569687,120.745697,176.445801,111.32695,165.005737,33.18,17.588289,31.780001,35.683002,37.30571,857.840027,50.10289,52.202122,80.360001,35.290573,60.726677,23.629999,64.020004,1749.420044,43.741447,42.919998,30.858349,91.323593,34.5,25.960808,47.908875,74.876862,74.842781
2017-03-10,138.026016,121.480881,178.930969,111.898361,165.234116,33.130001,17.854332,32.02,36.0867,37.484921,861.409973,50.487476,52.261402,80.68,35.379242,61.01289,23.809999,64.217804,1754.23999,43.67197,42.990002,31.03269,92.795586,34.369999,25.990389,48.421268,76.762245,75.129532
2017-03-13,138.085541,121.588707,178.546356,112.568291,166.058258,32.810001,17.893744,32.310001,36.135929,38.092243,864.580017,50.341843,52.468906,79.970001,34.640327,61.052368,23.91,64.000214,1767.119995,43.880402,42.59,31.381372,92.489342,34.34,26.177723,48.066536,76.7024,75.070198
2017-03-14,137.877228,121.461281,177.629211,112.331841,164.012802,32.860001,17.637556,32.220001,35.781464,37.972771,865.909973,49.924355,52.310806,79.370003,34.660034,60.815502,23.629999,63.70351,1769.0,43.681892,42.099998,31.362,92.420181,34.470001,26.118565,48.2439,76.223572,74.793335
2017-03-15,139.335464,122.333694,180.074921,113.573189,168.00441,32.889999,17.874037,33.150002,36.254086,38.619923,868.390015,50.390392,52.468906,81.080002,34.581215,61.220146,24.309999,64.03978,1767.97998,44.009434,42.389999,31.370001,94.277473,34.18,26.404499,48.933666,76.293396,75.732697
2017-03-16,139.563614,121.647522,177.619354,113.385994,167.229919,33.099998,18.120371,33.299999,36.716862,39.167507,870.0,50.837013,53.111187,80.139999,34.620621,61.506363,24.709999,63.930984,1773.97998,43.860554,42.400002,31.58,92.775833,34.25,26.641134,49.278545,76.742302,75.000977
2017-03-17,138.869217,122.745392,166.278381,114.292389,167.080978,33.700001,18.041544,33.290001,36.677475,38.968384,872.369995,50.837013,52.47879,79.75,34.748703,61.042496,24.700001,64.158463,1772.630005,44.277424,43.080002,31.719999,93.57605,34.310001,26.680573,49.189861,77.460548,74.58815
2017-03-20,140.327454,121.931793,166.899673,114.262833,166.405777,33.810001,18.011986,33.740002,36.598705,39.426369,867.909973,51.118576,52.113186,78.900002,34.906338,60.904327,24.469999,64.217804,1765.439941,44.148392,43.16,31.620001,93.704475,34.349998,26.720013,49.465767,78.218689,74.478989
2017-03-21,138.720413,122.176849,164.542725,115.011574,165.810013,33.189999,17.923306,33.450001,36.539627,38.998253,850.140015,50.021442,50.413631,77.779999,34.522102,59.749603,23.879999,63.505699,1747.140015,43.384129,42.639999,31.41,93.892189,34.77,26.74959,49.308109,75.345718,73.893478
2017-03-22,140.287766,123.980492,165.134415,116.558327,165.263901,33.529999,17.814917,33.66,36.58886,39.117729,849.799988,49.720463,50.216003,78.080002,34.847221,59.492996,23.75,64.316704,1751.98999,43.364281,43.189999,31.549999,96.91523,34.720001,26.828468,49.4165,76.466644,73.913322
2017-03-23,139.791763,118.373528,163.743912,117.18885,164.211395,33.52,17.88389,33.540001,36.736557,39.067947,839.650024,49.982609,50.354343,77.599998,34.748703,59.601559,23.790001,64.158463,1748.329956,43.394054,43.139999,31.73,97.922913,34.740002,27.074963,49.278545,76.206886,73.685074
2017-03-24,139.514008,116.628708,163.448074,117.553375,161.599976,33.400002,18.002132,33.669998,36.864555,39.077904,835.140015,49.613659,50.229218,78.940002,34.640327,59.700256,23.67,64.267258,1753.109985,43.046665,43.130001,31.91,99.138054,34.75,27.084824,49.436203,77.036095,73.72477
2017-03-27,139.752106,117.030602,162.629547,118.233162,161.043945,33.43,17.982424,33.84,37.051636,38.888737,838.51001,49.293259,49.692963,78.970001,34.866928,59.571953,23.68,64.385933,1772.0,42.907707,43.080002,32.240002,101.518951,34.810001,27.114403,49.564304,77.285858,73.923241
2017-03-28,142.648712,118.951866,162.432312,118.607529,163.43692,33.529999,17.94301,33.84,37.209179,39.057991,840.630005,49.526279,50.407967,80.199997,35.073822,60.272682,24.059999,64.573853,1788.449951,43.304729,43.150002,32.029999,101.983276,34.560001,26.907349,49.44606,77.855309,73.972862
2017-03-29,142.966141,118.58918,160.805115,119.247902,163.814224,33.650002,18.011986,33.68,37.091019,38.918606,849.869995,49.47773,50.338451,80.720001,35.04427,60.104904,24.299999,64.751884,1785.050049,43.255104,43.240002,32.139999,102.595787,34.52,26.828468,49.327816,77.575577,73.992714
2017-03-30,142.777664,118.138268,162.106888,119.119835,165.899384,33.700001,17.962717,33.490002,36.923634,38.629875,849.47998,49.603954,51.013737,80.269997,35.221607,60.430592,24.459999,64.98925,1789.199951,43.40398,43.540001,32.240002,102.082077,34.41,26.877769,48.904106,78.374809,74.00264
