,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
USD,1.0,0.61139471166,0.614504476698,0.362548102847,0.376277273755,0.331353299124,0.227993565977,0.706342488135,0.563042570206,0.131973482743,0.47063403011,0.125185988677,0.354607543048,0.128425255021,0.381228411748,0.618536564325,0.177878901785,0.545149346529,0.464488663139,0.270746752708,0.194435677814,0.491718827389,0.432430692743,0.119908226919,0.440531814596,0.542398273848,0.323628818138,-0.667496476528
GOOGL,0.61139471166,1.0,0.525377903924,0.291165633313,0.47146152502,0.267371368501,0.143366828628,0.658009096972,0.470370648725,0.106926207799,0.519103465926,0.102453698885,0.201933283228,0.0153743175601,0.326695680061,0.292857181399,0.120246501328,0.484182658687,0.342757130593,0.32695796785,0.303723133676,0.379626643286,0.40250845181,0.161015971688,0.363655191319,0.553322546966,0.27384301204,-0.577727580295
AAPL,0.614504476698,0.525377903924,1.0,0.239684003511,0.342045889209,0.297264053677,0.22933939612,0.589025898096,0.436069080806,0.0442291251972,0.413068303522,0.186773387467,0.399669547839,0.0992161653483,0.296990855128,0.395572717056,0.0406572275955,0.392770464652,0.389577075196,0.314015811008,0.291990111508,0.500080578701,0.526911821513,0.100563219313,0.358212565905,0.486377391436,0.318374611466,-0.609271325718
ACN,0.362548102847,0.291165633313,0.239684003511,1.0,0.33245692668,0.271816584572,0.200433367579,0.422850309409,0.455190070562,0.100933324111,0.270289841488,0.186502623415,0.217077797361,0.106046367065,0.262800246527,0.288662623351,0.236305022885,0.356660963017,0.310170325,0.171748170074,0.145574728051,0.269008534379,0.160100604587,0.157550821368,0.285515702399,0.222598949503,0.276337788314,-0.460394714175
XLV,0.376277273755,0.47146152502,0.342045889209,0.33245692668,1.0,0.339341571783,0.251829373189,0.460562111671,0.507008280248,0.21043212309,0.390874107447,0.166381810903,0.31298687926,0.0943626194206,0.40635238807,0.231195261674,0.344989136597,0.383060015019,0.427140181246,0.707432011679,0.451009589862,0.408192003703,0.420678920991,0.179088710693,0.4559034421,0.414370118187,0.388141204626,-0.683972093526
EWO,0.331353299124,0.267371368501,0.297264053677,0.271816584572,0.339341571783,1.0,0.0870976306285,0.359575951607,0.383053138184,0.330438439583,0.367694169541,0.167856750593,0.230378650011,0.107591398707,0.411688811455,0.236836329042,0.132145577475,0.265135725025,0.649432395292,0.206425850811,0.136793532041,0.415359201663,0.399100805678,0.229374152576,0.820420168018,0.271803469135,0.482075361491,-0.513133677883
ICLR,0.227993565977,0.143366828628,0.22933939612,0.200433367579,0.251829373189,0.0870976306285,1.0,0.145734436864,0.227340937596,0.166077818923,0.22547138903,0.00654645175248,0.158238127032,0.111401533682,0.0864454768906,0.17115629034,0.0956100961645,0.438444366773,0.118877818603,0.0436626157051,0.0559293712774,0.217242384632,0.262915692777,0.0578906537484,0.0729648348533,0.139977895217,0.092655652162,-0.274992729144
MSFT,0.706342488135,0.658009096972,0.589025898096,0.422850309409,0.460562111671,0.359575951607,0.145734436864,1.0,0.542545317841,0.18732065439,0.50291785045,0.21410775657,0.340740452916,0.116213770287,0.313856173876,0.444819417817,0.187939413595,0.502259152844,0.439258431889,0.294780132032,0.239830612118,0.475478734103,0.453635243911,0.100499001328,0.47378681479,0.585573195259,0.378349203467,-0.676421286829
PPA,0.563042570206,0.470370648725,0.436069080806,0.455190070562,0.507008280248,0.383053138184,0.227340937596,0.542545317841,1.0,0.0864798379186,0.432764593354,0.143175281486,0.451524075456,0.178295087676,0.589380282357,0.461026558197,0.323037531822,0.434229335262,0.635381883534,0.288495349385,0.378900345825,0.459221400003,0.35833042582,0.160893958882,0.481654335782,0.387488248219,0.269026906042,-0.773356113447
SONVY,0.131973482743,0.106926207799,0.0442291251972,0.100933324111,0.21043212309,0.330438439583,0.166077818923,0.18732065439,0.0864798379186,1.0,0.0686362752233,0.107758296613,0.0823431347816,-0.0483045405851,0.040941385241,0.0440076628461,0.0715652196157,0.0867481334828,0.125961222395,0.0543971344891,0.0632271450839,0.111527047792,0.143080494951,0.281131630124,0.432149873245,0.18402217366,0.3152286523,-0.174388858955
PCLN,0.47063403011,0.519103465926,0.413068303522,0.270289841488,0.390874107447,0.367694169541,0.22547138903,0.50291785045,0.432764593354,0.0686362752233,1.0,0.152333588127,0.112051646965,0.045906295484,0.255256048562,0.340245226985,0.113414373132,0.406160669895,0.397951682432,0.294284530549,0.142326149676,0.31555945081,0.367447103379,0.17639656923,0.413653774272,0.415566732894,0.22917792436,-0.473860448176
AMT,0.125185988677,0.102453698885,0.186773387467,0.186502623415,0.166381810903,0.167856750593,0.00654645175248,0.21410775657,0.143175281486,0.107758296613,0.152333588127,1.0,0.0881686766612,0.00774750686298,-0.158609471047,0.163425625825,-0.0975033274929,0.167467783374,-0.0378214834189,-0.00758752449632,0.123660923137,0.132706998593,0.122584015799,0.206123108225,0.165301173418,0.109401988953,0.275906704014,-0.123242154477
GRMN,0.354607543048,0.201933283228,0.399669547839,0.217077797361,0.31298687926,0.230378650011,0.158238127032,0.340740452916,0.451524075456,0.0823431347816,0.112051646965,0.0881686766612,1.0,0.0756510909962,0.430324534962,0.286890397991,0.277692675134,0.18200895665,0.404089999329,0.18966277228,0.283563427771,0.251916274736,0.227697895276,-0.0305239573729,0.300170614506,0.187979223511,0.153981015215,-0.537726974479
SAFM,0.128425255021,0.0153743175601,0.0992161653483,0.106046367065,0.0943626194206,0.107591398707,0.111401533682,0.116213770287,0.178295087676,-0.0483045405851,0.045906295484,0.00774750686298,0.0756510909962,1.0,0.16071404589,0.156951032757,0.0579020641002,0.211964758743,0.162749540907,0.0196632774817,-0.0549457926694,0.0440919011873,0.0300248403565,-0.00887076482874,0.138463665837,0.0839558420499,-0.0463819658463,-0.213125488867
IAI,0.381228411748,0.326695680061,0.296990855128,0.262800246527,0.40635238807,0.411688811455,0.0864454768906,0.313856173876,0.589380282357,0.040941385241,0.255256048562,-0.158609471047,0.430324534962,0.16071404589,1.0,0.268636146929,0.359518807153,0.218455933949,0.852943880977,0.413061126494,0.327262660257,0.416127036992,0.278539386987,-0.0202488666722,0.447631545769,0.216241808426,0.118499864558,-0.737273780119
INTC,0.618536564325,0.292857181399,0.395572717056,0.288662623351,0.231195261674,0.236836329042,0.17115629034,0.444819417817,0.461026558197,0.0440076628461,0.340245226985,0.163425625825,0.286890397991,0.156951032757,0.268636146929,1.0,0.118301605281,0.428057620556,0.384079215397,0.207002269366,0.137255980771,0.260014979876,0.247249547725,0.203112219417,0.382954564157,0.32000668916,0.280956509561,-0.506356672756
LPX,0.177878901785,0.120246501328,0.0406572275955,0.236305022885,0.344989136597,0.132145577475,0.0956100961645,0.187939413595,0.323037531822,0.0715652196157,0.113414373132,-0.0975033274929,0.277692675134,0.0579020641002,0.359518807153,0.118301605281,1.0,0.0644472106664,0.282677226758,0.241178662531,0.179086186213,0.169858834729,0.120205046851,-0.00787553036183,0.16863676573,0.181326366561,0.101413246722,-0.395568276802
PYPL,0.545149346529,0.484182658687,0.392770464652,0.356660963017,0.383060015019,0.265135725025,0.438444366773,0.502259152844,0.434229335262,0.0867481334828,0.406160669895,0.167467783374,0.18200895665,0.211964758743,0.218455933949,0.428057620556,0.0644472106664,1.0,0.301600021461,0.199409119313,0.146790698315,0.279664373286,0.328750118019,0.210895809084,0.319039357139,0.459727103879,0.296156524089,-0.503551579229
