,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
USD,0.00045597416773,0.00012176792224,0.000141476787088,6.39974992187e-05,3.9376421914e-05,6.04388280289e-05,6.62960938385e-05,0.000120961216953,6.87949174182e-05,2.71625067059e-05,0.000107773234201,1.85225633785e-05,7.18652739081e-05,2.95702666321e-05,7.26302091757e-05,0.000114376052047,5.08171974983e-05,0.000138817744423,7.1381003973e-05,5.84007170926e-05,3.68767964225e-05,8.93157028641e-05,6.9428935934e-05,2.31869575558e-05,7.24629367861e-05,0.000127411536979,4.92576537927e-05,-6.15045084022e-05
GOOGL,0.00012176792224,9.71694979277e-05,5.67299360825e-05,2.24541137741e-05,2.24709329884e-05,2.20095627932e-05,1.98001927932e-05,5.14117115189e-05,2.57214006233e-05,6.62501412635e-06,5.37194061541e-05,8.96397468858e-06,1.66730492237e-05,-6.25063538549e-06,2.88234147512e-05,2.14255886297e-05,1.37358704179e-05,6.35911136929e-05,2.41854532788e-05,3.24728145612e-05,2.76307680708e-05,3.41470686954e-05,3.10919009938e-05,1.49769834184e-05,2.76929949324e-05,6.08452174067e-05,2.31672215205e-05,-2.45904482438e-05
AAPL,0.000141476787088,5.67299360825e-05,0.000120730681094,2.01043854422e-05,1.70351450814e-05,2.71361083121e-05,3.49326381655e-05,5.10131140014e-05,2.63320900431e-05,3.58796257038e-06,4.83006351314e-05,1.51736934861e-05,3.98383218043e-05,8.48142340411e-06,2.95876955334e-05,3.63030507315e-05,5.25150508655e-06,5.02839719233e-05,3.02627849057e-05,3.5913457629e-05,2.73239068597e-05,4.9318081795e-05,4.30355595746e-05,1.23393894695e-05,2.99728259951e-05,5.87462438873e-05,3.26913061402e-05,-2.86086274072e-05
ACN,6.39974992187e-05,2.24541137741e-05,2.01043854422e-05,7.70030136412e-05,1.47911549172e-05,1.75103139769e-05,2.19363754622e-05,3.15964893735e-05,2.34466981712e-05,6.30374326363e-06,2.46837539665e-05,1.61306294765e-05,1.86846766842e-05,9.64201152034e-06,1.84194961883e-05,1.9755710214e-05,2.88266233082e-05,3.99297940984e-05,1.81718433607e-05,1.37962752505e-05,9.27294219364e-06,1.75262333853e-05,1.06574049648e-05,1.18110249135e-05,1.75468011355e-05,2.05242507725e-05,1.43945349495e-05,-1.70726841057e-05
XLV,3.9376421914e-05,2.24709329884e-05,1.70351450814e-05,1.47911549172e-05,2.95260992449e-05,1.39592889547e-05,1.66716315582e-05,1.90380397163e-05,1.54214697289e-05,1.25272496714e-05,2.18865119157e-05,7.87827947689e-06,1.5598305661e-05,9.59136907709e-06,1.7625638506e-05,1.04115998078e-05,2.57599786265e-05,2.3886254638e-05,1.5620842942e-05,4.12233926971e-05,2.5767434289e-05,1.70129937144e-05,1.62218761525e-05,1.02954844787e-05,1.7739344105e-05,2.35053353911e-05,1.16710857232e-05,-1.56870837088e-05
EWO,6.04388280289e-05,2.20095627932e-05,2.71361083121e-05,1.75103139769e-05,1.39592889547e-05,7.297734598e-05,1.10970590122e-05,2.33364060952e-05,1.77092611368e-05,2.74031923228e-05,3.22927105168e-05,9.85536509062e-06,1.84930213391e-05,1.19604411335e-05,3.11135278993e-05,1.69302109896e-05,1.29287560494e-05,2.62510719487e-05,4.00029464015e-05,1.86843976364e-05,9.18173785342e-06,3.13677566313e-05,2.58180497513e-05,1.96120857793e-05,5.47259049568e-05,2.75218248819e-05,3.22283091994e-05,-1.86983923155e-05
ICLR,6.62960938385e-05,1.98001927932e-05,3.49326381655e-05,2.19363754622e-05,1.66716315582e-05,1.10970590122e-05,0.000193977283685,1.52723310497e-05,1.73894265852e-05,2.0913696859e-05,3.24800189424e-05,7.09025153309e-07,2.00350359152e-05,2.36398597323e-05,1.28578750306e-05,1.72511919978e-05,1.51873970052e-05,7.05743533909e-05,1.17295139314e-05,4.09501617461e-06,8.14508334141e-06,2.54773821806e-05,2.77221857165e-05,7.77005347941e-06,8.78430187487e-06,2.02087178098e-05,1.22820514951e-05,-1.64560375804e-05
MSFT,0.000120961216953,5.14117115189e-05,5.10131140014e-05,3.15964893735e-05,1.90380397163e-05,2.33364060952e-05,1.52723310497e-05,6.80381485116e-05,2.63024082768e-05,1.16441151024e-05,4.45437841005e-05,1.60927633962e-05,2.71279017569e-05,7.91921479561e-06,2.28376015167e-05,3.06900317417e-05,1.98803616031e-05,5.49202627375e-05,2.55116792479e-05,2.31674240112e-05,1.72575494816e-05,3.3135203059e-05,2.84468439349e-05,5.03000377346e-06,2.85951166596e-05,5.31248933022e-05,1.98532817087e-05,-2.42759336232e-05
PPA,6.87949174182e-05,2.57214006233e-05,2.63320900431e-05,2.34466981712e-05,1.54214697289e-05,1.77092611368e-05,1.73894265852e-05,2.63024082768e-05,3.44837245033e-05,4.47819819291e-06,2.78641586816e-05,7.48903578885e-06,2.50959561233e-05,1.24907242109e-05,3.09934526037e-05,2.39426194376e-05,2.61135919823e-05,3.45289698029e-05,2.64766159983e-05,1.65762329727e-05,2.15912741097e-05,2.36466169612e-05,1.58759505026e-05,7.74772699719e-06,2.07333962703e-05,2.61695525748e-05,9.77140943113e-06,-1.98223402843e-05
SONVY,2.71625067059e-05,6.62501412635e-06,3.58796257038e-06,6.30374326363e-06,1.25272496714e-05,2.74031923228e-05,2.0913696859e-05,1.16441151024e-05,4.47819819291e-06,0.000112591028474,7.79912434039e-06,1.0323850837e-05,8.96996871424e-06,4.00385020277e-06,2.75181028825e-06,6.34462443944e-06,1.35939572291e-05,1.58742197215e-06,7.35096498616e-06,9.17264962129e-06,7.50820003181e-06,1.30634354163e-05,1.01009738045e-05,3.38945562573e-05,3.3080072803e-05,1.91702325542e-05,2.85582879964e-05,-6.70660399977e-06
