,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,USD,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.05,0.01,0.04,0.05,0.01,0.11,0.03,0.02,0.07,0.05,0.23,0.01,0.05,0.07,0.07,0.03,0.05,0.02,0.01,0.06,0.04,0.02,0.06,0.32,0.16,0.22,0.05,0.09,0.352319676306,0.010384270529,33.9282066392
1,0.04,0.01,0.01,0.04,0.08,0.04,0.15,0.08,0.02,0.12,0.13,0.02,0.18,0.14,0.08,0.07,0.22,0.05,0.05,0.05,0.04,0.01,0.07,0.05,0.1,0.02,0.06,0.07,0.468565785722,0.00997885340398,46.9558742626
2,0.09,0.35,0.04,0.06,0.01,0.08,0.02,0.1,0.03,0.01,0.02,0.16,0.05,0.08,0.02,0.1,0.01,0.12,0.05,0.05,0.02,0.03,0.05,0.09,0.16,0.03,0.02,0.15,0.37478493634,0.0104375051582,35.9075210655
3,0.06,0.07,0.05,0.18,0.06,0.22,0.03,0.04,0.01,0.04,0.03,0.01,0.09,0.02,0.06,0.03,0.08,0.21,0.03,0.11,0.02,0.16,0.11,0.03,0.05,0.13,0.01,0.06,0.374368759712,0.0112304752168,33.3350773218
4,0.03,0.06,0.01,0.02,0.02,0.06,0.01,0.04,0.18,0.12,0.02,0.06,0.02,0.25,0.03,0.14,0.11,0.09,0.2,0.07,0.08,0.06,0.07,0.15,0.02,0.02,0.03,0.03,0.423814833012,0.00974415919552,43.4942435267
5,0.05,0.01,0.06,0.01,0.01,0.01,0.04,0.08,0.01,0.18,0.08,0.02,0.12,0.06,0.11,0.02,0.04,0.01,0.09,0.2,0.03,0.01,0.26,0.12,0.03,0.1,0.22,0.02,0.526841246993,0.0103101325484,51.0993670081
6,0.24,0.01,0.04,0.39,0.04,0.12,0.01,0.11,0.09,0.02,0.1,0.04,0.04,0.01,0.02,0.02,0.02,0.02,0.04,0.05,0.06,0.04,0.04,0.07,0.11,0.08,0.14,0.03,0.445614880672,0.0127854698099,34.8532269285
7,0.06,0.12,0.16,0.05,0.04,0.01,0.04,0.01,0.07,0.06,0.02,0.19,0.02,0.04,0.1,0.13,0.22,0.05,0.04,0.06,0.08,0.02,0.07,0.03,0.02,0.01,0.17,0.11,0.458941138968,0.00956376001413,47.9875214654
8,0.02,0.03,0.07,0.1,0.04,0.05,0.08,0.12,0.05,0.13,0.07,0.11,0.11,0.18,0.12,0.03,0.02,0.01,0.04,0.04,0.2,0.01,0.09,0.14,0.06,0.03,0.02,0.03,0.491185695013,0.00929164774316,52.8631421025
9,0.08,0.12,0.02,0.11,0.02,0.03,0.01,0.06,0.04,0.14,0.09,0.02,0.19,0.01,0.02,0.01,0.19,0.11,0.11,0.12,0.09,0.03,0.02,0.08,0.11,0.05,0.03,0.09,0.40399304739,0.0104766210027,38.5613879976
10,0.2,0.06,0.01,0.03,0.01,0.1,0.25,0.08,0.07,0.04,0.11,0.01,0.12,0.03,0.01,0.15,0.06,0.03,0.08,0.1,0.05,0.14,0.01,0.12,0.01,0.02,0.02,0.08,0.368586642165,0.0120266950294,30.6473757972
11,0.04,0.18,0.01,0.16,0.02,0.02,0.1,0.06,0.07,0.17,0.07,0.06,0.05,0.04,0.07,0.08,0.03,0.02,0.02,0.35,0.05,0.04,0.03,0.05,0.05,0.02,0.07,0.07,0.43918979039,0.00997615717242,44.023944571
12,0.05,0.05,0.08,0.03,0.01,0.03,0.03,0.02,0.04,0.11,0.13,0.16,0.01,0.13,0.11,0.01,0.09,0.07,0.14,0.01,0.03,0.08,0.02,0.23,0.04,0.05,0.09,0.15,0.340494161827,0.00891400980207,38.197642743
13,0.01,0.03,0.04,0.28,0.04,0.03,0.11,0.02,0.02,0.07,0.04,0.1,0.03,0.08,0.02,0.14,0.12,0.13,0.02,0.05,0.01,0.05,0.07,0.26,0.01,0.06,0.12,0.04,0.397535154733,0.00969551467768,41.0019651301
14,0.14,0.09,0.14,0.1,0.11,0.06,0.09,0.02,0.02,0.14,0.13,0.15,0.02,0.08,0.08,0.03,0.07,0.05,0.01,0.13,0.02,0.14,0.02,0.05,0.01,0.02,0.04,0.04,0.357768884293,0.0111160762018,32.1848175379
15,0.09,0.09,0.03,0.07,0.13,0.05,0.01,0.05,0.03,0.05,0.04,0.19,0.07,0.11,0.14,0.01,0.17,0.01,0.04,0.17,0.04,0.12,0.04,0.01,0.03,0.01,0.06,0.14,0.390986805797,0.00939031117674,41.6372576412
16,0.04,0.01,0.01,0.02,0.05,0.03,0.04,0.08,0.01,0.19,0.05,0.26,0.01,0.13,0.1,0.03,0.02,0.09,0.12,0.12,0.07,0.25,0.1,0.01,0.01,0.02,0.08,0.05,0.428466389185,0.00958792959964,44.6881033838
17,0.23,0.04,0.04,0.01,0.01,0.02,0.02,0.03,0.08,0.08,0.09,0.25,0.09,0.09,0.07,0.06,0.02,0.1,0.09,0.06,0.02,0.01,0.04,0.11,0.05,0.14,0.03,0.12,0.357212445375,0.0115383985565,30.9585809179
18,0.16,0.02,0.02,0.05,0.12,0.04,0.03,0.02,0.11,0.12,0.04,0.01,0.2,0.01,0.01,0.32,0.03,0.02,0.19,0.02,0.08,0.08,0.07,0.14,0.02,0.04,0.02,0.01,0.359311052641,0.011495357975,31.2570564067
19,0.04,0.03,0.29,0.03,0.1,0.11,0.01,0.07,0.01,0.13,0.04,0.05,0.03,0.05,0.06,0.09,0.11,0.04,0.12,0.01,0.07,0.01,0.04,0.1,0.07,0.02,0.02,0.25,0.333067475803,0.00850634051968,39.1552013504
20,0.01,0.16,0.03,0.06,0.03,0.03,0.01,0.08,0.06,0.05,0.05,0.01,0.07,0.09,0.16,0.02,0.13,0.19,0.03,0.1,0.01,0.09,0.07,0.01,0.23,0.1,0.1,0.02,0.465892931726,0.0110372136595,42.2111002013
21,0.08,0.03,0.03,0.02,0.07,0.04,0.21,0.05,0.04,0.13,0.06,0.02,0.04,0.02,0.12,0.19,0.01,0.1,0.18,0.02,0.03,0.05,0.01,0.18,0.05,0.03,0.05,0.14,0.36683279617,0.00990204193399,37.0461768003
22,0.23,0.22,0.04,0.05,0.03,0.07,0.03,0.01,0.16,0.1,0.02,0.1,0.01,0.01,0.23,0.01,0.05,0.05,0.04,0.03,0.18,0.02,0.01,0.03,0.02,0.02,0.12,0.11,0.472852592137,0.0117025101035,40.4060827937
23,0.01,0.04,0.09,0.08,0.03,0.07,0.01,0.12,0.01,0.01,0.01,0.01,0.04,0.03,0.12,0.06,0.02,0.22,0.14,0.06,0.04,0.14,0.09,0.06,0.05,0.06,0.24,0.14,0.454049528371,0.00994103529233,45.674269834
24,0.1,0.04,0.03,0.05,0.05,0.05,0.15,0.06,0.03,0.13,0.12,0.01,0.05,0.25,0.07,0.03,0.08,0.03,0.03,0.06,0.08,0.09,0.06,0.01,0.06,0.08,0.19,0.01,0.549964271194,0.0111214819969,49.450628194
25,0.04,0.11,0.03,0.15,0.05,0.06,0.01,0.04,0.29,0.06,0.01,0.01,0.22,0.05,0.04,0.05,0.01,0.16,0.06,0.07,0.2,0.11,0.01,0.01,0.05,0.04,0.05,0.01,0.482873365092,0.0107292204183,45.0054473919
26,0.01,0.02,0.01,0.05,0.06,0.03,0.03,0.03,0.04,0.07,0.25,0.05,0.04,0.14,0.04,0.01,0.03,0.07,0.24,0.14,0.08,0.04,0.17,0.14,0.07,0.01,0.05,0.08,0.462288524108,0.00939040008126,49.2299071507
27,0.07,0.05,0.01,0.15,0.08,0.22,0.11,0.12,0.01,0.01,0.1,0.02,0.04,0.03,0.11,0.05,0.11,0.06,0.2,0.07,0.06,0.05,0.02,0.05,0.08,0.04,0.06,0.02,0.405117291321,0.0109382119747,37.0368842968
28,0.01,0.04,0.05,0.05,0.13,0.11,0.15,0.06,0.24,0.06,0.02,0.18,0.01,0.02,0.03,0.06,0.02,0.02,0.26,0.06,0.02,0.07,0.12,0.03,0.09,0.04,0.04,0.01,0.437412896215,0.00957273752703,45.6936059283
29,0.02,0.03,0.09,0.09,0.13,0.06,0.11,0.05,0.01,0.05,0.05,0.13,0.05,0.02,0.01,0.16,0.03,0.08,0.06,0.04,0.14,0.01,0.13,0.25,0.07,0.01,0.07,0.05,0.446242452785,0.00927503087419,48.1122336775
30,0.01,0.02,0.05,0.02,0.2,0.39,0.05,0.03,0.04,0.04,0.09,0.11,0.23,0.06,0.18,0.01,0.03,0.04,0.01,0.08,0.03,0.08,0.01,0.09,0.01,0.02,0.06,0.01,0.326871453389,0.00993085419412,32.91473694
31,0.17,0.07,0.01,0.08,0.02,0.02,0.01,0.02,0.2,0.02,0.02,0.01,0.01,0.04,0.1,0.12,0.03,0.23,0.03,0.02,0.02,0.07,0.03,0.02,0.25,0.05,0.27,0.06,0.532650299413,0.0123430094306,43.1540057072
32,0.14,0.02,0.02,0.01,0.02,0.03,0.07,0.18,0.12,0.11,0.03,0.04,0.17,0.02,0.09,0.12,0.19,0.09,0.01,0.01,0.01,0.05,0.12,0.02,0.04,0.02,0.15,0.1,0.460396566551,0.0109773902502,41.940439035
33,0.16,0.23,0.04,0.06,0.07,0.01,0.03,0.11,0.07,0.21,0.04,0.03,0.11,0.02,0.01,0.03,0.08,0.08,0.04,0.02,0.08,0.02,0.09,0.22,0.04,0.02,0.03,0.05,0.384703146769,0.0113305125739,33.9528458452
