Date,$US,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,XLV
2017-02-28,1.0,136.990005,122.5,176.529999,114.790001,164.820007,33.900002,17.4,32.389999,35.41,38.200001,844.929993,51.610001,52.16,83.769997,36.200001,60.689999,23.58,63.98,1724.130005,44.240002,42.0,30.42,95.040001,34.549999,26.18,47.48,74.989998
2017-03-01,1.0,139.789993,124.07,178.240005,113.839996,166.970001,34.27,17.75,32.560001,35.950001,38.599998,856.75,52.34,53.779999,84.139999,35.93,62.029999,23.940001,64.940002,1733.180054,44.900002,42.43,30.549999,95.629997,34.060001,26.25,47.560001,75.739998
2017-03-02,1.0,138.960007,124.349998,178.070007,114.809998,165.970001,33.91,17.67,31.950001,35.740002,37.77,849.849976,51.720001,52.880001,83.720001,35.91,61.310001,23.719999,64.010002,1734.369995,44.450001,42.77,32.419998,94.720001,34.27,26.18,47.279999,75.5
2017-03-03,1.0,139.779999,123.639999,180.199997,115.669998,166.0,33.740002,17.84,32.009998,36.240002,37.869999,849.080017,51.52,53.110001,83.470001,35.900002,61.830002,23.690001,64.25,1735.099976,44.32,43.029999,32.419998,94.389999,34.259998,26.35,47.630001,75.800003
2017-03-06,1.0,139.339996,123.239998,179.460007,114.709999,165.839996,33.639999,17.75,32.07,36.110001,37.84,847.27002,51.759998,52.900002,82.239998,35.57,61.470001,23.450001,64.269997,1730.209961,44.169998,42.869999,32.310001,92.529999,34.34,26.360001,47.59,75.510002
2017-03-07,1.0,139.520004,124.139999,177.380005,114.699997,166.009995,33.470001,17.77,32.259998,35.900002,37.959999,851.150024,51.509998,52.650002,82.07,35.799999,61.290001,23.389999,64.400002,1736.459961,44.18,42.889999,32.119999,91.620003,34.450001,26.08,47.709999,74.980003
2017-03-08,1.0,139.0,124.459999,177.779999,113.239998,165.649994,33.32,17.75,32.169998,35.799999,37.91,853.640015,51.990002,52.610001,81.309998,35.619999,61.290001,23.68,64.989998,1743.48999,44.060001,42.790001,31.9,90.730003,34.540001,25.91,47.560001,75.279999
2017-03-09,1.0,138.679993,123.18,178.919998,113.0,166.179993,33.18,17.85,31.780001,36.240002,37.470001,857.840027,52.110001,52.830002,80.360001,35.82,61.529999,23.629999,64.730003,1749.420044,44.07,42.919998,31.860001,92.440002,34.5,26.33,48.619999,75.690002
2017-03-10,1.0,139.139999,123.93,181.440002,113.580002,166.410004,33.130001,18.120001,32.02,36.650002,37.650002,861.409973,52.509998,52.889999,80.68,35.91,61.82,23.809999,64.93,1754.23999,44.0,42.990002,32.040001,93.93,34.369999,26.360001,49.139999,75.980003
2017-03-13,1.0,139.199997,124.040001,181.050003,114.260002,167.240005,32.810001,18.16,32.310001,36.700001,38.259998,864.580017,51.849998,53.099998,79.970001,35.16,61.860001,23.91,64.709999,1767.119995,44.209999,42.59,32.400002,93.620003,34.34,26.549999,48.779999,75.919998
2017-03-14,1.0,138.990005,123.910004,180.119995,114.019997,165.179993,32.860001,17.9,32.220001,36.34,38.139999,865.909973,51.419998,52.939999,79.370003,35.18,61.619999,23.629999,64.410004,1769.0,44.009998,42.099998,32.380001,93.550003,34.470001,26.49,48.959999,75.639999
2017-03-15,1.0,140.460007,124.800003,182.600006,115.279999,169.199997,32.889999,18.139999,33.150002,36.82,38.790001,868.390015,51.900002,53.099998,81.080002,35.099998,62.029999,24.309999,64.75,1767.97998,44.34,42.389999,31.370001,95.43,34.18,26.780001,49.66,76.589996
2017-03-16,1.0,140.690002,124.099998,180.110001,115.089996,168.419998,33.099998,18.389999,33.299999,37.290001,39.34,870.0,52.360001,53.75,80.139999,35.139999,62.32,24.709999,64.639999,1773.97998,44.189999,42.400002,31.58,93.910004,34.25,27.02,50.009998,75.849998
2017-03-17,1.0,139.990005,125.220001,168.610001,116.010002,168.270004,33.700001,18.309999,33.290001,37.25,39.139999,872.369995,52.360001,53.110001,79.75,35.27,61.849998,24.700001,64.870003,1772.630005,44.610001,43.080002,31.719999,94.720001,34.310001,27.059999,49.919998,75.160004
2017-03-20,1.0,141.460007,124.389999,169.240005,115.980003,167.589996,33.810001,18.280001,33.740002,37.169998,39.599998,867.909973,52.650002,52.740002,78.900002,35.43,61.709999,24.469999,64.93,1765.439941,44.48,43.16,31.620001,94.849998,34.349998,27.1,50.200001,75.050003
2017-03-21,1.0,139.839996,124.639999,166.850006,116.739998,166.990005,33.189999,18.190001,33.450001,37.110001,39.169998,850.140015,51.52,51.02,77.779999,35.040001,60.540001,23.879999,64.209999,1747.140015,43.709999,42.639999,31.41,95.040001,34.77,27.129999,50.040001,74.459999
