,GOOGL,AAPL,ACN,XLV,IAI,ICLR,MSFT,PPA,SONVY,PCLN,$US,AMT,GRMN,SAFM,EWO,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
GOOGL,1.0,0.524040992513,0.25909511161,0.417981137506,0.326472062706,0.143535047926,0.632051057514,0.444064739126,0.062435287931,0.505085622197,,0.101898184766,0.174886101663,-0.0440749256357,0.261699498392,0.246090549652,0.100332959821,0.485647785399,0.339454938689,0.300707246356,0.267859180152,0.377221172271,0.412897444381,0.144630192006,0.358645258693,0.53396073265,0.256123665214,-0.567352692879
AAPL,0.524040992513,1.0,0.208064738873,0.284144990348,0.299984510494,0.227288450536,0.562225623005,0.407484123992,0.0302163615557,0.407339256035,,0.155704594017,0.373489388868,0.0495993366935,0.289432610677,0.373798468748,0.0342455050373,0.344808328559,0.380470913453,0.298545333012,0.237363718932,0.488291453227,0.512335961272,0.106821484436,0.347696739694,0.462174084444,0.324440220129,-0.59188082252
ACN,0.25909511161,0.208064738873,1.0,0.310499474659,0.23452478881,0.17998971899,0.436938161394,0.455390720572,0.0678746359681,0.260905263101,,0.206893258173,0.218303746687,0.0747572070245,0.233179460642,0.254634037171,0.235925037403,0.341917082817,0.285795004452,0.143320055906,0.1015522507,0.218191359922,0.159432353335,0.129313248042,0.255221992438,0.202902245197,0.179167907316,-0.442515430888
XLV,0.417981137506,0.284144990348,0.310499474659,1.0,0.363427827698,0.22184192711,0.426060888677,0.484504128603,0.21729864833,0.373574689556,,0.161855137709,0.293730121188,0.121524644661,0.299643758186,0.21670627804,0.341012126065,0.329206002444,0.397022095123,0.691662789451,0.45489548918,0.342965699564,0.392124065777,0.182233325489,0.417310164329,0.3756776648,0.234519881862,-0.656746919987
IAI,0.326472062706,0.299984510494,0.23452478881,0.363427827698,1.0,0.102775103621,0.308005353301,0.587878857139,0.0305389861105,0.265196748209,,-0.16108250981,0.417976020118,0.143868552204,0.40588101147,0.278885563568,0.325359966435,0.239215446019,0.841504713885,0.374767331332,0.311990517801,0.434618789478,0.280390842993,-0.0424142579524,0.437084802131,0.234667028194,0.112222979798,-0.733242070784
ICLR,0.143535047926,0.227288450536,0.17998971899,0.22184192711,0.102775103621,1.0,0.133392171266,0.213053579317,0.142559710548,0.216391856352,,0.00612861154144,0.146232948393,0.116218133944,0.0924931519864,0.139776585838,0.0779983616058,0.380486515429,0.115285755638,0.0267273975734,0.0566229333451,0.199810126173,0.260881249091,0.0546835471688,0.0800833993985,0.126202848041,0.096748197713,-0.268489327796
MSFT,0.632051057514,0.562225623005,0.436938161394,0.426060888677,0.308005353301,0.133392171266,1.0,0.543060389066,0.134124331316,0.500919931449,,0.220890953383,0.336886691494,0.06582198772,0.330692673528,0.420622814028,0.172409993052,0.500891064306,0.425900796449,0.256622278027,0.200453981134,0.437617558161,0.45151390212,0.059420373556,0.441326992551,0.557726603333,0.26323688261,-0.669031690723
PPA,0.444064739126,0.407484123992,0.455390720572,0.484504128603,0.587878857139,0.213053579317,0.543060389066,1.0,0.0728910321465,0.44014518187,,0.14459118048,0.438098307151,0.143811467792,0.352498016889,0.460950388523,0.318597994184,0.442260895232,0.621369732459,0.257860108914,0.352097250851,0.438728842496,0.35397695751,0.127367030653,0.449548626678,0.385999677665,0.182107229581,-0.767375433655
SONVY,0.062435287931,0.0302163615557,0.0678746359681,0.21729864833,0.0305389861105,0.142559710548,0.134124331316,0.0728910321465,1.0,0.0682750190822,,0.108273853027,0.0864231177415,0.0272961313971,0.301786741239,0.0677743854994,0.0928439291136,0.0102459566542,0.0962622161655,0.0783083358714,0.0685922011698,0.135613808775,0.125690972584,0.306295886479,0.398697102279,0.157342314204,0.293795595548,-0.144202597087
PCLN,0.505085622197,0.407339256035,0.260905263101,0.373574689556,0.265196748209,0.216391856352,0.500919931449,0.44014518187,0.0682750190822,1.0,,0.146360834734,0.108917379463,0.0218545615549,0.350298387483,0.355286774418,0.115233602533,0.387325769775,0.391847535076,0.282275909829,0.129423969028,0.319579383138,0.3644864601,0.155353216172,0.387626993915,0.414856667083,0.187785486817,-0.479061658418
$US,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,0.101898184766,0.155704594017,0.206893258173,0.161855137709,-0.16108250981,0.00612861154144,0.220890953383,0.14459118048,0.108273853027,0.146360834734,,1.0,0.094751472907,0.00453529933634,0.130063729999,0.112607441564,-0.0687748941998,0.176199276923,-0.0542327436053,-0.0188831281791,0.107909967283,0.11993322573,0.119912200146,0.186229449062,0.138970593752,0.0850144357891,0.185199852918,-0.116305903869
GRMN,0.174886101663,0.373489388868,0.218303746687,0.293730121188,0.417976020118,0.146232948393,0.336886691494,0.438098307151,0.0864231177415,0.108917379463,,0.094751472907,1.0,0.0942909779646,0.223290870186,0.273250941473,0.271402751868,0.174332330109,0.396243763067,0.179708112545,0.238723222219,0.250033138088,0.233067774062,-0.0487627029866,0.287371641508,0.173207309694,0.106095274781,-0.52869099382
SAFM,-0.0440749256357,0.0495993366935,0.0747572070245,0.121524644661,0.143868552204,0.116218133944,0.06582198772,0.143811467792,0.0272961313971,0.0218545615549,,0.00453529933634,0.0942909779646,1.0,0.0917622195391,0.12733659615,0.0301474034854,0.133468219796,0.110944393115,0.06467761832,-3.14012680368e-05,0.0419231080386,0.00234674823841,0.0192969699462,0.118951664549,0.0959992792614,7.40875068239e-05,-0.167323110902
EWO,0.261699498392,0.289432610677,0.233179460642,0.299643758186,0.40588101147,0.0924931519864,0.330692673528,0.352498016889,0.301786741239,0.350298387483,,0.130063729999,0.223290870186,0.0917622195391,1.0,0.224271949264,0.10854823191,0.231650661989,0.646606867083,0.19981842966,0.102358908795,0.399448058538,0.395318837939,0.219226072987,0.816645510248,0.278364072647,0.411512863573,-0.497602508205
INTC,0.246090549652,0.373798468748,0.254634037171,0.21670627804,0.278885563568,0.139776585838,0.420622814028,0.460950388523,0.0677743854994,0.355286774418,,0.112607441564,0.273250941473,0.12733659615,0.224271949264,1.0,0.110864403084,0.370162729,0.373145254324,0.189659570384,0.126303034548,0.266466606203,0.228274056817,0.164965524012,0.339848272441,0.319978352072,0.193150081441,-0.49093138735
LPX,0.100332959821,0.0342455050373,0.235925037403,0.341012126065,0.325359966435,0.0779983616058,0.172409993052,0.318597994184,0.0928439291136,0.115233602533,,-0.0687748941998,0.271402751868,0.0301474034854,0.10854823191,0.110864403084,1.0,0.0448678919418,0.265629355611,0.240260366021,0.147569318022,0.137111970629,0.115046413656,0.017983846604,0.150129195496,0.152044725902,0.0737441461534,-0.381180509686
PYPL,0.485647785399,0.344808328559,0.341917082817,0.329206002444,0.239215446019,0.380486515429,0.500891064306,0.442260895232,0.0102459566542,0.387325769775,,0.176199276923,0.174332330109,0.133468219796,0.231650661989,0.370162729,0.0448678919418,1.0,0.296058491725,0.140656195504,0.142338973576,0.287522190189,0.330665095778,0.117491174326,0.279078619028,0.445442659202,0.183710629465,-0.492831143713
IXG,0.339454938689,0.380470913453,0.285795004452,0.397022095123,0.841504713885,0.115285755638,0.425900796449,0.621369732459,0.0962622161655,0.391847535076,,-0.0542327436053,0.396243763067,0.110944393115,0.646606867083,0.373145254324,0.265629355611,0.296058491725,1.0,0.36874520401,0.258846901078,0.517535725289,0.397360711959,0.0887315880638,0.712005023168,0.26630327704,0.200710501184,-0.788707447963
AMGN,0.300707246356,0.298545333012,0.143320055906,0.691662789451,0.374767331332,0.0267273975734,0.256622278027,0.257860108914,0.0783083358714,0.282275909829,,-0.0188831281791,0.179708112545,0.06467761832,0.19981842966,0.189659570384,0.240260366021,0.140656195504,0.36874520401,1.0,0.245601437841,0.253446544354,0.258823416162,0.0985732920732,0.298074368664,0.249281108498,0.188161826503,-0.468416421744
ANTM,0.267859180152,0.237363718932,0.1015522507,0.45489548918,0.311990517801,0.0566229333451,0.200453981134,0.352097250851,0.0685922011698,0.129423969028,,0.107909967283,0.238723222219,-3.14012680368e-05,0.102358908795,0.126303034548,0.147569318022,0.142338973576,0.258846901078,0.245601437841,1.0,0.221816305613,0.182512801578,-0.0600491648744,0.142725004505,0.147998566697,0.0510972862235,-0.393869454904
FXI,0.377221172271,0.488291453227,0.218191359922,0.342965699564,0.434618789478,0.199810126173,0.437617558161,0.438728842496,0.135613808775,0.319579383138,,0.11993322573,0.250033138088,0.0419231080386,0.399448058538,0.266466606203,0.137111970629,0.287522190189,0.517535725289,0.253446544354,0.221816305613,1.0,0.704943609336,0.0357721464462,0.419744411471,0.445040420065,0.346055552071,-0.589473593593
EWT,0.412897444381,0.512335961272,0.159432353335,0.392124065777,0.280390842993,0.260881249091,0.45151390212,0.35397695751,0.125690972584,0.3644864601,,0.119912200146,0.233067774062,0.00234674823841,0.395318837939,0.228274056817,0.115046413656,0.330665095778,0.397360711959,0.258823416162,0.182512801578,0.704943609336,1.0,-0.042700755077,0.418376015856,0.401785895169,0.303219039653,-0.534130852474
RHHBY,0.144630192006,0.106821484436,0.129313248042,0.182233325489,-0.0424142579524,0.0546835471688,0.059420373556,0.127367030653,0.306295886479,0.155353216172,,0.186229449062,-0.0487627029866,0.0192969699462,0.219226072987,0.164965524012,0.017983846604,0.117491174326,0.0887315880638,0.0985732920732,-0.0600491648744,0.0357721464462,-0.042700755077,1.0,0.327610395064,0.143591072643,0.252287786485,-0.149926130172
EZU,0.358645258693,0.347696739694,0.255221992438,0.417310164329,0.437084802131,0.0800833993985,0.441326992551,0.449548626678,0.398697102279,0.387626993915,,0.138970593752,0.287371641508,0.118951664549,0.816645510248,0.339848272441,0.150129195496,0.279078619028,0.712005023168,0.298074368664,0.142725004505,0.419744411471,0.418376015856,0.327610395064,1.0,0.310752701073,0.454829814277,-0.60418479253
EBAY,0.53396073265,0.462174084444,0.202902245197,0.3756776648,0.234667028194,0.126202848041,0.557726603333,0.385999677665,0.157342314204,0.414856667083,,0.0850144357891,0.173207309694,0.0959992792614,0.278364072647,0.319978352072,0.152044725902,0.445442659202,0.26630327704,0.249281108498,0.147998566697,0.445040420065,0.401785895169,0.143591072643,0.310752701073,1.0,0.294177102702,-0.486068761657
UL,0.256123665214,0.324440220129,0.179167907316,0.234519881862,0.112222979798,0.096748197713,0.26323688261,0.182107229581,0.293795595548,0.187785486817,,0.185199852918,0.106095274781,7.40875068239e-05,0.411512863573,0.193150081441,0.0737441461534,0.183710629465,0.200710501184,0.188161826503,0.0510972862235,0.346055552071,0.303219039653,0.252287786485,0.454829814277,0.294177102702,1.0,-0.317514763219
SH,-0.567352692879,-0.59188082252,-0.442515430888,-0.656746919987,-0.733242070784,-0.268489327796,-0.669031690723,-0.767375433655,-0.144202597087,-0.479061658418,,-0.116305903869,-0.52869099382,-0.167323110902,-0.497602508205,-0.49093138735,-0.381180509686,-0.492831143713,-0.788707447963,-0.468416421744,-0.393869454904,-0.589473593593,-0.534130852474,-0.149926130172,-0.60418479253,-0.486068761657,-0.317514763219,1.0
