,GOOGL,AAPL,ACN,XLV,IAI,ICLR,MSFT,PPA,SONVY,PCLN,$US,AMT,GRMN,SAFM,EWO,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
GOOGL,9.71927081208e-05,5.67813617767e-05,2.24168442588e-05,2.24003573244e-05,2.88637201104e-05,1.97192921072e-05,5.13989803839e-05,2.57099684636e-05,6.53027911004e-06,5.37004953491e-05,0.0,8.90887990356e-06,1.67745344844e-05,-6.50521008145e-06,2.20447563607e-05,2.1445825857e-05,1.37853956164e-05,6.36229694103e-05,2.4244340474e-05,3.24656312189e-05,2.75971952884e-05,3.4134556741e-05,3.10871508083e-05,1.48835693962e-05,2.7730100077e-05,6.08116495108e-05,2.31294583679e-05,-2.45965142614e-05
AAPL,5.67813617767e-05,0.000120794567618,2.00687628659e-05,1.69763815019e-05,2.95673207321e-05,3.48110874219e-05,5.09706105857e-05,2.63010330785e-05,3.52330835386e-06,4.8281017247e-05,0.0,1.51762664778e-05,3.99374477667e-05,8.16117079815e-06,2.71804557981e-05,3.63155158054e-05,5.24548978407e-06,5.03590037013e-05,3.02939960247e-05,3.5933300069e-05,2.72633745171e-05,4.92588411082e-05,4.30031655256e-05,1.22550081101e-05,2.99704884973e-05,5.86799740677e-05,3.26630926151e-05,-2.86062923663e-05
ACN,2.24168442588e-05,2.00687628659e-05,7.70188141564e-05,1.4812920926e-05,1.84576585261e-05,2.20121585763e-05,3.1630342211e-05,2.34704276819e-05,6.31961629829e-06,2.46932184199e-05,0.0,1.61021759585e-05,1.86396580689e-05,9.82210059746e-06,1.74853479403e-05,1.97535823294e-05,2.88556734614e-05,3.98744672529e-05,1.81703983426e-05,1.37742670448e-05,9.31385638137e-06,1.757589011e-05,1.06855468803e-05,1.18460272263e-05,1.7566531146e-05,2.05705492748e-05,1.44031521376e-05,-1.70777415123e-05
XLV,2.24003573244e-05,1.69763815019e-05,1.4812920926e-05,2.95503644832e-05,1.77169532402e-05,1.68051181566e-05,1.91046281834e-05,1.54673999675e-05,1.25320820369e-05,2.19005645081e-05,0.0,7.80275060403e-06,1.55348921836e-05,9.890054331e-06,1.39178524479e-05,1.04131928466e-05,2.58350919582e-05,2.37807116245e-05,1.56353460972e-05,4.11755063566e-05,2.58425057321e-05,1.71125005267e-05,1.62789654554e-05,1.03404755923e-05,1.7791390226e-05,2.35916012211e-05,1.16777722458e-05,-1.56994004825e-05
IAI,2.88637201104e-05,2.95673207321e-05,1.84576585261e-05,1.77169532402e-05,8.04227426115e-05,1.28438103199e-05,2.2784169589e-05,3.09610509325e-05,2.90555323916e-06,2.56480338642e-05,0.0,-1.28108410525e-05,3.64686044303e-05,1.93156002809e-05,3.11009564606e-05,2.21078480378e-05,4.06642084293e-05,2.8507185288e-05,5.46710473756e-05,3.6805632188e-05,2.92396658104e-05,3.57749720607e-05,1.92032682971e-05,-3.97038485387e-06,3.07414711578e-05,2.43109614763e-05,9.21870990972e-06,-2.8916146576e-05
ICLR,1.97192921072e-05,3.48110874219e-05,2.20121585763e-05,1.68051181566e-05,1.28438103199e-05,0.000194192762659,1.53331845126e-05,1.74358758386e-05,2.107648134e-05,3.25202500939e-05,0.0,7.57388017944e-07,1.98262279257e-05,2.42461794188e-05,1.10131529633e-05,1.72179699534e-05,1.51481908709e-05,7.04581880389e-05,1.1638675824e-05,4.07883662028e-06,8.24613526173e-06,2.55573240642e-05,2.77639509761e-05,7.9543462319e-06,8.75242748995e-06,2.03163786188e-05,1.23497542817e-05,-1.64530777572e-05
MSFT,5.13989803839e-05,5.09706105857e-05,3.1630342211e-05,1.91046281834e-05,2.2784169589e-05,1.53331845126e-05,6.80410488915e-05,2.63070432749e-05,1.17375607497e-05,4.45605206517e-05,0.0,1.6158581943e-05,2.70363271384e-05,8.12848090138e-06,2.33074974153e-05,3.06696854415e-05,1.98201393092e-05,5.4904060499e-05,2.54510294432e-05,2.31815767188e-05,1.72799211308e-05,3.31330643602e-05,2.84432036179e-05,5.11625485843e-06,2.85506166075e-05,5.31456205572e-05,1.9889833705e-05,-2.42681009242e-05
PPA,2.57099684636e-05,2.63010330785e-05,2.34704276819e-05,1.54673999675e-05,3.09610509325e-05,1.74358758386e-05,2.63070432749e-05,3.44887000867e-05,4.54147885118e-06,2.7876022675e-05,0.0,7.53043443558e-06,2.50315836105e-05,1.26440099306e-05,1.76880787215e-05,2.39289474226e-05,2.60759547349e-05,3.45137885379e-05,2.64362535518e-05,1.65838625811e-05,2.16093954423e-05,2.36491733562e-05,1.58757879152e-05,7.80776492724e-06,2.07054459948e-05,2.6187013779e-05,9.79635497146e-06,-1.98175474704e-05
SONVY,6.53027911004e-06,3.52330835386e-06,6.31961629829e-06,1.25320820369e-05,2.90555323916e-06,2.107648134e-05,1.17375607497e-05,4.54147885118e-06,0.000112556237357,7.81165505626e-06,0.0,1.01870442007e-05,8.92057914915e-06,4.33549590093e-06,2.7357128497e-05,6.35596312826e-06,1.37276773462e-05,1.44448480572e-06,7.39864245782e-06,9.09820868522e-06,7.6050328298e-06,1.32059625839e-05,1.01838209182e-05,3.39201090665e-05,3.31739636202e-05,1.92837254092e-05,2.85515031326e-05,-6.72762023136e-06
PCLN,5.37004953491e-05,4.8281017247e-05,2.46932184199e-05,2.19005645081e-05,2.56480338642e-05,3.25202500939e-05,4.45605206517e-05,2.7876022675e-05,7.81165505626e-06,0.000116303527805,0.0,1.39978436148e-05,1.14280456332e-05,3.52851070047e-06,3.22790060912e-05,3.38693204046e-05,1.73194601911e-05,5.55070973431e-05,3.06143444688e-05,3.33375266465e-05,1.45865548105e-05,3.16341787227e-05,3.00192423902e-05,1.74883157209e-05,3.27853601554e-05,5.16838836294e-05,1.85505752531e-05,-2.27191176349e-05
$US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,8.90887990356e-06,1.51762664778e-05,1.61021759585e-05,7.80275060403e-06,-1.28108410525e-05,7.57388017944e-07,1.6158581943e-05,7.53043443558e-06,1.01870442007e-05,1.39978436148e-05,0.0,7.86465417844e-05,8.17530799519e-06,6.02141650045e-07,9.85556647471e-06,8.82750361427e-06,-8.50018767771e-06,2.07644110524e-05,-3.48427794814e-06,-1.83390515936e-06,1.00009889221e-05,9.76249210502e-06,8.12129096512e-06,1.72392936031e-05,9.66567592709e-06,8.70949780728e-06,1.50445556787e-05,-4.5357089491e-06
