,$US,AAPL,ACN,AMGN,AMT,ANTM,EBAY,EWO,EWT,EZU,FXI,GOOGL,GRMN,IAI,ICLR,INTC,IXG,LPX,MSFT,PCLN,PPA,PYPL,RHHBY,SAFM,SH,SONVY,UL,XLV,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.02,0.02,0.01,0.01,0.01,0.06,0.02,0.05,0.01,0.1,0.04,0.06,0.03,0.02,0.02,0.06,0.19,0.08,0.01,0.02,0.01,0.04,0.02,0.01,0.01,0.02,0.01,0.04,0.201049281571,0.00517321473283,38.86350982
1,0.01,0.04,0.01,0.05,0.04,0.02,0.04,0.06,0.08,0.03,0.06,0.03,0.03,0.01,0.01,0.02,0.04,0.05,0.06,0.02,0.03,0.05,0.01,0.01,0.1,0.05,0.03,0.01,0.191250366035,0.00475458169903,40.2244357424
2,0.02,0.04,0.02,0.02,0.06,0.09,0.19,0.01,0.01,0.04,0.05,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.06,0.03,0.07,0.02,0.01,0.09,0.152359544856,0.00443185459845,34.3782814781
3,0.02,0.02,0.05,0.06,0.02,0.03,0.06,0.06,0.01,0.05,0.03,0.1,0.01,0.02,0.03,0.01,0.01,0.09,0.09,0.03,0.02,0.01,0.03,0.01,0.05,0.01,0.03,0.04,0.173934480638,0.00460014810672,37.8106262239
4,0.03,0.05,0.01,0.01,0.08,0.01,0.09,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.03,0.01,0.03,0.01,0.03,0.05,0.01,0.08,0.02,0.11,0.04,0.09,0.03,0.06,0.251307553843,0.00469510826695,53.5254012376
5,0.02,0.02,0.02,0.02,0.01,0.06,0.02,0.11,0.1,0.06,0.04,0.06,0.03,0.01,0.01,0.03,0.01,0.04,0.04,0.03,0.08,0.04,0.01,0.02,0.02,0.02,0.02,0.05,0.220258166527,0.00426306234852,51.666653809
6,0.01,0.06,0.03,0.06,0.1,0.03,0.01,0.03,0.06,0.02,0.03,0.03,0.05,0.02,0.01,0.08,0.01,0.02,0.02,0.04,0.06,0.01,0.04,0.04,0.04,0.01,0.01,0.07,0.173153266141,0.00409435344277,42.2907471377
7,0.01,0.03,0.01,0.03,0.02,0.05,0.15,0.03,0.09,0.08,0.06,0.01,0.01,0.02,0.05,0.01,0.05,0.03,0.01,0.02,0.02,0.03,0.04,0.05,0.05,0.02,0.01,0.01,0.191279675719,0.00483560327144,39.5565278999
8,0.02,0.05,0.06,0.03,0.04,0.11,0.01,0.1,0.04,0.01,0.01,0.03,0.01,0.01,0.05,0.03,0.01,0.05,0.05,0.03,0.02,0.05,0.02,0.01,0.07,0.01,0.06,0.01,0.207889997389,0.0050320022609,41.3135739236
9,0.06,0.04,0.02,0.08,0.07,0.01,0.03,0.04,0.02,0.05,0.06,0.01,0.04,0.03,0.01,0.01,0.06,0.01,0.01,0.04,0.12,0.02,0.01,0.02,0.01,0.02,0.08,0.02,0.17948708329,0.00461123976407,38.9238236295
10,0.05,0.05,0.04,0.03,0.01,0.04,0.05,0.04,0.04,0.03,0.01,0.02,0.06,0.02,0.06,0.03,0.03,0.03,0.03,0.04,0.05,0.02,0.02,0.01,0.04,0.05,0.05,0.05,0.180148554109,0.00463804245315,38.8415060726
11,0.07,0.02,0.01,0.01,0.01,0.03,0.04,0.01,0.04,0.01,0.04,0.02,0.04,0.07,0.03,0.06,0.02,0.09,0.01,0.02,0.12,0.01,0.02,0.07,0.01,0.04,0.05,0.03,0.192987789434,0.00468611852318,41.1828656231
12,0.02,0.01,0.04,0.03,0.1,0.13,0.1,0.01,0.01,0.01,0.01,0.01,0.07,0.03,0.02,0.01,0.01,0.02,0.04,0.02,0.11,0.01,0.02,0.04,0.02,0.04,0.04,0.02,0.188345373842,0.00496048326155,37.9691582274
13,0.02,0.04,0.01,0.09,0.01,0.02,0.04,0.05,0.01,0.02,0.01,0.03,0.04,0.02,0.03,0.03,0.01,0.08,0.03,0.06,0.03,0.09,0.06,0.05,0.01,0.01,0.08,0.02,0.219197121485,0.00486697724006,45.0376302729
14,0.01,0.03,0.02,0.01,0.02,0.11,0.05,0.03,0.01,0.01,0.01,0.02,0.02,0.06,0.01,0.14,0.03,0.02,0.07,0.01,0.01,0.01,0.03,0.01,0.02,0.11,0.11,0.01,0.191256226563,0.00522699378501,36.5901002431
15,0.02,0.02,0.07,0.01,0.04,0.03,0.1,0.04,0.02,0.01,0.04,0.09,0.02,0.06,0.02,0.03,0.03,0.05,0.03,0.02,0.07,0.01,0.02,0.02,0.07,0.01,0.04,0.01,0.164292039892,0.00458240933173,35.8527639061
16,0.12,0.03,0.01,0.03,0.03,0.02,0.05,0.01,0.01,0.05,0.04,0.03,0.03,0.01,0.03,0.03,0.04,0.05,0.04,0.03,0.02,0.01,0.04,0.02,0.01,0.03,0.08,0.1,0.157814971281,0.0042926487477,36.7640076224
17,0.04,0.03,0.08,0.03,0.11,0.01,0.01,0.08,0.02,0.02,0.02,0.07,0.02,0.01,0.01,0.01,0.05,0.04,0.02,0.05,0.06,0.01,0.01,0.02,0.04,0.04,0.06,0.03,0.189606686387,0.00460690300122,41.1570823908
18,0.03,0.01,0.01,0.01,0.05,0.1,0.01,0.06,0.04,0.06,0.09,0.07,0.02,0.02,0.04,0.02,0.04,0.02,0.06,0.01,0.01,0.05,0.03,0.04,0.01,0.02,0.01,0.06,0.230182310591,0.00403227051698,57.085036736
19,0.05,0.01,0.08,0.01,0.04,0.01,0.04,0.06,0.01,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.04,0.02,0.02,0.04,0.02,0.01,0.04,0.04,0.07,0.09,0.04,0.1,0.181311006151,0.00411580674577,44.0523613838
20,0.02,0.01,0.02,0.05,0.02,0.01,0.04,0.03,0.22,0.04,0.01,0.01,0.07,0.03,0.07,0.01,0.03,0.01,0.02,0.05,0.08,0.01,0.04,0.01,0.01,0.01,0.01,0.06,0.173449040079,0.00449350146147,38.5999741107
21,0.03,0.01,0.03,0.02,0.01,0.01,0.11,0.01,0.02,0.06,0.03,0.01,0.05,0.07,0.01,0.03,0.01,0.26,0.01,0.02,0.04,0.04,0.01,0.03,0.02,0.01,0.01,0.03,0.186012560115,0.00598129068214,31.0990670743
22,0.01,0.05,0.05,0.07,0.06,0.07,0.02,0.04,0.05,0.03,0.01,0.04,0.06,0.03,0.08,0.05,0.01,0.03,0.02,0.01,0.05,0.02,0.05,0.01,0.04,0.01,0.01,0.02,0.180536515866,0.00468123751211,38.5659807687
