Date,a,b,c,d,f,g,l,m,p,s,w
2017-02-28,50.9543,49.755959,59.121586,74.760201,12.056902,24.029652,46.794998,31.273815,12.38,8.81,37.810001
2017-03-01,51.689316,51.503525,60.831673,74.142754,12.21086,24.138699,47.631687,31.01963,12.54,8.84,37.880001
2017-03-02,51.033764,50.470875,59.932144,75.085945,12.181993,24.08913,47.063931,31.273815,12.43,8.73,37.23
2017-03-03,51.629719,50.172989,60.297886,74.444176,12.172371,24.059393,47.492241,29.908762,12.75,8.9,36.369999
2017-03-06,50.904636,50.163059,59.58617,74.133026,12.047279,23.841301,47.322906,28.892033,12.47,8.78,35.799999
2017-03-07,50.864906,49.944611,59.803642,74.016342,11.989545,23.761993,47.263149,29.005003,11.66,8.3,35.779999
2017-03-08,51.06356,49.418362,60.406624,73.053703,12.056902,23.980633,47.073895,29.908762,11.73,8.41,35.919998
2017-03-09,51.083427,48.743164,60.841557,72.830055,12.028034,23.811686,46.954365,29.682821,11.93,8.31,36.139999
2017-03-10,51.798573,49.031116,60.782249,73.578781,12.056902,23.821623,47.014133,29.871103,12.13,8.28,36.099998
2017-03-13,52.096554,49.209846,60.821789,73.987175,12.066525,23.672552,46.964333,29.440453,12.38,8.48,37.25
2017-03-14,51.85817,49.328995,60.732822,74.220543,12.076147,23.642742,47.014133,29.488092,11.59,8.37,37.009998
2017-03-15,53.735432,50.649597,60.139725,75.698524,12.172371,23.841501,47.352795,28.88785,11.6,8.66,37.740002
2017-03-16,52.692505,50.460941,60.446163,74.677551,12.220484,23.990574,47.183464,28.9736,11.6,8.61,38.740002
2017-03-17,52.950756,50.649597,59.675137,74.988708,12.008789,24.298655,47.02409,29.097458,11.48,8.57,38.810001
2017-03-20,52.791832,50.431152,58.904118,74.706718,11.816341,24.060139,46.695393,27.982723,11.72,8.5,39.689999
2017-03-21,52.305134,49.229706,57.371956,76.048584,11.277486,24.01045,46.287006,27.077595,11.51,8.28,38.580002
2017-03-22,52.771969,48.911957,57.105064,76.476425,11.325597,24.080013,46.047955,27.029957,11.59,8.27,38.73
2017-03-23,52.821632,49.944611,57.38184,76.097206,11.229373,24.159521,46.157516,26.934683,11.52,8.46,38.299999
2017-03-24,52.722309,49.388573,57.401611,76.097206,11.181261,24.149582,45.858704,26.839403,11.85,8.5,38.369999
2017-03-27,52.881229,49.259487,57.658619,75.766602,11.027302,24.089954,45.73917,26.610741,11.65,8.29,39.349998
2017-03-28,53.07988,49.934685,58.736073,75.902733,11.210128,24.099894,46.306927,27.201454,11.69,8.33,39.009998
2017-03-29,52.762035,50.033981,58.706417,75.523506,11.238996,24.169456,46.167477,27.887447,11.91,8.48,40.25
2017-03-30,52.960686,50.699245,59.813526,75.270699,11.238996,24.586859,46.675472,28.06847,11.72,8.52,39.900002
2017-03-31,52.644047,50.977264,59.13147,75.42627,11.200506,24.606735,46.585827,28.239969,11.81,8.68,40.490002
2017-04-03,52.972641,49.646736,58.99308,75.591576,11.008057,23.85144,46.555943,28.239969,11.75,8.67,41.369999
2017-04-04,52.395115,50.639668,58.99308,75.474892,10.940701,23.612925,46.904564,27.525394,11.89,8.68,41.290001
2017-04-05,52.48473,50.063766,58.904118,75.805496,10.834854,23.404224,46.814919,27.458702,11.82,8.41,40.209999
2017-04-06,52.922855,50.75882,59.200661,76.048584,10.844477,23.22534,47.113739,28.030359,11.98,8.39,41.59
2017-04-07,52.614174,50.689316,58.745956,75.445717,10.805985,23.682491,47.053978,27.725477,11.44,8.37,42.650002
2017-04-10,52.49469,50.540379,58.597683,75.756882,10.825231,24.050203,47.273106,28.125637,10.95,8.36,44.040001
2017-04-11,52.604221,50.848183,58.350563,75.33876,10.854098,24.189335,47.02409,28.306662,11.14,8.32,44.0
2017-04-12,52.325413,49.557369,57.836544,75.776321,10.805985,23.871315,46.536018,27.79217,11.02,8.34,44.630001
2017-04-13,52.106358,48.971539,57.371956,75.387375,10.690516,23.682491,45.948345,27.79217,10.71,8.28,43.509998
2017-04-17,53.231525,49.865181,58.311024,75.786041,10.854098,23.543358,46.296967,27.458702,10.73,8.4,43.84
2017-04-18,52.803364,49.805603,57.747581,75.834656,10.863851,23.59305,45.978226,27.353895,10.56,8.5,43.900002
2017-04-19,52.843193,49.875107,57.065525,75.202621,10.912611,23.950821,45.699329,27.715948,10.78,8.57,45.68
