,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,a,2017-03-01,2017-09-29,0.468712850649,0.25146195422,0.810873231623,52.040001,64.199997,0.0103624592913,0.0103624592913,0.00155944166171
1,b,2017-03-01,2017-09-29,0.792403698746,0.405707455484,0.657695069959,51.869999,70.440002,0.0124215907385,0.0124215907385,0.00236445532897
2,c,2017-03-01,2017-09-29,0.398481908276,0.216184530744,0.645540691407,61.540001,72.739998,0.0110294189606,0.0110294189606,0.00137475389464
3,d,2017-03-01,2017-09-29,-0.0156194685364,-0.00914475797456,-0.00265530965118,76.25,76.93,0.0069884283916,0.0069884283916,-3.73715560198e-05
4,f,2017-03-01,2017-09-29,-0.0753597988046,-0.0446927374302,-0.0851565726491,12.69,11.97,0.0110171908064,0.0110171908064,-0.000246248298277
5,g,2017-03-01,2017-09-29,0.339640459481,0.186056105611,0.224162703258,24.35,28.75,0.00849731608372,0.00849731608372,0.00118167608555
6,l,2017-03-01,2017-09-29,0.0323126576587,0.0187313963389,0.0355439234246,47.82,47.860001,0.00756683741078,0.00756683741078,0.000152993058341
7,m,2017-03-01,2017-09-29,-0.513382967791,-0.34316678678,-0.133479571626,32.950001,21.82,0.0257038592017,0.0257038592017,-0.00247298267392
8,p,2017-03-01,2017-09-29,-0.556799583915,-0.37802907916,-0.495551629684,12.54,7.7,0.0266482649323,0.0266482649323,-0.00282673397179
9,s,2017-03-01,2017-09-29,-0.191889391794,-0.116912599319,-0.333887541721,8.84,7.78,0.0261382501831,0.0261382501831,-0.000489450659167
10,w,2017-03-01,2017-09-29,1.69283642419,0.782597202259,0.0,37.880001,67.400002,0.0306418205141,0.0306418205141,0.00433870214968
