Date,a,b,c,d,f,g,l,m,p,s,w
2017-02-28,51.299999,50.110001,59.810001,77.639999,12.53,24.24,46.98,33.220001,12.38,8.81,37.810001
2017-03-01,52.040001,51.869999,61.540001,76.25,12.69,24.35,47.82,32.950001,12.54,8.84,37.880001
2017-03-02,51.380001,50.830002,60.630001,77.220001,12.66,24.299999,47.25,33.220001,12.43,8.73,37.23
2017-03-03,51.98,50.529999,61.0,76.559998,12.65,24.27,47.68,31.77,12.75,8.9,36.369999
2017-03-06,51.25,50.52,60.279999,76.239998,12.52,24.049999,47.509998,30.690001,12.47,8.78,35.799999
2017-03-07,51.209999,50.299999,60.5,76.120003,12.46,23.969999,47.450001,30.809999,11.66,8.3,35.779999
2017-03-08,51.41,49.77,61.110001,75.129997,12.53,24.129999,47.259998,31.77,11.73,8.41,35.919998
2017-03-09,51.43,49.09,61.549999,74.900002,12.5,23.959999,47.139999,31.530001,11.93,8.31,36.139999
2017-03-10,52.150002,49.380001,61.490002,75.669998,12.53,23.969999,47.200001,31.73,12.13,8.28,36.099998
2017-03-13,52.450001,49.560001,61.529999,76.089996,12.54,23.82,47.150002,30.9,12.38,8.48,37.25
2017-03-14,52.209999,49.68,61.439999,76.330002,12.55,23.790001,47.200001,30.950001,11.59,8.37,37.009998
2017-03-15,54.099998,51.009998,60.84,77.849998,12.65,23.99,47.540001,30.32,11.6,8.66,37.740002
2017-03-16,53.049999,50.82,61.150002,76.800003,12.7,24.139999,47.369999,30.41,11.6,8.61,38.740002
2017-03-17,53.310001,51.009998,60.369999,77.120003,12.48,24.450001,47.209999,30.540001,11.48,8.57,38.810001
2017-03-20,53.150002,50.790001,59.59,76.830002,12.28,24.209999,46.880001,29.370001,11.72,8.5,39.689999
2017-03-21,52.66,49.580002,58.040001,78.209999,11.72,24.16,46.470001,28.42,11.51,8.28,38.580002
2017-03-22,53.130001,49.259998,57.77,78.650002,11.77,24.23,46.23,28.370001,11.59,8.27,38.73
2017-03-23,53.18,50.299999,58.049999,78.260002,11.67,24.309999,46.34,28.27,11.52,8.46,38.299999
2017-03-24,53.080002,49.740002,58.07,78.260002,11.62,24.299999,46.040001,28.17,11.85,8.5,38.369999
