,a,c,b,d,g,f,m,l,p,s,w
a,0.000106773415112,2.40240867308e-05,4.17643483598e-05,7.99489659426e-06,1.20511440774e-05,2.07632942711e-05,1.64340077252e-05,1.9505317494e-05,5.08086286496e-05,6.67210583235e-05,4.02580219192e-05
c,2.40240867308e-05,0.000121648082608,3.80143128123e-05,-2.24038183755e-05,2.38154160146e-06,4.63646412008e-05,5.1904493946e-05,4.81705879543e-05,3.23648156018e-05,5.88372373706e-05,-1.43204582246e-06
b,4.17643483598e-05,3.80143128123e-05,0.000154295916476,-7.00398270541e-06,2.33839750374e-05,4.73737321032e-05,2.24329014745e-05,2.83373917905e-05,2.53111773652e-05,3.34892841708e-05,6.14864233805e-05
d,7.99489659426e-06,-2.24038183755e-05,-7.00398270541e-06,4.88381313846e-05,2.44150818802e-06,-7.96816437661e-06,-1.93975798843e-06,3.84309983153e-06,-1.30498616557e-05,-8.59224886612e-06,-3.768908816e-05
g,1.20511440774e-05,2.38154160146e-06,2.33839750374e-05,2.44150818802e-06,7.22043806266e-05,1.58313322942e-05,4.44244218457e-05,1.00193018441e-05,7.77740188827e-06,7.951412693e-06,2.35323163947e-05
f,2.07632942711e-05,4.63646412008e-05,4.73737321032e-05,-7.96816437661e-06,1.58313322942e-05,0.000121378493265,8.64721418534e-05,3.41051598717e-05,1.37452003158e-05,1.49069900325e-05,4.66525670687e-06
m,1.64340077252e-05,5.1904493946e-05,2.24329014745e-05,-1.93975798843e-06,4.44244218457e-05,8.64721418534e-05,0.00066068837786,5.43579621547e-05,0.000115401534082,2.71927601606e-05,0.000117565209918
l,1.9505317494e-05,4.81705879543e-05,2.83373917905e-05,3.84309983153e-06,1.00193018441e-05,3.41051598717e-05,5.43579621547e-05,5.72570284011e-05,1.02822848654e-06,2.8853134551e-05,-1.29747811725e-05
p,5.08086286496e-05,3.23648156018e-05,2.53111773652e-05,-1.30498616557e-05,7.77740188827e-06,1.37452003158e-05,0.000115401534082,1.02822848654e-06,0.0007101300239,0.000176693602685,1.74024106595e-05
s,6.67210583235e-05,5.88372373706e-05,3.34892841708e-05,-8.59224886612e-06,7.951412693e-06,1.49069900325e-05,2.71927601606e-05,2.8853134551e-05,0.000176693602685,0.000683208122636,8.79434145681e-05
w,4.02580219192e-05,-1.43204582246e-06,6.14864233805e-05,-3.768908816e-05,2.35323163947e-05,4.66525670687e-06,0.000117565209918,-1.29747811725e-05,1.74024106595e-05,8.79434145681e-05,0.000938921164418
